audit_case_key	corpus_snapshot_key	normalization_pipeline_key	normalized_expression_identity_sha256	representative_expression_identity_sha256	representative_observation_expression_identity_sha256	occurrence_count	document_count	primary_stratum_code	stratum_codes_json	audit_split_code	selection_ordinal	split_ordinal	selection_sha256	tuning_eligible
audit_case.round2b.sha256_023c7c1d5d0c6e490b7ba0a68741d0469927a718213f6cb7451c13fa5bdfd135	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	16461d0741e15541dc0a203d6105ed8882a4aaa30fff0bad28dd5651d7fdc54f	96706f7a9a61b171ca661163927054291604c937c67b3a1c6d53bc93d5cd2746	5880bd4e84af851e789d7fb66bf11c8080a82d1ef1c97961c69e7186c5d8fd7b	2	2	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	11	8	023c7c1d5d0c6e490b7ba0a68741d0469927a718213f6cb7451c13fa5bdfd135	false
audit_case.round2b.sha256_025bb3e3f1f9217e692358c037f3b858c73481486628b43638c8fa9cde72cd78	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	8140b851116f52a6ad8fb51bf3909b9e67b4e09c042507e4a64a90cf816572f7	b2ee9183df2bf47e95aae000ac7e0c2cc53e23d55c57c019bdd3bcedcc4b783d	bd8995bdd7e8c3a31f3206e0b45412a1517a72bcf382591a8912997dbc69dab0	1	1	hard_negative	"[""hard_negative""]"	held_out	12	9	025bb3e3f1f9217e692358c037f3b858c73481486628b43638c8fa9cde72cd78	false
audit_case.round2b.sha256_02a825c243b6b52ecb25b62b00a8673ad9f1475f7382fd6497760bd6b4a6b876	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	9dedaa2d441bff134ead7071d96f482cfba40354661bf3a1883b120110e15bc3	68ce1e3a38ccebb3a6c90ec09a038ed1a0f838584170cf3b0b6c23e0d17f0279	f8d862e9977dae56d7ed2b76faf77bf8a192a53b3544e08b688ca22e5cfd9ec4	1	1	hard_negative	"[""hard_negative""]"	held_out	13	10	02a825c243b6b52ecb25b62b00a8673ad9f1475f7382fd6497760bd6b4a6b876	false
audit_case.round2b.sha256_02bcdf9fa9f7e7289bd63ab68450972e418a68ffff398c3f09b6c6cb138c1bc5	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	a75d360b2393ecf80323a1863d707fea461088da887bddf144e0b286a8f01ad3	e058446fff985ce9edf60864daf5d5ab776e19af9135eb6c97cd259e0c8669bc	1b7318885a0653918c2a446dabf688fb24e794e6a4d967e9808fc4c603fdd749	7	7	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	development	14	4	02bcdf9fa9f7e7289bd63ab68450972e418a68ffff398c3f09b6c6cb138c1bc5	true
audit_case.round2b.sha256_02c6465dac7116aa21d77c32d3573d7df6e156994673215d9fcc01af886414a4	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	14e9dabbe3833e8865b4d40fd0f3e63d465f6a7d183127e995df763c0b938e5f	0b9ed525412cf8d7c9432d10e655e9adca8dcf0b28347a583ffd8441bf537b77	319b40ef4707c0b0660079933e90c43f6e7484055c0b67a51d54d10fe2ec3602	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	15	11	02c6465dac7116aa21d77c32d3573d7df6e156994673215d9fcc01af886414a4	false
audit_case.round2b.sha256_02e97f9add06bd1288ffee6c51e0d3c298b431694dec486d599b25fd5d536ff6	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	a6182d32a4a748f9f3f6d989f087993226f9b768ccbac231929356a04dd46a4c	06659dc5116f8caf0442b68420f12b4dcf5033a652343ebca7c435ed804303c3	8298b92a0343fd68c009a0d0b3500ff5d16b7d4654d31ea36a416c6505bc4e49	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	16	12	02e97f9add06bd1288ffee6c51e0d3c298b431694dec486d599b25fd5d536ff6	false
audit_case.round2b.sha256_02f3990f52bb958a5da639025b3705e275b2fee1eaaa9fe4191a2f425ae1b91d	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	6d23cab0b19668c92f24e7695ef3d72e7d31801b7f80dcdce73b8cb69cff5530	2585f8b7492222ab195d80835aeeeb5643c6b5b6e8ce4beace5e92753a49efcc	c4bd41749d71cd52adc2f90f0b1386305487ba3cb57a3aeea820235749a2c15b	1	1	unresolved	"[""unresolved""]"	held_out	17	13	02f3990f52bb958a5da639025b3705e275b2fee1eaaa9fe4191a2f425ae1b91d	false
audit_case.round2b.sha256_02f7dc615a48dc6ce86f3f4f6f6b6e30b3c1e5d5669738efc9a68aa532807611	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	bf7aed415c822423db449d47c7de4cd50f9098294c90ef609f22c6da86e0de9f	383bee5d6609568fcc511c931ba6a63333e5998cfcfffe0f7aa404ce4dcc94aa	a3a157068f1b2c87d4db5fc214eb0e98f7792870d9ee7d4e114d552668797786	1	1	hard_negative	"[""hard_negative""]"	development	18	5	02f7dc615a48dc6ce86f3f4f6f6b6e30b3c1e5d5669738efc9a68aa532807611	true
audit_case.round2b.sha256_030037a94add75d6d51faf6d17d24d7c4702253c7d8617b1986df15932f5ef80	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	fa310260cfac55cfe7686139cd7625701c8cbf3b0fa20018db20445743280e29	2fe86e29e04bd0b2957dca363ba7b7dd4436b774c759f3fb29a826918ebfaf57	1a71d70a2af6f1a537ad7d8d40fd145a01bb30a8ed735450ae8e2c64072b5375	5	5	unresolved	"[""unresolved""]"	development	19	6	030037a94add75d6d51faf6d17d24d7c4702253c7d8617b1986df15932f5ef80	true
audit_case.round2b.sha256_03204cb91ae583ee2a7f5ed97c5454a89ea66dddaf9573d6c399915a3a3a3850	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	d265ac61c8f22e196d44ae7ec11ae752121629a094649fa3b6dc58f8d9875e69	0a949d6a2cf709c68f1f599be5d42a0a7dc2cf858fd1925a5bb3757aac2b8bcc	42c840fdefe73a66afb2388c0a7737d0f665d31018c6a0df9688372c6f8c4e23	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	development	20	7	03204cb91ae583ee2a7f5ed97c5454a89ea66dddaf9573d6c399915a3a3a3850	true
audit_case.round2b.sha256_0332ad33344c1340430bd53529f53b9198f2319244269595fa6c3bb91462b4a4	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	454e674e27d7c16091b3d852734fe5e7d50ccce6578b17185382e19f6b118f24	4cba8a749139cc9db107cc821dc7f2d15db4d379e91cd7070f89944bb99c66de	831803f23bbdcdc72ecd3c44c009b27b5257f01e3c1d3ecac6889680bfdd024d	1	1	qualifier_polysemy	"[""orthographic_difficulty"",""graph_reference"",""qualifier_polysemy""]"	development	21	8	0332ad33344c1340430bd53529f53b9198f2319244269595fa6c3bb91462b4a4	true
audit_case.round2b.sha256_0374493cfb01ef5ce42664f85b2d6c045273503e1d7c1b60495f700dc0960c2c	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	6a0a5fdc2c5cb4bde5fa4e094ed5edc1424d46c8db3be2bae88ddbfdfbd51ae8	26045ecb862bb825ad152982cb2296f532b917eada7f128ffb3a1e0a993a2069	b3291d84bb6627188becebc0125681e87b11964aef613a308bb1a6c2f8e326d9	1	1	unresolved	"[""unresolved""]"	held_out	22	14	0374493cfb01ef5ce42664f85b2d6c045273503e1d7c1b60495f700dc0960c2c	false
audit_case.round2b.sha256_03a1b06855b9989710e14536d3b051069ae76bedad393aa240b65aad5ca6151c	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	625470ebcf2c3e83791ca91611cecd83de0f9a57c1f3739d3380f23ec4f5f587	ba92cb8ab9ccc5460890b5d4f6466260253d0a080c5123262bb51b0e08a9b1f5	0842bd68f865b20632ea3ec9014503d41f0a27782d6b78bcfc3b62932fecf459	1	1	unresolved	"[""unresolved""]"	development	23	9	03a1b06855b9989710e14536d3b051069ae76bedad393aa240b65aad5ca6151c	true
audit_case.round2b.sha256_03a95427e33c315c4d1d87d9acb41826c6f39cce0b20e61eefe2afd0fd87be37	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	b0e7e7b1b97f8fbbb513060447df8b592a2c8a8424ada1022a150ec2ace5da97	e3876386ae587e7637207cd069e8e28780c9519ae77de410b653777a8a5c6884	27582f9463ef08cfb996c9605f9230551eb5ac29ec8281988e3e34c6369470e6	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	24	15	03a95427e33c315c4d1d87d9acb41826c6f39cce0b20e61eefe2afd0fd87be37	false
audit_case.round2b.sha256_03ab961d1a805f13e5b23ceb1addd2c94c766c2bfaa9cd65a8635e6e1aeebe8b	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	f98282a4804f604e86d2c725cab1d198e83906efcc740679d47add40d32aada8	5dcb0f83f531f946012692154ae89bf0d7adafe061ff3f16b605bc7ac87db2aa	bbc487e8c28e54ab572f430c0884523a5ad8439f3b535030da5fcc75850af7d9	1	1	unresolved	"[""unresolved""]"	held_out	25	16	03ab961d1a805f13e5b23ceb1addd2c94c766c2bfaa9cd65a8635e6e1aeebe8b	false
audit_case.round2b.sha256_0436cd38a298a689f7eccb73a7eb37f5fa33d6305e73b83ef26065f9e2693934	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	7e40249f4b5ed366fb72ec50cd74166a70ea721378428547dc3b9ea71d8bad2b	09e1cfe64874a754032d2e4d184ab6ae92e00d841aaf5489da5937572e110ffc	2b2841235669d83559ec178b6bce575ae7c57679a84a322f3527a1b820ecbc79	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	development	26	10	0436cd38a298a689f7eccb73a7eb37f5fa33d6305e73b83ef26065f9e2693934	true
audit_case.round2b.sha256_04591b0ebe19825215c0acc66a6272facfdd2d77e3bdc918b43c3fc35d5628d2	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	787581c169d2f3c6379fb59a98bb072bdbc83eebe6ee90074b8fc8189cc75ad0	5460c191b222ef7ff9ac030f35206d9a99e7882b61e97ea519ae90824a933f6e	185870311d1f6fcee56639cb3486d5b541682742f7e669e2fa6fbeea4e1b6545	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	27	17	04591b0ebe19825215c0acc66a6272facfdd2d77e3bdc918b43c3fc35d5628d2	false
audit_case.round2b.sha256_0459ad6eb2a3a407d0b8670b83d03e692b147b0d4046d8c27058d5461dbab738	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	833872da2ad759c3a5f16ec5475314dc68a9671dcb45b76a851b953fe2e1c160	8401d34d0dbf34ed6958470ee4e35e9daad056f5a495c720b63e2f3992cf60f9	cdd8080ec1f01f03d4f6a2cdd7f6a7f6b799e59671fdd88368b3ae55dea6d433	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	28	18	0459ad6eb2a3a407d0b8670b83d03e692b147b0d4046d8c27058d5461dbab738	false
audit_case.round2b.sha256_04698c929ed10d934c521b8cf70b4b75cda0276c909019bbb18681a57ed9df64	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	ca4599c43f909daf9fabf1889a957d5da4b0e891c64ea84f69ae2ba4104210b7	7687b2ca1f39b31b14120fc5a7e0e0ce9cec7b80778c75d286c81794956683b9	79ae0eacb620545f5892e297433c9e9b1db58bd5efd6b9a172b911713fa4c09a	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	29	19	04698c929ed10d934c521b8cf70b4b75cda0276c909019bbb18681a57ed9df64	false
audit_case.round2b.sha256_047c34f66db6b0dc2727dd2e078b79779a17ca736e8ef5549b343621ea3bb36e	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	b44d62d3f742a654f304908c125b324ca556a0e31e73aa222a2f121bec1b2f1a	7c51cce179af6bc5d1f23dfd22b686ffabd27e8f8839ab989fbb00515d6ebc80	769557c3c75cc16e3891a49c650d5edbb70984fe9e1f6391a4b680713a3a84d6	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	30	20	047c34f66db6b0dc2727dd2e078b79779a17ca736e8ef5549b343621ea3bb36e	false
audit_case.round2b.sha256_04a1926b61042bf998ff5fa2d6b3dc376ee9afde4e324361cc8fb0328d9500cd	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	07db5d1bf34f12afad67729ec3a54c00d8b469eb0799fe96d941ca322112eb6d	63676dd6b8a8ea6f293cd84b60f6ec1f95604215d4eae44ea76a336d8a1a77b1	2abfb8c717710ee8a4d5d43d8a2e78a80c892bee8ab3ccba6b76fb96ad1619f2	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	development	31	11	04a1926b61042bf998ff5fa2d6b3dc376ee9afde4e324361cc8fb0328d9500cd	true
audit_case.round2b.sha256_04a741df250e1897906c408b4a3f5586fdf84d14398c870c0fc1403b51bfe307	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	4f276612f7dc1daf2e1ea4823a7ce79dc8a73ddbd7191e3e33a089207f8beb53	866a06ad3f4929851c5aea5b532021d8f51347c6dfdbc9bb30a97a674f7437c4	503501e88a3906e1a6bf31ce125862f32ac00d31e99fdcdae0549f8a23c3ae44	1	1	unresolved	"[""unresolved""]"	development	32	12	04a741df250e1897906c408b4a3f5586fdf84d14398c870c0fc1403b51bfe307	true
audit_case.round2b.sha256_04cf75cb63a6c0541133182abd57d1f932be6f34c7898e88ed9ab3a9af467115	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	d33a2e333db6f65c268e72f68f06726d83e993b345449f8257d954cbcf419ecf	b08a19a3d7c6cb146100eca93884470e669c026ed6d95752a6abc5690edccc6d	5d125596cf0c27fe0d88f5f323e37a71fc8a15acf0cb83e7b3b6490ece0d6fd1	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	33	21	04cf75cb63a6c0541133182abd57d1f932be6f34c7898e88ed9ab3a9af467115	false
audit_case.round2b.sha256_0507b28e57a45ccfbc980a6674de4f937ce23985e33c81749d5767199885ae54	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	c1c07efa15654b7a7f92cbd47e51c8536378e8913213739c903d307ac30106d6	ba2c5405a06f29b9d5efa5cb2d537fd11e151686f3905de534ff24b71a871b06	666e0a6c24399525f041992dd37c49378cc5e608f6fb0c7333c683d7e2689ce6	2	2	hard_negative	"[""hard_negative""]"	held_out	34	22	0507b28e57a45ccfbc980a6674de4f937ce23985e33c81749d5767199885ae54	false
audit_case.round2b.sha256_0536bc398de5670b183f9b9bc4d69509d90e653110370f8cb4ec64261e6b4618	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	d74f09aea3aac6101b8518c94cccb0c81bc64f5cfac82ec9741edc85f38431c6	781794b7a8913386bb87712ddbe5aa63acde2a5c13643aecbbff53a22eb7f965	6b94b2d1298255cbc62edf4d9a7dc7509093eba4503bc02c06feb77d2abfe691	1	1	hard_negative	"[""hard_negative""]"	development	35	13	0536bc398de5670b183f9b9bc4d69509d90e653110370f8cb4ec64261e6b4618	true
audit_case.round2b.sha256_054432e259c690e7a55dc09ba50fe81b56d057f6adf1f9af6ac6ff3f86346f83	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	0a12e27b29eb9103e369de3739e2fbdd2cfa2fd57b3bc8baad2e36d740f5ca45	888ba47519a374f8b65e071d03d6e4f37138b837e2cc53c7d73f4035a6e0d4ea	c155894d0546639e71142c724cbd29af62c276d50d99bc80d2e1f35be86f82ca	1	1	unresolved	"[""unresolved""]"	held_out	36	23	054432e259c690e7a55dc09ba50fe81b56d057f6adf1f9af6ac6ff3f86346f83	false
audit_case.round2b.sha256_055dae67349ad5809449b1834d0bf7b7919b898fd233acebff0a12398170113a	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	7d4b4b897252ea1dac88066d225e8362bd0f129f8fc3a9def93fafe9c024fa73	5ba8c233a258fbfb564faf9b919c4cc8769e0499c1d50bc572b9ac81931fd2bd	c237337e6054332d20b0f1da6a9e2b68e17529686b5d7b11262cbf327f4011f5	1	1	hard_negative	"[""hard_negative""]"	held_out	37	24	055dae67349ad5809449b1834d0bf7b7919b898fd233acebff0a12398170113a	false
audit_case.round2b.sha256_0597c5f88fefd265841ca43752e74a1e268ca2a533c6dfd6f080e613778810ce	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	e960e1ba998c06378b6c562fa183959186ea4c641750ac9ea3a455b495819905	b45ed45268d32233e71bb4f1e974f2c12ad096f90191d93b9ca4c096b2f7ab1c	8c7c0d32d890282072f20fa76ff3b0887146b95173e6ebb787500040b3b650e8	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	development	38	14	0597c5f88fefd265841ca43752e74a1e268ca2a533c6dfd6f080e613778810ce	true
audit_case.round2b.sha256_0599b6af320f29441c643d3fc7ef39a9612b174083a85c6194ac3246df80a7d2	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	a28266ebceabfe30d19bf07440da39004f338f9ec51b60a61e720b67899e112a	f0f5550bb4485f1e4e0c92fe9942126986127d179664f21e513dfbde17fe0d25	29a28a320e12ce4bd981efe05a331f1e870fd4e610ce8242d2dcf2d1bdd28e71	1	1	hard_negative	"[""hard_negative""]"	held_out	39	25	0599b6af320f29441c643d3fc7ef39a9612b174083a85c6194ac3246df80a7d2	false
audit_case.round2b.sha256_063671807a849ca56c87001398cf447089980c3d2ced4037e3b6ff6bf3b9504e	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	df1a8b0f57ab0266767b68274da10ddf04af8615e8f1ad3738dd813794e46154	ae7964e68ac3dcb44b619f7f37f96c93fed815f87d981a01999dbdeeb7ab5817	b70d38fa01f73f2c68e4caec9e915a7079d56d49a654aad1aa1ff0cc8e18ef66	1	1	unresolved	"[""unresolved""]"	held_out	40	26	063671807a849ca56c87001398cf447089980c3d2ced4037e3b6ff6bf3b9504e	false
audit_case.round2b.sha256_063b2e0bea9d8864f24775b5eded749a1d71cbdfcfd3bb7bac6b51da48edbebe	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	3496a1d7155ec558242bc9b048e7d1b5ac92d1c0fe51cf0cf5be13c929f5f560	4d985dc93853a2523a47cee85d240f2f19a87ec40088591293f4a67f4811ba12	0afda3c054a82213a407816edb10b997ec6d062c901105a467849f9de6de6b75	34	34	graph_reference	"[""exact"",""graph_reference""]"	development	41	15	063b2e0bea9d8864f24775b5eded749a1d71cbdfcfd3bb7bac6b51da48edbebe	true
audit_case.round2b.sha256_06716b7766544f38633404ec591563938c845e6c1351dddc93abeead9f36d044	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	a44b4c4d5121d347102966fba2f798a0cb127afd95b12ce4b2e7f1cdcd180edf	812dfa3029b781747c917274583a4eff034874505656a69b30ee3304c6ed30a3	1e272eb8181231d45ed0e30709c594b0a0b9302f48d6a1bc9d1f9841f86caad7	5	5	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	development	42	16	06716b7766544f38633404ec591563938c845e6c1351dddc93abeead9f36d044	true
audit_case.round2b.sha256_06736f3f651cd43424be39000ff32aad3c5ccf7648d464d49ea548e79143c365	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	e2c7b1b36f4d6da2aad439875065d473959dc8b93db8248f2563fc73a3f1bb38	96cad543bd088e46eb1feb666a1f307213b5ce561fad5158ce70981b1c7f9211	35ed729772c696911b0ba6e016cb5f2d1d74346a3f16b5261e8aa5f0a26e8c7f	1	1	unresolved	"[""unresolved""]"	held_out	43	27	06736f3f651cd43424be39000ff32aad3c5ccf7648d464d49ea548e79143c365	false
audit_case.round2b.sha256_069b869981857c9fd0338251a09c41e2064180bc6f6ca60fac845d5603a14b8a	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	8a8996cef1558631b33fc7045ebf0a1b61962c053546d5767683828b083eadf3	0c5d6aa3e9b5bd462948e905c6aac17271710b478d3ace9028003401ac3b3a7b	64e8966e84cafaaa7e3583ae4e8aa28964bfc88bb52b20db3d1a5388050bdc87	1	1	hard_negative	"[""hard_negative""]"	development	44	17	069b869981857c9fd0338251a09c41e2064180bc6f6ca60fac845d5603a14b8a	true
audit_case.round2b.sha256_06b04b665876ac3a25be26adad56aa72eb3110e7acbf496f208f154ec0f87db5	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	bf92f1864f2bc7767830d077b100c1d9d2374eccd67e79e56d3f208864362cf6	e4e6e43c4b4e8bf50fe8acacaeb6911d35abb1bb15256b167fbb8aa22f2e4100	211fe2f086fe0813fdca181ecbc66c90858cb5011af5226b87b2d565d7cea47d	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	45	28	06b04b665876ac3a25be26adad56aa72eb3110e7acbf496f208f154ec0f87db5	false
