retrieval_evaluation_key	model_run_key	retrieval_baseline_code	audit_split_code	retrieval_metric_value_key	retrieval_metric_code	cutoff_k	calculation_source
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_01dd4a8a94b73e91fae2ba6a7bdd9e5561805ac3fedb57265f8330c4052de36a	coverage	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_a9d5c8d093ad98f3a336ee95c075f7ca1e04f4a09745f934c01aec43d8993c45	abstention_rate	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_63994c88ba453019e0bb39fab4ba6af9bf68118712d39dff287963330b53f3d6	abstention_error	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_9364198b487dc6d716a1c3f977feef2ddad0021caf53bc325a2f0c3c2627d86f	median_candidate_set_size	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_98670ca62bd33c9465883e61688aac72be6dae1963c0c9d9e0970a13b569c615	unsafe_nonabstention	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_38b89ac0b4356e9eeb07bee034fb0ba3c28d34e2b71b78b794403f4aa0809362	recall_at_k	1	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_1524f65b3453375970ce9f8eed94bb4b8fe99663016074809ecfc9f8bdfef610	recall_at_k	3	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_83a1c0404013db098025d4b13bb1fec5653aad15f53b3e06b0f1ed7436234167	recall_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_3212eaf2fad3e696c07a87ddd938626b96a57c516e48004cf62dd7e7b164ba53	mrr	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_b8b61a552fba5553a3f2550230bf799c06aacfebe5c17ed16e2ad0f259771c53	ndcg_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_fa3fe9132f9b6c7f66591412ec4a45ca4411891cb232b63fd3badd7b62262fe4	coverage	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_c911f54bc5c3ce778489a5108741c386f1f375fb0078a66ade461c82b43b101c	abstention_rate	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_5d963b4dd1ae97a862e2e906485f255aaabd6930e7c9f40dfe5cb6ee946d82a5	abstention_error	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_67e3071c106c7185b1b12f4f99497da4b38ac40fb9300287a0e91db9be105e46	median_candidate_set_size	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_6a968d02f74eab6db6b68ad3c98f863735ba6a7897315c3298c7ccf5e5692c55	model_run.round2b.deterministic_retrieval_v1.B	B	held_out	retrieval_metric_value.round2b.sha256_6ba544719f90d57016d740b3ff4563345121c6792fccbb23176382aed5b0eeee	unsafe_nonabstention	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_1a8b6f8dee9e6ee6e498865f608bdb245e8cd9223f891e4103f89f4fb9e241c0	recall_at_k	1	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_458914e5d5f03042249779d74c02e3f9479ccaead7a94e44fb66687cea27ce0a	recall_at_k	3	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_70467b1aba809e6c7cc14cf61e128c99fedecb7a967c4edbd78e97529bfa03e9	recall_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_02a67c07535843a168aae23a98a551d765d6c37f94bfb3b3905feeef4a436ed7	mrr	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_e9180003a184f143383ca0d047dacc944d2f47a87aa214bdbc10ae29cb3a23bd	ndcg_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_687596d75feb203db3683a3cf3090831fee19ddf800db51d0c811207d487de09	coverage	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_1171ecb5f6920086be7d06a19564f575ac83b3885909ba287e8301350c164a0f	abstention_rate	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_b060135724e10026b898dffc227f2294e622e4c0022d86d61a0f8a41655d0fb6	abstention_error	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_1245a6f1537c0bae473791d7c1bd2b404ee66d87853f2b5dd136389f5d8548ea	median_candidate_set_size	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f104f38ee07ceca709b98195bc24ef01a81b4fec9f08a7499e4ce8205e2863db	model_run.round2b.deterministic_retrieval_v1.C	C	development	retrieval_metric_value.round2b.sha256_f782906571b9b9c3c2a027f1281ccca4478c25ac2b7dfba1715d6bc44a9dd3ae	unsafe_nonabstention	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_8c671e5b9e662dc349ed542c1521d503ca4eb122e2a86240e05add5099577ebe	recall_at_k	1	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_13ec61637a1995cfcc3408d3c5c6130c8e0fa8334d8eebabbb4df17aaf82cb1e	recall_at_k	3	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_fbce0b95e07df42fe05865c98eeadc974c8c8e01f7553113dcea417a23b2d401	recall_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_03168479af9ca7b4ee3ffc32ace5bf147e6b59e042147582cc02dde1b443549d	mrr	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_13d435dd87c335cd267d11166bb09a94fca663db1bba9d77193547733d2a793c	ndcg_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_621cc24a00b76ba7103dae7494e7dd2a87b1cd9fa29979cfc7e998654a6b6d9f	coverage	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_946407d9c325fad238eff3943c5ddfa208da068fae1c76cb6a04cd4bfbaba655	abstention_rate	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_c816bc88811797a8a791cc74574a5ab0ef688e52943bbc16f32524f31a4ac84d	abstention_error	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_3895af102c4a570aa770205161d79a17b6136ab7454287641fac395e2789f66c	median_candidate_set_size	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_3bbcf603195cc3ddfddb65b15c4fe26cc0cb1b756ea3c80b81acbf6b24a79cf1	model_run.round2b.deterministic_retrieval_v1.C	C	held_out	retrieval_metric_value.round2b.sha256_99b46f9b5556830e197343603541316693b976e08aac625d20c12b8a51eb8a6b	unsafe_nonabstention	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_457508c5687797db467a877ea6a9487fb99d99147f4b3627355cf0b1e7a0dedf	recall_at_k	1	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_1c611f5706762f2f8ac1eeb10fc62078dbe6a59440f66b9c60df4b61babfee0a	recall_at_k	3	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_15486fdea674129d0d82ae57c23c75f21065260ed2681b7fd23aedf0bdf5ac29	recall_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_aa36ad31bb6c550722f2bc8670121364cb93f5b6c47422f9a3dfd7e6706e5dd6	mrr	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_992448152803db657d7b369f8f63fa248a24125276ccbb2aebd5d242fe082cd4	ndcg_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_d3bc3a119411c36596de63e144cc0d6a10e787f2f5ff8d9d4e69977d3124664c	coverage	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_7fe2dca78f55c840fea44c6b83635c3a9f3dff483aff6ab013461257e44c57af	abstention_rate	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_e2f97e59eccfaa98ac45cb680ddd2233029fe51c7cf99844df024fcf966e3b60	abstention_error	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_e9b3bdfdee1316ffb4401c339b9a0eaec7102871850995e0f348cc09a2a34a5e	median_candidate_set_size	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_a5ceb1150c57164af53fdccbd000231231b2e70359cbaf6f1cd79861edb3c02c	model_run.round2b.deterministic_retrieval_v1.D	D	development	retrieval_metric_value.round2b.sha256_1d267009d5412916b5f72aaf7409105705589e2f8c6847dc10aac6e4ae7b94d5	unsafe_nonabstention	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_5c06d562f4c31f014af4f52220773228cdec8f5caf61d574c50f46e8cb24f334	recall_at_k	1	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_958c01c64380437a1b43a2608851817dfa37ee936d1e8b54487b86ef5aba235e	recall_at_k	3	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_bc9c92938a82f0b6881344f818be4aa1899af0357ee97744076fe5e5fb92fa01	recall_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_db92216f9a0148aa1a86d87e86bf9354843d15dff4f0773713730c9db7e782e1	mrr	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_b4658c818cb13fec97787861bb3455b11c7b1d8db055e64d8d50f3227cc9488d	ndcg_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_f9346f07443a8eab6c97420c4f24af45d7a3acd4952139ebc612d581c013f54b	coverage	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_ecb5433b58de2610f7cca55fcf477042a86341d64a8fbdf6f8d96b18f23e78e9	abstention_rate	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_f88103ad945611be5f8c448ec19cb4dcb4f89dd53fb4da6ede8275b4a5adc1d9	abstention_error	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_7abd2bedf0ccdfcf3ca929e003937f0ade5ba1f65fe1d22df4c4041e0f727109	model_run.round2b.deterministic_retrieval_v1.D	D	held_out	retrieval_metric_value.round2b.sha256_54ad200300b1178c885daf982b41c170ef19f97572b678d7cf58e4823005d111	median_candidate_set_size	0	audit.calculate_retrieval_metrics
