occurrence_key	document_key	source_family_key	source_key	source_version	raw_source_phrase	normalized_expression	language_tag	script	expression_role	source_locator	source_authored	deterministic_normalization	machine_translated	project_translation	preference_evidence	label_disposition	candidate_target_keys	review_state	training_eligible	duplicate_group_key	duplicate_reason	rights_state	privacy_state	provenance_complete	limitation
occurrence.global.r3j.guchengf.011	document.zh_hans.guchengf_2025_001	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	比较淡的咖啡	比较淡的咖啡	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/01_sangaria-crown-coffee-260ml.html#L68:main/p[4]:chars[60:66]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.012	document.zh_hans.guchengf_2025_003	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	烘焙、微苦口感	烘焙、微苦口感	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/03_review-ucc-shokunin-no-coffee-sugar-free-black-900ml.html#L67:main/p[3]:chars[67:74]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.013	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	烘焙的味道比较突兀，不厚重，很快就消散了	烘焙的味道比较突兀,不厚重,很快就消散了	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L67:main/p[5]:chars[15:35]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.014	document.zh_hans.guchengf_2025_001	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	烘焙的味道非常重	烘焙的味道非常重	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/01_sangaria-crown-coffee-260ml.html#L67:main/p[3]:chars[29:37]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.015	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	焦苦味会持续很久	焦苦味会持续很久	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L67:main/p[5]:chars[39:47]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.016	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	科技的味道	科技的味道	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L66:main/p[4]:chars[53:58]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.017	document.zh_hans.guchengf_2025_001	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	突出烘焙的味道	突出烘焙的味道	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/01_sangaria-crown-coffee-260ml.html#L68:main/p[4]:chars[32:39]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.018	document.zh_hans.guchengf_2025_001	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	苦味大于酸味	苦味大于酸味	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/01_sangaria-crown-coffee-260ml.html#L67:main/p[3]:chars[46:52]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.019	document.zh_hans.guchengf_2025_001	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	苦味算是轻的	苦味算是轻的	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/01_sangaria-crown-coffee-260ml.html#L68:main/p[4]:chars[25:31]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.020	document.zh_hans.guchengf_2025_003	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	轻微的果酸味	轻微的果酸味	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/03_review-ucc-shokunin-no-coffee-sugar-free-black-900ml.html#L67:main/p[3]:chars[77:83]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.021	document.zh_hans.guchengf_2025_002	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	酸味比较明显	酸味比较明显	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/02_review-georgia-the-black-coffee-500ml.html#L68:main/p[4]:chars[23:29]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.022	document.zh_hans.guchengf_2025_003	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	醇厚的日式烹煮黑咖啡口感	醇厚的日式烹煮黑咖啡口感	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/03_review-ucc-shokunin-no-coffee-sugar-free-black-900ml.html#L67:main/p[3]:chars[45:57]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.article.023	document.round3j.mfact-2017.article	family.round3j.mfact-consumer-sensory-2017	scielo.mfact-consumer-sensory-2017	doi:10.5935/1806-6690.20170010	acidez	acidez	pt-BR	Latn	BASIC_TASTE	PDF page 3, sensory characteristics list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.024	document.round3j.mfact-2017.article	family.round3j.mfact-consumer-sensory-2017	scielo.mfact-consumer-sensory-2017	doi:10.5935/1806-6690.20170010	corpo	corpo	pt-BR	Latn	TEXTURE	PDF page 3, sensory characteristics list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.025	document.round3j.mfact-2017.article	family.round3j.mfact-consumer-sensory-2017	scielo.mfact-consumer-sensory-2017	doi:10.5935/1806-6690.20170010	doçura	doçura	pt-BR	Latn	BASIC_TASTE	PDF page 3, sensory characteristics list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.026	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	chocolate	chocolate	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.027	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	caramel	caramel	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.028	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	spice	spice	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.029	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	mild flavor	mild flavor	en	Latn	COMPOSITE_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.030	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	milk	milk	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.031	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	mint	mint	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.032	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	almonds	almonds	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.033	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	sweet	sweet	en	Latn	BASIC_TASTE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.034	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	citric	citric	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.035	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	honey	honey	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.036	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	fruity	fruity	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
occurrence.global.r3j.article.037	document.round3j.bressani-2021.article	family.round3j.bressani-cata-2021	scielo.bressani-cata-2021	doi:10.1590/fst.30720	floral	floral	en	Latn	AROMA_REFERENCE	PDF page 2, twelve-descriptor CATA list	true	UNICODE_AND_OUTER_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	PUBLIC_AGGREGATE_ONLY	true	Source-local term is eligible as unresolved/abstain, not as a universal sensory truth or reviewed canonical target.
