paper_id	supported_methodological_point	data_unit	applicability	limitation	resulting_experiment_change
10.6084/m9.figshare.28513958.v1;10.3390/su17052152	Sensory quality attributes are not perceived intensities	Workbook4 orange-peel treatment aggregate sensory profiles plus laboratory sheets	CC BY4 workbook and primary XML acquired	No individual graders; altered beverage conditions share coffee material	Quality/laboratory observations separated; no current descriptor supervision
10.5281/zenodo.21961040	Dataset title alone does not prove sensory data are present	All5 actual files inspected;3CSV+2ODS with11 laboratory sheets	CC BY4 original archive completely acquired	Title mentions cupping; actual files contain pH/HPLC/GCMS, no human response table identified	0 sensory rows admitted; chemical peak intensity never sensory intensity
Blendstat1.0.6;10.5935/1806-6690.20190041	Native Flavour/Bitterness rating recovery can be tested separately from quality	72 aggregate rows;32 processing-mixture identities;64 conditions;16 coheld mixture vectors	Author-released GPL3 data; primary-paper scale0-10; shared author Cirillo	No individual judge rows; small shared constituent pool; actual Exp2/3 differ from paper Table1	ACTUALLY_FITTED fixed0.1 ridge Flavour-to-Bitterness;12 development composition groups and4 reserved groups; exclude Score/Body/Acidity/design predictors; private contract hash 51d5f57bb0b740e22937def548666a3efaeec2f36392e087f6798737095ee703
10.1186/s12870-024-04890-3;10.18167/DVN1/NHCK5F	Independent professional panels need their raw responses preserved	4 genotype aggregate profiles; blank TableS1; supplementary chemistry	CC BY4 primary XML/DOCX inspected; data API401/DataCite404	8 judges in article; no acquired individual matrix; figure aggregates cannot be unpooled	No raw-response fit; preserve protocol and unavailable-data outcome
GreatAmericanCoffeeTasteTest2023:bMOOQfeloH0	Native notes/ratings can be paired by actual anonymous submission	4042 unique submissions;16168 sample slots;15053 both sensory ratings;10005 notes	Original author-linked CSV actually acquired and minimized	Explicit training/redistribution terms and anchors not verified; raw material overlap unknown; third-party license insufficient	Quarantine all fits; drop unrelated demographics;4 samplecodes not4042 coffees
10.3390/foods11030473	Descriptive intensity and acceptance are separately measured	Primary XML states12 concentrates and duplicate10-judge analyses; supplement contains figures only	Article and actual supplement acquired	Raw observations available on request pending privacy/ethics; no response matrix acquired	Method evidence only; no paper-count expansion or synthetic pairs
10.1038/s41598-025-99921-w	RATA1-7 includes intensity while quality score remains separate	Current public article and exact-title Dryad query0 results	Previously investigated source; primary protocol rechecked	49 graders/67 samples in paper not public raw rows; private share link not used	0 new observations; do not copy full wheel or create paper-derived labels
10.5061/dryad.v15dv423h	A public endpoint response may still not expose a dataset	Actual API200 with not-viewable message	Prior source endpoint rechecked	No downloadable native sensory matrix;30 brew conditions not30 beans	No fit; retain source availability failure
10.1371/journal.pone.0223280	Bitter stimulus subqualities can change retronasal perception	Primary article7 stimulus-coffee aggregate profiles; no per-panelist data file	CC BY4 method/context evidence	Same coffee extract with added bitter substances; not distinct raw coffees	Keep context point; no new independent coffee/paired-response claim
10.1038/s41538-026-00832-5	Large citizen-science panel counts require released records	Actual primary article; data deferred to larger study	Method evidence only	No actual participant dataset acquired despite large published counts	No count-based expansion; no author contact sent
figshare7390667	An open license is insufficient if native files cannot be retrieved	3 metadata-listed Conilon sensory tables; actual file URLs404	Metadata/license audited	No actual xls content acquired; genotype table aggregates not individual judges	No data admission; keep retrieval failure
figshare14318575	Consumer expectations and tasting are different views	Metadata-listed article figures and2 aggregate tables	Candidate inspected at original repository	No individual response file; publication participants not data rows	No main-task pairing from marginal summaries
figshare8292704	Repository supplements may omit the research data carried by an author package	Published tables/plots; actual data found separately in Blendstat	Same Mantiqueira project; deduplicate collection	No per-consumer file; paper/package not two independent sources	Count only one Blendstat collection; preserve actual package data
M2_R5_PRIMARY_T1_T2_T3	Positive mentions train a ranking distribution; nonmention is not sensory absence	59 evaluable records in57 coffee dependence groups;20 empty-T records retained	Frozen52 observed fine terms within registered fixed candidate universe; group-normalized loss	All existing Zenodo samples previously inspected; no fresh main confirmation	A+B no improvement; recovered4 fine-reference labels inconclusive; newQ3key1group, no new trigger fit
M2_R5_EXISTING_HUMAN_CASES	Explanation audit does not substitute for tasting truth	20 existing comparison cases;0 completed human choices/rationales/times	12 original-case review items retained privately, blank	No new questions, recruitment or messages; no Claude/DeepSeek review claimed	Real user alignment and real time NOT_EVALUATED
