scoresheet_key	series_key	year	category	round	scoresheet_type	official_url	version_status	inspected	access_state	evidence_fields	note
wcc_wctc_2026_index	wcc_wctc	2026	TRIANGLE_TEST	ALL_ROUNDS	OFFICIAL_DOWNLOAD_INDEX	https://wcc.coffee/rules-regulations	OFFICIAL_CURRENT_INDEX	NO	PUBLIC_DOWNLOAD_INDEX	CORRECT_IDENTIFICATIONS_AND_TIME_TO_BE_CONFIRMED	Discrimination evidence only; direct current PDF URLs not enumerated in this pass
wcc_wcrc_2026_green	wcc_wcrc	2026	GREEN_EVALUATION	GREEN_EVALUATION	GREEN_EVALUATION_SCORESHEET	https://wcc.coffee/s/2026-WCRC-CB-Green-Evaluation-Scoresheet.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Official current Competition Body sheet
wcc_wcrc_2026_cb_overall	wcc_wcrc	2026	ALL_COMPONENTS	ALL_ROUNDS	OVERALL_SCORESHEET	https://wcc.coffee/s/2026-WCRC-CB-Overall-Scoresheet.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Official current Competition Body sheet
wcc_wcrc_2026_overall	wcc_wcrc	2026	ALL_COMPONENTS	WORLD_FINAL	OVERALL_SCORESHEET	https://wcc.coffee/s/2026-WCRC-Overall-Scoresheet.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Official current world sheet
wcc_wcrc_2026_roast_plan	wcc_wcrc	2026	PRODUCTION_ROAST	PRODUCTION_ROASTING	ROAST_PLAN	https://wcc.coffee/s/2026-WCRC-Roast-Plan.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	ROAST_PLAN_FIELDS_UNKNOWN	Preparation evidence rather than sensory labels
wcc_wcrc_2026_cupping_head	wcc_wcrc	2026	PRODUCTION_ROAST	PRODUCTION_CUPPING	HEAD_JUDGE_CUPPING_SCORESHEET	https://wcc.coffee/s/2026-WCRC-Production-Cupping-Scoresheet-HJ-NEW.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Official current head-judge sheet
wcc_wcrc_2026_cupping	wcc_wcrc	2026	PRODUCTION_ROAST	PRODUCTION_CUPPING	SENSORY_CUPPING_SCORESHEET	https://wcc.coffee/s/2026-WCRC-Production-Cupping-Scoresheet.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	CUP_QUALITY_FIELDS_UNKNOWN_PENDING_INSPECTION	Highest-priority WCRC sensory form
wcc_cic_2026_cb_head	wcc_cic	2026	TRADITIONAL_AND_SIGNATURE	ALL_ROUNDS	COMPETITION_BODY_HEAD_JUDGE_SCORESHEET	https://wcc.coffee/s/2025-Cezve-Ibrik-CIC-CB-Head-Judge-Scoresheet.pdf	OFFICIAL_2026_INDEX_FILENAME_2025	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	2025-named PDF listed on current 2026 index
wcc_cic_2026_head	wcc_cic	2026	TRADITIONAL_AND_SIGNATURE	ALL_ROUNDS	HEAD_JUDGE_SCORESHEET	https://wcc.coffee/s/2025-Cezve-Ibrik-CIC-Head-Judge-Scoresheet.pdf	OFFICIAL_2026_INDEX_FILENAME_2025	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	2025-named PDF listed on current 2026 index
wcc_cic_2026_sensory	wcc_cic	2026	TRADITIONAL_AND_SIGNATURE	ALL_ROUNDS	SENSORY_SCORESHEET	https://wcc.coffee/s/2025-Cezve-Ibrik-CIC-Sensory-Scoresheet.pdf	OFFICIAL_2026_INDEX_FILENAME_2025	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Separate traditional core from signature beverage before use
wcc_cic_2026_technical	wcc_cic	2026	TRADITIONAL_AND_SIGNATURE	ALL_ROUNDS	TECHNICAL_SCORESHEET	https://wcc.coffee/s/2025-Cezve-Ibrik-CIC-Technical-Scoresheet.pdf	OFFICIAL_2026_INDEX_FILENAME_2025	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	2025-named PDF listed on current 2026 index
coe_old_design_cupping	coe	2024	ALL	ALL_CUPPING_STAGES	CUPPING_FORM_AND_EXPLANATIONS	https://cupofexcellence.org/wp-content/uploads/2024/06/old-design-coe_cupping_form-and-explenations.pdf	HISTORICAL_OFFICIAL_OLD_DESIGN	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Historical official form; not assumed current and no rights grant inferred
bop_scoresheet_request	best_of_panama	2026	ALL	NATIONAL_AND_INTERNATIONAL	SCORESHEET_UNKNOWN	https://bestofpanama.org/about2026	REQUEST_REQUIRED	NO	REQUEST_REQUIRED	UNKNOWN	No public current score-sheet URL verified; request not sent
golden_bean_americas_scoresheet_request	golden_bean_americas	2026	ALL	ALL	SCORESHEET_UNKNOWN	https://goldenbean.com/pages/contact	REQUEST_REQUIRED	NO	REQUEST_REQUIRED	UNKNOWN	Request entry-level form, criteria, comments, and version history; not sent
golden_bean_australasia_scoresheet_request	golden_bean_australasia	2026	ESPRESSO_MILK_FILTER	ALL	SCORESHEET_UNKNOWN	https://goldenbean.com.au/pages/faqs	REQUEST_REQUIRED	NO	REQUEST_REQUIRED	UNKNOWN	No public current sensory sheet verified; request not sent
golden_bean_world_scoresheet_request	golden_bean_world_series	2026	ESPRESSO_MILK_FILTER	MULTIPLE_TASTINGS_AND_FINAL	SCORESHEET_UNKNOWN	https://goldenbean.com.au/pages/world-series	REQUEST_REQUIRED	NO	REQUEST_REQUIRED	UNKNOWN	No public entry-level score sheet verified; request not sent
iiac_general_tasting_sheet	iiac_ict	UNKNOWN	ALL	JURY_PANEL	GENERAL_TASTING_SHEET	https://www.iiac.coffee/en/_files/ugd/b50817_2a7b3ed27b894f9bba8528faa50a90d1.pdf	OFFICIAL_UNDATED_GENERAL	YES	PUBLIC_OFFICIAL_PDF	TEXTURE,OLFACTIVE_INTENSITY,BODY,ACIDITY,FLOWERS_AND_FRESH_FRUIT,DRIED_FRUITS_AND_NUTS,ROASTED,SPICY,BITTERNESS,ASTRINGENCY,VEGETABLE,EMPYREUMATIC,BIOCHEMICAL	Descriptor families corroborated by official score-calculation page; rights unknown
gca_scoresheet_request	global_coffee_awards	2026	ALL	REGIONAL_JUDGING	PRIVATE_FEEDBACK_FORM	https://globalcoffeeawards.com/contact-us/	REQUEST_REQUIRED	NO	REQUEST_REQUIRED	UNKNOWN	Official FAQ says feedback is private; no request or form submission made
toh_scoresheet_request	taste_of_harvest	2026	ALL	NATIONAL_AND_REGIONAL	OFFICIAL_PROTOCOL_OR_SCORESHEET_UNKNOWN	https://afca.coffee/programs/taste-of-harvest/	REQUEST_REQUIRED	NO	REQUEST_REQUIRED	UNKNOWN	Request current protocol, score sheet, and data dictionary; not sent
scaj_jhdc_2026_drip	scaj_jhdc	2026	DRIP	PRELIMINARY_AND_FINAL	SENSORY_AND_TECHNICAL_SCORESHEETS	https://scaj.org/wp-content/uploads/2025/11/JHDC2026_scoresheets_drip.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	FLAVOR,SWEETNESS,TEXTURE,BALANCE_OVERALL,UNIFORMITY,COMMENTS,TEMPERATURE,VOLUME,TECHNICAL	Two-page official PDF; public access does not establish reuse or model rights
scaj_jhdc_2026_free	scaj_jhdc	2026	FREE	FINAL	SENSORY_AND_TECHNICAL_SCORESHEETS	https://scaj.org/wp-content/uploads/2025/11/JHDC2026_scoresheets_free.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	FLAVOR,SWEETNESS,TEXTURE,BALANCE,UNIFORMITY,PRESENTATION,PROFESSIONALISM,OVERALL,TECHNICAL	Signature/additive eligibility still requires rule-level check
scaj_jbrc_2026_index	scaj_jbrc	2026	OPEN_AND_COMPULSORY	PRELIMINARY_AND_FINAL	FOUR_OFFICIAL_WBRC_SCORESHEETS	https://scaj.org/activity/competitions/jbrc/2026-competition	OFFICIAL_CURRENT_INDEX	YES	PUBLIC_DOWNLOAD_INDEX	OPEN_SERVICE,OPEN_HEAD_JUDGE,COMPULSORY_SERVICE,COMPULSORY_HEAD_JUDGE	Page explicitly lists four 2026 WBrC forms; direct PDFs separately inventoried under WCC
scaj_jcrc_2026_index	scaj_jcrc	2026	PRODUCTION_ROAST	PRELIMINARY_AND_FINAL	FOUR_OFFICIAL_WCRC_FORMS	https://scaj.org/activity/competitions/jcrc/2026-competitor	OFFICIAL_CURRENT_INDEX	YES	PUBLIC_DOWNLOAD_INDEX	ROAST_PLAN,PRODUCTION_CUPPING,CB_OVERALL,CB_GREEN_EVALUATION	Official page says JCRC uses four WCRC 2026 forms
scaj_jsc_2026_head_prelim	scaj_jsc	2026	COMMON_COFFEE	PRELIMINARY	HEAD_JUDGE_SCORESHEET	https://scaj.org/wp-content/uploads/2026/02/JSC2026_%E3%82%B9%E3%82%B3%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%88_Head-Judge_%E4%BA%88%E9%81%B8.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	SETUP,TASTE_UNIFORMITY,TIMEFRAME	Official one-page PDF
scaj_jsc_2026_head_final	scaj_jsc	2026	BLEND_AND_SIGNATURE	FINAL	HEAD_JUDGE_SCORESHEET	https://scaj.org/wp-content/uploads/2026/02/JSC2026_%E3%82%B9%E3%82%B3%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%88_Head-Judge_%E6%B1%BA%E5%8B%9D.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	SETUP,BLEND_UNIFORMITY,SIGNATURE_UNIFORMITY,TIMEFRAME	Signature fields excluded from black-coffee core
scaj_jsc_2026_sensory_prelim	scaj_jsc	2026	COMMON_COFFEE	PRELIMINARY	SENSORY_SCORESHEET	https://scaj.org/wp-content/uploads/2026/02/JSC2026_%E3%82%B9%E3%82%B3%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%88_Sensory_%E4%BA%88%E9%81%B8.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	DESCRIPTION_CLARITY,FOREIGN_MATTER,FLAVOR,ACIDITY,BODY,AFTERTASTE,OVERALL	High-priority fresh-siphon sensory form; rights unknown
scaj_jsc_2026_sensory_final	scaj_jsc	2026	BLEND_AND_SIGNATURE	FINAL	SENSORY_SCORESHEET	https://scaj.org/wp-content/uploads/2026/02/JSC2026_%E3%82%B9%E3%82%B3%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%88_Sensory_%E6%B1%BA%E5%8B%9D.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	BLEND_DESCRIPTION,FLAVOR,ACIDITY,BODY,AFTERTASTE,OVERALL,SIGNATURE_FIELDS	Use blend-coffee fields only; signature beverage excluded
scaj_jsc_2026_technical_prelim	scaj_jsc	2026	COMMON_COFFEE	PRELIMINARY	TECHNICAL_SCORESHEET	https://scaj.org/wp-content/uploads/2026/02/JSC2026_%E3%82%B9%E3%82%B3%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%88_Technical_%E4%BA%88%E9%81%B8.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	FILTER_SETUP,GRINDING,DOSE,EXTRACTION_TIME,CLEANLINESS,VOLUME,WORKFLOW	Preparation provenance only
scaj_jsc_2026_technical_final	scaj_jsc	2026	BLEND_AND_SIGNATURE	FINAL	TECHNICAL_SCORESHEET	https://scaj.org/wp-content/uploads/2026/02/JSC2026_%E3%82%B9%E3%82%B3%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%88_Technical_%E6%B1%BA%E5%8B%9D.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	SETUP,FILTER_SETUP,GRINDING,DOSE,EXTRACTION_TIME,CLEANLINESS,VOLUME,WORKFLOW	Preparation provenance; signature subfields excluded
racs_judging_criteria_2025	royal_adelaide_coffee_show	2025	ESPRESSO,PICCOLO,LATTE,PLUNGER	TECHNICAL_AND_CONSUMER	COMPETITION_SCHEDULE_AND_JUDGING_CRITERIA	https://www.royaladelaidecoffeeshow.com.au/_files/ugd/1ab17b_21f6181d1d7b457dbd073d14e81f21e2.pdf	OFFICIAL_2025	NO	PUBLIC_OFFICIAL_PDF	APPEARANCE,AROMA,TASTE,BODY_TO_BE_CONFIRMED	Official site summarizes technical and consumer judging; direct PDF inspection pending
aica_2022_entry_booklet	melbourne_royal_aica	2022	ALL	ALL	OFFICIAL_JUDGING_CRITERIA	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	HISTORICAL_OFFICIAL	YES	PUBLIC_OFFICIAL_PDF	ESPRESSO_COLD_BREW:TASTE_BALANCE,AFTERTASTE,TACTILE_BALANCE;FILTER_IMMERSION:AROMA,FLAVOUR,AFTERTASTE,ACIDITY,BODY,BALANCE,OVERALL;MILK:CUT_THROUGH,AFTERTASTE,FLAVOUR	Historical criteria only; series on hold
avpa_current_rules	avpa_coffees_roasted_at_origin	2026	ESPRESSO_AND_UNFILTERED_INFUSION	JURY	OFFICIAL_RULES_AND_SENSORY_FAMILIES	https://www.avpa.fr/_files/ugd/58172f_807727a8b5864c0fb3413335776c590a.pdf	OFFICIAL_CURRENT	YES	PUBLIC_OFFICIAL_PDF	SENSORY_FAMILIES_PRESENT;INDIVIDUAL_SCORE_FIELDS_REQUIRE_ROW_LEVEL_INSPECTION	Official preparation classes verified; rights unknown
