series_key	series_name	organizer	competition_level	evidence_priority	fresh_preparation_scope	official_url	verification_status	verified_on	limitation
golden_bean_americas	Golden Bean The Americas	Golden Bean	REGIONAL_ROASTER	P1_HIGH	Espresso and pour-over/filter are fresh-prepared core candidates; milk categories are auxiliary	https://goldenbean.com/	VERIFIED	2026-08-27	Some categories use pods, super-automatic service, milk, or specialized protocols and must remain separated
golden_bean_australasia	Golden Bean Australasia	Golden Bean	REGIONAL_ROASTER	P1_HIGH	Espresso and pour-over/filter are fresh-prepared core candidates; milk is auxiliary	https://goldenbean.com.au/pages/about	VERIFIED	2026-08-27	Entry-level scores and comments are not publicly inventoried
golden_bean_world_series	Golden Bean World Series	Golden Bean	WORLD_ROASTER	P1_HIGH	Finalist coffees are repeatedly tasted in espresso, milk, and filter services	https://goldenbean.com.au/pages/world-series	VERIFIED	2026-08-27	Historical aggregate marketing counts are not record counts and are not imported
iiac_ict	International Coffee Tasting	International Institute of Coffee Tasters	INTERNATIONAL_PRODUCT	P1_HIGH	Fresh preparation is category-dependent; filter, moka, automatic, espresso blend, and single-origin espresso are candidates	https://www.iiac.coffee/en/concorso	VERIFIED	2026-08-27	Single-dose, instant, ready-to-drink, and concentrate categories are excluded or require separate authorization
global_coffee_awards	Global Coffee Awards	Global Coffee Awards	REGIONAL_AND_GLOBAL_ROASTER	P1_HIGH	Espresso and filter are fresh-prepared core candidates; flat-white categories are auxiliary	https://globalcoffeeawards.com/	VERIFIED	2026-08-27	Judging feedback is private; public winners pages do not confer reuse or model rights
taste_of_harvest	Taste of Harvest	African Fine Coffees Association	NATIONAL_AND_REGIONAL_ORIGIN	P1_HIGH	Competition samples are cupped across national and regional rounds	https://afca.coffee/programs/taste-of-harvest/	VERIFIED	2026-08-27	Organizer-stated sample totals are not acquired-record counts; underlying judging data and rights require request
scaj_jhdc	Japan Hand Drip Championship	Specialty Coffee Association of Japan	NATIONAL	P1_HIGH	Additive-free hand-drip coffee is prepared for blind sensory judging	https://scaj.org/activity/competitions/jhdc-2/2026-competition	VERIFIED	2026-08-27	Public score sheets require row-level inspection before any field extraction
scaj_jbrc	Japan Brewers Cup	Specialty Coffee Association of Japan	NATIONAL	P1_HIGH	Open and compulsory manual brewing services are fresh-prepared	https://scaj.org/activity/competitions/jbrc/2026-competition	VERIFIED	2026-08-27	Past results expose rankings and service totals, not complete sensory comments
scaj_jcrc	Japan Coffee Roasting Championship	Specialty Coffee Association of Japan	NATIONAL	P1_HIGH	Production roasts are cupped under the current WCRC framework	https://scaj.org/activity/competitions/jcrc/2026-competitor	VERIFIED	2026-08-27	Entry-level cup profiles are not confirmed public
scaj_jsc	Japan Siphonist Championship	Specialty Coffee Association of Japan	NATIONAL	P1_HIGH	Common-coffee preliminary and blend final services are fresh siphon preparations; signature service is excluded	https://scaj.org/activity/competitions/jsc/jsc2026-competitor	VERIFIED	2026-08-27	Public download index requires direct score-sheet inspection
scaj_wsc	World Siphonist Championship	Specialty Coffee Association of Japan	WORLD	P2_MEDIUM	Siphon service is fresh-prepared; current edition structure requires verification	https://scaj.org/activity/competitions/jsc/jsc-overview	VERIFIED_LIMITED	2026-08-27	Official overview confirms the series but no sufficiently current standalone edition page was verified
royal_adelaide_coffee_show	Royal Adelaide Coffee Show	Royal Agricultural and Horticultural Society of South Australia	NATIONAL_PRODUCT	P1_HIGH	Espresso and plunger are fresh-prepared core candidates; piccolo and latte are milk auxiliaries	https://www.royaladelaidecoffeeshow.com.au/	VERIFIED_PAUSED	2026-08-27	Organizer states the show is paused in 2026; score-level archive rights remain unknown
melbourne_royal_aica	Australian International Coffee Awards	Melbourne Royal	INTERNATIONAL_PRODUCT	P1_HIGH	Espresso, pour-over, and immersion are core candidates; milk classes are auxiliary; cold brew needs protocol confirmation	https://www.melbourneroyal.com.au/about/news/melbourne-royal-announces-australian-international-coffee-awards-on-hold-in-2023/	VERIFIED_ON_HOLD	2026-08-27	Official notice placed the awards on hold in 2023 and no verified return was found
avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	Agency for the Valorization of Agricultural Products (AVPA)	INTERNATIONAL_PRODUCT	P1_HIGH	Entries are evaluated as espresso or unfiltered infusion under official rules	https://en.avpa.fr/cafes	VERIFIED	2026-08-27	Public annual winners do not expose the complete sensory sheets or reuse rights
