edition_key	series_key	edition_label	year	edition_type	country_or_community	official_url	verification_status	acquired_record_count	note
golden_bean_americas_2025	golden_bean_americas	Golden Bean The Americas 2025	2025	REGIONAL_COMPETITION	The Americas	https://goldenbean.com/pages/2025-results	VERIFIED_COMPLETED	0	Official results page inventoried; no results imported
golden_bean_americas_2026	golden_bean_americas	Golden Bean The Americas 2026	2026	REGIONAL_COMPETITION	The Americas	https://goldenbean.com/pages/about	VERIFIED_OPEN	0	Official page lists delivery deadline 25 September 2026; no entries acquired
golden_bean_australasia_2026	golden_bean_australasia	Golden Bean Australasia 2026	2026	REGIONAL_COMPETITION	Australasia	https://goldenbean.com.au/pages/about	VERIFIED_COMPLETED	0	Official page lists 16-20 June 2026; no entries acquired
golden_bean_world_series_2026	golden_bean_world_series	Golden Bean World Series 2026	2026	WORLD_FINAL	Australia	https://goldenbean.com.au/pages/world-series	VERIFIED_COMPLETED	0	Official dedicated page lists 16-18 February 2026 in Newcastle; no entries acquired
iiac_ict_2025	iiac_ict	International Coffee Tasting 2025	2025	INTERNATIONAL_COMPETITION	International	https://www.internationalcoffeetasting.com/ict/ict-2025-gold-medals/	VERIFIED_COMPLETED	0	Official gold-medal page and regulations inventoried; no results acquired
iiac_ict_2026	iiac_ict	International Coffee Tasting 2026	2026	INTERNATIONAL_COMPETITION	International	https://www.internationalcoffeetasting.com/	VERIFIED_ANNOUNCED	0	Official site states ICT 2026 coming soon; detailed edition protocol pending
gca_us_canada_2025	global_coffee_awards	Global Coffee Awards US & Canada 2025	2025	REGIONAL_COMPETITION	United States and Canada	https://globalcoffeeawards.com/winners-us-canada/	VERIFIED_COMPLETED	0	Official winners page inventoried; no results acquired
gca_origin_2025	global_coffee_awards	Global Coffee Awards Origin 2025	2025	REGIONAL_COMPETITION	Coffee-producing origins	https://globalcoffeeawards.com/winners-origin/	VERIFIED_COMPLETED	0	Official winners page inventoried; no results acquired
gca_europe_2025	global_coffee_awards	Global Coffee Awards Europe 2025	2025	REGIONAL_COMPETITION	Europe	https://globalcoffeeawards.com/winners-europe/	VERIFIED_COMPLETED	0	Official winners page inventoried; no results acquired
gca_mena_2026	global_coffee_awards	Global Coffee Awards MENA 2026	2026	REGIONAL_COMPETITION	Middle East and North Africa	https://globalcoffeeawards.com/winners-mena-2026/	VERIFIED_COMPLETED	0	Official winners page inventoried; no results acquired
gca_us_canada_2026	global_coffee_awards	Global Coffee Awards US & Canada 2026	2026	REGIONAL_COMPETITION	United States and Canada	https://globalcoffeeawards.com/	VERIFIED_OPEN	0	Official home page states entries are open; no entries acquired
gca_latam_2026	global_coffee_awards	Global Coffee Awards LATAM 2026	2026	REGIONAL_COMPETITION	Latin America and Caribbean	https://globalcoffeeawards.com/	VERIFIED_OPEN	0	Official home page states entries are open; no entries acquired
toh_regional_2025_26	taste_of_harvest	Regional Taste of Harvest 2025/26	2026	REGIONAL_FINAL	Africa	https://afca.coffee/conference/conference/competitions/	VERIFIED	0	Official page lists final rounds 2-6 February 2026; no samples acquired
toh_burundi_2025_26	taste_of_harvest	Burundi National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Burundi	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of nine official national competitions; no samples acquired
toh_cameroon_2025_26	taste_of_harvest	Cameroon National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Cameroon	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of nine official national competitions; no samples acquired
toh_drc_2025_26	taste_of_harvest	DR Congo National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Democratic Republic of the Congo	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of nine official national competitions; no samples acquired
toh_ethiopia_2025_26	taste_of_harvest	Ethiopia National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Ethiopia	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of nine official national competitions; no samples acquired
toh_kenya_2025_26	taste_of_harvest	Kenya National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Kenya	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of nine official national competitions; no samples acquired
toh_tanzania_2025_26	taste_of_harvest	Tanzania National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Tanzania	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of nine official national competitions; no samples acquired
toh_uganda_arabica_2025_26	taste_of_harvest	Uganda Arabica National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Uganda	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of two Uganda national competitions in the official nine-competition program; no samples acquired
toh_uganda_robusta_2025_26	taste_of_harvest	Uganda Robusta National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Uganda	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of two Uganda national competitions in the official nine-competition program; no samples acquired
toh_zambia_2025_26	taste_of_harvest	Zambia National Taste of Harvest 2025/26	2026	NATIONAL_COMPETITION	Zambia	https://afca.coffee/programs/taste-of-harvest/	VERIFIED_PROGRAM	0	One of nine official national competitions; no samples acquired
scaj_jhdc_2026	scaj_jhdc	Japan Hand Drip Championship 2026	2026	NATIONAL_COMPETITION	Japan	https://scaj.org/activity/competitions/jhdc-2/2026-competition	VERIFIED	0	Official preliminary districts and final page; no score records acquired
scaj_jbrc_2026	scaj_jbrc	Japan Brewers Cup 2026	2026	NATIONAL_COMPETITION	Japan	https://scaj.org/activity/competitions/jbrc/2026-competition	VERIFIED	0	Official competition page; no score records acquired
scaj_jcrc_2026	scaj_jcrc	Japan Coffee Roasting Championship 2026	2026	NATIONAL_COMPETITION	Japan	https://scaj.org/activity/competitions/jcrc/2026-competitor	VERIFIED	0	Official competitor page uses 2026 WCRC rules and score sheets; no score records acquired
scaj_jsc_2026	scaj_jsc	Japan Siphonist Championship 2026	2026	NATIONAL_COMPETITION	Japan	https://scaj.org/activity/competitions/jsc/jsc2026-competitor	VERIFIED	0	Official competitor page; no score records acquired
royal_adelaide_2025	royal_adelaide_coffee_show	Royal Adelaide Coffee Show 2025	2025	NATIONAL_PRODUCT_COMPETITION	Australia	https://www.royaladelaidecoffeeshow.com.au/	VERIFIED_COMPLETED	0	Official site links 2025 results; no records acquired
royal_adelaide_2026	royal_adelaide_coffee_show	Royal Adelaide Coffee Show 2026	2026	PAUSED_EDITION	Australia	https://www.royaladelaidecoffeeshow.com.au/	VERIFIED_PAUSED	0	Official site states the show is taking a planned pause in 2026
melbourne_royal_aica_2022	melbourne_royal_aica	Australian International Coffee Awards 2022	2022	INTERNATIONAL_PRODUCT_COMPETITION	Australia	https://www.melbourneroyal.com.au/media/8107/mr_aica_results_2022.pdf	VERIFIED_COMPLETED	0	Official results PDF and entry booklet inventoried; no records acquired
melbourne_royal_aica_2023	melbourne_royal_aica	Australian International Coffee Awards 2023	2023	ON_HOLD_EDITION	Australia	https://www.melbourneroyal.com.au/about/news/melbourne-royal-announces-australian-international-coffee-awards-on-hold-in-2023/	VERIFIED_ON_HOLD	0	Official notice placed the awards on hold; no later return inferred
avpa_coffee_2026	avpa_coffees_roasted_at_origin	12th International Contest of Coffees Roasted at Origin	2026	INTERNATIONAL_PRODUCT_COMPETITION	International	https://en.avpa.fr/cafes	VERIFIED	0	Official 2026 contest and awards ceremony page; no records acquired
avpa_coffee_2022	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin 2022	2022	INTERNATIONAL_PRODUCT_COMPETITION	International	https://it.avpa.fr/_files/ugd/58172f_6742d088d0844243bf7ecf5a0c14962d.pdf	VERIFIED_ARCHIVE	0	Official historical results PDF inventoried; no records acquired
