archive_key	series_key	edition_range	archive_type	official_url	verified_item_count	planning_estimate	access_state	rights_state	inspected_on	note
coe_farm_directory	coe	HISTORICAL_AND_CURRENT	OFFICIAL_FARM_DIRECTORY	https://farmdirectory.cupofexcellence.org/listings/	0	UNKNOWN	PUBLIC_DIRECTORY	UNKNOWN	2026-08-27	Page count is not treated as a lot count; no records acquired
coe_thailand_2026	coe	2026	OFFICIAL_CURRENT_AUCTION_DISPLAY	https://cupofexcellence.org/	25	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	2026-08-27	Official page states 25 of 25 lots shown and 25 sold; verified display count only, no records acquired
bop_partial_results_archive	best_of_panama	2021-2023	OFFICIAL_RESULTS_DOWNLOAD_INDEX	https://bestofpanama.org/resultados	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Public index covers a partial historical range; exact item count not enumerated
bop_2026_national_advanced	best_of_panama	2026	OFFICIAL_RESULTS_RELEASE	https://scap-panama.com/cafe-de-alta-gama-brillo-en-la-cata-nacional-del-best-of-panama-64-lotes-avanzan-a-la-ronda-internacional/	64	UNKNOWN	PUBLIC_RESULTS_RELEASE	UNKNOWN	2026-08-27	Official release states 64 lots advanced: 16 varietals and 24 in each Geisha category; no records acquired
gba_2025_results	golden_bean_americas	2025	OFFICIAL_RESULTS_PAGE	https://goldenbean.com/pages/2025-results	0	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	2026-08-27	Category results verified; item count not enumerated and no records acquired
gba_past_results	golden_bean_americas	HISTORICAL	OFFICIAL_RESULTS_ARCHIVE	https://goldenbean.com/pages/past-results-america	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Historical index verified; entry-level scores and rights require request
gbaus_results_gap	golden_bean_australasia	UNKNOWN	RESULTS_ARCHIVE_NOT_ENUMERATED	https://goldenbean.com.au/pages/about	0	UNKNOWN	REQUEST_REQUIRED	UNKNOWN	2026-08-27	No reproducibly enumerable official result archive verified in this pass
gbws_results_gap	golden_bean_world_series	2026	RESULTS_ARCHIVE_NOT_ENUMERATED	https://goldenbean.com.au/pages/world-series	0	UNKNOWN	REQUEST_REQUIRED	UNKNOWN	2026-08-27	Official format and edition verified; result-level archive not enumerated
iiac_2025_gold_medals	iiac_ict	2025	OFFICIAL_MEDAL_RESULTS_PAGE	https://www.internationalcoffeetasting.com/ict/ict-2025-gold-medals/	0	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	2026-08-27	Gold-medal page verified; exact award count and sensory profiles not enumerated
gca_us_canada_winners	global_coffee_awards	2025	OFFICIAL_WINNERS_PAGE	https://globalcoffeeawards.com/winners-us-canada/	0	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	2026-08-27	Public winners presentation; item count not enumerated
gca_origin_winners	global_coffee_awards	2025	OFFICIAL_WINNERS_PAGE	https://globalcoffeeawards.com/winners-origin/	0	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	2026-08-27	Public winners presentation; item count not enumerated
gca_europe_winners	global_coffee_awards	2025	OFFICIAL_WINNERS_PAGE	https://globalcoffeeawards.com/winners-europe/	0	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	2026-08-27	Public winners presentation; item count not enumerated
gca_mena_winners	global_coffee_awards	2026	OFFICIAL_WINNERS_PAGE	https://globalcoffeeawards.com/winners-mena-2026/	0	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	2026-08-27	Public winners presentation; item count not enumerated
toh_results_portal	taste_of_harvest	2023/24-2024/25	OFFICIAL_FILTERED_RESULTS_PORTAL	https://afca.coffee/toh-results-page/	0	UNKNOWN	PUBLIC_RESULTS_PORTAL	UNKNOWN	2026-08-27	Regional and national filters verified; dynamic result items not enumerated and no records acquired
toh_uganda_results_pdf	taste_of_harvest	2023/24	OFFICIAL_NATIONAL_RESULTS_PDF	https://afca.coffee/wp-content/uploads/2024/08/Uganda-National-Taste-of-Harvest-Results.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Official national results PDF; item count not enumerated
toh_kenya_results_pdf	taste_of_harvest	2023/24	OFFICIAL_NATIONAL_RESULTS_PDF	https://afca.coffee/wp-content/uploads/2024/08/Kenya-National-Taste-of-Harvest-Results.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Official national results PDF; item count not enumerated
scaj_jhdc_past_results	scaj_jhdc	2012-2025	OFFICIAL_PAST_RESULTS_PAGE	https://scaj.org/activity/competitions/jhdc-2/past_results	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Official year range verified; score records not acquired
scaj_jbrc_past_results	scaj_jbrc	2014-2025	OFFICIAL_PAST_RESULTS_PAGE	https://scaj.org/activity/competitions/jbrc/past_results	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Official page includes open, compulsory, and total results; item count not enumerated
scaj_jcrc_past_results	scaj_jcrc	2012-2025	OFFICIAL_PAST_RESULTS_PAGE	https://scaj.org/activity/competitions/jcrc/past_results	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Official year range verified; score records not acquired
scaj_jsc_past_results	scaj_jsc	2003-2025	OFFICIAL_PAST_RESULTS_PAGE	https://scaj.org/activity/competitions/jsc/results	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Official year range verified from current navigation; item count not enumerated
scaj_wsc_results_gap	scaj_wsc	UNKNOWN	CURRENT_RESULTS_ARCHIVE_NOT_VERIFIED	https://scaj.org/activity/competitions/jsc/jsc-overview	0	UNKNOWN	REQUEST_REQUIRED	UNKNOWN	2026-08-27	Series overview verified but no current standalone results archive route verified
racs_2025_results	royal_adelaide_coffee_show	2025	OFFICIAL_RESULTS_PDF	https://www.royaladelaidecoffeeshow.com.au/_files/ugd/1ab17b_132832e8ff2f4a22a824e58806980793.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Official results PDF; item count not enumerated and no records acquired
racs_2024_results	royal_adelaide_coffee_show	2024	OFFICIAL_RESULTS_PDF	https://www.royaladelaidecoffeeshow.com.au/_files/ugd/1ab17b_a61f00d5270d4be8a01f0a399477bd04.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Official results PDF; item count not enumerated and no records acquired
aica_2022_results	melbourne_royal_aica	2022	OFFICIAL_RESULTS_PDF	https://www.melbourneroyal.com.au/media/8107/mr_aica_results_2022.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Organizer-stated aggregate entries are not treated as enumerated items or acquired records
avpa_annual_results	avpa_coffees_roasted_at_origin	ANNUAL	OFFICIAL_ANNUAL_RESULTS_INDEX	https://www.avpa.fr/palmaresannuel	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Annual results index verified; sensory sheets and rights remain request-required
avpa_2022_results	avpa_coffees_roasted_at_origin	2022	OFFICIAL_RESULTS_PDF	https://it.avpa.fr/_files/ugd/58172f_6742d088d0844243bf7ecf5a0c14962d.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Official historical results PDF; item count not enumerated
avpa_2021_results	avpa_coffees_roasted_at_origin	2021	OFFICIAL_RESULTS_PDF	https://it.avpa.fr/_files/ugd/58172f_4c77467f525c48c2ac3c175c747f1d27.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Official historical results PDF; item count not enumerated
