source_key	series_key	official_owner	source_family_key	source_type	access_route	public_results_use	public_descriptor_use	internal_research_use	public_derived_release	model_research_use	commercial_model_use	access_state	automation_permission_state	official_url	verified_on	note
bop_2026_about	best_of_panama	Specialty Coffee Association of Panama	bop_official	OFFICIAL_EDITION_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://bestofpanama.org/about2026	2026-08-27	Official categories and dates; rights unknown
bop_results_archive	best_of_panama	Specialty Coffee Association of Panama	bop_results	OFFICIAL_RESULTS_ARCHIVE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	https://bestofpanama.org/resultados	2026-08-27	Public downloads cover only part of the historical series; rights unknown
bop_2026_national_release	best_of_panama	Specialty Coffee Association of Panama	bop_results	OFFICIAL_RESULTS_RELEASE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://scap-panama.com/cafe-de-alta-gama-brillo-en-la-cata-nacional-del-best-of-panama-64-lotes-avanzan-a-la-ronda-internacional/	2026-08-27	Official release states 64 lots advanced; no records acquired and no rights grant inferred
gba_main	golden_bean_americas	Golden Bean	golden_bean_official	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://goldenbean.com/	2026-08-27	Current edition and category information; rights unknown
gba_2025_results	golden_bean_americas	Golden Bean	golden_bean_results	OFFICIAL_RESULTS_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	https://goldenbean.com/pages/2025-results	2026-08-27	Public winners presentation does not establish reusable entry-level scores
gba_past_results	golden_bean_americas	Golden Bean	golden_bean_results	OFFICIAL_RESULTS_ARCHIVE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	https://goldenbean.com/pages/past-results-america	2026-08-27	Historical results index; rights unknown
gbaus_about	golden_bean_australasia	Golden Bean	golden_bean_official	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://goldenbean.com.au/pages/about	2026-08-27	Official 2026 dates and three service categories; rights unknown
gbws_information	golden_bean_world_series	Golden Bean	golden_bean_official	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://goldenbean.com.au/pages/world-series	2026-08-27	Dedicated 2026 edition page and family format; marketing aggregate not used as record count
iiac_competition	iiac_ict	International Institute of Coffee Tasters	iiac_official	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://www.iiac.coffee/en/concorso	2026-08-27	Official sensory-profile claims and competition overview; rights unknown
iiac_2025_regulations	iiac_ict	International Institute of Coffee Tasters	iiac_rules	OFFICIAL_RULES_PDF	DIRECT_PUBLIC_PDF	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	2026-08-27	Official categories A-I; public access does not confer data or model rights
iiac_score_method	iiac_ict	International Institute of Coffee Tasters	iiac_method	OFFICIAL_SCORING_METHOD	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://www.internationalcoffeetasting.com/ict/calculation-of-the-score/	2026-08-27	Official calculation and descriptor-family explanation; no reuse grant verified
iiac_2025_results	iiac_ict	International Institute of Coffee Tasters	iiac_results	OFFICIAL_RESULTS_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_RESULTS_PAGE	UNKNOWN	https://www.internationalcoffeetasting.com/ict/ict-2025-gold-medals/	2026-08-27	Gold-medal page only; underlying sensory profiles remain request-required
gca_main	global_coffee_awards	Global Coffee Awards	gca_official	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://globalcoffeeawards.com/	2026-08-27	Current regional entry status and category summaries; rights unknown
gca_categories	global_coffee_awards	Global Coffee Awards	gca_rules	OFFICIAL_CATEGORY_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://globalcoffeeawards.com/categories/	2026-08-27	Four service categories verified; rights unknown
gca_faq	global_coffee_awards	Global Coffee Awards	gca_rules	OFFICIAL_FAQ	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://globalcoffeeawards.com/faq/	2026-08-27	Official panel composition and submission rules; judging feedback is private
gca_contact	global_coffee_awards	Global Coffee Awards	gca_contact	OFFICIAL_CONTACT_FORM	MANUAL_FORM_ONLY	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REQUEST_REQUIRED	UNKNOWN	https://globalcoffeeawards.com/contact-us/	2026-08-27	No form submitted; form terms must be reviewed before any request
toh_program	taste_of_harvest	African Fine Coffees Association	toh_official	OFFICIAL_PROGRAM_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://afca.coffee/programs/taste-of-harvest/	2026-08-27	Current 2025/26 national program and contact route; organizer totals are not acquired-record counts
toh_results	taste_of_harvest	African Fine Coffees Association	toh_results	OFFICIAL_RESULTS_PORTAL	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_RESULTS_PORTAL	UNKNOWN	https://afca.coffee/toh-results-page/	2026-08-27	Regional and national year/country/coffee-type filters; no results imported
toh_tenders	taste_of_harvest	African Fine Coffees Association	toh_rules	OFFICIAL_PROGRAM_TENDERS	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://afca.coffee/about-us/tenders-afca/	2026-08-27	Official 2025/26 tenders confirm multiple judging rounds and national/international panels
scaj_jhdc_page	scaj_jhdc	Specialty Coffee Association of Japan	scaj_competitions	OFFICIAL_COMPETITION_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	https://scaj.org/activity/competitions/jhdc-2/2026-competition	2026-08-27	Official score-sheet links present; no score records acquired
scaj_jbrc_page	scaj_jbrc	Specialty Coffee Association of Japan	scaj_competitions	OFFICIAL_COMPETITION_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	https://scaj.org/activity/competitions/jbrc/2026-competition	2026-08-27	Official competition and score-sheet links; no score records acquired
scaj_jcrc_page	scaj_jcrc	Specialty Coffee Association of Japan	scaj_competitions	OFFICIAL_COMPETITION_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	https://scaj.org/activity/competitions/jcrc/2026-competitor	2026-08-27	Official current WCRC rules and four score-sheet links; no score records acquired
scaj_jsc_page	scaj_jsc	Specialty Coffee Association of Japan	scaj_competitions	OFFICIAL_COMPETITION_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	https://scaj.org/activity/competitions/jsc/jsc2026-competitor	2026-08-27	Official preliminary/final format and score-sheet links; no score records acquired
scaj_wsc_overview	scaj_wsc	Specialty Coffee Association of Japan	scaj_competitions	OFFICIAL_SERIES_OVERVIEW	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://scaj.org/activity/competitions/jsc/jsc-overview	2026-08-27	Series launch and purpose verified; current edition archive remains limited
racs_home	royal_adelaide_coffee_show	Royal Agricultural and Horticultural Society of South Australia	racs_official	OFFICIAL_SERIES_AND_RESULTS_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	https://www.royaladelaidecoffeeshow.com.au/	2026-08-27	Official 2026 pause, classes, judging summary, and result links; rights unknown
racs_2025_results	royal_adelaide_coffee_show	Royal Agricultural and Horticultural Society of South Australia	racs_results	OFFICIAL_RESULTS_PDF	DIRECT_PUBLIC_PDF	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	https://www.royaladelaidecoffeeshow.com.au/_files/ugd/1ab17b_132832e8ff2f4a22a824e58806980793.pdf	2026-08-27	Official 2025 results PDF; no records acquired
aica_on_hold	melbourne_royal_aica	Melbourne Royal	aica_official	OFFICIAL_STATUS_NOTICE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://www.melbourneroyal.com.au/about/news/melbourne-royal-announces-australian-international-coffee-awards-on-hold-in-2023/	2026-08-27	Official on-hold notice; no return inferred
aica_2022_booklet	melbourne_royal_aica	Melbourne Royal	aica_rules	OFFICIAL_ENTRY_BOOKLET_PDF	DIRECT_PUBLIC_PDF	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	2026-08-27	Official class-specific judging criteria; no reuse grant verified
aica_2022_results	melbourne_royal_aica	Melbourne Royal	aica_results	OFFICIAL_RESULTS_PDF	DIRECT_PUBLIC_PDF	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	https://www.melbourneroyal.com.au/media/8107/mr_aica_results_2022.pdf	2026-08-27	Organizer states aggregate entry totals, but no row count was treated as acquired or enumerated
avpa_coffee_page	avpa_coffees_roasted_at_origin	AVPA	avpa_official	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://en.avpa.fr/cafes	2026-08-27	Official 12th contest and preparation summary; rights unknown
avpa_coffee_rules	avpa_coffees_roasted_at_origin	AVPA	avpa_rules	OFFICIAL_RULES_PDF	DIRECT_PUBLIC_PDF	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	https://www.avpa.fr/_files/ugd/58172f_807727a8b5864c0fb3413335776c590a.pdf	2026-08-27	Official espresso and unfiltered-infusion preparation classes; rights unknown
avpa_annual_results	avpa_coffees_roasted_at_origin	AVPA	avpa_results	OFFICIAL_RESULTS_ARCHIVE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	https://www.avpa.fr/palmaresannuel	2026-08-27	Annual award results index; individual sensory sheets and rights remain request-required
wcc_cb_rectqmmkfk5hspnon	wcc_competition_body_registry	New Zealand Specialty Coffee Association (NZSCA)	wcc_cb_family_rectqmmkfk5hspnon	WCC_COMPETITION_BODY_REGISTRY_RECORD	http://nzcra.org.nz/	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/recTQMMKFk5hSPnOn	2026-08-27	country_or_community=Aotearoa/New Zealand; designation=WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=New Zealand Specialty Coffee Association (NZSCA)
wcc_cb_recffmt7hhjjuam2f	wcc_competition_body_registry	En Taza	wcc_cb_family_recffmt7hhjjuam2f	WCC_COMPETITION_BODY_REGISTRY_RECORD	https://www.entaza.cafe/	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/recffmt7HhjjuAM2f	2026-08-27	country_or_community=Argentina; designation=Event Partner|WCE Competition Body; competition_types=CUP_TASTERS,LATTE_ART; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=En Taza; competition_types_from_current_WCC_event_calendar
wcc_cb_recnh9jxc15tg288s	wcc_competition_body_registry	Australian Specialty Coffee Association (ASCA)	wcc_cb_family_recnh9jxc15tg288s	WCC_COMPETITION_BODY_REGISTRY_RECORD	https://australianspecialtycoffee.com.au	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/recnH9jXC15tG288S	2026-08-27	country_or_community=Australia; designation=WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=Australian Specialty Coffee Association (ASCA)
wcc_cb_recotwhryhyhgafv9	wcc_competition_body_registry	SCA Austria Chapter	wcc_cb_family_recotwhryhyhgafv9	WCC_COMPETITION_BODY_REGISTRY_RECORD	https://www.scaaustria.com/	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/recotWHryHYHGafV9	2026-08-27	country_or_community=Austria; designation=SCA Chapter|WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=SCA Austria Chapter
wcc_cb_recgdwpowcmsn3iry	wcc_competition_body_registry	Belgium	wcc_cb_family_recgdwpowcmsn3iry	WCC_COMPETITION_BODY_REGISTRY_RECORD	NO_OFFICIAL_SITE_URL_LISTED	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/recgdWpOwcmsN3iry	2026-08-27	country_or_community=Belgium; designation=WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=Belgium
wcc_cb_recpnonux4nyskggq	wcc_competition_body_registry	Bolivian Coffee Alliance	wcc_cb_family_recpnonux4nyskggq	WCC_COMPETITION_BODY_REGISTRY_RECORD	https://www.specialtycoffeebolivia.com/	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/recPnONUX4nyskggQ	2026-08-27	country_or_community=Bolivia; designation=WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=Bolivian Coffee Alliance
wcc_cb_recwe9basqqkoxvj5	wcc_competition_body_registry	Brazil Specialty Coffee Association	wcc_cb_family_recwe9basqqkoxvj5	WCC_COMPETITION_BODY_REGISTRY_RECORD	http://bsca.com.br	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/recWe9BasqQKOxVj5	2026-08-27	country_or_community=Brazil; designation=WCE Competition Body; competition_types=LATTE_ART,COFFEE_IN_GOOD_SPIRITS; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=Brazil Specialty Coffee Association; competition_types_from_current_WCC_event_calendar
wcc_cb_rec4raelzybhh2uip	wcc_competition_body_registry	SCA Canada	wcc_cb_family_rec4raelzybhh2uip	WCC_COMPETITION_BODY_REGISTRY_RECORD	https://www.canadiancoffeeguild.com/	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/rec4raeLzybHh2uiP	2026-08-27	country_or_community=Canada; designation=WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=SCA Canada
wcc_cb_rechn4oh1tosdw5v5	wcc_competition_body_registry	Asociación Nacional de Profesionales y Amantes del Café (ANAPAC)	wcc_cb_family_rechn4oh1tosdw5v5	WCC_COMPETITION_BODY_REGISTRY_RECORD	https://www.anapac.cl	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/rechn4oH1TOSDW5v5	2026-08-27	country_or_community=Chile; designation=WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=Asociación Nacional de Profesionales y Amantes del Café (ANAPAC)
wcc_cb_recugphq1iejazgbv	wcc_competition_body_registry	Shanghai Sinoexpo Informa Markets International Exhibition Co., Ltd.	wcc_cb_family_recugphq1iejazgbv	WCC_COMPETITION_BODY_REGISTRY_RECORD	https://www.imsinoexpo.com/	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/recuGPhq1IEJaZgBv	2026-08-27	country_or_community=China; designation=WCE Competition Body|Event Partner; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=Shanghai Sinoexpo Informa Markets International Exhibition Co., Ltd.
