section	field_key	required_for_core	cardinality_or_type	controlled_values_or_rule	source_rule	note
RIGHTS	public_derived_release	true	decision	true|false|pending|not_applicable	source-specific evidence	Controls release artifacts independently of internal analysis.
RIGHTS	model_research_use	true	decision	true|false|pending|not_applicable	source-specific evidence	Must be true for a model-eligible core record.
RIGHTS	commercial_model_use	true	decision	true|false|pending|not_applicable	source-specific evidence	Not required for Round 3K model-research eligibility but must remain explicit.
CONTEXT	c0_source_status	true	one	REPORTED|NOT_REPORTED|SOURCE_UNKNOWN|REPORTED_UNRESOLVED|NOT_APPLICABLE	official category, protocol, scoresheet, or entry metadata	User-facing C0 never offers unknown; source records retain uncertainty.
CONTEXT	c0_family	conditional	one	filter_percolation|immersion|hybrid_manual_pressure|espresso_short_pressure|espresso_plus_water|stovetop_boiled|cold_extraction|espresso_plus_milk	explicit source preparation evidence	Never infer C0 from a product title alone.
CONTEXT	source_native_roast_value	conditional	zero_or_one	SOURCE_TEXT_OR_MEASUREMENT	explicit source field	Preserve original Agtron, CIELAB, City, competition-native, or declared roast language.
CONTEXT	source_native_roast_scheme	conditional	zero_or_one	SOURCE_NATIVE_SCHEME	explicit source field	Filter, espresso, Nordic, and omniroast are preserved as source-native labels.
CONTEXT	c1_mapping_status	true	one	REVIEWED|REPORTED_UNRESOLVED|NOT_REPORTED|SOURCE_UNKNOWN|NOT_APPLICABLE	governed mapping decision	No category-to-roast shortcut is allowed.
CONTEXT	reviewed_c1_mapping	conditional	zero_or_one	extremely_light|light|medium_light|medium|medium_dark|dark|extremely_dark	explicit direct roast evidence plus governed review	The seven levels are ordinal and not equally spaced.
LABEL	label_disposition	conditional	one	EXACT_CANONICAL_TARGET|MULTI_CANONICAL_TARGET|RANGE_LEVEL_TARGET|SOURCE_LOCAL_TARGET|AMBIGUOUS_TARGET|CONTRADICTORY_TARGET|UNRESOLVED|ABSTAIN|OUTSIDE_ONTOLOGY	mapping rule or qualified review decision	No imported phrase is forced permanently to one target or to unresolved.
LABEL	training_label_provenance	conditional	complete_join	competition_to_snapshot_to_raw_phrase_to_decision_to_targets	governed rule or qualified reviewer evidence	Required rate is 1.0000 for any training-corpus freeze candidate.
LABEL	expert_review_status	conditional	one	NOT_REQUIRED_DETERMINISTIC|PENDING|REVIEWED|ADJUDICATED|ABSTAINED	actual reviewer evidence	Codex candidates are CANDIDATE and NOT_TRAINING_LABEL until governed review.
SPLIT	grouped_split_assignment	conditional	one	TRAIN|DEV|TEST|HOLDOUT|UNASSIGNED	deterministic versioned rule	No model evaluation occurs in Round 3K.
SPLIT	holdout_keys	conditional	one_or_more	competition_family|competition_year|coffee_identity|lot|roaster|duplicate_group|repeat_group|preparation|c1	governed identities	Random row splitting is prohibited and cross-split identity, duplicate, and mirror leakage must be zero.
