context_id	context_parts	statement_zh	statement_en	evidence_state	citation_ref	source_id	owner_reviewed
C2_variety_GESHA	C2_variety:gesha	瑰夏基因型花香与柑橘酸质上限极高，醇厚度偏轻。	The Gesha genotype has a very high ceiling for floral and citrus acidity with a lighter body.	OWNER_STATEMENT	owner 2026-09-12	owner	true
C2_variety_BOURBON	C2_variety:bourbon	波本甜感与平衡度好，焦糖与红果常见。	Bourbon is sweet and balanced; caramel and red fruit are typical.	OWNER_STATEMENT	owner 2026-09-12	owner	true
C2_variety_SL28_SL34	C2_variety:sl28_sl34	SL28/SL34 以黑加仑与明亮柑橘酸质著称。	SL28/SL34 are known for blackcurrant and bright citric acidity.	OWNER_STATEMENT	owner 2026-09-12	owner	true
C2_variety_ETHIOPIAN_LANDRACE	C2_variety:ethiopian_landrace	埃塞原生种以茉莉花、柑橘与蓝莓（日晒）为标志。	Ethiopian landraces are marked by jasmine, citrus and, when natural, blueberry.	OWNER_STATEMENT	owner 2026-09-12	owner	true
C2_variety_TYPICA	C2_variety:typica	铁皮卡干净、甜感柔和，醇厚适中。	Typica is clean and gently sweet with moderate body.	OWNER_STATEMENT	owner 2026-09-12	owner	true
C2_variety_ROBUSTA	C2_variety:robusta	罗布斯塔前体糖分低、绿原酸与咖啡因高：苦感与醇厚重，花果弱。	Robusta has low sugar precursors and high chlorogenic acid and caffeine: heavy bitterness and body, little floral-fruit.	OWNER_STATEMENT	owner 2026-09-12	owner	true
C0_V60__C1_LIGHT	C0:pour_over_v60|C1:light	浅烘焙保留了绿原酸与高挥发性花果香，V60 快萃优先释放了前段极性酸质。	Light roast preserves volatile florals and fruit acids, and V60 fast extraction targets these front-end acids.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner	true
C0_ESPRESSO__C1_MEDIUM_DARK	C0:espresso|C1:medium_dark	中深烘的美拉德产物在意式高压下被油脂放大：黑巧、焦糖与厚重口感主导，酸质退到后段。	Medium-dark Maillard products are amplified by espresso pressure and oils: dark chocolate, caramel and weight lead; acidity retreats.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner	true
C0_COLD_BREW__C1_LIGHT	C0:cold_brew|C1:light	冷萃压低了浅烘的低挥发酸，花香减弱、甜感与茶感更清晰。	Cold brew flattens the light roast's low-volatility acids: less floral lift, clearer sweetness and tea-like body.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner	true
C1_LIGHT__C2_process_WASHED	C1:light|C2_process:washed	浅烘 + 水洗保留了柠檬酸与高极性酯类：柑橘、茉莉与干净的酸质。	Light roast plus washed processing keeps citric acid and polar esters: citrus, jasmine and clean acidity.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner	true
C1_LIGHT__C2_process_NATURAL	C1:light|C2_process:natural	浅烘 + 日晒把发酵进豆内的果糖与酯类完整保留：蓝莓、果酱与高甜。	Light roast plus natural processing keeps the fermented fruit sugars and esters: blueberry, jam and high sweetness.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner	true
C1_MEDIUM_DARK__C2_process_ANAEROBIC	C1:medium_dark|C2_process:anaerobic	中深烘 + 厌氧本应呈现较强的黑巧与发酵感；若你尝到更高的酸质，通常是冲煮水温偏低使后段大分子苦酚萃取不足。	Medium-dark plus anaerobic should read as dark chocolate and fermentation; a brighter acidity usually means the brew ran cool and under-extracted the late bitter phenolics.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner	true
