context_id	context_parts	statement_zh	statement_en	evidence_state	citation_ref	source_id
C2_process_WASHED	C2_process:washed	水洗去胶质快，内源有机酸突出：干净度高、柑橘、花香、高酸。	Washed processing removes mucilage quickly; the bean's own organic acids stand out: clean, citrus, floral, high acidity.	OWNER_STATEMENT	owner 2026-09-12	owner
C2_process_NATURAL	C2_process:natural	日晒让果肉糖分在发酵中渗入豆内，还原糖与游离氨基酸升高：果酱、热带水果、高甜。	Natural processing lets fruit sugars ferment into the seed: more reducing sugars and free amino acids — jam, tropical fruit, high sweetness.	OWNER_STATEMENT	owner 2026-09-12; reworded OWNER_COPY_REVIEW_2026-09-12 (tendency wording, no genetic ceiling / no cause asserted from the description)	owner
C2_process_ANAEROBIC	C2_process:anaerobic	厌氧发酵常带来更多乳酸与酯类风味：酸奶感与酒香。	Anaerobic fermentation tends to add lactic and ester notes: yoghurt and winey character.	OWNER_STATEMENT	owner 2026-09-12; reworded OWNER_COPY_REVIEW_2026-09-12 (tendency wording, no genetic ceiling / no cause asserted from the description)	owner
C2_process_HONEY	C2_process:honey	蜜处理保留部分果胶发酵，甜感与醇厚介于水洗与日晒之间。	Honey processing keeps part of the mucilage: sweetness and body between washed and natural.	OWNER_STATEMENT	owner 2026-09-12	owner
C2_process_DECAF	C2_process:decaf	脱因工艺去除部分前体物质，香气强度整体下降。	Decaffeination removes some precursors; aroma intensity drops overall.	OWNER_STATEMENT	owner 2026-09-12	owner
C2_variety_GESHA	C2_variety:gesha	瑰夏常见茉莉、白花与柑橘酸质，醇厚偏轻。	Gesha commonly shows jasmine, white florals and citrus acidity with a lighter body.	OWNER_STATEMENT	owner 2026-09-12; reworded OWNER_COPY_REVIEW_2026-09-12 (tendency wording, no genetic ceiling / no cause asserted from the description)	owner
C2_variety_BOURBON	C2_variety:bourbon	波本甜感与平衡度好，焦糖与红果常见。	Bourbon is sweet and balanced; caramel and red fruit are typical.	OWNER_STATEMENT	owner 2026-09-12	owner
C2_variety_SL28_SL34	C2_variety:sl28_sl34	SL28/SL34 以黑加仑与明亮柑橘酸质著称。	SL28/SL34 are known for blackcurrant and bright citric acidity.	OWNER_STATEMENT	owner 2026-09-12	owner
C2_variety_ETHIOPIAN_LANDRACE	C2_variety:ethiopian_landrace	埃塞原生种以茉莉花、柑橘与蓝莓（日晒）为标志。	Ethiopian landraces are marked by jasmine, citrus and, when natural, blueberry.	OWNER_STATEMENT	owner 2026-09-12	owner
C2_variety_TYPICA	C2_variety:typica	铁皮卡干净、甜感柔和，醇厚适中。	Typica is clean and gently sweet with moderate body.	OWNER_STATEMENT	owner 2026-09-12	owner
C2_variety_ROBUSTA	C2_variety:robusta	罗布斯塔前体糖分低、绿原酸与咖啡因高：苦感与醇厚重，花果弱。	Robusta has low sugar precursors and high chlorogenic acid and caffeine: heavy bitterness and body, little floral-fruit.	OWNER_STATEMENT	owner 2026-09-12	owner
C0_V60__C1_LIGHT	C0:pour_over_v60|C1:light	浅烘保留了更多绿原酸与挥发性花果香，手冲又让这些花香与果酸更清晰。	Light roast keeps more chlorogenic acids and volatile floral-fruit aromatics, and pour-over lets those florals and acids read clearly.	OWNER_STATEMENT	owner 2026-09-12 (design examples); reworded OWNER_COPY_REVIEW_2026-09-12 (tendency wording, no genetic ceiling / no cause asserted from the description)	owner
C0_ESPRESSO__C1_MEDIUM_DARK	C0:espresso|C1:medium_dark	中深烘的美拉德产物在意式高压下被油脂放大：黑巧、焦糖与厚重口感主导，酸质退到后段。	Medium-dark Maillard products are amplified by espresso pressure and oils: dark chocolate, caramel and weight lead; acidity retreats.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner
C0_COLD_BREW__C1_LIGHT	C0:cold_brew|C1:light	冷萃压低了浅烘的低挥发酸，花香减弱、甜感与茶感更清晰。	Cold brew flattens the light roast's low-volatility acids: less floral lift, clearer sweetness and tea-like body.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner
C1_LIGHT__C2_process_WASHED	C1:light|C2_process:washed	浅烘 + 水洗保留了柠檬酸与高极性酯类：柑橘、茉莉与干净的酸质。	Light roast plus washed processing keeps citric acid and polar esters: citrus, jasmine and clean acidity.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner
C1_LIGHT__C2_process_NATURAL	C1:light|C2_process:natural	浅烘 + 日晒把发酵进豆内的果糖与酯类完整保留：蓝莓、果酱与高甜。	Light roast plus natural processing keeps the fermented fruit sugars and esters: blueberry, jam and high sweetness.	OWNER_STATEMENT	owner 2026-09-12 (design examples)	owner
C1_MEDIUM_DARK__C2_process_ANAEROBIC	C1:medium_dark|C2_process:anaerobic	中深烘 + 厌氧常见的表现是黑巧与发酵感并存；若你尝到的酸质更高，与这个组合的常见表现不同。水温偏低是可能的原因之一，但仅凭描述无法确定。	Medium-dark plus anaerobic usually reads as dark chocolate with fermentation; a brighter acidity differs from the usual pattern for this combination. A cool brew is one possible reason, but the description alone cannot tell.	OWNER_STATEMENT	owner 2026-09-12 (design examples); reworded OWNER_COPY_REVIEW_2026-09-12 (tendency wording, no genetic ceiling / no cause asserted from the description)	owner
C1_VERY_LIGHT	C1:very_light	极浅烘几乎不动豆子的原始结构：绿原酸与挥发性花果香保留最完整，酸质最突出，甜感与醇厚尚未展开。	A very light roast barely touches the bean's original structure: chlorogenic acids and volatile florals stay almost intact, acidity is at its most pronounced, sweetness and body have not opened yet.	OWNER_STATEMENT	operator extension of the owner's light-roast statement, 2026-09-12; reworded OWNER_COPY_REVIEW_2026-09-12 (tendency wording, no genetic ceiling / no cause asserted from the description)	owner
C0_POUR_OVER_V60	C0:pour_over_v60	粉床细粉迁移引发微观通道效应时，局部过萃会导致中段甜感中断，并在余韵中引入涩感与杂味。	When fines migrate and open micro-channels in the bed, local over-extraction breaks the mid-palate sweetness and brings astringency and off-notes into the finish.	LITERATURE_CLAIM	Coffee Ad Astra (Jonathan Gagné) — physics of coffee extraction — https://coffeeadastra.com/ ; The Physics of Filter Coffee, ISBN 978-0-578-95028-0	coffee_ad_astra
C0_POUR_OVER_V60__C1_LIGHT	C0:pour_over_v60|C1:light	浅烘手冲时，萃取率落在合适区间才有饱满的中段甜感；萃取率不足则酸而空，过高则涩。	For light roasts on pour-over, mid-palate sweetness fills in only inside the right extraction-yield window; under-extraction reads sour and hollow, over-extraction astringent.	LITERATURE_CLAIM	Coffee Ad Astra (Jonathan Gagné) — physics of coffee extraction — https://coffeeadastra.com/ ; The Physics of Filter Coffee, ISBN 978-0-578-95028-0	coffee_ad_astra
C0_ESPRESSO__C1_MEDIUM_DARK	C0:espresso|C1:medium_dark	中深烘意式在高压下通道效应更敏感：粉饼不均会同时出现欠萃的酸与过萃的苦。	Medium-dark espresso is more sensitive to channeling under pressure: an uneven puck shows under-extracted sourness and over-extracted bitterness at once.	LITERATURE_CLAIM	Coffee Ad Astra (Jonathan Gagné) — physics of coffee extraction — https://coffeeadastra.com/ ; The Physics of Filter Coffee, ISBN 978-0-578-95028-0	coffee_ad_astra
C0_POUR_OVER_V60	C0:pour_over_v60	快萃与较高水温优先溶解极性较高的有机酸分子，前段酸质与花果香先被释放。	Fast extraction at higher water temperature dissolves the more polar organic acids first, so acidity and floral-fruit notes lead.	LITERATURE_CLAIM_NEEDS_REVERIFICATION	UC Davis Coffee Center — brewing kinetics and sensory maps — DOI: 10.1016/j.foodchem.2020.126567 (Cotter et al., 2020, Food Chemistry; reference paper supplied by the owner)	uc_davis_coffee_center
C0_ESPRESSO	C0:espresso	研磨度过细会加速大分子绿原酸内酯的释放，从而增加尾段苦感；高压萃取同时带出更多油脂与醇厚度。	Too fine a grind accelerates the release of large chlorogenic-acid lactones and adds late bitterness; pressure extraction also carries more oils and body.	LITERATURE_CLAIM_NEEDS_REVERIFICATION	UC Davis Coffee Center — brewing kinetics and sensory maps — DOI: 10.1016/j.foodchem.2020.126567 (Cotter et al., 2020, Food Chemistry; reference paper supplied by the owner)	uc_davis_coffee_center
C0_COLD_BREW	C0:cold_brew	低温长时萃取下，挥发性酸与酸质通常更弱，感官图谱偏向甜感与圆润。	Under long, cold extraction the volatile acids and acidity are usually weaker; the sensory map shifts toward sweetness and roundness.	LITERATURE_CLAIM	UC Davis Coffee Center — brewing kinetics and sensory maps — DOI: 10.1016/j.foodchem.2020.126567 (Cotter et al., 2020, Food Chemistry; reference paper supplied by the owner)	uc_davis_coffee_center
C0_FRENCH_PRESS	C0:french_press	浸泡式萃取与金属滤网让更多细粉与油脂进入杯中，醇厚度上升、干净度下降。	Immersion brewing through a metal filter passes more fines and oils: more body, less clarity.	LITERATURE_CLAIM	UC Davis Coffee Center — brewing kinetics and sensory maps — DOI: 10.1016/j.foodchem.2020.126567 (Cotter et al., 2020, Food Chemistry; reference paper supplied by the owner)	uc_davis_coffee_center
C2_variety_GESHA	C2_variety:gesha	瑰夏（Gesha）基因决定了其高挥发性单萜烯（如芳樟醇）的高表达上限，浅烘焙下呈现高锐白花与单醇果酸。	The Gesha genotype sets a high ceiling for volatile monoterpenes such as linalool; at light roast it reads as sharp white florals and clean, single-note fruit acidity.	LITERATURE_CLAIM_NEEDS_REVERIFICATION	World Coffee Research — Sensory Lexicon / Varieties Catalog — https://worldcoffeeresearch.org/resources/sensory-lexicon	wcr_sensory_lexicon
C1_LIGHT	C1:light	浅烘保留品种的花香与果酸参照物（花香、柑橘酸、单醇甜感），焦糖化产物尚未主导。	Light roasting keeps the variety's floral and fruit-acid references (florals, citric acidity, clean sweetness) before caramelisation products take over.	LITERATURE_CLAIM	World Coffee Research — Sensory Lexicon / Varieties Catalog — https://worldcoffeeresearch.org/resources/sensory-lexicon	wcr_sensory_lexicon
C1_MEDIUM	C1:medium	中烘时焦糖化与美拉德参照物（红糖、坚果、可可）与残余果酸达到平衡。	At medium roast the caramelisation and Maillard references (brown sugar, nut, cocoa) balance the remaining fruit acidity.	LITERATURE_CLAIM	World Coffee Research — Sensory Lexicon / Varieties Catalog — https://worldcoffeeresearch.org/resources/sensory-lexicon	wcr_sensory_lexicon
C1_DARK	C1:dark	深烘下花香与果酸参照物被烘烤参照物（烟熏、焦糖苦、灰烬）覆盖。	At dark roast the floral and fruit-acid references are covered by roast references (smoke, burnt caramel, ash).	LITERATURE_CLAIM	World Coffee Research — Sensory Lexicon / Varieties Catalog — https://worldcoffeeresearch.org/resources/sensory-lexicon	wcr_sensory_lexicon
