question_id	kind	parent_option	option_id	position	role	label_zh_cn	label_en	deltas	focus	concepts	card_row_zh_cn	card_row_en	basis	owner_reviewed	lead_in_zh_cn	lead_in_en	short_zh_cn	short_en
B	core		B4	4	data	坚果：{examples}	Nuts: {examples}	nutty_chocolate:3	nutty_chocolate:nut	almond|hazelnut|walnut|peanut			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	坚果的香气之后，	After the nutty notes, 	坚果	nuts
B	core		B5	5	data	巧克力、可可	Chocolate, cocoa	nutty_chocolate:2;bitter_roasted:1	nutty_chocolate:chocolate	cocoa|dark_chocolate			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	巧克力的香气之后，	After the chocolate notes, 	巧克力	chocolate
B	core		B6	6	data	烤面包、谷物、麦芽	Toast, grain, malt	nutty_chocolate:1.5;bitter_roasted:1.5	nutty_chocolate:baked	toast|malt|baked_bread|cereal_grain|roasted_character			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	烤面包、谷物的香气之后，	After the toasty, grainy notes, 	烤面包与谷物	toast and grain
B	core		B7	7	data	香料：肉桂、丁香、八角	Spice: cinnamon, clove, star anise	spice:3		cinnamon|clove|anise|nutmeg|cardamom|ginger			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	香料的香气之后，	After the spice, 		
B	core		B8	8	data	木头：雪松、柏木、橡木	Wood: cedar, cypress, oak	woody_earthy:3	woody_earthy:wood	cedar|woody			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	木头的香气之后，	After the woody notes, 	木头	wood
B	core		B9	9	data	烟熏、炭烧、烟草	Smoke, char, tobacco	bitter_roasted:2;woody_earthy:1.5	woody_earthy:tobacco	tobacco|ash|smoky|burnt			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	烟熏的香气之后，	After the smoky notes, 	烟熏	smoke
B	core		B10	10	always	水果：果香最突出	Fruit: fruit is what stands out	fruity:2					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	false	果香最突出的话，	With fruit standing out, 		
B	core		B0	11	unanswered	香气是一个整体，没有哪一类特别突出 ‖ 各种香气融在一起，没有主调 ‖ 闻起来很完整，挑不出最突出的一类	The aroma comes as a whole; nothing stands out ‖ The aromas blend together with no main note ‖ It smells complete; no single kind leads						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	香气没有主调的话，	With no single aroma leading, 		
C	core		C1	1	data	蜂蜜、花蜜	Honey, nectar	floral:1;sweetness:2	sweetness:honey	honey			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	蜂蜜那种甜之后，	After that honeyed sweetness, 		
C	core		C2	2	default_light	蔗糖、冰糖那种清甜	Clean sweetness, like cane or rock sugar	sweetness:2	sweetness:sugar				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	清爽的甜之后，	After that clean sweetness, 		
C	core		C3	3	data	焦糖、红糖	Caramel, brown sugar	sweetness:2;nutty_chocolate:1	sweetness:caramel	caramel|brown_sugar			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	焦糖那种甜之后，	After that caramel sweetness, 		
C	core		C4	4	data	黑糖、糖蜜：浓，带一点苦	Dark sugar, molasses: deep, slightly bitter	sweetness:1.5;bitter_roasted:1;body:0.5	sweetness:dark_sugar	molasses			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	黑糖、糖蜜那种浓甜之后，	After that deep, dark sweetness, 		
C	core		C5	5	data	香草、奶油那种甜	Vanilla, creamy sweetness	sweetness:2;body:1	sweetness:vanilla	vanilla			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	香草、奶油那种甜之后，	After that creamy sweetness, 		
C	core		C6	6	data	熟透的水果、果酱	Ripe fruit, jam	fruity:2;sweetness:2		peach|plum|mango|pineapple			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	熟果那种甜之后，	After that ripe-fruit sweetness, 		
C	core		C7	7	data	果干：葡萄干、蜜枣	Dried fruit: raisin, dates	fruity:1;sweetness:2;fermented_winey:0.5	fruity:dried	raisin|prune			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	果干那种甜之后，	After that dried-fruit sweetness, 		
C	core		C0	8	fifth	甜不突出，融在整体里 ‖ 有一点甜，但不单独显出来 ‖ 甜感很轻，和别的味道连在一起	Sweetness doesn't stand out; it sits in the whole ‖ A little sweet, but it never shows on its own ‖ Very light sweetness, joined to the other flavors						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	甜不突出的话，	With little sweetness, 		
C	core		C-	9	unanswered	这一项很难形容 ‖ 这一项我说不上来 ‖ 我恐怕很难准确回答	This one is hard to describe ‖ I can't put this one into words ‖ I'm afraid I can't answer this accurately						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
D	core		D6	1	scale	偏稀，像兑了水	Thin, watery	body:0.5					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
D	core		D1	2	scale	清爽，像茶或果汁	Light, like tea or juice	body:1					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
D	core		D2	3	scale	顺滑，像牛奶	Smooth, like milk	body:2					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
D	core		D3	4	scale	厚而滑，像奶油、丝绒	Thick and silky, like cream	body:2.5					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
D	core		D4	5	scale	厚重挂口，像糖浆	Heavy and coating, like syrup	body:3;bitter_roasted:0.5					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
D	core		D5	6	scale	发涩发干，像浓茶	Drying and astringent, like strong tea	body:1;defect:0.5					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
D	core		D0	7	fifth	厚薄适中，没有特别的感觉 ‖ 不厚也不薄，很平常 ‖ 口感居中，没有特别之处	Medium weight; nothing in particular ‖ Neither thick nor thin; ordinary ‖ Middle of the road; nothing in particular	body:1.5					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
D	core		D-	8	unanswered	这一项很难形容 ‖ 这一项我说不上来 ‖ 我恐怕很难准确回答	This one is hard to describe ‖ I can't put this one into words ‖ I'm afraid I can't answer this accurately						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A1	A1:柠檬	1	word	柠檬	lemon		acidity:柠檬	lemon			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A1	A1:青柠	2	word	青柠	lime		acidity:青柠	lime			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A1	A1:甜橙	3	word	甜橙	sweet orange		acidity:甜橙	orange			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A1	A1:葡萄柚	4	word	葡萄柚	grapefruit		acidity:葡萄柚	grapefruit			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A1	A1:佛手柑	5	word	佛手柑	bergamot		acidity:佛手柑	bergamot			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A1	A1:血橙	6	word	血橙	blood orange		acidity:血橙				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A1	A1:蜜桔	7	word	蜜桔	honey mandarin		acidity:蜜桔				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A1	A1:砂糖橘	8	word	砂糖橘	sugar mandarin		acidity:砂糖橘				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A2	A2:树莓	9	word	树莓	raspberry		fruity:树莓	raspberry			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A2	A2:草莓	10	word	草莓	strawberry		fruity:草莓	strawberry			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A2	A2:蓝莓	11	word	蓝莓	blueberry		fruity:蓝莓	blueberry			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A2	A2:黑加仑	12	word	黑加仑	blackcurrant		fruity:黑加仑	blackcurrant			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A2	A2:黑莓	13	word	黑莓	blackberry		fruity:黑莓	blackberry			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A2	A2:石榴	14	word	石榴	pomegranate		fruity:石榴	pomegranate			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A2	A2:蔓越莓	15	word	蔓越莓	cranberry		fruity:蔓越莓				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A3	A3:车厘子	16	word	车厘子	cherry		fruity:车厘子	cherry			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A3	A3:李子	17	word	李子	plum		fruity:李子	plum			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A3	A3:水蜜桃	18	word	水蜜桃	peach		fruity:水蜜桃	peach			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A3	A3:白桃	19	word	白桃	white peach		fruity:白桃				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A3	A3:黄桃	20	word	黄桃	yellow peach		fruity:黄桃				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A3	A3:杏桃	21	word	杏桃	apricot		fruity:杏桃				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A4	A4:葡萄	22	word	葡萄	grape		fruity:葡萄	grape			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A4	A4:苹果	23	word	苹果	apple		fruity:苹果	apple			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A4	A4:秋月梨	24	word	秋月梨	Akizuki pear		fruity:秋月梨	pear			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A4	A4:白葡萄	25	word	白葡萄	white grape		fruity:白葡萄				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A5	A5:芒果	26	word	芒果	mango		fruity:芒果	mango			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A5	A5:凤梨	27	word	凤梨	pineapple		fruity:凤梨	pineapple			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A5	A5:香蕉	28	word	香蕉	banana		fruity:香蕉	banana			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A5	A5:椰子	29	word	椰子	coconut		fruity:椰子	coconut			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A5	A5:荔枝	30	word	荔枝	lychee		fruity:荔枝				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A5	A5:蜜瓜	31	word	蜜瓜	melon		fruity:蜜瓜				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A6	A6:葡萄干	32	word	葡萄干	raisin		fruity:葡萄干	raisin			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	A6	A6:西梅	33	word	西梅	prune		fruity:西梅	prune			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:茉莉花	34	word	茉莉花	jasmine		floral:茉莉花	jasmine			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:玫瑰	35	word	玫瑰	rose		floral:玫瑰	rose			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:橙花	36	word	橙花	orange blossom		floral:橙花	orange_blossom			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:洋甘菊	37	word	洋甘菊	chamomile		floral:洋甘菊	chamomile			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:玉兰花	38	word	玉兰花	magnolia		floral:玉兰花				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:咖啡花	39	word	咖啡花	coffee blossom		floral:咖啡花				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:金银花	40	word	金银花	honeysuckle		floral:金银花				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:山茶花	41	word	山茶花	camellia		floral:山茶花				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B1	B1:姜花	42	word	姜花	ginger lily		floral:姜花				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B2	B2:红茶	43	word	红茶	black tea		herbal_green:红茶	black_tea			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B2	B2:茉莉绿茶	44	word	茉莉绿茶	jasmine green tea		herbal_green:茉莉绿茶	green_tea			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B2	B2:高山乌龙	45	word	高山乌龙	high-mountain oolong		herbal_green:高山乌龙				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B2	B2:伯爵茶	46	word	伯爵茶	Earl Grey tea		herbal_green:伯爵茶				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B3	B3:薄荷	47	word	薄荷	mint		herbal_green:薄荷	mint			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B3	B3:柠檬草	48	word	柠檬草	lemongrass		herbal_green:柠檬草	lemongrass			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B4	B4:杏仁	49	word	杏仁	almond		nutty_chocolate:杏仁	almond			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B4	B4:烤榛果	50	word	烤榛果	roasted hazelnut		nutty_chocolate:烤榛果	hazelnut			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B4	B4:核桃	51	word	核桃	walnut		nutty_chocolate:核桃	walnut			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B4	B4:花生	52	word	花生	peanut		nutty_chocolate:花生	peanut			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B5	B5:可可	53	word	可可	cocoa		nutty_chocolate:可可	cocoa			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B5	B5:牛奶巧克力	54	word	牛奶巧克力	milk chocolate		nutty_chocolate:牛奶巧克力				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B5	B5:榛果巧克力	55	word	榛果巧克力	hazelnut chocolate		nutty_chocolate:榛果巧克力				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B5	B5:巧克力酱	56	word	巧克力酱	chocolate sauce		nutty_chocolate:巧克力酱				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B6	B6:吐司	57	word	吐司	toast		nutty_chocolate:吐司	toast			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B6	B6:麦芽	58	word	麦芽	malt		nutty_chocolate:麦芽	malt			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B6	B6:曲奇饼干	59	word	曲奇饼干	butter cookie		nutty_chocolate:曲奇饼干				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B6	B6:提拉米苏	60	word	提拉米苏	tiramisu		nutty_chocolate:提拉米苏				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B8	B8:风干雪松	61	word	风干雪松	aged cedar		woody_earthy:风干雪松	cedar			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B8	B8:杉木	62	word	杉木	fir wood		woody_earthy:杉木	woody			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B8	B8:柏木	63	word	柏木	cypress		woody_earthy:柏木				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	false				
S	second	B8	B8:橡木	64	word	橡木	oak		woody_earthy:橡木				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	false				
S	second	B8	B8:檀香	65	word	檀香	sandalwood		woody_earthy:檀香				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	false				
S	second	B8	B8:松木	66	word	松木	pine		woody_earthy:松木				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	false				
S	second	B8	B8:桦木	67	word	桦木	birch		woody_earthy:桦木				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	false				
S	second	B8	B8:干燥树皮	68	word	干燥树皮	dry bark		woody_earthy:干燥树皮				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	false				
S	second	B8	B8:沉香	69	word	沉香	agarwood		woody_earthy:沉香				OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	false				
S	second	B9	B9:烟草	70	word	烟草	tobacco		woody_earthy:烟草	tobacco			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B9	B9:泥炭	71	word	泥炭	peat		woody_earthy:泥炭	earthy			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second	B9	B9:松露	72	word	松露	truffle		woody_earthy:松露	mushroom			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
S	second		S-	73	unanswered	这一项很难形容 ‖ 这一项我说不上来 ‖ 我恐怕很难准确回答	This one is hard to describe ‖ I can't put this one into words ‖ I'm afraid I can't answer this accurately						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E1	evaluation		E1a	1	scale	扑鼻，端起来就闻得到	Strong: I notice it as soon as I lift the cup				香气 · 扑鼻	Aroma · strong	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E1	evaluation		E1b	2	scale	清楚，凑近能闻到	Clear when I bring it close				香气 · 明显	Aroma · clear	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E1	evaluation		E1c	3	scale	很淡，要仔细闻	Faint: I have to look for it				香气 · 内敛	Aroma · faint	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E1	evaluation		E1d	4	scale	几乎闻不到	Hardly any				香气 · 很淡	Aroma · hardly any	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E1	evaluation		E1-	5	unanswered	我恐怕很难准确回答 ‖ 这一项我说不上来 ‖ 这一项很难形容	I'm afraid I can't answer this accurately ‖ I can't put this one into words ‖ This one is hard to describe						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E2	evaluation		E2a	1	scale	很快就感觉不到了	It fades almost at once				余韵 · 短	Aftertaste · short	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E2	evaluation		E2b	2	scale	稍微有一些感觉，但不明显	There is a little, but it is not distinct				余韵 · 轻	Aftertaste · light	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E2	evaluation		E2c	3	scale	有较明确的余韵	There is a fairly distinct aftertaste				余韵 · 明确	Aftertaste · distinct	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E2	evaluation		E2d	4	scale	余韵明显并带有回甘	A clear aftertaste that turns sweet	sweetness:0.5			余韵 · 明显，带回甘	Aftertaste · clear, turning sweet	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E2	evaluation		E2e	5	scale	余韵以苦或涩为主	The aftertaste is mostly bitter or drying	bitter_roasted:0.5			余韵 · 偏苦涩	Aftertaste · bitter or drying	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E2	evaluation		E2-	6	unanswered	我恐怕很难准确回答 ‖ 这一项我说不上来 ‖ 这一项很难形容	I'm afraid I can't answer this accurately ‖ I can't put this one into words ‖ This one is hard to describe						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E3	evaluation		E3a	1	scale	没有明显苦感	No noticeable bitterness						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E3	evaluation		E3b	2	scale	微苦，像可可或坚果皮	Slight, like cocoa or nut skins	bitter_roasted:1			烘烤苦感 · 可可	Roast & bitter · cocoa	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
E3	evaluation		E3c	3	scale	有苦味但柔和，像黑巧克力	Present but soft, like dark chocolate	bitter_roasted:1.5			烘烤苦感 · 黑巧克力	Roast & bitter · dark chocolate	OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
