effective_record_id	body_axis_percentile	acidity_axis_percentile	roast_level	origin_country	basis
effective-b2:03e4b0a0c577000a1f915bc5	0.8060	0.4250	Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03eadcef079ccb5c5ebe5525	0.8060	0.8228	Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03ebc146e2718df1f2e6c060			UNREPORTED	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03fde591823cd2efb899170a	0.8060	0.8228	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03fe343b21d614958d7e3587	0.0270	0.0224	NA	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:040254071ab7232120ba6daa	0.3865		Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0408ccf321d4becc270bc155	0.3865		NA	Panama	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:040c0b440978dc73f6589b9f	0.8060		Medium	El Salvador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0410119a85364b193287be0d	0.8060	0.8228	Light	El Salvador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:042e22318cd9276807d7effe	0.8060	0.8228	Medium-Light	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0434ff155fd105158dfc9861	0.1010	0.4250	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0440abf9e3fbd5d11a19aae4	0.3865	0.1316	Medium	Nicaragua	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0445c2c4e1168b911f23dda2	0.8060	0.8228	Light	Panama	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:044a27ec2d0e5a92469ef846	0.3865	0.8228	Medium	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:044bdc41bde1f24784409ec6	0.3865	0.4250	Medium	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0453f448cc3b8764b3529761	0.8060	0.8228	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0463be9875ca696fbec0e2d9	0.8060	0.8228	Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0463e543a8f0d70034687e6e	0.3865	0.8228	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
