term_en	respondents	dimension	canonical_concept_id	mapping_basis	source
brown sugar	75	sweetness	sensory.brown_sugar	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
full	74	body	sensory.fullness	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
rich	74	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
smokey	72	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
stone fruit	70	fruity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
vanilla	70	sweetness	sensory.vanilla	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
tobacco	69	woody_earthy	sensory.tobacco	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
wood	67	woody_earthy		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
tropical	67	fruity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
roasted	67	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
toffee	67	nutty_chocolate		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
sharp	65	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
crisp	60	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
almond	59	nutty_chocolate	sensory.almond	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
tea-like	58	floral		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
grapefruit	56	acidity	sensory.grapefruit	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
plum	56	fruity	sensory.plum	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
pineapple	56	fruity	sensory.pineapple	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
thick	54	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
tea like	54	floral		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
vegetal	53	herbal_green	sensory.green_vegetal	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
lime	52	acidity	sensory.lime	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
hazelnut	51	nutty_chocolate	sensory.hazelnut	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
molasses	51	sweetness	sensory.molasses	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
full bodied	48	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
apricot	47	fruity		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
jam	47	sweetness		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
black tea	46	herbal_green	sensory.black_tea	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
cinnamon	44	spice	sensory.cinnamon	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
citrusy	43	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
nut	42	nutty_chocolate		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
toast	41	bitter_roasted	sensory.toast	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
peach	41	fruity	sensory.peach	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
candy	40	sweetness		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
banana	40	fruity	sensory.banana	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
watery	39	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
mango	39	fruity	sensory.mango	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
full body	36	body		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
vinegar	36	fermented_winey	sensory.acetic_vinegar	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
off	35	defect		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
dark roast	34	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
leather	34	woody_earthy	sensory.leather	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
grass	34	herbal_green		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
spice	34	spice		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
syrup	33	sweetness		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
butter	32	body	sensory.butter	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
walnut	32	nutty_chocolate	sensory.walnut	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
funk	32	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
tangy	32	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
raisin	32	sweetness	sensory.raisin	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
grassy	32	herbal_green		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
melon	31	fruity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
silky	29	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
herbal	28	herbal_green		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
jammy	27	sweetness		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
astringent	25	bitter_roasted	sensory.astringent	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
syrupy	24	body	sensory.syrupy_mouthfeel	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
spices	24	spice		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
lemony	22	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
pomegranate	22	fruity	sensory.pomegranate	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
grain	22	nutty_chocolate	sensory.cereal_grain	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
malt	21	nutty_chocolate	sensory.malt	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
chocolaty	20	nutty_chocolate		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
dirt	20	woody_earthy		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
cider	19	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
metallic	18	defect	sensory.metallic	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
ashy	17	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
coconut	17	sweetness	sensory.coconut	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
peanut	16	nutty_chocolate	sensory.peanut	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
salty	15	defect	sensory.salty	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
musty	14	defect	sensory.musty	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
ash	14	bitter_roasted	sensory.ash	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
flowers	13	floral		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
drying	13	bitter_roasted	sensory.drying	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
jasmine	13	floral	sensory.jasmine	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
citric	12	acidity		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
velvety	12	body		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
mushroom	12	woody_earthy	sensory.mushroom	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
papery	11	defect	sensory.paper	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
full-bodied	11	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
stale	11	defect	sensory.stale	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
flowery	10	floral		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
nutmeg	10	spice	sensory.nutmeg	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
winey	10	fermented_winey	sensory.wine_like_character	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
hay	10	herbal_green	sensory.hay	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
burned	10	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
bourbon	10	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
cardboard	9	defect	sensory.cardboard	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
green tea	9	herbal_green	sensory.green_tea	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
citrus fruit	9	fruity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
prune	8	fruity	sensory.prune	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
rose	8	floral	sensory.rose	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
spicy	8	spice		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
lemongrass	8	herbal_green	sensory.lemongrass	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
dusty	8	defect	sensory.dusty	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
charred	7	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
black pepper	6	spice	sensory.black_pepper	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
coating	6	body	sensory.mouth_coating	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
rum	6	fermented_winey		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
whiskey	6	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
sugary	6	sweetness		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
bright acidity	6	acidity		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
mint	5	herbal_green	sensory.mint	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
rancid	5	defect		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
blackcurrant	5	fruity	sensory.blackcurrant	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
clove	5	spice	sensory.clove	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
cedar	4	woody_earthy	sensory.cedar	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
musky	4	woody_earthy		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
chemical	4	defect		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
ginger	4	spice	sensory.ginger	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
brownie	4	nutty_chocolate		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
anise	4	spice	sensory.anise	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
orange blossom	3	floral	sensory.orange_blossom	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
peppery	3	spice		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
kombucha	3	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
cardamom	3	spice	sensory.cardamom	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
bergamot	3	acidity	sensory.bergamot	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
medicinal	2	defect		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
liquor	2	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
chamomile	2	floral	sensory.chamomile	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
tiramisu	2	nutty_chocolate		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
carbon	2	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
herbaceous	2	herbal_green		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
yeasty	2	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
bell pepper	2	herbal_green	sensory.bell_pepper	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
soil	2	woody_earthy		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
whisky	2	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
crisp acidity	1	acidity		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
baked bread	1	nutty_chocolate	sensory.baked_bread	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
truffle	1	woody_earthy		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
