canonical_concept_id	acidity	sweetness	body	floral	fruity	nutty_chocolate	fermented_winey	bitter_roasted	spice	herbal_green	woody_earthy	defect	coverage_state	coverage_state_8d	basis	owner_reviewed
sensory.caramel	0.0	0.9	0.0	0.0	0.0	0.4	0.0	0.2	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.cardamom	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.cardboard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.cedar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	1.0	0.0	MAPPED_12D	PARTIAL_WOODY	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.cereal_grain	0.0	0.2	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.chamomile	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.cherry	0.4	0.3	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.cinnamon	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.clove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.cocoa	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.3	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.coconut	0.0	0.5	0.3	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.creamy_mouthfeel	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.dark_chocolate	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.drying	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.2	MAPPED_12D	PARTIAL_TEXTURE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.dusty	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.earthy	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.0	0.0	1.0	0.0	MAPPED_12D	PARTIAL_EARTHY	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.eucalyptus	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	MAPPED_12D	PARTIAL_HERBAL	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.fermented_character	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.fresh_grass	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	MAPPED_12D	UNMAPPED_GREEN	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.fullness	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.ginger	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.grape	0.3	0.0	0.0	0.0	0.8	0.0	0.4	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.grapefruit	0.9	0.0	0.0	0.0	0.6	0.0	0.0	0.3	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.green_tea	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	MAPPED_12D	PARTIAL_TEA	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.green_vegetal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	MAPPED_12D	UNMAPPED_GREEN	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.hay	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.3	0.0	MAPPED_12D	UNMAPPED_GREEN	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.hazelnut	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.honey	0.0	1.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.jasmine	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.leather	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.0	0.0	0.8	0.0	MAPPED_12D	PARTIAL_WOODY	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.lemon	1.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.lemongrass	0.4	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	MAPPED_12D	PARTIAL_HERBAL	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.lime	1.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.malt	0.0	0.4	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.mango	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.metallic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.mint	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	MAPPED_12D	UNMAPPED_HERBAL	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.molasses	0.0	0.9	0.3	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.moldy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.mouth_coating	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.mushroom	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.8	0.0	MAPPED_12D	PARTIAL_EARTHY	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.musty	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.nutmeg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.orange	0.6	0.3	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.orange_blossom	0.0	0.0	0.0	1.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.paper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.pea_pod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	MAPPED_12D	UNMAPPED_GREEN	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.peach	0.3	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.peanut	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.pear	0.0	0.4	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.pineapple	0.7	0.0	0.0	0.0	0.9	0.0	0.2	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.pink_grapefruit	0.8	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.plum	0.0	0.4	0.0	0.0	0.9	0.0	0.2	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.pomegranate	0.6	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.prune	0.0	0.5	0.0	0.0	0.7	0.0	0.3	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.raisin	0.0	0.7	0.0	0.0	0.6	0.0	0.3	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.raspberry	0.6	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.roasted_character	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.rose	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.rubber	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.salty	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	MAPPED_12D	UNMAPPED_TASTE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.smoky	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.smooth_mouthfeel	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.sour	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.stale	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.strawberry	0.3	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.sweet	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.syrupy_mouthfeel	0.0	0.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.toast	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.6	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.tobacco	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.0	0.0	0.8	0.0	MAPPED_12D	PARTIAL_WOODY	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.vanilla	0.0	0.7	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.walnut	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.2	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.wine_like_character	0.3	0.0	0.0	0.0	0.3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
sensory.woody	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	1.0	0.0	MAPPED_12D	PARTIAL_WOODY	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1	false
