effective_record_id	source_family_id	year_id	preparation_service_id	assertion_count	mapped_concept_mentions	distinct_mapped_concepts	v_acidity	v_sweetness	v_body	v_floral	v_fruity	v_nutty_chocolate	v_fermented_winey	v_bitter_roasted	v_spice	v_herbal_green	v_woody_earthy	v_defect	axis_basis	vector_state	product_candidate_rights	projection_basis
effective-b2:00fc2e7fd720d41728d9f287	family.coffeereview_kaggle_parsed	year.2011	CUPPING	4	3	3	0.5305	0.5305	0.1230	0.0000	0.2652	0.5305	0.0000	0.2652	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0106fdf0226aaa9e03d8f4bf	family.coffeereview_kaggle_parsed	year.2021	CUPPING	5	2	2	0.3944	0.5917	0.1525	0.0000	0.6574	0.0000	0.0000	0.1972	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:010c9103c8e310433e6a1ddb	family.coffeereview_kaggle_parsed	year.2023	CUPPING	5	3	3	0.7049	0.0000	0.3409	0.0000	0.5194	0.0000	0.0742	0.0000	0.3339	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0111c719bc6ee64d743815ea	family.coffeereview_kaggle_parsed	year.2023	CUPPING	5	2	2	0.6332	0.5699	0.3062	0.0000	0.3166	0.2533	0.0000	0.1266	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:011372324992342f6fcb5dd4	family.coffeereview_kaggle_parsed	year.2010	CUPPING	4	2	2	0.4014	0.2007	0.1552	0.0000	0.5353	0.6691	0.0000	0.2007	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0126b761dc7ddba68c5240bd	family.ace_cup_of_excellence	year.2023	CUPPING	23	10	10	0.2906	0.5151	0.0000	0.0000	0.7793	0.0925	0.1189	0.0528	0.1321	0.0000	0.0000	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:012998f51fabd7e7d2a16be2	family.coffeereview_kaggle_parsed	year.2025	CUPPING	5	3	3	0.1944	0.6317	0.3055	0.1458	0.4373	0.0000	0.0000	0.4859	0.0000	0.0000	0.0000	0.1458	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:012b9b7e63eb6647b7018677	family.coffeereview_kaggle_parsed	year.2021	CUPPING	5	1	1	0.3756	0.0000	0.3679	0.0000	0.0000	0.7608	0.0000	0.3804	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01361e482770c2add8f605d2	family.coffeereview_kaggle_parsed	year.2022	CUPPING	6	3	3	0.6364	0.0000	0.3077	0.0000	0.5515	0.0000	0.0000	0.1273	0.0000	0.0000	0.4242	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0137fdadc40b40d19bb530a9	family.ace_cup_of_excellence	year.2024	CUPPING	19	10	9	0.4687	0.4364	0.0000	0.0970	0.6303	0.3879	0.0000	0.1616	0.0000	0.0647	0.0485	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0138d23a3e53e78f45437005	family.coffeereview_kaggle_parsed	year.2022	CUPPING	5	3	3	0.2460	0.4983	0.1156	0.1495	0.0000	0.4983	0.0000	0.3986	0.0000	0.0000	0.4983	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0142a2bf594252a230d884a6	family.coffeereview_kaggle_parsed	year.2019	CUPPING	5	3	3	0.1670	0.1252	0.3634	0.0000	0.3757	0.0000	0.0835	0.3340	0.0000	0.0000	0.7515	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:014bd77cff1b009ab1ef79f4	family.coffeereview_kaggle_parsed	year.2014	CUPPING	2	0	0	0.7144	0.0000	0.6998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	EMPTY	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:015e8cd86dda63c0a8c742d2	family.coffeereview_kaggle_parsed	year.2013	CUPPING	1	0	0	0.7144	0.0000	0.6998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	EMPTY	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:015ef7bb948187b7314f7494	family.coffeereview_kaggle_parsed	year.2007	CUPPING	1	2	2	0.0000	0.6691	0.1552	0.2007	0.0000	0.0000	0.0000	0.2007	0.0000	0.0000	0.6691	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01666f1cd27e4eabf7cd9eea	family.coffeereview_kaggle_parsed	year.2021	CUPPING	6	4	3	0.4259	0.6996	0.3383	0.1825	0.4259	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0178a01cf1fd3deaafb938ee	family.project_origin	year.2025	CUPPING	9	2	2	0.1709	0.3989	0.0000	0.0000	0.8547	0.0000	0.2849	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:017bd1f31a2e6f71ad32d661	family.coffeereview_kaggle_parsed	year.2007	CUPPING	1	1	1	0.5741	0.2870	0.0464	0.0000	0.7654	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:017e6049c0e13a26c75583b8	family.zenodo_golovinsky_q_grader_dataset	year.2026	CUPPING	51	12	8	0.0000	0.1161	0.0000	0.0000	0.0000	0.4388	0.1032	0.5162	0.2581	0.0000	0.6710	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:018918e385610924eb680132	family.ace_cup_of_excellence	year.2024	CUPPING	31	18	12	0.5572	0.4252	0.0000	0.1393	0.6964	0.0000	0.0000	0.0000	0.0000	0.0660	0.0000	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:018a5a60bc6a3dcbd1114c4c	family.coffeereview_kaggle_parsed	year.2002	CUPPING	3	2	2	0.5502	0.1500	0.1856	0.0000	0.8002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:018a5cad3866fd3e8a9641b2	family.coffeereview_kaggle_parsed	year.2007	CUPPING	1	0	0	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	EMPTY	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:018ab8fef96c61aa5ec80553	family.coffeereview_kaggle_parsed	year.2012	CUPPING	4	1	1	0.4191	0.8490	0.1969	0.2547	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:018c4fd50830b2bca1dc52d5	family.coffeereview_kaggle_parsed	year.2014	CUPPING	4	3	3	0.2168	0.0000	0.1971	0.0000	0.3825	0.8501	0.0000	0.2125	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:018ffc19bb66a254b7d4df20	family.coffeereview_kaggle_parsed	year.2006	CUPPING	1	0	0	0.3223	0.0000	0.9466	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	EMPTY	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01a271b1d68182304a66c188	family.coffeereview_kaggle_parsed	year.2023	CUPPING	5	3	3	0.2723	0.4964	0.2667	0.5515	0.4412	0.2206	0.2206	0.1103	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01a286321fce9d86edbdc816	family.coffeereview_kaggle_parsed	year.1997	CUPPING	3	1	1	0.2165	0.0000	0.9763	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01a5fe8b219ce4b3b7b0b943	family.coffeereview_kaggle_parsed	year.2020	CUPPING	5	1	1	0.3756	0.0000	0.3679	0.0000	0.0000	0.7608	0.0000	0.3804	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01a652e035230e63bc3fef04	family.coffeereview_kaggle_parsed	year.2008	CUPPING	1	0	0	0.3223	0.0000	0.9466	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	EMPTY	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01b0f57235d2959b7901be90	family.coffeereview_kaggle_parsed	year.2015	CUPPING	5	1	1	0.2040	0.5332	0.1855	0.0000	0.0000	0.7998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01b4e53b3b77399bce67132f	family.coffeereview_kaggle_parsed	year.2016	CUPPING	5	4	4	0.3804	0.2959	0.1568	0.5072	0.6763	0.0000	0.1691	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01bd19af33139cbc74abdaa0	family.coffeereview_kaggle_parsed	year.2021	ESPRESSO	5	1	1	0.0000	0.0000	0.2031	0.0000	0.0000	0.8758	0.0000	0.4379	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01c15240aeaec0e56bca3972	family.coffeereview_kaggle_parsed	year.2020	ESPRESSO	6	6	4	0.3137	0.2614	0.3034	0.5228	0.6273	0.0000	0.0000	0.0784	0.0000	0.0000	0.2614	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01c606b51ba325ea03fc4c67	family.coffeereview_kaggle_parsed	year.2022	CUPPING	5	2	2	0.6574	0.5917	0.1525	0.0000	0.3287	0.2630	0.0000	0.1315	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01c6d19cad4fc3357669475a	family.coffeereview_kaggle_parsed	year.2021	CUPPING	5	2	2	0.1716	0.0000	0.1560	0.0000	0.0000	0.6729	0.0000	0.2019	0.0000	0.0000	0.6729	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:01cdae7348911e7982c93653	family.coffeereview_kaggle_parsed	year.2016	CUPPING	5	4	4	0.3364	0.5517	0.3296	0.0974	0.6815	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
