group	n	question_id	option_id	within_question_share_corrected	pruning
band=light|process=anaerobic	293	B	B8	0.1124	
band=light|process=anaerobic	293	B	B9	0.0311	
band=light|process=anaerobic	293	C	C1	0.1974	
band=light|process=anaerobic	293	C	C3	0.2284	kept
band=light|process=anaerobic	293	C	C4	0.0424	
band=light|process=anaerobic	293	C	C5	0.1924	
band=light|process=anaerobic	293	C	C6	0.3062	kept
band=light|process=anaerobic	293	C	C7	0.0333	
band=light|process=anaerobic|variety=caturra	32	A	A1	0.2675	kept
band=light|process=anaerobic|variety=caturra	32	A	A2	0.1688	
band=light|process=anaerobic|variety=caturra	32	A	A3	0.2088	kept
band=light|process=anaerobic|variety=caturra	32	A	A4	0.2160	kept
band=light|process=anaerobic|variety=caturra	32	A	A5	0.1089	
band=light|process=anaerobic|variety=caturra	32	A	A6	0.0262	
band=light|process=anaerobic|variety=caturra	32	A	A7	0.0038	
band=light|process=anaerobic|variety=caturra	32	A	A8	0.0000	
band=light|process=anaerobic|variety=caturra	32	B	B1	0.0901	
band=light|process=anaerobic|variety=caturra	32	B	B2	0.0011	
band=light|process=anaerobic|variety=caturra	32	B	B3	0.0292	
band=light|process=anaerobic|variety=caturra	32	B	B4	0.1542	
band=light|process=anaerobic|variety=caturra	32	B	B5	0.3421	kept
band=light|process=anaerobic|variety=caturra	32	B	B6	0.0084	
band=light|process=anaerobic|variety=caturra	32	B	B7	0.1650	kept
band=light|process=anaerobic|variety=caturra	32	B	B8	0.1698	kept
band=light|process=anaerobic|variety=caturra	32	B	B9	0.0402	
band=light|process=anaerobic|variety=caturra	32	C	C1	0.1307	
band=light|process=anaerobic|variety=caturra	32	C	C3	0.3242	kept
band=light|process=anaerobic|variety=caturra	32	C	C4	0.0389	
band=light|process=anaerobic|variety=caturra	32	C	C5	0.0705	
band=light|process=anaerobic|variety=caturra	32	C	C6	0.3922	kept
band=light|process=anaerobic|variety=caturra	32	C	C7	0.0436	
band=light|process=anaerobic|variety=ethiopian_landrace	31	A	A1	0.3011	kept
band=light|process=anaerobic|variety=ethiopian_landrace	31	A	A2	0.2597	kept
band=light|process=anaerobic|variety=ethiopian_landrace	31	A	A3	0.1160	
band=light|process=anaerobic|variety=ethiopian_landrace	31	A	A4	0.2324	kept
band=light|process=anaerobic|variety=ethiopian_landrace	31	A	A5	0.0642	
band=light|process=anaerobic|variety=ethiopian_landrace	31	A	A6	0.0243	
band=light|process=anaerobic|variety=ethiopian_landrace	31	A	A7	0.0023	
band=light|process=anaerobic|variety=ethiopian_landrace	31	A	A8	0.0000	
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B1	0.1822	kept
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B2	0.0072	
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B3	0.0310	
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B4	0.1224	
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B5	0.4269	kept
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B6	0.0025	
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B7	0.0686	
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B8	0.1292	kept
band=light|process=anaerobic|variety=ethiopian_landrace	31	B	B9	0.0300	
band=light|process=anaerobic|variety=ethiopian_landrace	31	C	C1	0.3132	kept
band=light|process=anaerobic|variety=ethiopian_landrace	31	C	C3	0.2809	kept
band=light|process=anaerobic|variety=ethiopian_landrace	31	C	C4	0.0443	
band=light|process=anaerobic|variety=ethiopian_landrace	31	C	C5	0.0216	
band=light|process=anaerobic|variety=ethiopian_landrace	31	C	C6	0.2451	
band=light|process=anaerobic|variety=ethiopian_landrace	31	C	C7	0.0948	
band=light|process=anaerobic|variety=gesha	49	A	A1	0.2964	kept
band=light|process=anaerobic|variety=gesha	49	A	A2	0.1973	kept
band=light|process=anaerobic|variety=gesha	49	A	A3	0.1250	
band=light|process=anaerobic|variety=gesha	49	A	A4	0.2836	kept
band=light|process=anaerobic|variety=gesha	49	A	A5	0.0841	
band=light|process=anaerobic|variety=gesha	49	A	A6	0.0076	
band=light|process=anaerobic|variety=gesha	49	A	A7	0.0059	
band=light|process=anaerobic|variety=gesha	49	A	A8	0.0000	
band=light|process=anaerobic|variety=gesha	49	B	B1	0.1849	kept
band=light|process=anaerobic|variety=gesha	49	B	B2	0.0008	
band=light|process=anaerobic|variety=gesha	49	B	B3	0.0596	
band=light|process=anaerobic|variety=gesha	49	B	B4	0.0705	
band=light|process=anaerobic|variety=gesha	49	B	B5	0.3912	kept
band=light|process=anaerobic|variety=gesha	49	B	B6	0.0057	
band=light|process=anaerobic|variety=gesha	49	B	B7	0.1933	kept
band=light|process=anaerobic|variety=gesha	49	B	B8	0.0719	
band=light|process=anaerobic|variety=gesha	49	B	B9	0.0221	
band=light|process=anaerobic|variety=gesha	49	C	C1	0.1979	
band=light|process=anaerobic|variety=gesha	49	C	C3	0.1602	
band=light|process=anaerobic|variety=gesha	49	C	C4	0.0232	
band=light|process=anaerobic|variety=gesha	49	C	C5	0.3153	kept
band=light|process=anaerobic|variety=gesha	49	C	C6	0.2851	kept
band=light|process=anaerobic|variety=gesha	49	C	C7	0.0183	
band=light|process=carbonic_maceration	32	A	A1	0.2885	kept
band=light|process=carbonic_maceration	32	A	A2	0.2077	kept
band=light|process=carbonic_maceration	32	A	A3	0.1942	
band=light|process=carbonic_maceration	32	A	A4	0.2127	kept
band=light|process=carbonic_maceration	32	A	A5	0.0733	
band=light|process=carbonic_maceration	32	A	A6	0.0199	
band=light|process=carbonic_maceration	32	A	A7	0.0035	
band=light|process=carbonic_maceration	32	A	A8	0.0002	
band=light|process=carbonic_maceration	32	B	B1	0.1761	kept
band=light|process=carbonic_maceration	32	B	B2	0.0056	
band=light|process=carbonic_maceration	32	B	B3	0.0263	
band=light|process=carbonic_maceration	32	B	B4	0.1651	kept
band=light|process=carbonic_maceration	32	B	B5	0.3219	kept
band=light|process=carbonic_maceration	32	B	B6	0.0387	
band=light|process=carbonic_maceration	32	B	B7	0.0859	
band=light|process=carbonic_maceration	32	B	B8	0.1194	
band=light|process=carbonic_maceration	32	B	B9	0.0609	
band=light|process=carbonic_maceration	32	C	C1	0.3417	kept
band=light|process=carbonic_maceration	32	C	C3	0.1599	
band=light|process=carbonic_maceration	32	C	C4	0.0556	
band=light|process=carbonic_maceration	32	C	C5	0.0532	
band=light|process=carbonic_maceration	32	C	C6	0.3528	kept
band=light|process=carbonic_maceration	32	C	C7	0.0368	
band=light|process=honey	81	A	A1	0.2763	kept
band=light|process=honey	81	A	A2	0.1804	kept
band=light|process=honey	81	A	A3	0.2414	kept
band=light|process=honey	81	A	A4	0.1600	
band=light|process=honey	81	A	A5	0.0919	
band=light|process=honey	81	A	A6	0.0477	
band=light|process=honey	81	A	A7	0.0022	
band=light|process=honey	81	A	A8	0.0001	
band=light|process=honey	81	B	B1	0.1976	kept
band=light|process=honey	81	B	B2	0.0037	
band=light|process=honey	81	B	B3	0.0175	
band=light|process=honey	81	B	B4	0.1831	kept
band=light|process=honey	81	B	B5	0.3092	kept
band=light|process=honey	81	B	B6	0.0064	
band=light|process=honey	81	B	B7	0.0874	
band=light|process=honey	81	B	B8	0.1345	
band=light|process=honey	81	B	B9	0.0607	
band=light|process=honey	81	C	C1	0.2767	kept
band=light|process=honey	81	C	C3	0.2312	
band=light|process=honey	81	C	C4	0.0797	
band=light|process=honey	81	C	C5	0.0661	
band=light|process=honey	81	C	C6	0.2662	kept
band=light|process=honey	81	C	C7	0.0801	
band=light|process=natural	1236	A	A1	0.2536	kept
band=light|process=natural	1236	A	A2	0.3081	kept
band=light|process=natural	1236	A	A3	0.1585	kept
band=light|process=natural	1236	A	A4	0.1490	
band=light|process=natural	1236	A	A5	0.1043	
band=light|process=natural	1236	A	A6	0.0175	
band=light|process=natural	1236	A	A7	0.0081	
band=light|process=natural	1236	A	A8	0.0010	
band=light|process=natural	1236	B	B1	0.1590	kept
band=light|process=natural	1236	B	B2	0.0031	
band=light|process=natural	1236	B	B3	0.0502	
band=light|process=natural	1236	B	B4	0.1776	kept
band=light|process=natural	1236	B	B5	0.3372	kept
band=light|process=natural	1236	B	B6	0.0067	
band=light|process=natural	1236	B	B7	0.1010	
band=light|process=natural	1236	B	B8	0.1193	
band=light|process=natural	1236	B	B9	0.0459	
band=light|process=natural	1236	C	C1	0.2927	kept
band=light|process=natural	1236	C	C3	0.2193	
band=light|process=natural	1236	C	C4	0.0731	
band=light|process=natural	1236	C	C5	0.0711	
band=light|process=natural	1236	C	C6	0.3072	kept
band=light|process=natural	1236	C	C7	0.0367	
band=light|process=natural|variety=bourbon	99	A	A1	0.2307	kept
band=light|process=natural|variety=bourbon	99	A	A2	0.3033	kept
band=light|process=natural|variety=bourbon	99	A	A3	0.1743	kept
band=light|process=natural|variety=bourbon	99	A	A4	0.1678	
band=light|process=natural|variety=bourbon	99	A	A5	0.1139	
band=light|process=natural|variety=bourbon	99	A	A6	0.0066	
band=light|process=natural|variety=bourbon	99	A	A7	0.0030	
band=light|process=natural|variety=bourbon	99	A	A8	0.0004	
band=light|process=natural|variety=bourbon	99	B	B1	0.1302	kept
band=light|process=natural|variety=bourbon	99	B	B2	0.0120	
band=light|process=natural|variety=bourbon	99	B	B3	0.0408	
band=light|process=natural|variety=bourbon	99	B	B4	0.2158	kept
band=light|process=natural|variety=bourbon	99	B	B5	0.3305	kept
band=light|process=natural|variety=bourbon	99	B	B6	0.0026	
band=light|process=natural|variety=bourbon	99	B	B7	0.1079	
band=light|process=natural|variety=bourbon	99	B	B8	0.1101	
band=light|process=natural|variety=bourbon	99	B	B9	0.0503	
band=light|process=natural|variety=bourbon	99	C	C1	0.2662	kept
band=light|process=natural|variety=bourbon	99	C	C3	0.2193	
band=light|process=natural|variety=bourbon	99	C	C4	0.0831	
band=light|process=natural|variety=bourbon	99	C	C5	0.0724	
band=light|process=natural|variety=bourbon	99	C	C6	0.3452	kept
band=light|process=natural|variety=bourbon	99	C	C7	0.0138	
band=light|process=natural|variety=catuai	34	A	A1	0.2146	kept
band=light|process=natural|variety=catuai	34	A	A2	0.2816	kept
band=light|process=natural|variety=catuai	34	A	A3	0.1521	
band=light|process=natural|variety=catuai	34	A	A4	0.1982	kept
band=light|process=natural|variety=catuai	34	A	A5	0.1067	
band=light|process=natural|variety=catuai	34	A	A6	0.0412	
band=light|process=natural|variety=catuai	34	A	A7	0.0050	
band=light|process=natural|variety=catuai	34	A	A8	0.0006	
band=light|process=natural|variety=catuai	34	B	B1	0.1599	kept
band=light|process=natural|variety=catuai	34	B	B2	0.0019	
band=light|process=natural|variety=catuai	34	B	B3	0.0502	
band=light|process=natural|variety=catuai	34	B	B4	0.2086	kept
band=light|process=natural|variety=catuai	34	B	B5	0.3280	kept
band=light|process=natural|variety=catuai	34	B	B6	0.0381	
band=light|process=natural|variety=catuai	34	B	B7	0.0767	
band=light|process=natural|variety=catuai	34	B	B8	0.0997	
band=light|process=natural|variety=catuai	34	B	B9	0.0369	
band=light|process=natural|variety=catuai	34	C	C1	0.3103	kept
band=light|process=natural|variety=catuai	34	C	C3	0.1672	
band=light|process=natural|variety=catuai	34	C	C4	0.0970	
band=light|process=natural|variety=catuai	34	C	C5	0.0729	
band=light|process=natural|variety=catuai	34	C	C6	0.2651	kept
band=light|process=natural|variety=catuai	34	C	C7	0.0873	
band=light|process=natural|variety=caturra	64	A	A1	0.2784	kept
band=light|process=natural|variety=caturra	64	A	A2	0.3033	kept
band=light|process=natural|variety=caturra	64	A	A3	0.1501	kept
band=light|process=natural|variety=caturra	64	A	A4	0.1445	
band=light|process=natural|variety=caturra	64	A	A5	0.0888	
band=light|process=natural|variety=caturra	64	A	A6	0.0188	
band=light|process=natural|variety=caturra	64	A	A7	0.0156	
band=light|process=natural|variety=caturra	64	A	A8	0.0005	
band=light|process=natural|variety=caturra	64	B	B1	0.1466	
band=light|process=natural|variety=caturra	64	B	B2	0.0016	
band=light|process=natural|variety=caturra	64	B	B3	0.0253	
band=light|process=natural|variety=caturra	64	B	B4	0.1831	kept
band=light|process=natural|variety=caturra	64	B	B5	0.3756	kept
band=light|process=natural|variety=caturra	64	B	B6	0.0034	
band=light|process=natural|variety=caturra	64	B	B7	0.0863	
band=light|process=natural|variety=caturra	64	B	B8	0.1479	kept
band=light|process=natural|variety=caturra	64	B	B9	0.0303	
band=light|process=natural|variety=caturra	64	C	C1	0.1864	
band=light|process=natural|variety=caturra	64	C	C3	0.3418	kept
band=light|process=natural|variety=caturra	64	C	C4	0.0520	
band=light|process=natural|variety=caturra	64	C	C5	0.0529	
band=light|process=natural|variety=caturra	64	C	C6	0.3268	kept
band=light|process=natural|variety=caturra	64	C	C7	0.0402	
band=light|process=natural|variety=ethiopian_landrace	247	A	A1	0.2565	kept
band=light|process=natural|variety=ethiopian_landrace	247	A	A2	0.3712	kept
band=light|process=natural|variety=ethiopian_landrace	247	A	A3	0.1355	
band=light|process=natural|variety=ethiopian_landrace	247	A	A4	0.1399	kept
band=light|process=natural|variety=ethiopian_landrace	247	A	A5	0.0862	
band=light|process=natural|variety=ethiopian_landrace	247	A	A6	0.0035	
band=light|process=natural|variety=ethiopian_landrace	247	A	A7	0.0070	
band=light|process=natural|variety=ethiopian_landrace	247	A	A8	0.0002	
band=light|process=natural|variety=ethiopian_landrace	247	B	B1	0.1498	kept
band=light|process=natural|variety=ethiopian_landrace	247	B	B2	0.0006	
band=light|process=natural|variety=ethiopian_landrace	247	B	B3	0.0455	
band=light|process=natural|variety=ethiopian_landrace	247	B	B4	0.1644	kept
band=light|process=natural|variety=ethiopian_landrace	247	B	B5	0.3779	kept
band=light|process=natural|variety=ethiopian_landrace	247	B	B6	0.0014	
band=light|process=natural|variety=ethiopian_landrace	247	B	B7	0.0743	
band=light|process=natural|variety=ethiopian_landrace	247	B	B8	0.1396	
band=light|process=natural|variety=ethiopian_landrace	247	B	B9	0.0464	
band=light|process=natural|variety=ethiopian_landrace	247	C	C1	0.3308	kept
band=light|process=natural|variety=ethiopian_landrace	247	C	C3	0.2313	
band=light|process=natural|variety=ethiopian_landrace	247	C	C4	0.1049	
band=light|process=natural|variety=ethiopian_landrace	247	C	C5	0.0241	
band=light|process=natural|variety=ethiopian_landrace	247	C	C6	0.3016	kept
band=light|process=natural|variety=ethiopian_landrace	247	C	C7	0.0073	
band=light|process=natural|variety=gesha	158	A	A1	0.2495	kept
band=light|process=natural|variety=gesha	158	A	A2	0.2285	kept
band=light|process=natural|variety=gesha	158	A	A3	0.1738	
band=light|process=natural|variety=gesha	158	A	A4	0.1787	kept
band=light|process=natural|variety=gesha	158	A	A5	0.1622	
band=light|process=natural|variety=gesha	158	A	A6	0.0047	
band=light|process=natural|variety=gesha	158	A	A7	0.0022	
band=light|process=natural|variety=gesha	158	A	A8	0.0003	
band=light|process=natural|variety=gesha	158	B	B1	0.2345	kept
band=light|process=natural|variety=gesha	158	B	B2	0.0008	
band=light|process=natural|variety=gesha	158	B	B3	0.0293	
band=light|process=natural|variety=gesha	158	B	B4	0.1487	kept
band=light|process=natural|variety=gesha	158	B	B5	0.3607	kept
band=light|process=natural|variety=gesha	158	B	B6	0.0018	
band=light|process=natural|variety=gesha	158	B	B7	0.1120	
band=light|process=natural|variety=gesha	158	B	B8	0.0793	
band=light|process=natural|variety=gesha	158	B	B9	0.0329	
band=light|process=natural|variety=gesha	158	C	C1	0.3345	kept
band=light|process=natural|variety=gesha	158	C	C3	0.1711	
band=light|process=natural|variety=gesha	158	C	C4	0.0207	
band=light|process=natural|variety=gesha	158	C	C5	0.0747	
band=light|process=natural|variety=gesha	158	C	C6	0.3886	kept
band=light|process=natural|variety=gesha	158	C	C7	0.0104	
band=light|process=washed	1544	A	A1	0.3188	kept
band=light|process=washed	1544	A	A2	0.1198	
band=light|process=washed	1544	A	A3	0.2423	kept
band=light|process=washed	1544	A	A4	0.2001	kept
band=light|process=washed	1544	A	A5	0.0859	
band=light|process=washed	1544	A	A6	0.0307	
band=light|process=washed	1544	A	A7	0.0024	
band=light|process=washed	1544	A	A8	0.0000	
band=light|process=washed	1544	B	B1	0.1779	kept
band=light|process=washed	1544	B	B2	0.0120	
band=light|process=washed	1544	B	B3	0.0432	
band=light|process=washed	1544	B	B4	0.1848	kept
band=light|process=washed	1544	B	B5	0.3016	kept
band=light|process=washed	1544	B	B6	0.0067	
band=light|process=washed	1544	B	B7	0.0824	
band=light|process=washed	1544	B	B8	0.1479	
band=light|process=washed	1544	B	B9	0.0434	
band=light|process=washed	1544	C	C1	0.2021	
band=light|process=washed	1544	C	C3	0.2511	kept
band=light|process=washed	1544	C	C4	0.0656	
band=light|process=washed	1544	C	C5	0.0670	
band=light|process=washed	1544	C	C6	0.3606	kept
band=light|process=washed	1544	C	C7	0.0537	
band=light|process=washed|variety=bourbon	264	A	A1	0.2920	kept
band=light|process=washed|variety=bourbon	264	A	A2	0.0858	
band=light|process=washed|variety=bourbon	264	A	A3	0.2436	kept
band=light|process=washed|variety=bourbon	264	A	A4	0.2789	kept
band=light|process=washed|variety=bourbon	264	A	A5	0.0628	
band=light|process=washed|variety=bourbon	264	A	A6	0.0364	
band=light|process=washed|variety=bourbon	264	A	A7	0.0004	
band=light|process=washed|variety=bourbon	264	A	A8	0.0000	
band=light|process=washed|variety=bourbon	264	B	B1	0.1189	
band=light|process=washed|variety=bourbon	264	B	B2	0.0076	
band=light|process=washed|variety=bourbon	264	B	B3	0.0294	
band=light|process=washed|variety=bourbon	264	B	B4	0.2520	kept
band=light|process=washed|variety=bourbon	264	B	B5	0.2416	kept
band=light|process=washed|variety=bourbon	264	B	B6	0.0156	
band=light|process=washed|variety=bourbon	264	B	B7	0.0947	
band=light|process=washed|variety=bourbon	264	B	B8	0.1772	kept
band=light|process=washed|variety=bourbon	264	B	B9	0.0631	
band=light|process=washed|variety=bourbon	264	C	C1	0.1560	
band=light|process=washed|variety=bourbon	264	C	C3	0.3356	kept
band=light|process=washed|variety=bourbon	264	C	C4	0.0750	
band=light|process=washed|variety=bourbon	264	C	C5	0.1021	
band=light|process=washed|variety=bourbon	264	C	C6	0.2735	kept
band=light|process=washed|variety=bourbon	264	C	C7	0.0577	
band=light|process=washed|variety=caturra	102	A	A1	0.2435	kept
band=light|process=washed|variety=caturra	102	A	A2	0.1013	
band=light|process=washed|variety=caturra	102	A	A3	0.2702	kept
band=light|process=washed|variety=caturra	102	A	A4	0.2311	kept
band=light|process=washed|variety=caturra	102	A	A5	0.0883	
band=light|process=washed|variety=caturra	102	A	A6	0.0648	
band=light|process=washed|variety=caturra	102	A	A7	0.0009	
band=light|process=washed|variety=caturra	102	A	A8	0.0000	
band=light|process=washed|variety=caturra	102	B	B1	0.1260	
band=light|process=washed|variety=caturra	102	B	B2	0.0047	
band=light|process=washed|variety=caturra	102	B	B3	0.0269	
