slot	question_id	option	prompt_zh_cn	prompt_en	label_zh_cn	label_en	basis	owner_reviewed	cues_zh_cn	cues_en
Q2	Q6_sweet	D	能喝出甜味吗？更像哪一种？	Do you taste sweetness? Which kind?	甜感不明显	hardly any sweetness	OWNER_COPY_REVIEW_2026-09-12 (exit option: the question must allow 'no sweetness'); increment {} in Matrix_Q	false	不甜|没什么甜|甜感不明显|不太甜|几乎不甜|没有甜|不是很甜|不怎么甜	not sweet|no sweetness|hardly sweet|hardly any sweetness|not much sweetness
Q3	Q7_body	A	口感如何？	How does it feel in the mouth?	清爽，像绿茶或果汁	light, like green tea or juice	OWNER_REWORDED_2026-09-12 (plain spoken questions); OWNER_APPROVED_2026-09-12 (Q0 wording localised by the owner: no literal 'bright' calque, no negative 'sharp/sour'); OPERATOR_COLLOQUIAL_DRAFT_2026-09-12 from the owner's Q5-Q10 option spec	true	清爽|轻盈|很轻|绿茶|果汁|茶一样|清茶|淡茶|茶汤	light|juicy|green tea|tea-like|delicate|light tea|tea
Q3	Q7_body	B	口感如何？	How does it feel in the mouth?	顺滑，像牛奶或丝绒	smooth, like milk or velvet	OWNER_REWORDED_2026-09-12 (plain spoken questions); OWNER_APPROVED_2026-09-12 (Q0 wording localised by the owner: no literal 'bright' calque, no negative 'sharp/sour'); OPERATOR_COLLOQUIAL_DRAFT_2026-09-12 from the owner's Q5-Q10 option spec	true	顺滑|牛奶|丝绒|奶油|圆润|丝滑	smooth|milky|velvet|creamy|round
Q3	Q7_body	C	口感如何？	How does it feel in the mouth?	厚重，像黑巧或糖浆	heavy, like dark chocolate or syrup	OWNER_REWORDED_2026-09-12 (plain spoken questions); OWNER_APPROVED_2026-09-12 (Q0 wording localised by the owner: no literal 'bright' calque, no negative 'sharp/sour'); OPERATOR_COLLOQUIAL_DRAFT_2026-09-12 from the owner's Q5-Q10 option spec	true	厚重|糖浆|很厚|重口|黏稠|浓稠	heavy|syrupy|thick|dense|weighty
Q3	Q7_body	D	口感如何？	How does it feel in the mouth?	发涩，像喝了浓茶	astringent, like strong tea	OWNER_REVIEW_5_2026-09-12 (concrete wording; Q5 as the owner phrased the four answers); OWNER_REVIEW_4_2026-09-12 (fourth option: astringency; increment body:1 defect:0.5)	false	涩|发涩|浓茶那种涩|发干|收敛|锁喉|刮舌	astringent|drying|puckering|like strong tea
Q4	Q9_bitter	A	尾段苦吗？	Bitter at the end?	微苦，像可可或坚果皮	slightly bitter, like cocoa or nut skin	OWNER_REVIEW_5_2026-09-12 (concrete wording; Q5 as the owner phrased the four answers); OWNER_COPY_REVIEW_2_2026-09-12 (intensity only: A bitter_roasted:1, B none, C bitter_roasted:2 — the nutty_chocolate part of the old A left with the 回甘 wording); OWNER_COPY_REVIEW_2026-09-12 (cues: mild markers only; the bare 苦 no longer decides between 'a little' and 'clearly'); OWNER_REWORDED_2026-09-12 (plain spoken questions); OWNER_APPROVED_2026-09-12 (Q0 wording localised by the owner: no literal 'bright' calque, no negative 'sharp/sour'); OPERATOR_COLLOQUIAL_DRAFT_2026-09-12 from the owner's Q5-Q10 option spec	true	微苦|有一点苦|有点苦|一点苦|略苦|可可那种苦|坚果皮|苦得舒服|苦中带甜|带一点苦|回甘	slightly bitter|a little bitter|a bit bitter|touch of bitterness|cocoa bitterness|bittersweet|pleasant bitterness
Q4	Q9_bitter	B	尾段苦吗？	Bitter at the end?	没有明显苦感	no noticeable bitterness	OWNER_REVIEW_5_2026-09-12 (concrete wording; Q5 as the owner phrased the four answers); OWNER_COPY_REVIEW_2_2026-09-12 (intensity only: A bitter_roasted:1, B none, C bitter_roasted:2 — the nutty_chocolate part of the old A left with the 回甘 wording); OWNER_REWORDED_2026-09-12 (plain spoken questions); OWNER_APPROVED_2026-09-12 (Q0 wording localised by the owner: no literal 'bright' calque, no negative 'sharp/sour'); OPERATOR_COLLOQUIAL_DRAFT_2026-09-12 from the owner's Q5-Q10 option spec	true	不苦|完全不苦|没有苦|无苦|一点都不苦|没有明显苦|不太苦	not bitter|no bitterness|zero bitterness|no noticeable bitterness
Q4	Q9_bitter	C	尾段苦吗？	Bitter at the end?	苦得明显，像浓缩或炭烧	clearly bitter, like espresso or charred roast	OWNER_REVIEW_5_2026-09-12 (concrete wording; Q5 as the owner phrased the four answers); OWNER_COPY_REVIEW_2_2026-09-12 (intensity only: A bitter_roasted:1, B none, C bitter_roasted:2 — the nutty_chocolate part of the old A left with the 回甘 wording); OWNER_COPY_REVIEW_2026-09-12 (exit option: the question must allow 'clearly bitter'); increment bitter_roasted:2 in Matrix_Q	false	很苦|太苦|好苦|非常苦|特别苦|苦味重|苦味很重|苦得明显|明显的苦|苦味盖过|盖过|苦得厉害|炭烧|焦苦|浓缩那种苦	very bitter|too bitter|strongly bitter|clearly bitter|harsh bitterness|charred|burnt|espresso-like bitterness
Q5	Q10_clean	A	整体更像哪种？	Overall, which is closer?	味道混在一起，各种风味都有一点	flavors mixed together, a little of everything	OWNER_REVIEW_5_2026-09-12 (concrete wording; Q5 as the owner phrased the four answers); OWNER_COPY_REVIEW_2026-09-12 (label narrowed to one dimension); OWNER_REWORDED_2026-09-12 (plain spoken questions); OWNER_APPROVED_2026-09-12 (Q0 wording localised by the owner: no literal 'bright' calque, no negative 'sharp/sour'); OPERATOR_COLLOQUIAL_DRAFT_2026-09-12 from the owner's Q5-Q10 option spec	true	混在一起|都有一点|混合|杂|各种味道|混着	mixed together|a bit of everything|blended|jumbled
Q5	Q10_clean	B	整体更像哪种？	Overall, which is closer?	饱满圆润，一致性很高	full and round, very consistent	OWNER_REVIEW_5_2026-09-12 (concrete wording; Q5 as the owner phrased the four answers); OWNER_COPY_REVIEW_2026-09-12 (label narrowed to one dimension); OWNER_REWORDED_2026-09-12 (plain spoken questions); OWNER_APPROVED_2026-09-12 (Q0 wording localised by the owner: no literal 'bright' calque, no negative 'sharp/sour'); OPERATOR_COLLOQUIAL_DRAFT_2026-09-12 from the owner's Q5-Q10 option spec	true	饱满|圆润|一致|统一|顺|厚实|浑然|浓郁	full|round|consistent|seamless|rich
Q5	Q10_clean	C	整体更像哪种？	Overall, which is closer?	能分清楚多种味道，层次明确	several flavors told apart, clear layers	OWNER_REVIEW_5_2026-09-12 (concrete wording; Q5 as the owner phrased the four answers); OWNER_REVIEW_4_2026-09-12 (muddled vs full: increment fermented_winey:0.5 defect:0.5)	false	层次|分得清|清晰|分明|干净利落|一层一层|分清楚	layered|distinct|clear|clean|separate
Q5	Q10_clean	D	整体更像哪种？	Overall, which is closer?	感觉不错但说不上来	nice, but hard to say	OWNER_REVIEW_5_2026-09-12 (concrete wording; Q5 as the owner phrased the four answers); OWNER_REVIEW_4_2026-09-12 (exit option; increment {})	false	说不上来|不确定|不好说|不知道|说不清	hard to say|not sure|can't tell|can't put my finger on it
