evidence_claim_key	target_entity_type	target_entity_key	source_family_key	source_key	snapshot_key	evidence_basis	evidence_direction	evidence_scope	evidence_locator	method	support_count	document_count	source_diversity	review_status	limitation
claim.wiktionary.membership.jasmine	MEMBERSHIP	membership.floral-tea.jasmine	family.wiktionary-revision-set-20260825	wiktionary.en.revision-set.20260825	snapshot.wiktionary.en.20260825	LEXICAL_ATTESTATION	INSUFFICIENT	LEXICAL_REVISION	English Wiktionary jasmine oldid=91967689	Exact-revision title attestation	1	1	1	REVIEWED	Word attestation does not establish floral/tea range membership or bilingual equivalence.
claim.wiktionary.membership.juicy-acidity	MEMBERSHIP	membership.acidity-character.juicy	family.wiktionary-revision-set-20260825	wiktionary.en.revision-set.20260825	snapshot.wiktionary.en.20260825	LEXICAL_ATTESTATION	INSUFFICIENT	LEXICAL_REVISION	English Wiktionary juicy oldid=92296005	Exact-revision title attestation	1	1	1	REVIEWED	A general dictionary title does not establish coffee acidity semantics and is below the frozen occurrence/document thresholds.
claim.wiktionary.membership.juicy-texture	MEMBERSHIP	membership.texture-body-drying.juicy	family.wiktionary-revision-set-20260825	wiktionary.en.revision-set.20260825	snapshot.wiktionary.en.20260825	LEXICAL_ATTESTATION	INSUFFICIENT	LEXICAL_REVISION	English Wiktionary juicy oldid=92296005	Exact-revision title attestation	1	1	1	REVIEWED	A general dictionary title does not establish coffee texture semantics and is below the frozen occurrence/document thresholds.
claim.wiktionary.membership.tea-like	MEMBERSHIP	membership.texture-body-drying.tea-like	family.wiktionary-revision-set-20260825	wiktionary.en.revision-set.20260825	snapshot.wiktionary.en.20260825	LEXICAL_ATTESTATION	INSUFFICIENT	LEXICAL_REVISION	English Wiktionary query result: tea-like missing at 2026-08-25	Exact-revision-set presence/absence audit	0	1	1	REVIEWED	Missing-page status is not negative evidence and cannot support the current range placement.
claim.wiktionary.question.bright	QUESTION_TARGET	question-range.bright-acidity.acidity-character	family.wiktionary-revision-set-20260825	wiktionary.en.revision-set.20260825	snapshot.wiktionary.en.20260825	QUESTION_WORDING_EVIDENCE	INSUFFICIENT	LEXICAL_REVISION	English bright oldid=92199582; Chinese 明亮 oldid=9162433	Cross-edition title-attestation review without equivalence assertion	2	2	1	REVIEWED	Two titles within one conservative source family are not independent bilingual review and do not validate the question.
claim.wiktionary.question.floral-tea	QUESTION_TARGET	question-range.floral-tea-reference.floral-tea	family.wiktionary-revision-set-20260825	wiktionary.zh.revision-set.20260825	snapshot.wiktionary.zh.20260825	QUESTION_WORDING_EVIDENCE	INSUFFICIENT	LEXICAL_REVISION	Chinese 茉莉 oldid=8510635; 茉莉花香 missing at 2026-08-25	Exact-revision-set title audit	1	2	1	REVIEWED	Attestation of 茉莉 and absence of the compound do not establish experiential equivalence with jasmine or validate wording.
claim.wiktionary.question.tea-style	QUESTION_TARGET	question-range.tea-style-reference.floral-tea	family.wiktionary-revision-set-20260825	wiktionary.zh.revision-set.20260825	snapshot.wiktionary.zh.20260825	QUESTION_WORDING_EVIDENCE	INSUFFICIENT	LEXICAL_REVISION	Chinese 茶感 missing; English tea-like missing at 2026-08-25	Exact-revision-set presence/absence audit	0	2	1	REVIEWED	Missing pages are not negative evidence and no independent bilingual reviewer exists.
claim.wiktionary.question.texture	QUESTION_TARGET	question-range.texture-character.texture-body-drying	family.wiktionary-revision-set-20260825	wiktionary.zh.revision-set.20260825	snapshot.wiktionary.zh.20260825	QUESTION_WORDING_EVIDENCE	INSUFFICIENT	LEXICAL_REVISION	Chinese 多汁感 and 果汁感 missing; English juicy oldid=92296005	Cross-edition title-attestation audit	1	3	1	REVIEWED	Literal morphology and title availability cannot validate juicy as a texture construct.
claim.wiktionary.question.family-floral	QUESTION_TARGET	question-range.family-direction.floral-tea	family.wiktionary-revision-set-20260825	wiktionary.zh.revision-set.20260825	snapshot.wiktionary.zh.20260825	QUESTION_WORDING_EVIDENCE	INSUFFICIENT	LEXICAL_REVISION	Chinese 茉莉 oldid=8510635; English jasmine oldid=91967689	Cross-edition title-attestation review	2	2	1	REVIEWED	The editions remain one conservative source family and no user or bilingual review was performed.
claim.wiktionary.question.roast-medium-light	QUESTION_TARGET	question-range.roast-direction.roast-spice-smoke	family.wiktionary-revision-set-20260825	wiktionary.zh.revision-set.20260825	snapshot.wiktionary.zh.20260825	QUESTION_WORDING_EVIDENCE	INSUFFICIENT	LEXICAL_REVISION	English medium-light; Chinese 中浅烘 and 浅中烘 all missing at 2026-08-25	Exact-revision-set presence/absence audit	0	3	1	REVIEWED	Missing-page status does not resolve the ordering or bilingual register risk.
