model	variant	scope	groups	ndcg5	recall5	recall8	attribute_mae	wrong_initial_count	wrong_direction_correction_rate	correct_initial_count	correct_direction_loss_rate	direction_not_identifiable_count	duplicate_evidence_max_gain	real_answer_evaluation
supervised_soft_profile	V2	ALL_DEVELOPMENT_GROUPS	187	0.4271453310048531	0.5001782531194295	0.6655080213903742	0.2047927108115142	89	0.011235955056179775	106	0.018867924528301886	16	0.0	NOT_EVALUATED
supervised_soft_profile	V2	inera	73	0.49433209372946474	0.6586757990867579	0.8984018264840182	0.2047927108115142	55	0.0	39	0.02564102564102564	1	0.0	NOT_EVALUATED
supervised_soft_profile	V2	lengupa	21	0.2852662803433468	0.3333333333333333	0.4682539682539682		6	0.0	6	0.0	9	0.0	NOT_EVALUATED
supervised_soft_profile	V2	zenodo	93	0.40644453944565906	0.4134408602150537	0.5272401433691756		28	0.03571428571428571	61	0.01639344262295082	6	0.0	NOT_EVALUATED
supervised_soft_profile_rank2	V1	ALL_DEVELOPMENT_GROUPS	187	0.443497008379032	0.5067736185383244	0.6844028520499108	0.17438265772999686	0		0		0		NOT_EVALUATED
supervised_soft_profile_rank2	V1	inera	73	0.5168661594401867	0.6712328767123288	0.9166666666666667	0.17438265772999686	0		0		0		NOT_EVALUATED
supervised_soft_profile_rank2	V1	lengupa	21	0.2823404447264664	0.3333333333333333	0.4682539682539682		0		0		0		NOT_EVALUATED
supervised_soft_profile_rank2	V1	zenodo	93	0.4222963611665544	0.4168458781362007	0.5508960573476702		0		0		0		NOT_EVALUATED
supervised_soft_profile_rank2	V2	ALL_DEVELOPMENT_GROUPS	187	0.42448375046540404	0.49884135472370766	0.6650623885918003	0.20489248742240038	90	0.011111111111111112	105	0.0	16	0.0	NOT_EVALUATED
supervised_soft_profile_rank2	V2	inera	73	0.4886758020457946	0.6586757990867579	0.8949771689497716	0.20489248742240038	55	0.0	39	0.0	1	0.0	NOT_EVALUATED
supervised_soft_profile_rank2	V2	lengupa	21	0.2852662803433468	0.3333333333333333	0.4682539682539682		6	0.0	6	0.0	9	0.0	NOT_EVALUATED
supervised_soft_profile_rank2	V2	zenodo	93	0.4055326440911534	0.41075268817204297	0.529032258064516		29	0.034482758620689655	60	0.0	6	0.0	NOT_EVALUATED
