dataset	model	groups	held_group_index	held_conditions	stage	standardized_mae	delta_from_base	c0_other_error_increase	c1_other_error_increase	both_error_increase	status	scope	reason
iswaldi_consumer_sensory	C_C1	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	0.5624403925319396	-0.32663904823239154	0.0	0.9081547811256939	0.9081547811256939	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory	C_ADD	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	0.43953576954403667	-0.4495436712202944	0.40844987685387507	1.030816447594835	1.097478480323102	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory	C_JOINT	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	0.433511985984627	-0.4555674547797041	0.415324507262306	1.0433869789203543	1.1091551512569873	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory	C_BASE	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	0.8909415436299374	0.0	0.0	0.0	0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory	C_C0	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	0.7995619280084605	-0.0913796156214769	0.2590403807345594	0.0	0.2590403807345594	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory	C_C1	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	0.5863927686454056	-0.3045487749845318	0.0	0.7707782495339912	0.7707782495339912	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory	C_ADD	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	0.44328329210650447	-0.4476582515234329	0.41782770730606195	0.9056925092746073	0.9918236697140588	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory	C_JOINT	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	0.43771636252272256	-0.4532251811072148	0.42450158941933075	0.9184646645999728	1.0057497762288656	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory		2			INITIAL_EXTRACTION						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
iswaldi_consumer_sensory		2			FOUNDATION_CHECK						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
iswaldi_consumer_sensory		2			FINAL_RESULT						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
stanek_chemical	C_BASE	6	0	3	CONTEXT_ONLY_SOURCE_NATIVE	1.365916691872517	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C0	6	0	3	CONTEXT_ONLY_SOURCE_NATIVE	1.3676211791567496	0.0017044872842326697	0.038314652884281486		0.038314652884281486	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C1	6	0	3	CONTEXT_ONLY_SOURCE_NATIVE	1.365916691872517	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_ADD	6	0	3	CONTEXT_ONLY_SOURCE_NATIVE	1.3676211791567496	0.0017044872842326697	0.038314652884281486		0.038314652884281486	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_JOINT	6	0	3	CONTEXT_ONLY_SOURCE_NATIVE	1.3676211791567496	0.0017044872842326697	0.038314652884281486		0.038314652884281486	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_BASE	6	1	3	CONTEXT_ONLY_SOURCE_NATIVE	0.6742983297129315	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C0	6	1	3	CONTEXT_ONLY_SOURCE_NATIVE	0.591701377297367	-0.08259695241556442	0.17722701114877526		0.17722701114877526	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C1	6	1	3	CONTEXT_ONLY_SOURCE_NATIVE	0.6742983297129315	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_ADD	6	1	3	CONTEXT_ONLY_SOURCE_NATIVE	0.591701377297367	-0.08259695241556442	0.17722701114877526		0.17722701114877526	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_JOINT	6	1	3	CONTEXT_ONLY_SOURCE_NATIVE	0.591701377297367	-0.08259695241556442	0.17722701114877526		0.17722701114877526	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_BASE	6	2	3	CONTEXT_ONLY_SOURCE_NATIVE	1.171014270454559	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C0	6	2	3	CONTEXT_ONLY_SOURCE_NATIVE	1.1710142704545592	2.220446049250313e-16	-0.11226887916215622		-0.11226887916215622	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C1	6	2	3	CONTEXT_ONLY_SOURCE_NATIVE	1.171014270454559	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_ADD	6	2	3	CONTEXT_ONLY_SOURCE_NATIVE	1.1710142704545592	2.220446049250313e-16	-0.11226887916215622		-0.11226887916215622	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_JOINT	6	2	3	CONTEXT_ONLY_SOURCE_NATIVE	1.1710142704545592	2.220446049250313e-16	-0.11226887916215622		-0.11226887916215622	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_BASE	6	3	3	CONTEXT_ONLY_SOURCE_NATIVE	1.4983870524279428	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C0	6	3	3	CONTEXT_ONLY_SOURCE_NATIVE	1.515149227515136	0.016762175087193132	0.12837797241128324		0.12837797241128324	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C1	6	3	3	CONTEXT_ONLY_SOURCE_NATIVE	1.4983870524279428	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_ADD	6	3	3	CONTEXT_ONLY_SOURCE_NATIVE	1.515149227515136	0.016762175087193132	0.12837797241128324		0.12837797241128324	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_JOINT	6	3	3	CONTEXT_ONLY_SOURCE_NATIVE	1.515149227515136	0.016762175087193132	0.12837797241128324		0.12837797241128324	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_BASE	6	4	3	CONTEXT_ONLY_SOURCE_NATIVE	0.5992082680669857	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C0	6	4	3	CONTEXT_ONLY_SOURCE_NATIVE	0.5374610256555227	-0.06174724241146301	0.11590431564910442		0.11590431564910442	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C1	6	4	3	CONTEXT_ONLY_SOURCE_NATIVE	0.5992082680669857	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_ADD	6	4	3	CONTEXT_ONLY_SOURCE_NATIVE	0.5374610256555227	-0.06174724241146301	0.11590431564910442		0.11590431564910442	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_JOINT	6	4	3	CONTEXT_ONLY_SOURCE_NATIVE	0.5374610256555227	-0.06174724241146301	0.11590431564910442		0.11590431564910442	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_BASE	6	5	3	CONTEXT_ONLY_SOURCE_NATIVE	1.1320950748689438	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C0	6	5	3	CONTEXT_ONLY_SOURCE_NATIVE	1.0919398369587012	-0.04015523791024256	0.08075309338883474		0.08075309338883474	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_C1	6	5	3	CONTEXT_ONLY_SOURCE_NATIVE	1.1320950748689438	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_ADD	6	5	3	CONTEXT_ONLY_SOURCE_NATIVE	1.0919398369587012	-0.04015523791024256	0.08075309338883474		0.08075309338883474	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical	C_JOINT	6	5	3	CONTEXT_ONLY_SOURCE_NATIVE	1.0919398369587012	-0.04015523791024256	0.08075309338883474		0.08075309338883474	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
stanek_chemical		6			INITIAL_EXTRACTION						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
stanek_chemical		6			FOUNDATION_CHECK						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
stanek_chemical		6			FINAL_RESULT						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
vezzulli_panel	C_BASE	2	0	4	CONTEXT_ONLY_SOURCE_NATIVE	0.944145267118844	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_C0	2	0	4	CONTEXT_ONLY_SOURCE_NATIVE	0.8412324491375749	-0.10291281798126906	0.3596490052285639		0.3596490052285639	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_C1	2	0	4	CONTEXT_ONLY_SOURCE_NATIVE	0.944145267118844	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_ADD	2	0	4	CONTEXT_ONLY_SOURCE_NATIVE	0.8412324491375749	-0.10291281798126906	0.3596490052285639		0.3596490052285639	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_JOINT	2	0	4	CONTEXT_ONLY_SOURCE_NATIVE	0.8412324491375749	-0.10291281798126906	0.3596490052285639		0.3596490052285639	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_BASE	2	1	4	CONTEXT_ONLY_SOURCE_NATIVE	1.437735159806441	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_C0	2	1	4	CONTEXT_ONLY_SOURCE_NATIVE	1.2902678422091691	-0.14746731759727183	0.37393713097853		0.37393713097853	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_C1	2	1	4	CONTEXT_ONLY_SOURCE_NATIVE	1.437735159806441	0.0	0.0		0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_ADD	2	1	4	CONTEXT_ONLY_SOURCE_NATIVE	1.2902678422091691	-0.14746731759727183	0.37393713097853		0.37393713097853	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel	C_JOINT	2	1	4	CONTEXT_ONLY_SOURCE_NATIVE	1.2902678422091691	-0.14746731759727183	0.37393713097853		0.37393713097853	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
vezzulli_panel		2			INITIAL_EXTRACTION						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
vezzulli_panel		2			FOUNDATION_CHECK						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
vezzulli_panel		2			FINAL_RESULT						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
