configuration_id	true_target_concept_id	predicted_target_concept_id	output_count	protocol
B0_EXACT_LOOKUP	sensory.pear	sensory.pear	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.prune	sensory.prune	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.tobacco	sensory.tobacco	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.vanilla	sensory.vanilla	8	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.walnut	sensory.walnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.woody	sensory.woody	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.almond	sensory.caramel	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.apple	sensory.caramel	9	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.bergamot	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.bitter	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.black_tea	sensory.caramel	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.blackcurrant	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.blueberry	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.caramel	sensory.caramel	22	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.cardamom	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.cherry	sensory.caramel	4	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.clove	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.cocoa	sensory.caramel	26	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.dark_chocolate	sensory.caramel	17	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.grape	sensory.caramel	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.grapefruit	sensory.caramel	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.green_tea	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.hay	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.hazelnut	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.lemon	sensory.caramel	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.nutmeg	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.orange	sensory.caramel	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.peach	sensory.caramel	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.peanut	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.pear	sensory.caramel	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.prune	sensory.caramel	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.tobacco	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.vanilla	sensory.caramel	8	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.walnut	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B1_MAJORITY	sensory.woody	sensory.caramel	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.almond	sensory.almond	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.apple	sensory.apple	9	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.bergamot	sensory.bergamot	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.bitter	sensory.bitter	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.black_tea	sensory.black_tea	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.blackcurrant	sensory.blackcurrant	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.blueberry	sensory.blueberry	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.caramel	sensory.caramel	22	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.cardamom	sensory.cardamom	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.cherry	sensory.cherry	4	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.clove	sensory.apple	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.cocoa	sensory.cocoa	26	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.dark_chocolate	sensory.dark_chocolate	17	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.grape	sensory.grape	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.grapefruit	sensory.grapefruit	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.green_tea	sensory.green_tea	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.hay	sensory.apple	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.hazelnut	sensory.hazelnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.lemon	sensory.lemon	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.nutmeg	sensory.nutmeg	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.orange	sensory.orange	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.peach	sensory.peach	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.peanut	sensory.peanut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.pear	sensory.pear	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.prune	sensory.prune	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.tobacco	sensory.tobacco	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.vanilla	sensory.vanilla	8	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.walnut	sensory.walnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B2_CHAR_LINEAR	sensory.woody	sensory.woody	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.almond	sensory.almond	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.apple	sensory.apple	9	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.bergamot	sensory.bergamot	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.bitter	sensory.bitter	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.black_tea	sensory.black_tea	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.blackcurrant	sensory.blackcurrant	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.blueberry	sensory.blueberry	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.caramel	sensory.caramel	22	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.cardamom	sensory.cardamom	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.cherry	sensory.cherry	4	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.clove	sensory.alcoholic	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.cocoa	sensory.cocoa	26	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.dark_chocolate	sensory.dark_chocolate	17	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.grape	sensory.grape	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.grapefruit	sensory.grapefruit	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.green_tea	sensory.green_tea	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.hay	sensory.alcoholic	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.hazelnut	sensory.hazelnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.lemon	sensory.lemon	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.nutmeg	sensory.nutmeg	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.orange	sensory.orange	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.peach	sensory.peach	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.peanut	sensory.peanut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.pear	sensory.pear	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.prune	sensory.prune	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.tobacco	sensory.tobacco	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.vanilla	sensory.vanilla	8	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.walnut	sensory.walnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B3_CHAR_NEAREST	sensory.woody	sensory.woody	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.almond	sensory.almond	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.apple	sensory.apple	9	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.bergamot	sensory.bergamot	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.bitter	sensory.bitter	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.black_tea	sensory.black_tea	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.blackcurrant	sensory.blackcurrant	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.blueberry	sensory.blueberry	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.caramel	sensory.caramel	22	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.cardamom	sensory.cardamom	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.cherry	sensory.cherry	4	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.clove	sensory.chamomile	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.cocoa	sensory.cocoa	26	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.dark_chocolate	sensory.dark_chocolate	17	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.grape	sensory.grape	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.grapefruit	sensory.grapefruit	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.green_tea	sensory.green_tea	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.hay	sensory.chamomile	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.hazelnut	sensory.hazelnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.lemon	sensory.lemon	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.nutmeg	sensory.nutmeg	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.orange	sensory.orange	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.peach	sensory.peach	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.peanut	sensory.peanut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.pear	sensory.pear	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.prune	sensory.prune	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.tobacco	sensory.tobacco	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.vanilla	sensory.vanilla	8	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.walnut	sensory.walnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B4_WORD_CHAR_LINEAR	sensory.woody	sensory.woody	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.almond	sensory.almond	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.apple	sensory.apple	9	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.bergamot	sensory.bergamot	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.bitter	sensory.bitter	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.black_tea	sensory.black_tea	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.blackcurrant	sensory.blackcurrant	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.blueberry	sensory.blueberry	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.caramel	sensory.caramel	22	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.cardamom	sensory.cardamom	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.cherry	sensory.cherry	4	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.clove	sensory.grape	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.cocoa	sensory.cocoa	26	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.dark_chocolate	sensory.dark_chocolate	17	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.grape	sensory.grape	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.grapefruit	sensory.grapefruit	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.green_tea	sensory.green_tea	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.hay	sensory.cocoa	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.hazelnut	sensory.hazelnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.lemon	sensory.lemon	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.nutmeg	sensory.nutmeg	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.orange	sensory.orange	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.peach	sensory.peach	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.peanut	sensory.peanut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.pear	sensory.pear	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.prune	sensory.prune	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.tobacco	sensory.tobacco	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.vanilla	sensory.vanilla	8	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.walnut	sensory.walnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
E1_WORD_CHAR_CONTEXT	sensory.woody	sensory.woody	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
