group_id	split	output_atom_count	source_family_ids	year_ids	effective_record_ids	coffee_identity_ids	duplicate_group_ids	publication_layers	target_concept_ids	grouping_contract
smoke-group:0af4e040c56bba805747b613	TRAIN	3	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:aebe997343d0c4f8b42f2726	coffee-post20k:7e90133e0156d235d1fb4c4c		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.banana|sensory.caramel|sensory.hazelnut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:0eb643399f87a63cac1d39ea	TRAIN	5	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:2811c39d24e2ae3ec44edccc	coffee-b2:24220c9e629f5c3ac160a1ec		JUDGE_LEVEL_OBSERVATION	sensory.caramel|sensory.mango|sensory.pear	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:0f41973da7e415809aa4a925	DEV	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:8caef70f377a5d8db754695b	coffee-post20k:a31576e70423c32bb53b3bef		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:10957c8ac2c4419aa6381468	TEST	11	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:a01716b6832f3cb461ef5f53	coffee-b2:011b6e8495a35eed7aff56cc		JUDGE_LEVEL_OBSERVATION	sensory.apple|sensory.caramel|sensory.cherry|sensory.cocoa|sensory.dark_chocolate|sensory.grapefruit|sensory.hazelnut|sensory.orange	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1149827198bb2b4a5342b3c5	TRAIN	2	family.frontiers_inera_robusta_q_grader_panel	year.2021|year.2022	effective-post20k:62ed2f66faac4e91cf0fe5ce|effective-post20k:db5e6389be0b40be2348c222	coffee-post20k:cd56e4dfc85baa05bd384096		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:119a08c33d76760b650e1059	TRAIN	2	family.frontiers_inera_robusta_q_grader_panel	year.2021|year.2022	effective-post20k:a52538d42d6ce9652d2da1f6|effective-post20k:c8c4eacd060f7986d3ff4f87	coffee-post20k:dd4121bd504b07331f16bec6		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:134975a6c9aa82fc20463c30	TRAIN	2	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:68413741a87a83f97f6470ec	coffee-post20k:b82c60c3c1affb92dc02e656		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.almond|sensory.caramel	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:148bad8827f054f1a49cf498	TRAIN	15	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:153e59684061d91715b735c9	coffee-b2:69422d51bb73eb877ab10d88		JUDGE_LEVEL_OBSERVATION	sensory.alcoholic|sensory.bergamot|sensory.black_tea|sensory.caramel|sensory.cherry|sensory.dark_chocolate|sensory.grape	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:16fce89d90341932b8301afa	TRAIN	4	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:ea8e91844a406a1293192841	coffee-b2:c939e7fafb0d520c43f5dc45		JUDGE_LEVEL_OBSERVATION	sensory.black_tea|sensory.caramel|sensory.green_tea|sensory.orange	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:171c524943e5884f914e10ab	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:6600bf40df0c95f64da81146	coffee-post20k:eaca25b2b98610645ef95eea		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:17dec9e0bb140d82d5a209e2	TRAIN	4	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:989ad8d6489e8792f5d93e71	coffee-post20k:d8a1fb7957e65e3452394441		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.banana|sensory.caramel|sensory.honey	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:186abf3c17c6f869abbf70ed	TEST	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:ec74fee3a0b833c6b952b9b6	coffee-post20k:7c13c4586153ab6b8793b5cd		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:18e789eda0c8b98e98df98f6	TEST	4	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:30e3731bbf6cff9b7ad4602a	coffee-b2:c8d839095f4933919cc3e2b0		JUDGE_LEVEL_OBSERVATION	sensory.black_tea|sensory.caramel|sensory.cocoa|sensory.peach	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:196b77db8c004906b103b2e6	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:f193a4c8fc39e0c6414b3f2e	coffee-post20k:6a7db5809e1fa5e8429cb1fe		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1a353697d84b0c612db8465b	DEV	3	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:6b247f1eea4fa67bf6419932	coffee-b2:10f88465e331db94a7ef8a20		JUDGE_LEVEL_OBSERVATION	sensory.cocoa|sensory.tobacco	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1a7bb86f7334c283081a7fea	TRAIN	20	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:c39da4ecabf61b39d3e20ba1	coffee-b2:d2bd29c565205b6e5bd6675f		JUDGE_LEVEL_OBSERVATION	sensory.apple|sensory.black_tea|sensory.blueberry|sensory.caramel|sensory.cardamom|sensory.cherry|sensory.dark_chocolate|sensory.grape|sensory.honey|sensory.molasses	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1bc5e22fc7b33abe49a41752	TRAIN	1	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:d2996dd48cd9e60eb93dbb8e	coffee-b2:aab63c63e8e233af077e9136		JUDGE_LEVEL_OBSERVATION	sensory.hazelnut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1bf9c2128942b16ccdbaf3ee	TRAIN	2	family.frontiers_inera_robusta_q_grader_panel	year.2021|year.2022	effective-post20k:5d5f6b4b272abb94a5442e0f|effective-post20k:e6144ec83539b375c2f9a2c9	coffee-post20k:33f96e32b8eb924d7252468a		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1c88dd62f95698e1b656708c	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2022	effective-post20k:85ae192c8538dc858b662c0d	coffee-post20k:1e39e4ed95992050e9410cb7		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1d8a1b66ff61da7a3e56790f	TRAIN	6	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:fc30d7cc20260d19a75abcd2	coffee-b2:8c9f68d01be4b0835199a08d		JUDGE_LEVEL_OBSERVATION	sensory.almond|sensory.black_tea|sensory.cocoa|sensory.dark_chocolate|sensory.hazelnut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1dbafab5fa249284994eacc1	TRAIN	3	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:63f7e8e8ebeaddd1c8f6abcc	coffee-b2:144daaa71c9e4a6a2a1c7dd5		JUDGE_LEVEL_OBSERVATION	sensory.caramel|sensory.hazelnut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1e4e175b91ee6066ff5571d0	TEST	2	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:f2d8f8bb7cf195a3699100b4	coffee-post20k:a9f1404881e809fba1cb1650		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.almond|sensory.caramel	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1f1669258a5030ae5fd940be	TEST	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:58ea3e9550f1cba221947b09	coffee-post20k:99a93964e5c39b336dc93fda		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1f37dad987b912af6628fba6	TRAIN	7	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:e6870e6c8fb7cbba0deb1557	coffee-b2:260be39065994f35511ed95e		JUDGE_LEVEL_OBSERVATION	sensory.black_pepper|sensory.cocoa|sensory.dark_chocolate|sensory.tobacco	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:1ffa863547f2b4585b80b62f	TEST	1	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:389b292a01538640e3b9ba12	coffee-b2:b1735e9b36afb2f668deb899		JUDGE_LEVEL_OBSERVATION	sensory.caramel	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:21b80f71c69a29a26bcc7fa0	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:d89999cc992496a9a13460ec	coffee-post20k:d81cb9388a8ba8716460f081		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:2335cd59974168cbf678aff1	TRAIN	17	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:c9b9b02cd6bd841b7d5d565f	coffee-b2:88519934910cfc9b1b99a613		JUDGE_LEVEL_OBSERVATION	sensory.apple|sensory.black_tea|sensory.caramel|sensory.cocoa|sensory.dark_chocolate|sensory.grape|sensory.hazelnut|sensory.lemon|sensory.prune|sensory.raisin|sensory.tobacco	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:288aaf20aaced3725f07414d	TEST	14	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:c601a11376ce73da899cd795	coffee-b2:812718bedb5aec14ed3d3460		JUDGE_LEVEL_OBSERVATION	sensory.bergamot|sensory.caramel|sensory.cocoa|sensory.dark_chocolate|sensory.pear|sensory.prune	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:291d3b31afcc7af234921e74	TRAIN	10	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:c5b144064b488597f6845529	coffee-b2:8a46b23e1463d926f834f2e6		JUDGE_LEVEL_OBSERVATION	sensory.caramel|sensory.cocoa|sensory.dark_chocolate|sensory.grapefruit|sensory.lemon|sensory.raisin|sensory.tobacco	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:2ad9a767b986ae059401e372	TRAIN	2	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:4897527c2f22ef620fb2b862	coffee-post20k:2cb15f2b6984b08f9f30ff10		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.caramel|sensory.honey	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:2ba6c18318ef49b61f058076	TRAIN	9	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:7ea70374ea0e51954d4325b0	coffee-b2:474aee4627ba61bc4a532c17		JUDGE_LEVEL_OBSERVATION	sensory.apple|sensory.caramel|sensory.cardamom|sensory.dark_chocolate|sensory.grapefruit	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:2d56713f96635bf82dea6f1e	TRAIN	8	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:0b99f5b68c1c37a4859e38f7	coffee-b2:6ed3d30053970609b6becb2c		JUDGE_LEVEL_OBSERVATION	sensory.alcoholic|sensory.apple|sensory.caramel|sensory.grape|sensory.orange|sensory.peach	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:2deedaeb1623522e48801f1a	TRAIN	2	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:a8d619585afbdb4cec2293d9	coffee-b2:9a157912c66cc45f8b4c5b78		JUDGE_LEVEL_OBSERVATION	sensory.black_tea|sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:2fe1741b5541519791c0060d	TRAIN	5	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:f15937a77056f54cb513b8a8	coffee-b2:b66c27b5634556d59ac55cfc		JUDGE_LEVEL_OBSERVATION	sensory.blueberry|sensory.caramel|sensory.cocoa|sensory.green_tea	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:30e96a4154bcfd65a94d3c5f	TRAIN	5	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:6d22ae80bd3eee29600004eb	coffee-b2:1fbda069891dbb16f15e16ba		JUDGE_LEVEL_OBSERVATION	sensory.black_tea|sensory.chamomile|sensory.cherry|sensory.cocoa|sensory.walnut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:31a8573c1115855db8487bdd	TRAIN	2	family.frontiers_inera_robusta_q_grader_panel	year.2021|year.2022	effective-post20k:2fb1f59f403eb1880d5f488a|effective-post20k:92c6f0a96b25ec5a1ea8c049	coffee-post20k:24f57260c94f47c470ceb118		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:31d584efdb0b2a7ee139f377	DEV	9	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:017e6049c0e13a26c75583b8	coffee-b2:d0a472223beacd1becb20738		JUDGE_LEVEL_OBSERVATION	sensory.black_pepper|sensory.caramel|sensory.cardamom|sensory.cocoa|sensory.dark_chocolate|sensory.hazelnut|sensory.tobacco	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:3395f61a6b864883d91734ea	DEV	1	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:5a3f291ce8927d7297c104dc	coffee-post20k:124a5f1cdb8986e9a814618d		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.peanut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:34bd7b409fbc3b16fc1a1c32	TRAIN	1	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:e14346761e1b73c955b64e6d	coffee-post20k:c047cb2af31bbb79ea7618c6		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.hazelnut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:3b82ca973fdbd56a5275179d	TEST	2	family.frontiers_inera_robusta_q_grader_panel	year.2021|year.2022	effective-post20k:699497e5f5d47f8c340d5ecf|effective-post20k:bd83ee3af820cd062eb8654d	coffee-post20k:46f0b5f56d055f2d00fd5a0d		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:3d43476ba421671de6b6144e	TRAIN	16	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:d317670a5472aba663c5fcd6	coffee-b2:cf591c95b0136d1ee659d931		JUDGE_LEVEL_OBSERVATION	sensory.black_tea|sensory.blackcurrant|sensory.caramel|sensory.cherry|sensory.cocoa|sensory.grape|sensory.grapefruit|sensory.jasmine|sensory.lemon|sensory.raspberry|sensory.tobacco	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:3da589cd1abbd26ee815061d	TRAIN	5	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:86d35964faf062b12363bd24	coffee-b2:501796d02af56ad47ac1a952		JUDGE_LEVEL_OBSERVATION	sensory.cinnamon|sensory.dark_chocolate|sensory.hazelnut|sensory.nutmeg|sensory.tobacco	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:3dd580a24c7370118d5ef449	TRAIN	12	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:1d39ea54f23390683f70ef57	coffee-b2:60ee758c4dc9920b33dcb52e		JUDGE_LEVEL_OBSERVATION	sensory.apple|sensory.bergamot|sensory.black_tea|sensory.caramel|sensory.lemongrass|sensory.peach	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:3e3826b4337f30d966390259	TRAIN	5	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:cc8c82e9549c51a6abcc1175	coffee-b2:8ade29e6bec5701efe22ce80		JUDGE_LEVEL_OBSERVATION	sensory.bergamot|sensory.blackcurrant|sensory.blueberry|sensory.walnut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:3f941b44413090eea0309691	TRAIN	7	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:08757c84e17a89f3d4e8cc71	coffee-b2:6471425fc638a51717377121		JUDGE_LEVEL_OBSERVATION	sensory.apple|sensory.caramel|sensory.cherry|sensory.jasmine|sensory.molasses|sensory.plum|sensory.raspberry	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:4002232829b4000816671356	DEV	12	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:6333e2b0f59e6c4e9f7e36a4	coffee-b2:52c7c736111e4cf2951f6349		JUDGE_LEVEL_OBSERVATION	sensory.black_tea|sensory.caramel|sensory.cocoa|sensory.orange|sensory.raisin|sensory.raspberry	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:41c89171980a0c2d34ce0ede	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2022	effective-post20k:4b67f7e4a88798751421bce9	coffee-post20k:3fb9dae59a5bc9a91a800bde		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:43f6715b698dcdde858367e9	TRAIN	4	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:0dd051c783f619899fbafaca	coffee-b2:da69942ea2108fb13378ca62		JUDGE_LEVEL_OBSERVATION	sensory.caramel|sensory.cocoa|sensory.grape|sensory.prune	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:467926c3b4ddc121456b50a8	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2022	effective-post20k:df69443883248f16a25af6b5	coffee-post20k:08286c6a77531406d4b0d689		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:4869f2ee46ea4a786618075d	DEV	2	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:8127bc14993430df5d528aad	coffee-post20k:8408b253125a80c554db8311		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.caramel	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:4ab455eb655f62486f1a51e3	TEST	1	family.frontiers_inera_robusta_q_grader_panel	year.2022	effective-post20k:5bdecc67a4d57d0ea497156d	coffee-post20k:09cf51bffad6e0775b132d95		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:4abb8465fde8f2e7f3ce39b1	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:e5bc246ac93b8395da93b9f8	coffee-post20k:839112f75532f846ca38d441		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:4b904a9b0b3ad9602bf94b52	TEST	4	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:d686b6b920a0d1f3928945eb	coffee-b2:d5e38dfcc883ab35b7c21222		JUDGE_LEVEL_OBSERVATION	sensory.cocoa|sensory.dark_chocolate|sensory.grape|sensory.peanut	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:4bf129e502af7d006f53de8b	TRAIN	12	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:5e07fc42cfb662f087f9a107	coffee-b2:4e3dc9ab28cf6ad6e03ad1ad		JUDGE_LEVEL_OBSERVATION	sensory.alcoholic|sensory.apple|sensory.caramel|sensory.grape|sensory.lime|sensory.pear|sensory.strawberry	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
