cleaned_output_atom_id	descriptor_assertion_id	cleaned_form_hash	source_family_id	semantic_class	mapping_state	normalization_authority	target_concept_id	noncommercial_model_research_right	restricted_text_available	engineering_smoke_eligible	exclusion_reasons	model_eligible
cleaned-output-atom:8ae7722e206485c93f2c56c7	assertion-b2:000aacf9227f82a63a359884	94e44d9d24608ae2161d0c56704f226dc89c2cd8be566abb8fbfbded5a507401	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:7c19038509f0f091a8ef0069	assertion-b2:000b8f49fcb70318dc6c7f56	ba7ad46689f94dc14c1a456ce5a72bd83dffaed8e6e5f83823d32b6ffcc33354	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	NO_GOVERNED_AUTHORITY	sensory.orange	UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:8e075f71ac273c378e232c22	assertion-b2:000d61c86d98f7f3d5f6e65b	2a4796d53a1ec4dd67daa38b92994c579e7ebe071ae5ceab870c5fc5736f2311	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:f1f11adafc22cc95648bc701	assertion-b2:000e8e1f6b90bf3e648b5479	1d1d7d90769a36e59b9e2d5ba60dec4a576747a895cc3f324f0ee72e7bae1125	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:e8ad69e027e090786029d6d9	assertion-b2:000ebf34597937fcfb4332f5	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.caramel	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:d6634f2484d215021111bb0b	assertion-b2:000f080b4c62c3acebf908c8	550b8ce3d164393f314eb1ba5a8cc74face29b90f9c94242c7182c448aa6a4c1	family.zenodo_golovinsky_q_grader_dataset	STRICT_FLAVOR	EXISTING_CANONICAL_MORPHOLOGICAL_VARIANT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.blueberry	AFFIRMATIVE_WITH_CONDITIONS	true	true	NONE	false
cleaned-output-atom:ea8b30dc2e3d5a38a81db28a	assertion-b2:0018963e588e7d39fad8dc2f	9fc0acf02304c58ef11763d6ed9229a99bc2da63b083950b7744f67161602469	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.creamy_mouthfeel	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:93b84ce2c3dcf18a3dd8111d	assertion-b2:00197273eff4eee36155d1ca	5e979f72abbd4f1b92171e8d9c0520f9921cf493ff70da32aee5b798048928b4	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	NO_GOVERNED_AUTHORITY	sensory.peach	UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:fba921b372f259d864535d69	assertion-b2:001a9af15aa4c940fbe9a5a8	5e737f891db1175442a39fde73e51d781a545506d71c95477a6deb5988bd7f9a	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.strawberry	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:7424a22f7705ddd105614a24	assertion-b2:001cf40446b69030f3ab01a5	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	family.ace_cup_of_excellence	STRICT_FLAVOR	AMBIGUOUS_CONCEPT_BOUNDARY	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:406eced7a4e53d3fb7fd3bb9	assertion-b2:001e988f6a3c0b434f8be9b1	6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.jasmine	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:cf14aa2e681c7b20cd82ccae	assertion-b2:001f76de5d9e6877c486c938	5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944	family.ace_cup_of_excellence	BROAD_SENSORY	QUALITY_OR_STRUCTURE_ATTRIBUTE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:9a306f94f8aad591903cb16c	assertion-b2:0020496e0f6c436af25487b8	447f7f5c325ea17e635bef91bac42e27c55490450f38f1815d8d6c0bb36687ac	family.ace_cup_of_excellence	INTENSITY_OR_QUALITY_MODIFIER	MODIFIER_OF_EXISTING_CONCEPT	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:c2397193cbdfaf4f5dd9de58	assertion-b2:0022263ca2ad6ad29704fa9f	85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.peach	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:d18c506d93d523c6585f3569	assertion-b2:0028ff0ee01564dbe6ef4835	97a95ca70b5e97bc30ed1c0c50ca0aacaa298c28ea9cf92de0dacd2e86d1ef5c	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:fb6443e0ed282ab75a45899e	assertion-b2:002af2f4f058240ba6d8b67a	4238b2540b3b9e8680909896fda4ca50c2e6945bf31e4377d492db5b1c82823d	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	NO_GOVERNED_AUTHORITY	sensory.leather	UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:51946707af9793ea79a582f1	assertion-b2:002c2bc5ce89f7b659a1bd56	efbaa8cbfffc1af3afcf8082a3732e4d5111104ae3f6ef8b2545975e50497505	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.lime	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:1a225920018d22f80d82008d	assertion-b2:002cb6937dc775318ef6eb4f	632e93023886160a2a5494cd49aeb72994fc61f6834355d175a423b99715a9df	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:1d8dd4dbe631025c211d3f84	assertion-b2:0031269daca4864d546aa9cb	846d124b6785689c70bc65cf99e0ea2e896349ffeb38cf1b1224b88b3982fe94	family.zenodo_golovinsky_q_grader_dataset	STRICT_FLAVOR	AMBIGUOUS_CONCEPT_BOUNDARY	NO_GOVERNED_AUTHORITY		AFFIRMATIVE_WITH_CONDITIONS	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET	false
cleaned-output-atom:b1aa8e2f7b394796d2af0b7f	assertion-b2:003179d40c9186858c5123b2	a97b0931730e83fbf9284ff00a4c5f7a4eef2189dddb89319a6dfa5871e28923	family.ace_cup_of_excellence	BROAD_SENSORY	QUALITY_OR_STRUCTURE_ATTRIBUTE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:4bbcd05d7fe59047f4704939	assertion-b2:0031b3a4de8b733a0655f241	1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.orange	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:d8da5249874e6a408baf1cfd	assertion-b2:0033ee6fde2d1ede92b13e38	6815f3c300383519de8e437497e2c3e97852fe8d717a5419d5aafb00cb43c494	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.mango	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:7c296b0211f056aeea03d5be	assertion-b2:003992b0bb07ac4a9ddca14f	ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76	family.ace_cup_of_excellence	QUALITY_EVALUATION	QUALITY_OR_STRUCTURE_ATTRIBUTE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:0d0f2e6414c3b4e5b2f73db6	assertion-b2:003b31b60bd5b05576f3c869	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	family.ace_cup_of_excellence	STRICT_FLAVOR	AMBIGUOUS_CONCEPT_BOUNDARY	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:6f7d00b0a88bdbc15bcaeab7	assertion-b2:003beb0e135d984bb5d28f8e	1b35cfba043c1d10319eaf830c8b0e3ad846e6c2249b2c12a250eea00f281919	family.zenodo_golovinsky_q_grader_dataset	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		AFFIRMATIVE_WITH_CONDITIONS	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET	false
cleaned-output-atom:1358ee5a8ec91cc088c7a467	assertion-b2:00449b2d07522eb392e10804	f47fbc6c899ad112af0315b7bcc94fc47a19197761455e3c510f84eaf9921a22	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:b6c1f9a6adeff28989b8c92c	assertion-b2:0044e493542cfcf8c5a7348d	099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.black_tea	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:497681f3d1c0803fcfa05631	assertion-b2:0045083c30f108d92fbb7023	9738eaf312d761a8ae49f777128dd19f894ee7b03d7b1d2fc04e890d6888f014	family.ace_cup_of_excellence	STRICT_FLAVOR	AMBIGUOUS_CONCEPT_BOUNDARY	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:e38b740e802a681ac1ceda58	assertion-b2:0047c4c6db986b35ce7cec09	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.almond	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:134cbbc4c17cc9dcc0f2a12b	assertion-b2:004a532e00ccc8593148eb8c	0f78fcc486f5315418fbf095e71c0675ee07d318e5ac4d150050cd8e57966496	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.grape	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:b4b524d541967012eabc2cd6	assertion-b2:004b4637ad9146099a7dabb8	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	family.ace_cup_of_excellence	INTENSITY_OR_QUALITY_MODIFIER	MODIFIER_OF_EXISTING_CONCEPT	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:7f7170b7aa8402deb1a58aa1	assertion-b2:004ce269826e4a54d8d5aaf2	2906010acb3279f7a91a4d48573952d449908d163bbcb2f56d7e5441e3ed4ef8	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:bcf78dadb6762349089dde4f	assertion-b2:0052e4da750ca6f7eaa726cb	ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.blueberry	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:72f8f044abb366d5fc5bfb31	assertion-b2:005329c87cc400a5f126afab	2daf0e6c79009f9234ed9baa5bb930898e2847810617e118518d88e4d3140a2e	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.cherry	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:f3c85abb105dbac37643251d	assertion-b2:00538b1b622b1db2a6cba0d6	85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.peach	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:bdf668eb735882e8a465c03e	assertion-b2:0055514d80bc47652749efe1	f464d7d71c06e47a535ce441aa202aa717cddeab902a45b0c283aac7a9a090d7	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.lemon	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:03ee2e709c86b9f7748b5a28	assertion-b2:0055514d80bc47652749efe1	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	family.ace_cup_of_excellence	INTENSITY_OR_QUALITY_MODIFIER	MODIFIER_OF_EXISTING_CONCEPT	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:dec3603ab877fa87bf158ab9	assertion-b2:005551c6a89ca3bba55c1f0c	98a4f7655958a385a0667bad61bac1b10f31df5f39eb57e06527dc1949acaf18	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:417e28ae81c108e5df1ef2b6	assertion-b2:0056cb2557beba8399e74b3d	25b2adcfec3e5d5332604e8b94e0ceb2f359aca275fc4610fab2030bbe566b9b	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:cca9429a782ff99c7e8c8b4f	assertion-b2:0057877aab729c80ab1cda10	dc9c5edb8b2d479e697b4b0b8ab874f32b325138598ce9e7b759eb8292110622	family.zenodo_golovinsky_q_grader_dataset	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		AFFIRMATIVE_WITH_CONDITIONS	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET	false
cleaned-output-atom:94d23d1a24cadabeed045b70	assertion-b2:00596deb590c9a96c56688d7	c371578fdc5ddc302a761f00d4542eaeaebf1364357c53f993b34744a76e1d81	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:026130920f4449fa39591457	assertion-b2:0059ed499d093fa471a103ac	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	family.ace_cup_of_excellence	STRICT_FLAVOR	AMBIGUOUS_CONCEPT_BOUNDARY	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:3526e3f794b3d85afdd682d2	assertion-b2:005ccec8e0c1a58752fe06c4	1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	family.zenodo_golovinsky_q_grader_dataset	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.orange	AFFIRMATIVE_WITH_CONDITIONS	true	true	NONE	false
cleaned-output-atom:ad70830295fdadd05dcc8a37	assertion-b2:005dc83c5d09a0133e2c9cc1	5296c024e03e439ba3d72c8e432d4f890b3cd0d2c36d67d428aa1e401e675b69	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.vanilla	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:1ec0d9c26c2bee526112bbda	assertion-b2:005eb8845862b1dc94067455	3609eddbc36b1a391389f1d1e9120f32a2bbabc811602a764f3bcb06bf6067c5	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:dfb4d56e72305d5722518fc3	assertion-b2:005ef4c86aafc146e289484b	7f18041501a6073856a11aeccde8725cb9fe20ddefe45b5772ae880290fb0f2c	family.ace_cup_of_excellence	BROAD_SENSORY	QUALITY_OR_STRUCTURE_ATTRIBUTE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
