decision_scope	regional_frame_key	decision_key	recorded_value	value_type	scope_effect	evidence_path	recorded_on	limitation
GLOBAL_SCOPE	GLOBAL	ALL_CORE_REGIONAL_SOURCE_FRAMES_COMPLETE	false	BOOLEAN	BLOCKS_GLOBAL_STOP	db/data/round3j/regional_user_evidence_expected_state.tsv	2026-08-26	All four core frames are conjunctive.
GLOBAL_SCOPE	GLOBAL	ALL_SECONDARY_REGIONAL_SOURCE_FRAMES_AUDITED	false	BOOLEAN	BLOCKS_GLOBAL_STOP	db/data/round3j/regional_user_evidence_expected_state.tsv	2026-08-26	Japan and South Korea are conjunctive audit gates.
GLOBAL_SCOPE	GLOBAL	REGIONAL_REPRESENTATIVENESS_CLAIM	false	BOOLEAN	PERMANENT_ROUND3J_LIMIT	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_USER_EVIDENCE_EXPECTED_STATE.md	2026-08-26	Frame completeness is not population representativeness.
REGIONAL_LANE	ALL	REGIONAL_LANE_STOP_REQUIRED_CONSECUTIVE_NO_MATERIAL_GAIN_BATCH_COUNT	2	INTEGER	NEW_REGIONAL_RULE	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_USER_EVIDENCE_EXPECTED_STATE.md	2026-08-26	Applies separately to each unmet region.
REGIONAL_LANE	ALL	REGIONAL_LANE_BATCH_REQUIRES_STRUCTURED_DATASET_OR_RESEARCH_SEARCH	true	BOOLEAN	NEW_REGIONAL_RULE	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_USER_EVIDENCE_EXPECTED_STATE.md	2026-08-26	Both search classes must occur in each counted batch.
REGIONAL_LANE	ALL	REGIONAL_LANE_BATCH_REQUIRES_COMMUNITY_OR_UGC_PERMISSION_SEARCH	true	BOOLEAN	NEW_REGIONAL_RULE	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_USER_EVIDENCE_EXPECTED_STATE.md	2026-08-26	Both search classes must occur in each counted batch.
GLOBAL_SCOPE	GLOBAL	GLOBAL_NO_GAIN_COUNT_ACROSS_UNRELATED_REGIONS_SUFFICIENT	false	BOOLEAN	NEW_REGIONAL_RULE	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_USER_EVIDENCE_EXPECTED_STATE.md	2026-08-26	No-gain counts cannot be pooled across regions.
REQUEST_GOVERNANCE	GLOBAL	REQUESTS_SENT_WITHOUT_EXPLICIT_USER_AUTHORIZATION	false	BOOLEAN	PERMANENT_GUARD	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_USER_EVIDENCE_EXPECTED_STATE.md	2026-08-26	Prepared requests remain unsent.
REGIONAL_LANE	MAINLAND_CHINA	REGIONAL_LANE_STATE	AUDIT_OPEN_NOT_STARTED	TEXT	BLOCKS_GLOBAL_STOP	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	No regional no-gain batch counted yet.
REGIONAL_LANE	TAIWAN	REGIONAL_LANE_STATE	AUDIT_OPEN_NOT_STARTED	TEXT	BLOCKS_GLOBAL_STOP	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	No regional no-gain batch counted yet.
REGIONAL_LANE	AU_NZ	REGIONAL_LANE_STATE	AUDIT_OPEN_NOT_STARTED	TEXT	BLOCKS_GLOBAL_STOP	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	No regional no-gain batch counted yet.
REGIONAL_LANE	US_CANADA	REGIONAL_LANE_STATE	AUDIT_OPEN_NOT_STARTED	TEXT	BLOCKS_GLOBAL_STOP	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	No regional no-gain batch counted yet.
REGIONAL_LANE	JAPAN	REGIONAL_LANE_STATE	AUDIT_OPEN_NOT_STARTED	TEXT	BLOCKS_GLOBAL_STOP	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	No regional no-gain batch counted yet.
REGIONAL_LANE	SOUTH_KOREA	REGIONAL_LANE_STATE	AUDIT_OPEN_NOT_STARTED	TEXT	BLOCKS_GLOBAL_STOP	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	No regional no-gain batch counted yet.
