section	region_key	region_class	readiness_key	requirement_operator	required_value	observed_value	hard_gate	passed	evidence_path	limitation
LANGUAGE_AUDIT	AU_NZ	CORE	en-NZ_market_language_audit_state	REPORT_REQUIRED	AUDITED_PRESENT_OR_MISSING_REPORTED	NOT_YET_AUDITED	true	false	future regional audit result	New Zealand must be audited independently within the combined frame.
LANGUAGE_AUDIT	US_CANADA	CORE	en-US_market_language_audit_state	REPORT_REQUIRED	AUDITED_PRESENT_OR_MISSING_REPORTED	NOT_YET_AUDITED	true	false	future regional audit result	United States must be audited independently within the combined frame.
LANGUAGE_AUDIT	US_CANADA	CORE	en-CA_market_language_audit_state	REPORT_REQUIRED	AUDITED_PRESENT_OR_MISSING_REPORTED	NOT_YET_AUDITED	true	false	future regional audit result	Canada must be audited independently within the combined frame.
LANGUAGE_AUDIT	JAPAN	SECONDARY	ja-JP_market_language_audit_state	REPORT_REQUIRED	AUDITED_PRESENT_OR_MISSING_REPORTED	NOT_YET_AUDITED	true	false	future regional audit result	Every missing mode and material gap remains explicit.
LANGUAGE_AUDIT	SOUTH_KOREA	SECONDARY	ko-KR_market_language_audit_state	REPORT_REQUIRED	AUDITED_PRESENT_OR_MISSING_REPORTED	NOT_YET_AUDITED	true	false	future regional audit result	Every missing mode and material gap remains explicit.
THRESHOLD	MAINLAND_CHINA	CORE	named_source_candidate_count	>=	6	NOT_YET_AUDITED	true	false	future regional audit result	Named audited candidates may be rights blocked; mirrors are one origin.
THRESHOLD	MAINLAND_CHINA	CORE	audited_independent_source_family_count	>=	2	NOT_YET_AUDITED	true	false	future regional audit result	Independence must be evidence backed.
THRESHOLD	MAINLAND_CHINA	CORE	structured_preference_or_sensory_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Mode B or C candidate; admission is not required.
THRESHOLD	MAINLAND_CHINA	CORE	user_generated_or_community_source_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Community candidate requires an enumerated authorization or block decision.
THRESHOLD	MAINLAND_CHINA	CORE	industry_or_professional_language_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Professional language stays distinct from consumer evidence.
THRESHOLD	MAINLAND_CHINA	CORE	rights_and_access_decision_completeness	=	1.0000	NOT_YET_AUDITED	true	false	future regional audit result	Every candidate requires an evidence-backed decision.
THRESHOLD	TAIWAN	CORE	named_source_candidate_count	>=	6	NOT_YET_AUDITED	true	false	future regional audit result	Named audited candidates may be rights blocked; mirrors are one origin.
THRESHOLD	TAIWAN	CORE	audited_independent_source_family_count	>=	2	NOT_YET_AUDITED	true	false	future regional audit result	Independence must be evidence backed.
THRESHOLD	TAIWAN	CORE	structured_preference_or_sensory_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Mode B or C candidate; admission is not required.
THRESHOLD	TAIWAN	CORE	user_generated_or_community_source_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Community candidate requires an enumerated authorization or block decision.
THRESHOLD	TAIWAN	CORE	industry_or_professional_language_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Professional language stays distinct from consumer evidence.
THRESHOLD	TAIWAN	CORE	rights_and_access_decision_completeness	=	1.0000	NOT_YET_AUDITED	true	false	future regional audit result	Every candidate requires an evidence-backed decision.
THRESHOLD	AU_NZ	CORE	named_source_candidate_count	>=	6	NOT_YET_AUDITED	true	false	future regional audit result	Named audited candidates may be rights blocked; mirrors are one origin.
THRESHOLD	AU_NZ	CORE	audited_independent_source_family_count	>=	2	NOT_YET_AUDITED	true	false	future regional audit result	Independence must be evidence backed.
THRESHOLD	AU_NZ	CORE	structured_preference_or_sensory_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Mode B or C candidate; admission is not required.
THRESHOLD	AU_NZ	CORE	user_generated_or_community_source_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Community candidate requires an enumerated authorization or block decision.
THRESHOLD	AU_NZ	CORE	industry_or_professional_language_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Preserve flat white long black and batch brew source locally without uniqueness claims.
THRESHOLD	AU_NZ	CORE	rights_and_access_decision_completeness	=	1.0000	NOT_YET_AUDITED	true	false	future regional audit result	Every candidate requires an evidence-backed decision.
THRESHOLD	US_CANADA	CORE	named_source_candidate_count	>=	6	NOT_YET_AUDITED	true	false	future regional audit result	Named audited candidates may be rights blocked; mirrors are one origin.
THRESHOLD	US_CANADA	CORE	audited_independent_source_family_count	>=	2	NOT_YET_AUDITED	true	false	future regional audit result	Independence must be evidence backed.
THRESHOLD	US_CANADA	CORE	structured_preference_or_sensory_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Mode B or C candidate; admission is not required.
THRESHOLD	US_CANADA	CORE	user_generated_or_community_source_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Reddit Home-Barista CoffeeGeek and peers require API permission or reusable snapshot evidence.
THRESHOLD	US_CANADA	CORE	industry_or_professional_language_candidate_count	>=	1	NOT_YET_AUDITED	true	false	future regional audit result	Professional language stays distinct from consumer evidence.
THRESHOLD	US_CANADA	CORE	rights_and_access_decision_completeness	=	1.0000	NOT_YET_AUDITED	true	false	future regional audit result	Every candidate requires an evidence-backed decision.
THRESHOLD	JAPAN	SECONDARY	named_source_candidate_count	>=	4	NOT_YET_AUDITED	true	false	future regional audit result	Admission is preferred but is not required for frame audit.
THRESHOLD	JAPAN	SECONDARY	audited_independent_source_family_count	>=	2	NOT_YET_AUDITED	true	false	future regional audit result	Mendeley and mirrors remain one family when they share one origin.
THRESHOLD	JAPAN	SECONDARY	rights_and_access_decision_completeness	=	1.0000	NOT_YET_AUDITED	true	false	future regional audit result	Every candidate requires an evidence-backed decision.
THRESHOLD	SOUTH_KOREA	SECONDARY	named_source_candidate_count	>=	4	NOT_YET_AUDITED	true	false	future regional audit result	Admission is preferred but is not required for frame audit.
THRESHOLD	SOUTH_KOREA	SECONDARY	audited_independent_source_family_count	>=	2	NOT_YET_AUDITED	true	false	future regional audit result	Institutional and repository mirrors do not create independence.
THRESHOLD	SOUTH_KOREA	SECONDARY	rights_and_access_decision_completeness	=	1.0000	NOT_YET_AUDITED	true	false	future regional audit result	Every candidate requires an evidence-backed decision.
MODE_REPORT	MAINLAND_CHINA	CORE	A_USER_GENERATED_SENSORY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	A missing mode must be explicit.
MODE_REPORT	MAINLAND_CHINA	CORE	B_STRUCTURED_PREFERENCE_OR_LIKING	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Do not pool with sensory scales.
MODE_REPORT	MAINLAND_CHINA	CORE	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Preserve source-local method and scale.
MODE_REPORT	MAINLAND_CHINA	CORE	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Professional language is not consumer preference evidence.
MODE_REPORT	TAIWAN	CORE	A_USER_GENERATED_SENSORY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	A missing mode must be explicit.
MODE_REPORT	TAIWAN	CORE	B_STRUCTURED_PREFERENCE_OR_LIKING	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Do not pool with sensory scales.
MODE_REPORT	TAIWAN	CORE	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Preserve source-local method and scale.
MODE_REPORT	TAIWAN	CORE	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Professional language is not consumer preference evidence.
MODE_REPORT	AU_NZ	CORE	A_USER_GENERATED_SENSORY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	A missing mode must be explicit.
MODE_REPORT	AU_NZ	CORE	B_STRUCTURED_PREFERENCE_OR_LIKING	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Do not pool with sensory scales.
MODE_REPORT	AU_NZ	CORE	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Preserve source-local method and scale.
MODE_REPORT	AU_NZ	CORE	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Professional language is not consumer preference evidence.
MODE_REPORT	US_CANADA	CORE	A_USER_GENERATED_SENSORY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	A missing mode must be explicit.
MODE_REPORT	US_CANADA	CORE	B_STRUCTURED_PREFERENCE_OR_LIKING	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Do not pool with sensory scales.
MODE_REPORT	US_CANADA	CORE	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Preserve source-local method and scale.
MODE_REPORT	US_CANADA	CORE	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Professional language is not consumer preference evidence.
MODE_REPORT	JAPAN	SECONDARY	A_USER_GENERATED_SENSORY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	A missing mode must be explicit even though presence is not a secondary threshold.
MODE_REPORT	JAPAN	SECONDARY	B_STRUCTURED_PREFERENCE_OR_LIKING	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Consumption preference stays distinct from sensory language.
MODE_REPORT	JAPAN	SECONDARY	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Preserve source-local method and scale.
MODE_REPORT	JAPAN	SECONDARY	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Professional terminology stays separate from purchase behaviour.
MODE_REPORT	SOUTH_KOREA	SECONDARY	A_USER_GENERATED_SENSORY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	A missing mode must be explicit even though presence is not a secondary threshold.
MODE_REPORT	SOUTH_KOREA	SECONDARY	B_STRUCTURED_PREFERENCE_OR_LIKING	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Consumption preference stays distinct from sensory language.
MODE_REPORT	SOUTH_KOREA	SECONDARY	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Preserve source-local method and scale.
MODE_REPORT	SOUTH_KOREA	SECONDARY	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	REPORT_REQUIRED	PRESENT_OR_MISSING	NOT_YET_AUDITED	true	false	future regional audit result	Professional terminology stays separate from purchase behaviour.
STOP_RULE	GLOBAL	GLOBAL	global_stop_prerequisite_core_frames	=	true	false	true	false	future regional audit result	All four core frames must complete.
STOP_RULE	GLOBAL	GLOBAL	global_stop_prerequisite_secondary_frames	=	true	false	true	false	future regional audit result	Japan and South Korea must be audited.
STOP_RULE	EACH_UNMET_REGION	REGIONAL	consecutive_targeted_no_material_gain_batches	>=	2	0	true	false	db/data/round3j/regional_acquisition_batch_ledger.tsv	Counts are per region and cannot be pooled.
STOP_RULE	EACH_UNMET_REGION	REGIONAL	structured_dataset_or_research_search_in_each_no_gain_batch	=	true	NOT_YET_AUDITED	true	false	db/data/round3j/regional_acquisition_batch_ledger.tsv	Required for each batch counted toward the regional stop.
STOP_RULE	EACH_UNMET_REGION	REGIONAL	community_or_ugc_permission_search_in_each_no_gain_batch	=	true	NOT_YET_AUDITED	true	false	db/data/round3j/regional_acquisition_batch_ledger.tsv	Required for each batch counted toward the regional stop.
DEFINITION	GLOBAL	GLOBAL	rights_and_access_decision_completeness_denominator	=	DISTINCT_NAMED_CANDIDATE_KEYS_IN_REGION	FROZEN	true	true	this expected-state contract	Multiple language audit rows for one candidate do not inflate completeness.
DEFINITION	GLOBAL	GLOBAL	rights_and_access_decision_completeness_numerator	=	CANDIDATES_WITH_ALL_ROWS_COMPLETE_ALLOWED_DECISION_AND_EVIDENCE	FROZEN	true	true	this expected-state contract	Generic PUBLIC_HTML blank or unsupported decisions are incomplete.
DEFINITION	GLOBAL	GLOBAL	forum_permission_request_count	=	COMPLETE_UNSENT_DATA_REQUEST_PREPARED_DOSSIERS	FROZEN	true	true	this expected-state contract	Request sent count remains zero without explicit user authorization.
