mode_audit_key	scope_type	regional_frame_key	source_market_region	language_tag	data_mode	candidate_count	candidate_level_state	admitted_source_count	admitted_level_state	evidence_path	limitation
mode-audit.TAIWAN.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.C	REGIONAL_FRAME	TAIWAN	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.TAIWAN.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.D	REGIONAL_FRAME	TAIWAN	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.TAIWAN.TAIWAN.zh-Hant-TW.A	ATOMIC_MARKET_LANGUAGE	TAIWAN	TAIWAN	zh-Hant-TW	A_USER_GENERATED_SENSORY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.TAIWAN.TAIWAN.zh-Hant-TW.B	ATOMIC_MARKET_LANGUAGE	TAIWAN	TAIWAN	zh-Hant-TW	B_STRUCTURED_PREFERENCE_OR_LIKING	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.TAIWAN.TAIWAN.zh-Hant-TW.C	ATOMIC_MARKET_LANGUAGE	TAIWAN	TAIWAN	zh-Hant-TW	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.TAIWAN.TAIWAN.zh-Hant-TW.D	ATOMIC_MARKET_LANGUAGE	TAIWAN	TAIWAN	zh-Hant-TW	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.A	REGIONAL_FRAME	AU_NZ	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	A_USER_GENERATED_SENSORY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.B	REGIONAL_FRAME	AU_NZ	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	B_STRUCTURED_PREFERENCE_OR_LIKING	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.C	REGIONAL_FRAME	AU_NZ	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.D	REGIONAL_FRAME	AU_NZ	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.AUSTRALIA.en-AU.A	ATOMIC_MARKET_LANGUAGE	AU_NZ	AUSTRALIA	en-AU	A_USER_GENERATED_SENSORY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.AUSTRALIA.en-AU.B	ATOMIC_MARKET_LANGUAGE	AU_NZ	AUSTRALIA	en-AU	B_STRUCTURED_PREFERENCE_OR_LIKING	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.AUSTRALIA.en-AU.C	ATOMIC_MARKET_LANGUAGE	AU_NZ	AUSTRALIA	en-AU	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.AUSTRALIA.en-AU.D	ATOMIC_MARKET_LANGUAGE	AU_NZ	AUSTRALIA	en-AU	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.NEW_ZEALAND.en-NZ.A	ATOMIC_MARKET_LANGUAGE	AU_NZ	NEW_ZEALAND	en-NZ	A_USER_GENERATED_SENSORY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.NEW_ZEALAND.en-NZ.B	ATOMIC_MARKET_LANGUAGE	AU_NZ	NEW_ZEALAND	en-NZ	B_STRUCTURED_PREFERENCE_OR_LIKING	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.NEW_ZEALAND.en-NZ.C	ATOMIC_MARKET_LANGUAGE	AU_NZ	NEW_ZEALAND	en-NZ	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.AU_NZ.NEW_ZEALAND.en-NZ.D	ATOMIC_MARKET_LANGUAGE	AU_NZ	NEW_ZEALAND	en-NZ	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.A	REGIONAL_FRAME	US_CANADA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	A_USER_GENERATED_SENSORY_LANGUAGE	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.B	REGIONAL_FRAME	US_CANADA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	B_STRUCTURED_PREFERENCE_OR_LIKING	5	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.C	REGIONAL_FRAME	US_CANADA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.D	REGIONAL_FRAME	US_CANADA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	5	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.UNITED_STATES.en-US.A	ATOMIC_MARKET_LANGUAGE	US_CANADA	UNITED_STATES	en-US	A_USER_GENERATED_SENSORY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.UNITED_STATES.en-US.B	ATOMIC_MARKET_LANGUAGE	US_CANADA	UNITED_STATES	en-US	B_STRUCTURED_PREFERENCE_OR_LIKING	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.UNITED_STATES.en-US.C	ATOMIC_MARKET_LANGUAGE	US_CANADA	UNITED_STATES	en-US	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.UNITED_STATES.en-US.D	ATOMIC_MARKET_LANGUAGE	US_CANADA	UNITED_STATES	en-US	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.UNITED_STATES.und.A	ATOMIC_MARKET_LANGUAGE	US_CANADA	UNITED_STATES	und	A_USER_GENERATED_SENSORY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.UNITED_STATES.und.B	ATOMIC_MARKET_LANGUAGE	US_CANADA	UNITED_STATES	und	B_STRUCTURED_PREFERENCE_OR_LIKING	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.UNITED_STATES.und.C	ATOMIC_MARKET_LANGUAGE	US_CANADA	UNITED_STATES	und	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.UNITED_STATES.und.D	ATOMIC_MARKET_LANGUAGE	US_CANADA	UNITED_STATES	und	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.CANADA.und.A	ATOMIC_MARKET_LANGUAGE	US_CANADA	CANADA	und	A_USER_GENERATED_SENSORY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.CANADA.und.B	ATOMIC_MARKET_LANGUAGE	US_CANADA	CANADA	und	B_STRUCTURED_PREFERENCE_OR_LIKING	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.CANADA.und.C	ATOMIC_MARKET_LANGUAGE	US_CANADA	CANADA	und	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.CANADA.und.D	ATOMIC_MARKET_LANGUAGE	US_CANADA	CANADA	und	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.CANADA.en-CA.A	ATOMIC_MARKET_LANGUAGE	US_CANADA	CANADA	en-CA	A_USER_GENERATED_SENSORY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.CANADA.en-CA.B	ATOMIC_MARKET_LANGUAGE	US_CANADA	CANADA	en-CA	B_STRUCTURED_PREFERENCE_OR_LIKING	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.CANADA.en-CA.C	ATOMIC_MARKET_LANGUAGE	US_CANADA	CANADA	en-CA	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.US_CANADA.CANADA.en-CA.D	ATOMIC_MARKET_LANGUAGE	US_CANADA	CANADA	en-CA	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.A	REGIONAL_FRAME	JAPAN	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	A_USER_GENERATED_SENSORY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.B	REGIONAL_FRAME	JAPAN	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	B_STRUCTURED_PREFERENCE_OR_LIKING	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.C	REGIONAL_FRAME	JAPAN	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.D	REGIONAL_FRAME	JAPAN	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.JAPAN.en.A	ATOMIC_MARKET_LANGUAGE	JAPAN	JAPAN	en	A_USER_GENERATED_SENSORY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.JAPAN.en.B	ATOMIC_MARKET_LANGUAGE	JAPAN	JAPAN	en	B_STRUCTURED_PREFERENCE_OR_LIKING	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.JAPAN.en.C	ATOMIC_MARKET_LANGUAGE	JAPAN	JAPAN	en	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.JAPAN.en.D	ATOMIC_MARKET_LANGUAGE	JAPAN	JAPAN	en	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.JAPAN.ja-JP.A	ATOMIC_MARKET_LANGUAGE	JAPAN	JAPAN	ja-JP	A_USER_GENERATED_SENSORY_LANGUAGE	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.JAPAN.ja-JP.B	ATOMIC_MARKET_LANGUAGE	JAPAN	JAPAN	ja-JP	B_STRUCTURED_PREFERENCE_OR_LIKING	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.JAPAN.ja-JP.C	ATOMIC_MARKET_LANGUAGE	JAPAN	JAPAN	ja-JP	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.JAPAN.JAPAN.ja-JP.D	ATOMIC_MARKET_LANGUAGE	JAPAN	JAPAN	ja-JP	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.SOUTH_KOREA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.A	REGIONAL_FRAME	SOUTH_KOREA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	A_USER_GENERATED_SENSORY_LANGUAGE	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
