regional_outcome_key	regional_batch_id	region_key	candidate_key	metric_key	value_before_batch	value_after_batch	delta	material_gain_contribution	evidence_path	recorded_on	limitation
outcome.R3J-REG-TW-001.admitted_source_count	R3J-REG-TW-001	TAIWAN	NOT_APPLICABLE	admitted_source_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-TW-001.training_eligible_unit_count	R3J-REG-TW-001	TAIWAN	NOT_APPLICABLE	training_eligible_unit_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.named_source_candidate_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	named_source_candidate_count	0	7	7	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.audited_independent_source_family_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	audited_independent_source_family_count	0	5	5	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.structured_preference_or_sensory_candidate_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	structured_preference_or_sensory_candidate_count	0	4	4	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.user_generated_or_community_source_candidate_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	user_generated_or_community_source_candidate_count	0	1	1	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.industry_or_professional_language_candidate_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	industry_or_professional_language_candidate_count	0	3	3	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.explicit_mode_audit_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	explicit_mode_audit_count	0	4	4	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.rights_and_access_decision_complete_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	rights_and_access_decision_complete_count	0	7	7	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.admitted_source_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	admitted_source_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-AUNZ-001.training_eligible_unit_count	R3J-REG-AUNZ-001	AU_NZ	NOT_APPLICABLE	training_eligible_unit_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.named_source_candidate_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	named_source_candidate_count	0	9	9	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.audited_independent_source_family_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	audited_independent_source_family_count	0	8	8	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.structured_preference_or_sensory_candidate_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	structured_preference_or_sensory_candidate_count	0	5	5	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.user_generated_or_community_source_candidate_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	user_generated_or_community_source_candidate_count	0	3	3	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.industry_or_professional_language_candidate_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	industry_or_professional_language_candidate_count	0	5	5	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.explicit_mode_audit_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	explicit_mode_audit_count	0	4	4	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.rights_and_access_decision_complete_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	rights_and_access_decision_complete_count	0	9	9	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.admitted_source_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	admitted_source_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-USCA-001.training_eligible_unit_count	R3J-REG-USCA-001	US_CANADA	NOT_APPLICABLE	training_eligible_unit_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.named_source_candidate_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	named_source_candidate_count	0	6	6	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.audited_independent_source_family_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	audited_independent_source_family_count	0	6	6	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.structured_preference_or_sensory_candidate_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	structured_preference_or_sensory_candidate_count	0	3	3	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.user_generated_or_community_source_candidate_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	user_generated_or_community_source_candidate_count	0	1	1	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.industry_or_professional_language_candidate_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	industry_or_professional_language_candidate_count	0	2	2	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.explicit_mode_audit_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	explicit_mode_audit_count	0	4	4	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.rights_and_access_decision_complete_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	rights_and_access_decision_complete_count	0	6	6	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.admitted_source_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	admitted_source_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-JP-001.training_eligible_unit_count	R3J-REG-JP-001	JAPAN	NOT_APPLICABLE	training_eligible_unit_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.named_source_candidate_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	named_source_candidate_count	0	6	6	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.audited_independent_source_family_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	audited_independent_source_family_count	0	6	6	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.structured_preference_or_sensory_candidate_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	structured_preference_or_sensory_candidate_count	0	2	2	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.user_generated_or_community_source_candidate_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	user_generated_or_community_source_candidate_count	0	3	3	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.industry_or_professional_language_candidate_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	industry_or_professional_language_candidate_count	0	2	2	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.explicit_mode_audit_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	explicit_mode_audit_count	0	4	4	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.rights_and_access_decision_complete_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	rights_and_access_decision_complete_count	0	6	6	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.admitted_source_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	admitted_source_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-KR-001.training_eligible_unit_count	R3J-REG-KR-001	SOUTH_KOREA	NOT_APPLICABLE	training_eligible_unit_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.named_source_candidate_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	named_source_candidate_count	0	3	3	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.audited_independent_source_family_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	audited_independent_source_family_count	0	3	3	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.structured_preference_or_sensory_candidate_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	structured_preference_or_sensory_candidate_count	0	3	3	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.user_generated_or_community_source_candidate_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	user_generated_or_community_source_candidate_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.industry_or_professional_language_candidate_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	industry_or_professional_language_candidate_count	0	2	2	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.explicit_mode_audit_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	explicit_mode_audit_count	0	4	4	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.rights_and_access_decision_complete_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	rights_and_access_decision_complete_count	0	3	3	true	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.admitted_source_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	admitted_source_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
outcome.R3J-REG-LATAM-001.training_eligible_unit_count	R3J-REG-LATAM-001	LATIN_AMERICA_NONBLOCKING	NOT_APPLICABLE	training_eligible_unit_count	0	0	0	false	db/data/round3j/regional_source_candidate_register.tsv	2026-08-26	Aggregate audit delta; raw row count is not an admitted regional coverage measure.
