concentration_key	regional_frame_key	reported_measure_key	denominator_unit	denominator_count	contributing_source_family_count	largest_source_family_share	top_3_source_family_share	effective_source_family_count	calculation_state	regional_coverage_status	regional_representativeness_claim	evidence_path	limitation
concentration.TAIWAN.regional_training_eligible_unit_count	TAIWAN	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.AU_NZ.candidate-audit	AU_NZ	CANDIDATE_AUDIT_RECORD_COUNT	DISTINCT_NAMED_CANDIDATE	7	5	0.2857	0.7143	4.4545	CALCULATED_CANDIDATE_AUDIT_ONLY	CANDIDATE_FRAME_AUDITED_NO_REPRESENTATIVENESS_CLAIM	false	db/data/round3j/regional_source_candidate_register.tsv	Candidate-family concentration is separate from admitted evidence coverage.
concentration.AU_NZ.regional_language_document_count	AU_NZ	REGIONAL_LANGUAGE_DOCUMENT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.AU_NZ.regional_unique_expression_count	AU_NZ	REGIONAL_UNIQUE_EXPRESSION_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.AU_NZ.regional_preference_response_count	AU_NZ	REGIONAL_PREFERENCE_RESPONSE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.AU_NZ.regional_sensory_sample_count	AU_NZ	REGIONAL_SENSORY_SAMPLE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.AU_NZ.regional_source_family_count	AU_NZ	REGIONAL_SOURCE_FAMILY_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.AU_NZ.regional_training_eligible_unit_count	AU_NZ	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.US_CANADA.candidate-audit	US_CANADA	CANDIDATE_AUDIT_RECORD_COUNT	DISTINCT_NAMED_CANDIDATE	9	8	0.2222	0.4444	7.3636	CALCULATED_CANDIDATE_AUDIT_ONLY	CANDIDATE_FRAME_AUDITED_NO_REPRESENTATIVENESS_CLAIM	false	db/data/round3j/regional_source_candidate_register.tsv	Candidate-family concentration is separate from admitted evidence coverage.
concentration.US_CANADA.regional_language_document_count	US_CANADA	REGIONAL_LANGUAGE_DOCUMENT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.US_CANADA.regional_unique_expression_count	US_CANADA	REGIONAL_UNIQUE_EXPRESSION_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.US_CANADA.regional_preference_response_count	US_CANADA	REGIONAL_PREFERENCE_RESPONSE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.US_CANADA.regional_sensory_sample_count	US_CANADA	REGIONAL_SENSORY_SAMPLE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.US_CANADA.regional_source_family_count	US_CANADA	REGIONAL_SOURCE_FAMILY_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.US_CANADA.regional_training_eligible_unit_count	US_CANADA	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.JAPAN.candidate-audit	JAPAN	CANDIDATE_AUDIT_RECORD_COUNT	DISTINCT_NAMED_CANDIDATE	6	6	0.1667	0.5000	6.0000	CALCULATED_CANDIDATE_AUDIT_ONLY	CANDIDATE_FRAME_AUDITED_NO_REPRESENTATIVENESS_CLAIM	false	db/data/round3j/regional_source_candidate_register.tsv	Candidate-family concentration is separate from admitted evidence coverage.
concentration.JAPAN.regional_language_document_count	JAPAN	REGIONAL_LANGUAGE_DOCUMENT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.JAPAN.regional_unique_expression_count	JAPAN	REGIONAL_UNIQUE_EXPRESSION_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.JAPAN.regional_preference_response_count	JAPAN	REGIONAL_PREFERENCE_RESPONSE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.JAPAN.regional_sensory_sample_count	JAPAN	REGIONAL_SENSORY_SAMPLE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.JAPAN.regional_source_family_count	JAPAN	REGIONAL_SOURCE_FAMILY_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.JAPAN.regional_training_eligible_unit_count	JAPAN	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.SOUTH_KOREA.candidate-audit	SOUTH_KOREA	CANDIDATE_AUDIT_RECORD_COUNT	DISTINCT_NAMED_CANDIDATE	6	6	0.1667	0.5000	6.0000	CALCULATED_CANDIDATE_AUDIT_ONLY	CANDIDATE_FRAME_AUDITED_NO_REPRESENTATIVENESS_CLAIM	false	db/data/round3j/regional_source_candidate_register.tsv	Candidate-family concentration is separate from admitted evidence coverage.
concentration.SOUTH_KOREA.regional_language_document_count	SOUTH_KOREA	REGIONAL_LANGUAGE_DOCUMENT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.SOUTH_KOREA.regional_unique_expression_count	SOUTH_KOREA	REGIONAL_UNIQUE_EXPRESSION_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.SOUTH_KOREA.regional_preference_response_count	SOUTH_KOREA	REGIONAL_PREFERENCE_RESPONSE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.SOUTH_KOREA.regional_sensory_sample_count	SOUTH_KOREA	REGIONAL_SENSORY_SAMPLE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.SOUTH_KOREA.regional_source_family_count	SOUTH_KOREA	REGIONAL_SOURCE_FAMILY_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.SOUTH_KOREA.regional_training_eligible_unit_count	SOUTH_KOREA	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.LATIN_AMERICA_NONBLOCKING.candidate-audit	LATIN_AMERICA_NONBLOCKING	CANDIDATE_AUDIT_RECORD_COUNT	DISTINCT_NAMED_CANDIDATE	3	3	0.3333	1.0000	3.0000	CALCULATED_CANDIDATE_AUDIT_ONLY	CANDIDATE_FRAME_AUDITED_NO_REPRESENTATIVENESS_CLAIM	false	db/data/round3j/regional_source_candidate_register.tsv	Candidate-family concentration is separate from admitted evidence coverage.
concentration.LATIN_AMERICA_NONBLOCKING.regional_language_document_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_LANGUAGE_DOCUMENT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.LATIN_AMERICA_NONBLOCKING.regional_unique_expression_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_UNIQUE_EXPRESSION_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.LATIN_AMERICA_NONBLOCKING.regional_preference_response_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_PREFERENCE_RESPONSE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.LATIN_AMERICA_NONBLOCKING.regional_sensory_sample_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_SENSORY_SAMPLE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.LATIN_AMERICA_NONBLOCKING.regional_source_family_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_SOURCE_FAMILY_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.LATIN_AMERICA_NONBLOCKING.regional_training_eligible_unit_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
