result_scope	regional_frame_key	region_class	result_key	observed_value	required_value	passed	evidence_path	limitation
REGION	TAIWAN	CORE	AUDITED_INDEPENDENT_SOURCE_FAMILY_COUNT	6	2	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	TAIWAN	CORE	STRUCTURED_PREFERENCE_OR_SENSORY_CANDIDATE_COUNT	4	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	TAIWAN	CORE	USER_GENERATED_OR_COMMUNITY_SOURCE_CANDIDATE_COUNT	2	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	TAIWAN	CORE	INDUSTRY_OR_PROFESSIONAL_LANGUAGE_CANDIDATE_COUNT	2	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	TAIWAN	CORE	RIGHTS_AND_ACCESS_DECISION_COMPLETENESS	1.0000	1.0000	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	TAIWAN	CORE	ADMITTED_SOURCE_COUNT	0	NOT_REQUIRED	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	AU_NZ	CORE	NAMED_SOURCE_CANDIDATE_COUNT	7	6	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	AU_NZ	CORE	AUDITED_INDEPENDENT_SOURCE_FAMILY_COUNT	5	2	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	AU_NZ	CORE	STRUCTURED_PREFERENCE_OR_SENSORY_CANDIDATE_COUNT	4	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	AU_NZ	CORE	USER_GENERATED_OR_COMMUNITY_SOURCE_CANDIDATE_COUNT	1	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	AU_NZ	CORE	INDUSTRY_OR_PROFESSIONAL_LANGUAGE_CANDIDATE_COUNT	3	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	AU_NZ	CORE	RIGHTS_AND_ACCESS_DECISION_COMPLETENESS	1.0000	1.0000	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	AU_NZ	CORE	ADMITTED_SOURCE_COUNT	0	NOT_REQUIRED	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	US_CANADA	CORE	NAMED_SOURCE_CANDIDATE_COUNT	9	6	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	US_CANADA	CORE	AUDITED_INDEPENDENT_SOURCE_FAMILY_COUNT	8	2	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	US_CANADA	CORE	STRUCTURED_PREFERENCE_OR_SENSORY_CANDIDATE_COUNT	5	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	US_CANADA	CORE	USER_GENERATED_OR_COMMUNITY_SOURCE_CANDIDATE_COUNT	3	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	US_CANADA	CORE	INDUSTRY_OR_PROFESSIONAL_LANGUAGE_CANDIDATE_COUNT	5	1	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	US_CANADA	CORE	RIGHTS_AND_ACCESS_DECISION_COMPLETENESS	1.0000	1.0000	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	US_CANADA	CORE	ADMITTED_SOURCE_COUNT	0	NOT_REQUIRED	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	JAPAN	SECONDARY	NAMED_SOURCE_CANDIDATE_COUNT	6	4	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	JAPAN	SECONDARY	AUDITED_INDEPENDENT_SOURCE_FAMILY_COUNT	6	2	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	JAPAN	SECONDARY	RIGHTS_AND_ACCESS_DECISION_COMPLETENESS	1.0000	1.0000	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	JAPAN	SECONDARY	ADMITTED_SOURCE_COUNT	0	NOT_REQUIRED	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	SOUTH_KOREA	SECONDARY	NAMED_SOURCE_CANDIDATE_COUNT	6	4	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	SOUTH_KOREA	SECONDARY	AUDITED_INDEPENDENT_SOURCE_FAMILY_COUNT	6	2	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	SOUTH_KOREA	SECONDARY	RIGHTS_AND_ACCESS_DECISION_COMPLETENESS	1.0000	1.0000	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	SOUTH_KOREA	SECONDARY	ADMITTED_SOURCE_COUNT	0	NOT_REQUIRED	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	LATIN_AMERICA_NONBLOCKING	NONBLOCKING	NAMED_SOURCE_CANDIDATE_COUNT	3	0	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	LATIN_AMERICA_NONBLOCKING	NONBLOCKING	AUDITED_INDEPENDENT_SOURCE_FAMILY_COUNT	3	0	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	LATIN_AMERICA_NONBLOCKING	NONBLOCKING	RIGHTS_AND_ACCESS_DECISION_COMPLETENESS	1.0000	1.0000	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
REGION	LATIN_AMERICA_NONBLOCKING	NONBLOCKING	ADMITTED_SOURCE_COUNT	0	NOT_REQUIRED	true	db/data/round3j/regional_source_candidate_register.tsv	Candidate audit and admission counts remain separate.
