coverage_measure_key	regional_frame_key	reported_measure_key	reported_value	counting_unit	source_reported_not_acquired_value	source_reported_not_acquired_basis	training_eligibility_scope	regional_coverage_status	regional_representativeness_claim	evidence_path	limitation
coverage.AU_NZ.regional_preference_response_count	AU_NZ	REGIONAL_PREFERENCE_RESPONSE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.AU_NZ.regional_sensory_sample_count	AU_NZ	REGIONAL_SENSORY_SAMPLE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.AU_NZ.regional_source_family_count	AU_NZ	REGIONAL_SOURCE_FAMILY_COUNT	0	DISTINCT_ADMITTED_CONTRIBUTING_SOURCE_FAMILY	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.AU_NZ.regional_training_eligible_unit_count	AU_NZ	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.US_CANADA.regional_language_document_count	US_CANADA	REGIONAL_LANGUAGE_DOCUMENT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.US_CANADA.regional_unique_expression_count	US_CANADA	REGIONAL_UNIQUE_EXPRESSION_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.US_CANADA.regional_preference_response_count	US_CANADA	REGIONAL_PREFERENCE_RESPONSE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.US_CANADA.regional_sensory_sample_count	US_CANADA	REGIONAL_SENSORY_SAMPLE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.US_CANADA.regional_source_family_count	US_CANADA	REGIONAL_SOURCE_FAMILY_COUNT	0	DISTINCT_ADMITTED_CONTRIBUTING_SOURCE_FAMILY	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.US_CANADA.regional_training_eligible_unit_count	US_CANADA	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.JAPAN.regional_language_document_count	JAPAN	REGIONAL_LANGUAGE_DOCUMENT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.JAPAN.regional_unique_expression_count	JAPAN	REGIONAL_UNIQUE_EXPRESSION_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.JAPAN.regional_preference_response_count	JAPAN	REGIONAL_PREFERENCE_RESPONSE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.JAPAN.regional_sensory_sample_count	JAPAN	REGIONAL_SENSORY_SAMPLE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.JAPAN.regional_source_family_count	JAPAN	REGIONAL_SOURCE_FAMILY_COUNT	0	DISTINCT_ADMITTED_CONTRIBUTING_SOURCE_FAMILY	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.JAPAN.regional_training_eligible_unit_count	JAPAN	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.SOUTH_KOREA.regional_language_document_count	SOUTH_KOREA	REGIONAL_LANGUAGE_DOCUMENT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.SOUTH_KOREA.regional_unique_expression_count	SOUTH_KOREA	REGIONAL_UNIQUE_EXPRESSION_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.SOUTH_KOREA.regional_preference_response_count	SOUTH_KOREA	REGIONAL_PREFERENCE_RESPONSE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.SOUTH_KOREA.regional_sensory_sample_count	SOUTH_KOREA	REGIONAL_SENSORY_SAMPLE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.SOUTH_KOREA.regional_source_family_count	SOUTH_KOREA	REGIONAL_SOURCE_FAMILY_COUNT	0	DISTINCT_ADMITTED_CONTRIBUTING_SOURCE_FAMILY	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.SOUTH_KOREA.regional_training_eligible_unit_count	SOUTH_KOREA	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.LATIN_AMERICA_NONBLOCKING.regional_language_document_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_LANGUAGE_DOCUMENT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.LATIN_AMERICA_NONBLOCKING.regional_unique_expression_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_UNIQUE_EXPRESSION_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.LATIN_AMERICA_NONBLOCKING.regional_preference_response_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_PREFERENCE_RESPONSE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.LATIN_AMERICA_NONBLOCKING.regional_sensory_sample_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_SENSORY_SAMPLE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.LATIN_AMERICA_NONBLOCKING.regional_source_family_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_SOURCE_FAMILY_COUNT	0	DISTINCT_ADMITTED_CONTRIBUTING_SOURCE_FAMILY	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.LATIN_AMERICA_NONBLOCKING.regional_training_eligible_unit_count	LATIN_AMERICA_NONBLOCKING	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
