source_route_id	source_family_id	organizer_id	independent_source_family_id	route_disposition	census_item_count	artifact_count	publication_row_count	effective_record_candidate_count	gate_descriptor_candidate_count	disposition_basis
route.wcc_cb_family_recdwegkkkkomky5z	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rece0jvc0kghp6fn4	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recffmt7hhjjuam2f	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recgdwpowcmsn3iry	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recgl8pyokmrnghsa	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rechn4oh1tosdw5v5	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recimwi7ny5u6gdae	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reciukjl05ckh1kz0	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recjcyxx1feorcrp6	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recjjl0tt73kd7bks	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recjukphalzoeasln	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reckcjktqtfgrv0ep	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reckktcln4utdz26f	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reckx6oyskp32dd2y	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recljhhkyajwt39wl	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reclloxvqccnezkii	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reclnttocyt5ofhni	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recmeczefpvjwdhru	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recnh9jxc15tg288s	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recoi9kl3eikldgvo	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recotwhryhyhgafv9	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recp8kcuw4kaxektl	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recpkp9yxmg47pvds	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recpnonux4nyskggq	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recpotx0sdtj6wfrn	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recrqcqpyre4rpyw9	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recs3iqhdcunc4yys	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recstvhz9eqvrdfjn	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rectjya9lowhcpizc	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rectqmmkfk5hspnon	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recu9vohcsnrr1mkt	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recuap79dcrz7f15j	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recugphq1iejazgbv	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
