gate_version	gate_name	metric_name	observed_value	required_value	requirement_type	universe	pass	not_applicable	rights_blocker	data_blocker	review_blocker	explanatory_note
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	descriptor_bearing_records	0	2500	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	normalized_forms	0	200	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	records_per_output_label	0	50	MINIMUM	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	independent_families	0	5	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	largest_family_share	NA	45	MAX_PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	held_out_families	0	2	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	held_out_years	0	2	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	affirmative_model_research_rights	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	true	false	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	ASSOCIATION_15000	reviewed_p1_p2_strict_assertions	0	15000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	ASSOCIATION_15000	descriptor_bearing_records	0	3000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	ASSOCIATION_15000	supported_pair_events	0	10000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	ASSOCIATION_15000	independent_families	0	5	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	ASSOCIATION_15000	record_boundaries_preserved	NA	1	BOOLEAN	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	ASSOCIATION_15000	affirmative_model_research_rights	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	true	false	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	EXPERIMENTAL_RANKING_5000	reviewed_p1_p2_strict_assertions	0	5000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_RANKING_5000	descriptor_bearing_records	0	1000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_RANKING_5000	multi_target_records	0	500	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_RANKING_5000	supported_pair_events	0	2500	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_RANKING_5000	independent_families	0	4	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_RANKING_5000	largest_family_share	NA	60	MAX_PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	EXPERIMENTAL_RANKING_5000	held_out_years	0	1	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_RANKING_5000	affirmative_model_research_rights	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	true	false	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	reviewed_p1_p2_strict_assertions	0	20000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	descriptor_bearing_records	0	4000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	multi_target_records	0	2000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	supported_pair_events	0	15000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	independent_families	0	6	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	largest_family_share	NA	35	MAX_PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	held_out_families	0	2	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	held_out_years	0	2	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	RESEARCH_RANKING_20000	affirmative_model_research_rights	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	true	false	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	reviewed_p1_p2_strict_assertions	0	40000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	descriptor_bearing_records	0	8000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	multi_target_records	0	5000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	supported_pair_events	0	40000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	independent_families	0	8	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	largest_family_share	NA	25	MAX_PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	held_out_families	0	3	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	held_out_years	0	3	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	records_per_production_label	0	100	MINIMUM	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	source_provenance_completeness	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	label_provenance_completeness	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	DEPLOYMENT_RANKING_40000	affirmative_deployment_rights	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	true	false	true	No denominator exists; NA is explicitly non-passing.
