census_item_key	item_kind	source_family_id	source_route_id	organizer_id	edition_id	schema_signature_id	publication_host	independent_source_family_id	independence_state	rights_lineage_id	mirror_lineage_id	route_disposition	artifact_count	publication_row_count	effective_record_candidate_count	gate_descriptor_candidate_count	reviewed_strict_count	reviewed_broad_count	p1_count	p2_count	p3_count	unresolved_count	rights_affirmative_model_count	analyst_minutes	descriptor_yield_per_artifact	descriptor_yield_per_analyst_hour	corpus_universe	official_url
series:scaj_jbrc	COMPETITION_SERIES	family.scaj	route.scaj_jbrc	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jbrc/2026-competition
series:scaj_jcrc	COMPETITION_SERIES	family.scaj	route.scaj_jcrc	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jcrc/2026-competitor
series:scaj_jhdc	COMPETITION_SERIES	family.scaj	route.scaj_jhdc	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jhdc-2/2026-competition
series:scaj_jsc	COMPETITION_SERIES	family.scaj	route.scaj_jsc	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jsc/jsc2026-competitor
series:scaj_wsc	COMPETITION_SERIES	family.scaj	route.scaj_wsc	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	1	7	7	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://scaj.org/activity/competitions/jsc/jsc-overview
series:taste_of_harvest	COMPETITION_SERIES	family.afca_taste_of_harvest	route.taste_of_harvest	organizer.afca		schema.unresolved.v1	afca.coffee	family.afca_taste_of_harvest	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.afca_taste_of_harvest	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://afca.coffee/programs/taste-of-harvest/
series:wcc_cic	COMPETITION_SERIES	family.world_coffee_events	route.wcc_cic	organizer.world_coffee_events		schema.unresolved.v1	wcc.coffee	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://wcc.coffee/cezve-ibrik-championship
series:wcc_competition_body_registry	COMPETITION_SERIES	family.world_coffee_events	route.wcc_competition_body_registry	organizer.world_coffee_events		schema.unresolved.v1	wcc.coffee	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://wcc.coffee/competition-bodies
series:wcc_wbc	COMPETITION_SERIES	family.world_coffee_events	route.wcc_wbc	organizer.world_coffee_events		schema.unresolved.v1	wcc.coffee	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://wcc.coffee/world-barista-championship
series:wcc_wbrc	COMPETITION_SERIES	family.world_coffee_events	route.wcc_wbrc	organizer.world_coffee_events		schema.unresolved.v1	wcc.coffee	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://wcc.coffee/world-brewers-cup
series:wcc_wcigs	COMPETITION_SERIES	family.world_coffee_events	route.wcc_wcigs	organizer.world_coffee_events		schema.unresolved.v1	wcc.coffee	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://wcc.coffee/world-coffee-in-good-spirits-championship
series:wcc_wcrc	COMPETITION_SERIES	family.world_coffee_events	route.wcc_wcrc	organizer.world_coffee_events		schema.unresolved.v1	wcc.coffee	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://wcc.coffee/world-coffee-roasting-championship
series:wcc_wctc	COMPETITION_SERIES	family.world_coffee_events	route.wcc_wctc	organizer.world_coffee_events		schema.unresolved.v1	wcc.coffee	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://wcc.coffee/world-cup-tasters-championship
series:wcc_wlac	COMPETITION_SERIES	family.world_coffee_events	route.wcc_wlac	organizer.world_coffee_events		schema.unresolved.v1	wcc.coffee	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://wcc.coffee/world-latte-art-championship
source:aica_2022_booklet	SOURCE_ACCESS_ROUTE	family.melbourne_royal	route.aica_rules	organizer.melbourne_royal		schema.unresolved.v1	www.melbourneroyal.com.au	family.melbourne_royal	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.melbourne_royal	UNRESOLVED	EXCLUDED_LOW_YIELD	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf
source:aica_2022_results	SOURCE_ACCESS_ROUTE	family.melbourne_royal	route.aica_results	organizer.melbourne_royal		schema.unresolved.v1	www.melbourneroyal.com.au	family.melbourne_royal	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.melbourne_royal	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://www.melbourneroyal.com.au/media/8107/mr_aica_results_2022.pdf
source:aica_on_hold	SOURCE_ACCESS_ROUTE	family.melbourne_royal	route.aica_official	organizer.melbourne_royal		schema.unresolved.v1	www.melbourneroyal.com.au	family.melbourne_royal	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.melbourne_royal	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://www.melbourneroyal.com.au/about/news/melbourne-royal-announces-australian-international-coffee-awards-on-hold-in-2023/
source:avpa_annual_results	SOURCE_ACCESS_ROUTE	family.avpa	route.avpa_results	organizer.avpa		schema.unresolved.v1	www.avpa.fr	family.avpa	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.avpa	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://www.avpa.fr/palmaresannuel
source:avpa_coffee_page	SOURCE_ACCESS_ROUTE	family.avpa	route.avpa_official	organizer.avpa		schema.unresolved.v1	en.avpa.fr	family.avpa	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.avpa	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://en.avpa.fr/cafes
source:avpa_coffee_rules	SOURCE_ACCESS_ROUTE	family.avpa	route.avpa_rules	organizer.avpa		schema.unresolved.v1	www.avpa.fr	family.avpa	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.avpa	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://www.avpa.fr/_files/ugd/58172f_807727a8b5864c0fb3413335776c590a.pdf
source:bop_2026_about	SOURCE_ACCESS_ROUTE	family.scap_best_of_panama	route.bop_official	organizer.scap		schema.unresolved.v1	bestofpanama.org	family.scap_best_of_panama	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scap_best_of_panama	UNRESOLVED	EXCLUDED_LOW_YIELD	2	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://bestofpanama.org/about2026
source:bop_2026_national_release	SOURCE_ACCESS_ROUTE	family.scap_best_of_panama	route.bop_results	organizer.scap		schema.unresolved.v1	scap-panama.com	family.scap_best_of_panama	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scap_best_of_panama	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scap-panama.com/cafe-de-alta-gama-brillo-en-la-cata-nacional-del-best-of-panama-64-lotes-avanzan-a-la-ronda-internacional/
source:bop_results_archive	SOURCE_ACCESS_ROUTE	family.scap_best_of_panama	route.bop_results	organizer.scap		schema.unresolved.v1	bestofpanama.org	family.scap_best_of_panama	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scap_best_of_panama	UNRESOLVED	EXCLUDED_LOW_YIELD	26	860	846	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://bestofpanama.org/resultados
source:coe_archive	SOURCE_ACCESS_ROUTE	family.ace_cup_of_excellence	route.coe_results	organizer.ace		schema.unresolved.v1	cupofexcellence.org	family.ace_cup_of_excellence	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.ace_cup_of_excellence	UNRESOLVED	UNRESOLVED_ROUTE	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://cupofexcellence.org/competition-auction-results/
source:coe_farm_directory	SOURCE_ACCESS_ROUTE	family.ace_cup_of_excellence	route.coe_results	organizer.ace		schema.unresolved.v1	farmdirectory.cupofexcellence.org	family.ace_cup_of_excellence	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.ace_cup_of_excellence	UNRESOLVED	UNRESOLVED_ROUTE	107	1040	1038	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://farmdirectory.cupofexcellence.org/listings/
source:coe_process	SOURCE_ACCESS_ROUTE	family.ace_cup_of_excellence	route.coe_official	organizer.ace		schema.unresolved.v1	cupofexcellence.org	family.ace_cup_of_excellence	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.ace_cup_of_excellence	UNRESOLVED	UNRESOLVED_ROUTE	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://cupofexcellence.org/cup-of-excellence/
source:coe_program	SOURCE_ACCESS_ROUTE	family.ace_cup_of_excellence	route.coe_official	organizer.ace		schema.unresolved.v1	cupofexcellence.org	family.ace_cup_of_excellence	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.ace_cup_of_excellence	UNRESOLVED	UNRESOLVED_ROUTE	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://cupofexcellence.org/
source:gba_2025_results	SOURCE_ACCESS_ROUTE	family.golden_bean	route.golden_bean_results	organizer.golden_bean		schema.unresolved.v1	goldenbean.com	family.golden_bean	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.golden_bean	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://goldenbean.com/pages/2025-results
source:gba_main	SOURCE_ACCESS_ROUTE	family.golden_bean	route.golden_bean_official	organizer.golden_bean		schema.unresolved.v1	goldenbean.com	family.golden_bean	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.golden_bean	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://goldenbean.com/
source:gba_past_results	SOURCE_ACCESS_ROUTE	family.golden_bean	route.golden_bean_results	organizer.golden_bean		schema.unresolved.v1	goldenbean.com	family.golden_bean	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.golden_bean	UNRESOLVED	EXCLUDED_LOW_YIELD	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://goldenbean.com/pages/past-results-america
source:gbaus_about	SOURCE_ACCESS_ROUTE	family.golden_bean	route.golden_bean_official	organizer.golden_bean		schema.unresolved.v1	goldenbean.com.au	family.golden_bean	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.golden_bean	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://goldenbean.com.au/pages/about
source:gbws_information	SOURCE_ACCESS_ROUTE	family.golden_bean	route.golden_bean_official	organizer.golden_bean		schema.unresolved.v1	goldenbean.com.au	family.golden_bean	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.golden_bean	UNRESOLVED	EXCLUDED_LOW_YIELD	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://goldenbean.com.au/pages/world-series
source:gca_categories	SOURCE_ACCESS_ROUTE	family.global_coffee_awards	route.gca_rules	organizer.global_coffee_awards		schema.unresolved.v1	globalcoffeeawards.com	family.global_coffee_awards	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.global_coffee_awards	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://globalcoffeeawards.com/categories/
source:gca_contact	SOURCE_ACCESS_ROUTE	family.global_coffee_awards	route.gca_contact	organizer.global_coffee_awards		schema.unresolved.v1	globalcoffeeawards.com	family.global_coffee_awards	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.global_coffee_awards	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://globalcoffeeawards.com/contact-us/
source:gca_faq	SOURCE_ACCESS_ROUTE	family.global_coffee_awards	route.gca_rules	organizer.global_coffee_awards		schema.unresolved.v1	globalcoffeeawards.com	family.global_coffee_awards	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.global_coffee_awards	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://globalcoffeeawards.com/faq/
source:gca_main	SOURCE_ACCESS_ROUTE	family.global_coffee_awards	route.gca_official	organizer.global_coffee_awards		schema.unresolved.v1	globalcoffeeawards.com	family.global_coffee_awards	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.global_coffee_awards	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://globalcoffeeawards.com/
source:iiac_2025_regulations	SOURCE_ACCESS_ROUTE	family.iiac	route.iiac_rules	organizer.iiac		schema.unresolved.v1	www.internationalcoffeetasting.com	family.iiac	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.iiac	UNRESOLVED	PARTNERSHIP_ONLY	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf
source:iiac_2025_results	SOURCE_ACCESS_ROUTE	family.iiac	route.iiac_results	organizer.iiac		schema.unresolved.v1	www.internationalcoffeetasting.com	family.iiac	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.iiac	UNRESOLVED	PARTNERSHIP_ONLY	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://www.internationalcoffeetasting.com/ict/ict-2025-gold-medals/
source:iiac_competition	SOURCE_ACCESS_ROUTE	family.iiac	route.iiac_official	organizer.iiac		schema.unresolved.v1	www.iiac.coffee	family.iiac	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.iiac	UNRESOLVED	PARTNERSHIP_ONLY	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://www.iiac.coffee/en/concorso
source:iiac_score_method	SOURCE_ACCESS_ROUTE	family.iiac	route.iiac_method	organizer.iiac		schema.unresolved.v1	www.internationalcoffeetasting.com	family.iiac	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.iiac	UNRESOLVED	PARTNERSHIP_ONLY	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://www.internationalcoffeetasting.com/ict/calculation-of-the-score/
source:racs_2025_results	SOURCE_ACCESS_ROUTE	family.royal_adelaide	route.racs_results	organizer.royal_adelaide		schema.unresolved.v1	www.royaladelaidecoffeeshow.com.au	family.royal_adelaide	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.royal_adelaide	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://www.royaladelaidecoffeeshow.com.au/_files/ugd/1ab17b_132832e8ff2f4a22a824e58806980793.pdf
source:racs_home	SOURCE_ACCESS_ROUTE	family.royal_adelaide	route.racs_official	organizer.royal_adelaide		schema.unresolved.v1	www.royaladelaidecoffeeshow.com.au	family.royal_adelaide	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.royal_adelaide	UNRESOLVED	EXCLUDED_LOW_YIELD	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://www.royaladelaidecoffeeshow.com.au/
source:scaj_jbrc_page	SOURCE_ACCESS_ROUTE	family.scaj	route.scaj_competitions	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jbrc/2026-competition
source:scaj_jcrc_page	SOURCE_ACCESS_ROUTE	family.scaj	route.scaj_competitions	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jcrc/2026-competitor
source:scaj_jhdc_page	SOURCE_ACCESS_ROUTE	family.scaj	route.scaj_competitions	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jhdc-2/2026-competition
source:scaj_jsc_page	SOURCE_ACCESS_ROUTE	family.scaj	route.scaj_competitions	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jsc/jsc2026-competitor
source:scaj_wsc_overview	SOURCE_ACCESS_ROUTE	family.scaj	route.scaj_competitions	organizer.scaj		schema.unresolved.v1	scaj.org	family.scaj	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scaj	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://scaj.org/activity/competitions/jsc/jsc-overview
source:toh_program	SOURCE_ACCESS_ROUTE	family.afca_taste_of_harvest	route.toh_official	organizer.afca		schema.unresolved.v1	afca.coffee	family.afca_taste_of_harvest	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.afca_taste_of_harvest	UNRESOLVED	EXCLUDED_LOW_YIELD	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://afca.coffee/programs/taste-of-harvest/
source:toh_results	SOURCE_ACCESS_ROUTE	family.afca_taste_of_harvest	route.toh_results	organizer.afca		schema.unresolved.v1	afca.coffee	family.afca_taste_of_harvest	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.afca_taste_of_harvest	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://afca.coffee/toh-results-page/
source:toh_tenders	SOURCE_ACCESS_ROUTE	family.afca_taste_of_harvest	route.toh_rules	organizer.afca		schema.unresolved.v1	afca.coffee	family.afca_taste_of_harvest	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.afca_taste_of_harvest	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://afca.coffee/about-us/tenders-afca/
source:wcc_cb_events_calendar	SOURCE_ACCESS_ROUTE	family.world_coffee_events	route.wcc_competition_bodies	organizer.world_coffee_events		schema.unresolved.v1	airtable.com	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://airtable.com/embed/app1pNznDyJVzVef1/shr7oA61CVIwltOYg?viewControls=on
source:wcc_cb_rec0zgr8vngzfsqhw	SOURCE_ACCESS_ROUTE	family.world_coffee_events	route.wcc_cb_family_rec0zgr8vngzfsqhw	organizer.world_coffee_events		schema.unresolved.v1	airtable.com	family.world_coffee_events	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.world_coffee_events	UNRESOLVED	EXCLUDED_LOW_YIELD	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/rec0zGR8VnGZfSQhw
