source_route_id	source_family_id	artifact_count	candidate_count	reviewed_count	analyst_minutes	descriptor_yield_per_artifact	descriptor_yield_per_analyst_hour	yield_scope
route.coe_nicaragua	family.ace_cup_of_excellence	39	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_official	family.ace_cup_of_excellence	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_peru	family.ace_cup_of_excellence	15	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_results	family.ace_cup_of_excellence	108	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_rwanda	family.ace_cup_of_excellence	16	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_taiwan	family.ace_cup_of_excellence	3	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_thailand	family.ace_cup_of_excellence	5	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.gca_contact	family.global_coffee_awards	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.gca_official	family.global_coffee_awards	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.gca_rules	family.global_coffee_awards	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.global_coffee_awards	family.global_coffee_awards	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.golden_bean_americas	family.golden_bean	50	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.golden_bean_australasia	family.golden_bean	84	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.golden_bean_official	family.golden_bean	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.golden_bean_results	family.golden_bean	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.golden_bean_world_series	family.golden_bean	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.iiac_ict	family.iiac	4	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.iiac_method	family.iiac	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.iiac_official	family.iiac	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.iiac_results	family.iiac	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.iiac_rules	family.iiac	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.melbourne_royal_aica	family.melbourne_royal	6	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.racs_official	family.royal_adelaide	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.racs_results	family.royal_adelaide	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.royal_adelaide_coffee_show	family.royal_adelaide	3	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.scaj_competitions	family.scaj	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.scaj_jbrc	family.scaj	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.scaj_jcrc	family.scaj	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.scaj_jhdc	family.scaj	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.scaj_jsc	family.scaj	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.scaj_wsc	family.scaj	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.taste_of_harvest	family.afca_taste_of_harvest	11	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.toh_official	family.afca_taste_of_harvest	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.toh_results	family.afca_taste_of_harvest	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.toh_rules	family.afca_taste_of_harvest	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec0zgr8vngzfsqhw	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec21urnlnue16imu	family.world_coffee_events	2	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec2yd5roxsvgmby5	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec3gfr83yrfthhh3	family.world_coffee_events	5	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec4raelzybhh2uip	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec6kvidw1gqaqubv	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec6lqu0yjlahunxc	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec7tuorabqiycucm	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rec9rt4jchpkcwn8w	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recagnhh5aiyrwslp	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recahobfxvazsne9r	family.world_coffee_events	9	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recam30lgpbukryzr	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recaucmwthkwmahzq	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recb2nvvtuijdxvwz	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reccd2qbgyuexbewf	family.world_coffee_events	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recdeylqqudi2kpxc	family.world_coffee_events	2	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recdwegkkkkomky5z	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rece0jvc0kghp6fn4	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recffmt7hhjjuam2f	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recgdwpowcmsn3iry	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recgl8pyokmrnghsa	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rechn4oh1tosdw5v5	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recimwi7ny5u6gdae	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reciukjl05ckh1kz0	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recjcyxx1feorcrp6	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recjjl0tt73kd7bks	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recjukphalzoeasln	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reckcjktqtfgrv0ep	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reckktcln4utdz26f	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reckx6oyskp32dd2y	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recljhhkyajwt39wl	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reclloxvqccnezkii	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reclnttocyt5ofhni	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recmeczefpvjwdhru	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recnh9jxc15tg288s	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recoi9kl3eikldgvo	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recotwhryhyhgafv9	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recp8kcuw4kaxektl	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recpkp9yxmg47pvds	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recpnonux4nyskggq	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recpotx0sdtj6wfrn	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recrqcqpyre4rpyw9	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recs3iqhdcunc4yys	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recstvhz9eqvrdfjn	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rectjya9lowhcpizc	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_rectqmmkfk5hspnon	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recu9vohcsnrr1mkt	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recuap79dcrz7f15j	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recugphq1iejazgbv	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recuvl6ke5ntamvmt	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recvf2cxrxubzvsln	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recwe9basqqkoxvj5	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recwhxc7rle7zqklz	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recxlng3ipxb6iycu	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recxq06ux5gfgxrhs	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recy2teswpcbjv1cp	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recykwnhru1auxaqi	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_recyw1jgcnirhkrhv	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reczcyupkr51iszzg	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reczsuml2olqsizqw	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cb_family_reczzrkbelsh9zem5	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_cic	family.world_coffee_events	9	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_competition_bodies	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_competition_body_registry	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_results	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_wbc	family.world_coffee_events	25	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_wbrc	family.world_coffee_events	15	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_wcigs	family.world_coffee_events	13	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_wcrc	family.world_coffee_events	12	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_wctc	family.world_coffee_events	19	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_wlac	family.world_coffee_events	19	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_world_rules	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.wcc_world_series	family.world_coffee_events	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
