evidence_claim_key	target_entity_type	target_entity_key	source_family_key	source_key	snapshot_key	evidence_basis	evidence_direction	evidence_scope	evidence_locator	method	configuration_json	support_count	document_count	source_diversity	review_status	limitation
claim.round3h.vezzulli.04	MEMBERSHIP	membership.sweet-associated.honey	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	SOURCE_DEFINED_GROUPING	SUPPORTS	SOURCE_LOCAL	Vezzulli 2022 Table 2	Honey is separately measured in the sensory panel.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	The source does not equate honey with basic sweetness.
claim.round3h.vezzulli.05	MEMBERSHIP	membership.floral-tea.floral	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	SOURCE_DEFINED_GROUPING	SUPPORTS	SOURCE_LOCAL	Vezzulli 2022 Table 2	Floral and fruity is a measured source descriptor.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	Combined source label limits floral-only interpretation.
claim.round3h.vezzulli.06	ASSOCIATION_RANGE	cocoa-nut-caramel	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Vezzulli 2022 Table 2	Cocoa, caramel, honey, nuts, pastry, and cereals are distinct variables.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	Supports term coverage while challenging collapse.
claim.round3h.vezzulli.07	ASSOCIATION_RANGE	floral-tea	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Vezzulli 2022 Table 2	Floral and fruity is combined by the source; tea is absent.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	Only partial source-local range coverage.
claim.round3h.vezzulli.08	ASSOCIATION_RANGE	fruit	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Vezzulli 2022 Table 2	Stone fruit and floral-and-fruity are distinct variables.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	No berry or citrus subregion is tested.
claim.round3h.vezzulli.09	ASSOCIATION_RANGE	roast-spice-smoke	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	COFFEE_SENSORY_STUDY	CHALLENGES	SOURCE_LOCAL	Vezzulli 2022 Table 2	Roasted and burnt are distinct panel variables.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	No smoke variable or roast scheme comparison.
claim.round3h.vezzulli.10	QUESTION_TARGET	question-range.cocoa-nut-reference.cocoa-nut-caramel	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Vezzulli 2022 Table 2	Cocoa and nuts/dry fruits were independently rated.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	Does not validate consumer-readable project options.
claim.round3h.vezzulli.11	QUESTION_TARGET	question-range.browned-sweet-reference.cocoa-nut-caramel	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Vezzulli 2022 Table 2	Caramel, honey, cocoa, and pastry were distinct panel constructs.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	No project wording or equivalence validation.
claim.round3h.vezzulli.12	QUESTION_TARGET	question-range.floral-tea-reference.floral-tea	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Vezzulli 2022 Table 2	Floral-and-fruity was a panel construct.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	Tea-style wording remains unsupported.
claim.round3h.bollen.01	MEMBERSHIP	membership.cocoa-nut-caramel.cocoa	family.bollen-robusta-qgraders-2024	figshare.bollen-2024	snapshot.figshare-25735122.v1	SOURCE_DEFINED_GROUPING	SUPPORTS	SOURCE_LOCAL	Bollen 2024 Sensory_scores	Nutty/Cocoa is a source descriptor class reported across 95 profiles.	{"round":"3H","source_local":true,"pooled":false}	95	1	1	REVIEWED	The class is broader than the exact Atlas member.
claim.round3h.bollen.02	MEMBERSHIP	membership.floral-tea.floral	family.bollen-robusta-qgraders-2024	figshare.bollen-2024	snapshot.figshare-25735122.v1	SOURCE_DEFINED_GROUPING	SUPPORTS	SOURCE_LOCAL	Bollen 2024 Sensory_scores	Floral is a source descriptor class in Q-grader profiles.	{"round":"3H","source_local":true,"pooled":false}	95	1	1	REVIEWED	No tea relationship is tested.
claim.round3h.bollen.03	ASSOCIATION_RANGE	fruit	family.bollen-robusta-qgraders-2024	figshare.bollen-2024	snapshot.figshare-25735122.v1	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Bollen 2024 Sensory_scores	Fruity and Sour/Fermented are separate source classes.	{"round":"3H","source_local":true,"pooled":false}	95	1	1	REVIEWED	Broad classes do not validate fruit subregions.
claim.round3h.bollen.04	ASSOCIATION_RANGE	roast-spice-smoke	family.bollen-robusta-qgraders-2024	figshare.bollen-2024	snapshot.figshare-25735122.v1	COFFEE_SENSORY_STUDY	CHALLENGES	SOURCE_LOCAL	Bollen 2024 Sensory_scores	Roasted and Spices are separate source classes.	{"round":"3H","source_local":true,"pooled":false}	95	1	1	REVIEWED	No smoky class and one roast protocol only.
claim.round3h.bollen.05	ASSOCIATION_RANGE	acidity-character	family.bollen-robusta-qgraders-2024	figshare.bollen-2024	snapshot.figshare-25735122.v1	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Bollen 2024 Sensory_scores	Salt/Acid is a ratio measure, not pure acidity intensity.	{"round":"3H","source_local":true,"pooled":false}	95	1	1	REVIEWED	It cannot be pooled with direct acidity ratings.
claim.round3h.bollen.06	QUESTION_TARGET	question-range.cocoa-nut-reference.cocoa-nut-caramel	family.bollen-robusta-qgraders-2024	figshare.bollen-2024	snapshot.figshare-25735122.v1	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Bollen 2024 Sensory_scores	Nutty/Cocoa frequency is an independently measured construct.	{"round":"3H","source_local":true,"pooled":false}	95	1	1	REVIEWED	Broad source class limits exact option design.
claim.round3h.bollen.07	QUESTION_TARGET	question-range.family-direction.floral-tea	family.bollen-robusta-qgraders-2024	figshare.bollen-2024	snapshot.figshare-25735122.v1	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Bollen 2024 Sensory_scores	Floral class frequency supplies independent research support.	{"round":"3H","source_local":true,"pooled":false}	95	1	1	REVIEWED	No ordinary-user wording evidence.
claim.round3h.bollen.08	QUESTION_TARGET	question-range.family-direction.fruit	family.bollen-robusta-qgraders-2024	figshare.bollen-2024	snapshot.figshare-25735122.v1	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Bollen 2024 Sensory_scores	Fruity class frequency supplies independent research support.	{"round":"3H","source_local":true,"pooled":false}	95	1	1	REVIEWED	No fruit-subregion discrimination.
claim.round3h.gorman.01	MEMBERSHIP	membership.cocoa-nut-caramel.caramel	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	SUPPORTS	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Caramel was selected in consumer CATA and associated with oat coffee.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Population and matrix specific.
claim.round3h.gorman.02	MEMBERSHIP	membership.floral-tea.floral	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	SUPPORTS	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Floral was selected in consumer CATA and associated with dairy coffee.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	No tea association is tested.
claim.round3h.gorman.03	MEMBERSHIP	membership.roast-spice-smoke.smoke	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	SUPPORTS	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Smoky was selected in consumer CATA and associated with oat coffee.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Supports smoky source-local use only.
claim.round3h.gorman.04	MEMBERSHIP	membership.cocoa-nut-caramel.dark-chocolate	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	INSUFFICIENT	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Chocolate was selected, but dark chocolate was not the source term.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Near wording cannot justify exact membership promotion.
claim.round3h.gorman.05	ASSOCIATION_RANGE	cocoa-nut-caramel	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	MIXED	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Chocolate associated with milk while caramel and nutty associated with oat.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Matrix-dependent separation challenges collapse.
claim.round3h.gorman.06	ASSOCIATION_RANGE	roast-spice-smoke	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Roasted, burnt, and smoky were distinct CATA terms with different associations.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Distinct selections prohibit synonym pooling.
claim.round3h.gorman.07	ASSOCIATION_RANGE	texture-body-drying	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Creamy and astringent were separate CATA terms; mouthfeel liking was separate.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	No common texture scale exists.
claim.round3h.gorman.08	ASSOCIATION_RANGE	acidity-character	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Acid and sour were distinct consumer terms.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Terms must not be silently merged.
claim.round3h.gorman.09	ASSOCIATION_RANGE	sweet-associated	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	OBSERVED_CO_SELECTION	MIXED	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Sweet drove liking while caramel associated with a different sample.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Sweet and caramel are not interchangeable.
claim.round3h.gorman.10	QUESTION_TARGET	question-range.roast-smoke-reference.roast-spice-smoke	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Consumers separately selected roasted, burnt, and smoky.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Project wording is not user validated.
claim.round3h.gorman.11	QUESTION_TARGET	question-range.texture-character.texture-body-drying	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	CATA texture terms and mouthfeel liking were separate measures.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	No information gain estimate.
claim.round3h.gorman.12	QUESTION_TARGET	question-range.sweetness-character.sweet-associated	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Sweet CATA selection independently drove liking.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	Does not validate Atlas response options.
claim.round3h.gorman.13	QUESTION_TARGET	question-range.sweet-direction.sweet-associated	family.gorman-milk-consumers-2021	mdpi.gorman-2021	snapshot.mdpi-beverages-07-00080.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Gorman 2021 Table 3 and CATA analysis	Sweet and caramel appeared as distinct source constructs.	{"round":"3H","source_local":true,"pooled":false}	4	1	1	REVIEWED	A future question should preserve the contrast.
claim.round3h.nguyen.01	MEMBERSHIP	membership.cocoa-nut-caramel.caramel	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	SOURCE_DEFINED_GROUPING	SUPPORTS	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Caramel is a trained-panel descriptor across ten PBMA conditions.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Exact-term source-local support only.
claim.round3h.nguyen.02	ASSOCIATION_RANGE	cocoa-nut-caramel	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Nutty, caramel, dark brown, grain, and sesame vary independently.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Milk matrix drives much of the structure.
claim.round3h.nguyen.03	ASSOCIATION_RANGE	roast-spice-smoke	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	COFFEE_SENSORY_STUDY	CHALLENGES	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Roasted, burnt, brown, and dark brown are separate variables.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Source medium roast does not unify those perceptions.
claim.round3h.nguyen.04	ASSOCIATION_RANGE	texture-body-drying	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	COFFEE_SENSORY_STUDY	CHALLENGES	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Astringent, body, fullness, gel-like, fat feel, powdery, and coating are separate variables.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Incompatible texture constructs cannot be pooled.
claim.round3h.nguyen.05	ASSOCIATION_RANGE	sweet-associated	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Sweet aromatic, sweet taste, and caramel are separate variables.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Added sugar and PBMA matrix confound interpretation.
claim.round3h.nguyen.06	ASSOCIATION_RANGE	acidity-character	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	COFFEE_SENSORY_STUDY	INSUFFICIENT	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	No direct acidity descriptor appears in the retained sensory table.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Coffee type effects are matrix specific.
claim.round3h.nguyen.07	QUESTION_TARGET	question-range.browned-sweet-reference.cocoa-nut-caramel	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Brown, dark brown, caramel, sweet aromatic, and sweet taste are distinct constructs.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	No wording validation.
claim.round3h.nguyen.08	QUESTION_TARGET	question-range.cocoa-nut-reference.cocoa-nut-caramel	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Nutty and caramel intensities provide independent structure.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Cocoa itself was not measured.
claim.round3h.nguyen.09	QUESTION_TARGET	question-range.roast-direction.roast-spice-smoke	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Roasted, burnt, brown, and dark brown were distinguished.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	All samples share a source medium roast label.
claim.round3h.nguyen.10	QUESTION_TARGET	question-range.texture-character.texture-body-drying	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Multiple independent texture variables were rated.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	No ordinary-user texture wording test.
claim.round3h.nguyen.11	QUESTION_TARGET	question-range.texture-direction.texture-body-drying	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Body, fullness, coating, fat feel, gel-like, and powdery differentiated samples.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Direction options remain hypotheses.
claim.round3h.nguyen.12	QUESTION_TARGET	question-range.sweet-direction.sweet-associated	family.nguyen-pbma-thai-2026	mdpi.nguyen-2026	snapshot.mdpi-foods-15-02583.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Nguyen 2026 Tables 3 and 4	Sweet taste and sweet aromatic are distinct source variables.	{"round":"3H","source_local":true,"pooled":false}	10	1	1	REVIEWED	Added sugar limits generalization.
claim.round3h.condelli.01	MEMBERSHIP	membership.acidity-character.citrus	family.condelli-consumer-cata-2022	pmc.condelli-2022	snapshot.pmc9826037.vor	OBSERVED_CO_SELECTION	SUPPORTS	SOURCE_LOCAL	Condelli 2022 consumer CATA and aggregate analysis	Citrus was an exact consumer CATA term alongside acidic.	{"round":"3H","source_local":true,"pooled":false}	20	1	1	REVIEWED	The source separation also warns against synonymy.
claim.round3h.condelli.02	ASSOCIATION_RANGE	roast-spice-smoke	family.condelli-consumer-cata-2022	pmc.condelli-2022	snapshot.pmc9826037.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Condelli 2022 consumer CATA and aggregate analysis	Roasted and burnt were distinct consumer CATA terms.	{"round":"3H","source_local":true,"pooled":false}	20	1	1	REVIEWED	No smoke term in the retained construct set.
claim.round3h.condelli.03	ASSOCIATION_RANGE	acidity-character	family.condelli-consumer-cata-2022	pmc.condelli-2022	snapshot.pmc9826037.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Condelli 2022 consumer CATA and aggregate analysis	Citrus, acidic, bitter, and astringent were distinct terms.	{"round":"3H","source_local":true,"pooled":false}	20	1	1	REVIEWED	Exact constructs must remain separate.
claim.round3h.condelli.04	ASSOCIATION_RANGE	texture-body-drying	family.condelli-consumer-cata-2022	pmc.condelli-2022	snapshot.pmc9826037.vor	OBSERVED_CO_SELECTION	MIXED	SOURCE_LOCAL	Condelli 2022 consumer CATA and aggregate analysis	Astringent was a dry/puckering construct while balance and intensity were separate.	{"round":"3H","source_local":true,"pooled":false}	20	1	1	REVIEWED	Body was not the same construct.
claim.round3h.condelli.05	QUESTION_TARGET	question-range.bright-acidity.acidity-character	family.condelli-consumer-cata-2022	pmc.condelli-2022	snapshot.pmc9826037.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Condelli 2022 consumer CATA and aggregate analysis	Consumers selected citrus and acidic separately.	{"round":"3H","source_local":true,"pooled":false}	20	1	1	REVIEWED	Project wording is not validated.
claim.round3h.condelli.06	QUESTION_TARGET	question-range.roast-smoke-reference.roast-spice-smoke	family.condelli-consumer-cata-2022	pmc.condelli-2022	snapshot.pmc9826037.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Condelli 2022 consumer CATA and aggregate analysis	Roasted and burnt contrasts were consumer-readable source constructs.	{"round":"3H","source_local":true,"pooled":false}	20	1	1	REVIEWED	Smoke remains absent.
claim.round3h.condelli.07	QUESTION_TARGET	question-range.texture-character.texture-body-drying	family.condelli-consumer-cata-2022	pmc.condelli-2022	snapshot.pmc9826037.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Condelli 2022 consumer CATA and aggregate analysis	Astringent had an explicit puckering/dry construct.	{"round":"3H","source_local":true,"pooled":false}	20	1	1	REVIEWED	No Atlas comprehension study.
claim.round3h.condelli.08	QUESTION_TARGET	question-range.family-direction.cocoa-nut-caramel	family.condelli-consumer-cata-2022	pmc.condelli-2022	snapshot.pmc9826037.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Condelli 2022 consumer CATA and aggregate analysis	Chocolate, caramel, and nutty were independent consumer CATA terms.	{"round":"3H","source_local":true,"pooled":false}	20	1	1	REVIEWED	No combined family option was tested.
claim.round3h.heo.01	MEMBERSHIP	membership.cocoa-nut-caramel.dark-chocolate	family.heo-coldbrew-consumers-2019	pmc.heo-2019	snapshot.pmc6723667.vor	OBSERVED_CO_SELECTION	SUPPORTS	SOURCE_LOCAL	Heo 2019 Table 3 and reduced observed CATA sets	Dark chocolate was an observed consumer CATA term.	{"round":"3H","source_local":true,"pooled":false}	14	1	1	REVIEWED	Exact source term supports source-local membership only.
claim.round3h.heo.02	MEMBERSHIP	membership.fruit.citrus	family.heo-coldbrew-consumers-2019	pmc.heo-2019	snapshot.pmc6723667.vor	OBSERVED_CO_SELECTION	SUPPORTS	SOURCE_LOCAL	Heo 2019 Table 3 and reduced observed CATA sets	Citrus fruit was an observed consumer CATA term.	{"round":"3H","source_local":true,"pooled":false}	14	1	1	REVIEWED	Does not validate all fruit subregions.
claim.round3h.heo.03	ASSOCIATION_RANGE	roast-spice-smoke	family.heo-coldbrew-consumers-2019	pmc.heo-2019	snapshot.pmc6723667.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Heo 2019 Table 3 and reduced observed CATA sets	Roasted, burnt, ashy, and acrid were distinct observed terms.	{"round":"3H","source_local":true,"pooled":false}	14	1	1	REVIEWED	Distinct terms cannot be collapsed.
