coverage_row_id	row_kind	preparation_family_key	roast_code	dimension_name	dimension_value	direct_professional_record_count	direct_context_evidence_count	descriptor_concept_count	source_family_count	structured_contrast_record_count	positive_only_record_count	review_complete_relation_count	review_required_relation_count	rights_eligible_record_count	main_output_capable_concept_count	secondary_output_capable_concept_count	question_axis_coverage	prior_status	key_gap	acquisition_priority	lineage_paths
cell:preparation.family.immersion:medium	C0_C1_CELL	preparation.family.immersion	medium			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.immersion:medium_dark	C0_C1_CELL	preparation.family.immersion	medium_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.immersion:dark	C0_C1_CELL	preparation.family.immersion	dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.immersion:extremely_dark	C0_C1_CELL	preparation.family.immersion	extremely_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.hybrid:extremely_light	C0_C1_CELL	preparation.family.hybrid	extremely_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.hybrid:light	C0_C1_CELL	preparation.family.hybrid	light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.hybrid:medium_light	C0_C1_CELL	preparation.family.hybrid	medium_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.hybrid:medium	C0_C1_CELL	preparation.family.hybrid	medium			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.hybrid:medium_dark	C0_C1_CELL	preparation.family.hybrid	medium_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.hybrid:dark	C0_C1_CELL	preparation.family.hybrid	dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.hybrid:extremely_dark	C0_C1_CELL	preparation.family.hybrid	extremely_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_pressure:extremely_light	C0_C1_CELL	preparation.family.espresso_pressure	extremely_light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_pressure:light	C0_C1_CELL	preparation.family.espresso_pressure	light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_pressure:medium_light	C0_C1_CELL	preparation.family.espresso_pressure	medium_light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_pressure:medium	C0_C1_CELL	preparation.family.espresso_pressure	medium			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_pressure:medium_dark	C0_C1_CELL	preparation.family.espresso_pressure	medium_dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_pressure:dark	C0_C1_CELL	preparation.family.espresso_pressure	dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_pressure:extremely_dark	C0_C1_CELL	preparation.family.espresso_pressure	extremely_dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.diluted_espresso:extremely_light	C0_C1_CELL	preparation.family.diluted_espresso	extremely_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.diluted_espresso:light	C0_C1_CELL	preparation.family.diluted_espresso	light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.diluted_espresso:medium_light	C0_C1_CELL	preparation.family.diluted_espresso	medium_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.diluted_espresso:medium	C0_C1_CELL	preparation.family.diluted_espresso	medium			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.diluted_espresso:medium_dark	C0_C1_CELL	preparation.family.diluted_espresso	medium_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.diluted_espresso:dark	C0_C1_CELL	preparation.family.diluted_espresso	dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.diluted_espresso:extremely_dark	C0_C1_CELL	preparation.family.diluted_espresso	extremely_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.stovetop_boiled:extremely_light	C0_C1_CELL	preparation.family.stovetop_boiled	extremely_light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.stovetop_boiled:light	C0_C1_CELL	preparation.family.stovetop_boiled	light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.stovetop_boiled:medium_light	C0_C1_CELL	preparation.family.stovetop_boiled	medium_light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.stovetop_boiled:medium	C0_C1_CELL	preparation.family.stovetop_boiled	medium			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.stovetop_boiled:medium_dark	C0_C1_CELL	preparation.family.stovetop_boiled	medium_dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.stovetop_boiled:dark	C0_C1_CELL	preparation.family.stovetop_boiled	dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.stovetop_boiled:extremely_dark	C0_C1_CELL	preparation.family.stovetop_boiled	extremely_dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.cold_extraction:extremely_light	C0_C1_CELL	preparation.family.cold_extraction	extremely_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.cold_extraction:light	C0_C1_CELL	preparation.family.cold_extraction	light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.cold_extraction:medium_light	C0_C1_CELL	preparation.family.cold_extraction	medium_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.cold_extraction:medium	C0_C1_CELL	preparation.family.cold_extraction	medium			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.cold_extraction:medium_dark	C0_C1_CELL	preparation.family.cold_extraction	medium_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.cold_extraction:dark	C0_C1_CELL	preparation.family.cold_extraction	dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.cold_extraction:extremely_dark	C0_C1_CELL	preparation.family.cold_extraction	extremely_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_milk:extremely_light	C0_C1_CELL	preparation.family.espresso_milk	extremely_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_milk:light	C0_C1_CELL	preparation.family.espresso_milk	light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_milk:medium_light	C0_C1_CELL	preparation.family.espresso_milk	medium_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_milk:medium	C0_C1_CELL	preparation.family.espresso_milk	medium			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_milk:medium_dark	C0_C1_CELL	preparation.family.espresso_milk	medium_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_milk:dark	C0_C1_CELL	preparation.family.espresso_milk	dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.espresso_milk:extremely_dark	C0_C1_CELL	preparation.family.espresso_milk	extremely_dark			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
summary:001	DIMENSION_SUMMARY			descriptor_family	fermented	2	0	2	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_CONCEPT_CANDIDATE.tsv
summary:002	DIMENSION_SUMMARY			descriptor_family	floral	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_CONCEPT_CANDIDATE.tsv
summary:003	DIMENSION_SUMMARY			descriptor_family	fruit	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_CONCEPT_CANDIDATE.tsv
summary:004	DIMENSION_SUMMARY			descriptor_family	green_earthy	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_CONCEPT_CANDIDATE.tsv
summary:005	DIMENSION_SUMMARY			descriptor_family	nut_cocoa	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_CONCEPT_CANDIDATE.tsv
summary:006	DIMENSION_SUMMARY			descriptor_family	spice_roasted	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_CONCEPT_CANDIDATE.tsv
summary:007	DIMENSION_SUMMARY			descriptor_family	sweet	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_CONCEPT_CANDIDATE.tsv
summary:008	DIMENSION_SUMMARY			question_axis	family_direction	20	0	20	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_QUESTION_AXIS.tsv
summary:009	DIMENSION_SUMMARY			question_axis	fruit_region	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_QUESTION_AXIS.tsv
summary:010	DIMENSION_SUMMARY			question_axis	browned_sweet_reference	6	0	6	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_QUESTION_AXIS.tsv
summary:011	DIMENSION_SUMMARY			question_axis	floral_tea_reference	4	0	4	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_QUESTION_AXIS.tsv
summary:012	DIMENSION_SUMMARY			question_axis	roast_smoke_reference	4	0	4	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_QUESTION_AXIS.tsv
summary:013	DIMENSION_SUMMARY			question_axis	fermentation_character	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_QUESTION_AXIS.tsv
summary:014	DIMENSION_SUMMARY			question_axis	acidity_character	3	0	3	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_QUESTION_AXIS.tsv
summary:015	DIMENSION_SUMMARY			question_axis	texture_character	0	0	0	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_QUESTION_AXIS.tsv
summary:016	DIMENSION_SUMMARY			language	en	20	0	20	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	packages/flavor-data/src/descriptors.ts
summary:017	DIMENSION_SUMMARY			language	zh-Hans	20	0	20	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	packages/flavor-data/src/descriptors.ts
summary:018	DIMENSION_SUMMARY			evidence_structure	structured	6	0	6	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	db/data/round3h/batch5/relationship_evidence_claims.tsv
summary:019	DIMENSION_SUMMARY			evidence_structure	free_text_aggregate	20	0	20	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv
summary:020	DIMENSION_SUMMARY			rights_status	public_research_simulation_eligible	16	0	16	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv
summary:021	DIMENSION_SUMMARY			rights_status	product_deployment_unknown	20	0	20	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	db/data/current/PURPOSE_SPECIFIC_RIGHTS_MATRIX.tsv
summary:022	DIMENSION_SUMMARY			review_status	product_owner_review_missing	20	0	20	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	PRODUCT_OWNER_REVIEW_PACKET.tsv
summary:023	DIMENSION_SUMMARY			roast_evidence	reviewed_project_c1_mapping	0	0	0	0	0	0	0	0	0	0	0	0	not_applicable	SUMMARY_NOT_JOINT_CONTEXT_EVIDENCE	REVIEW	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json
