review_item_id	decision	decision_allowed_values	output_tier	output_tier_allowed_values	answer_effect	answer_effect_allowed_values	rationale	reviewer	review_date	lineage_paths
product-review:011		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:012		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:013		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:014		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:015		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:016		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:017		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:018		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:019		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:020		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:021		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/round3g/question_target_reviews.tsv
product-review:022		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:023		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:024		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:025		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:026		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:027		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:028		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:029		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:030		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:031		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:032		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:033		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:034		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:035		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:036		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:037		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:038		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:039		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:040		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:041		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:042		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:043		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:044		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:045		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:046		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:047		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:048		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:049		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:050		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:051		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:052		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:053		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:054		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:055		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:056		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:057		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:058		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:059		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:060		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:061		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:062		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:063		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:064		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:065		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:066		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:067		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:068		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:069		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:070		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:071		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:072		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:073		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:074		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:075		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:076		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:077		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:078		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:079		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:080		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:081		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:082		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:083		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
