review_item_id	priority	review_category	target_id	target_summary	decision_needed	suggested_action	owner_decision	owner_rationale	reviewer	review_date	lineage_paths
product-review:027	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:light:sensory.caramel	sensory.caramel	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:028	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:medium_light:sensory.honey	sensory.honey	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:029	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:medium_light:sensory.caramel	sensory.caramel	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:030	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:medium:sensory.honey	sensory.honey	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:031	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:medium:sensory.caramel	sensory.caramel	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:032	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:medium_dark:sensory.honey	sensory.honey	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:033	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:medium_dark:sensory.caramel	sensory.caramel	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:034	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:dark:sensory.honey	sensory.honey	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:035	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:dark:sensory.caramel	sensory.caramel	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:036	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:extremely_dark:sensory.honey	sensory.honey	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:037	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:extremely_dark:sensory.caramel	sensory.caramel	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:038	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.espresso_pressure:extremely_light:sensory.honey	sensory.honey	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:039	HIGH	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:01:sensory.orange	Orange	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:040	HIGH	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:02:sensory.caramel	Caramel	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:041	MEDIUM	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:03:sensory.lemon	Lemon	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:042	MEDIUM	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:04:sensory.honey	Honey	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:043	MEDIUM	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:05:sensory.jasmine	Jasmine	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:044	MEDIUM	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:06:sensory.almond	Almond	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:045	MEDIUM	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:07:sensory.blueberry	Blueberry	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:046	MEDIUM	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:08:sensory.rose	Rose	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:047	MEDIUM	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:09:sensory.hazelnut	Hazelnut	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:048	MEDIUM	AMBIGUOUS_CROSS_FORM_MAPPING	cross-form:10:sensory.cinnamon	Cinnamon	Approve, reject, revise, or defer the exploratory mapping boundary.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:049	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.lemon|sensory.orange	Lemon / Orange	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:050	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.caramel|sensory.brown_sugar	Caramel / Brown Sugar	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:051	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.almond|sensory.hazelnut	Almond / Hazelnut	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:052	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.tobacco|sensory.cedar	Tobacco / Cedar	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:053	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.orange|sensory.blueberry	Orange / Blueberry	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:054	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.blueberry|sensory.honey	Blueberry / Honey	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:055	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.honey|sensory.caramel	Honey / Caramel	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:056	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.caramel|sensory.brown_sugar	Caramel / Brown Sugar	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:057	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.brown_sugar|sensory.almond	Brown Sugar / Almond	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:058	MEDIUM	REDUNDANT_OUTPUT_PAIR	sensory.almond|sensory.hazelnut	Almond / Hazelnut	Confirm distinctness, redundancy group, and output-tier treatment.						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:059	MEDIUM	CONFLICTING_EVIDENCE	conflict-01	ABSTAINED_CONFLICT	CONFLICTING_USER_ANSWERS						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:060	MEDIUM	CONFLICTING_EVIDENCE	conflict-02	ABSTAINED_CONFLICT	CONFLICTING_USER_ANSWERS						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:061	MEDIUM	CONFLICTING_EVIDENCE	conflict-03	ABSTAINED_CONFLICT	CONFLICTING_USER_ANSWERS						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:062	MEDIUM	CONFLICTING_EVIDENCE	conflict-04	ABSTAINED_CONFLICT	CONFLICTING_USER_ANSWERS						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:063	MEDIUM	CONFLICTING_EVIDENCE	conflict-05	ABSTAINED_CONFLICT	CONFLICTING_USER_ANSWERS						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:064	MEDIUM	CONFLICTING_EVIDENCE	conflict-06	ABSTAINED_CONFLICT	CONFLICTING_USER_ANSWERS						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:065	MEDIUM	CONFLICTING_EVIDENCE	conflict-07	ABSTAINED_CONFLICT	CONFLICTING_USER_ANSWERS						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:066	MEDIUM	CONFLICTING_EVIDENCE	conflict-08	ABSTAINED_CONFLICT	CONFLICTING_USER_ANSWERS						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:067	MEDIUM	OPEN_SET_CASE	open-set-01	ABSTAINED_OPEN_SET	UNKNOWN_DESCRIPTOR_TARGET|OPEN_SET_EXPRESSION						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
product-review:068	MEDIUM	OPEN_SET_CASE	open-set-02	ABSTAINED_OPEN_SET	UNKNOWN_DESCRIPTOR_TARGET|OPEN_SET_EXPRESSION						db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
