canonical_concept_id	display_label_en	language_label_zh_hans	top_level_descriptor_family	direct_professional_assertion_support	unique_effective_record_support	independent_source_family_support	governed_normalization_support	governed_semantic_relation_support	review_required_exploratory_relation_support	c0_compatibility	c1_compatibility	user_answer_compatibility	structured_contrast_evidence	structured_contrast_source_families	contradiction_evidence	public_research_simulation_rights_eligible	product_deployment_rights_status	review_status	redundancy_group	uncertainty_flags	abstention_flags	direct_evidence_score_component	effective_record_score_component	source_diversity_score_component	governed_normalization_score_component	governed_semantic_score_component	structured_contrast_score_component	base_decision_score	explanation_references	lineage_paths
sensory.hazelnut	Hazelnut	榛子	nut_cocoa	61	57	2	1	0	165	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	tree_nut	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		1.681644	1.388346	0.500000	0.500000	0.000000	0.000000	4.069990	candidate:sensory.hazelnut|distribution:sensory.hazelnut	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.dark_chocolate	Dark Chocolate	黑巧克力	nut_cocoa	191	159	4	1	0	0	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	320	family.bollen-robusta-qgraders-2024|family.condelli-consumer-cata-2022|family.gorman-milk-consumers-2021|family.heo-coldbrew-consumers-2019|family.nguyen-pbma-thai-2026|family.vezzulli-trainedpanel-2022	0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	cocoa	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		2.142221	1.735302	1.000000	0.500000	0.000000	0.500000	5.877524	candidate:sensory.dark_chocolate|distribution:sensory.dark_chocolate	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.cinnamon	Cinnamon	肉桂	spice_roasted	86	85	2	1	0	142	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	warming_spice	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		1.819681	1.523030	0.500000	0.500000	0.000000	0.000000	4.342710	candidate:sensory.cinnamon|distribution:sensory.cinnamon	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.tobacco	Tobacco	烟草	spice_roasted	51	37	2	1	0	81	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	wood_tobacco	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		1.609976	1.243763	0.500000	0.500000	0.000000	0.000000	3.853738	candidate:sensory.tobacco|distribution:sensory.tobacco	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.smoky	Smoky	烟熏	spice_roasted	3	3	2	1	0	9	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	8	family.gorman-milk-consumers-2021	0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	smoke	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		0.564860	0.474002	0.500000	0.500000	0.000000	0.200000	2.238862	candidate:sensory.smoky|distribution:sensory.smoky	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.green_tea	Green Tea	绿茶	green_earthy	52	47	2	1	0	0	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	tea	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		1.617737	1.323640	0.500000	0.500000	0.000000	0.000000	3.941377	candidate:sensory.green_tea|distribution:sensory.green_tea	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.cedar	Cedar	雪松	green_earthy	32	32	2	1	0	45	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	false	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	wood_tobacco	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC	RIGHTS_BLOCKED	1.424689	1.195525	0.500000	0.500000	0.000000	0.000000	3.620214	candidate:sensory.cedar|distribution:sensory.cedar	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.earthy	Earthy	土壤感	green_earthy	2	2	2	1	0	6	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	earth	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		0.447641	0.375637	0.500000	0.500000	0.000000	0.000000	1.823278	candidate:sensory.earthy|distribution:sensory.earthy	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.fermented_character	Fermented	发酵感	fermented	1	1	1	1	0	57	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	95	family.bollen-robusta-qgraders-2024	0	false	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	fermented	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC	RIGHTS_BLOCKED	0.282430	0.237001	0.250000	0.500000	0.000000	0.500000	1.769431	candidate:sensory.fermented_character|distribution:sensory.fermented_character	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.wine_like_character	Winey	葡萄酒感	fermented	55	52	3	1	0	126	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	winey	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		1.640172	1.357521	0.750000	0.500000	0.000000	0.000000	4.247693	candidate:sensory.wine_like_character|distribution:sensory.wine_like_character	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
