candidate_key	lanes	title	canonical_origin	stable_url	exact_version	license	rights_status	access_result	independence_status	decision	coverage_role	next_action	limitation	reviewed_on
candidate.seninde-2020	A;B	Determining the impact of roasting degree coffee to water ratio and brewing method on sensory characteristics of cold brew Ugandan coffee	doi.10.1016/j.foodres.2020.109667	https://doi.org/10.1016/j.foodres.2020.109667	Food Research International 137 109667	All rights reserved	REJECTED_RIGHTS	Metadata and manuscript access; no reusable dataset	INDEPENDENT_ORIGIN	PENDING_WRITTEN_PERMISSION	Potential 32 crossed cells and trained descriptive panel	Seek explicit data license only in a future authorized request round	No public reuse or data license	2026-08-25
candidate.cordoba-2021	A;B	Chemical and sensory evaluation of cold brew coffees using different roasting profiles and brewing methods	doi.10.1016/j.foodres.2021.110141	https://doi.org/10.1016/j.foodres.2021.110141	Food Research International 141 110141	CC BY-ND per institutional record	REJECTED_RIGHTS	Article metadata public; no raw dataset	INDEPENDENT_ORIGIN	REJECT_RIGHTS	Trained assessors; two roasts by three methods	Citation-only gap record	No-derivatives restriction blocks transformed public export	2026-08-25
candidate.chemistry-yeager	A;B	Acids in Coffee meta-analysis	doi.10.25338/B8C91C	https://doi.org/10.25338/B8C91C	Dryad v5 already governed	CC0	CLEARED_OUT_OF_SCOPE	Existing imported chemistry/context snapshot	INDEPENDENT_EXISTING	REJECT_CHEMISTRY_ONLY	Preparation and roast chemistry context only	Retain existing source-local chemistry partition	No human sensory outcomes	2026-08-25
candidate.gorman-2021	C;F	Consumer Perception of Milk and Plant-Based Alternatives Added to Coffee	doi.10.3390/beverages7040080	https://doi.org/10.3390/beverages7040080	Beverages 7(4) 80 version of record 2021	CC BY 4.0	CLEARED_AGGREGATE	Article aggregates and 26-term CATA instrument public	INDEPENDENT_ORIGIN	ADMIT_AGGREGATE_INSTRUMENT	116 consumers by dairy soy almond oat; 464 actual milk-coffee evaluations	Acquire article metadata and attributable aggregate/instrument snapshot	One coffee base; participant rows confidential	2026-08-25
candidate.nguyen-2026	C;F	Characterizing Sensory Drivers of Acceptance Purchase Intent and Emotional Responses to Plant-Based Milk Alternatives in Chilled Sweetened Coffee	doi.10.3390/foods15152583	https://doi.org/10.3390/foods15152583	Foods 15(15) 2583 July 2026 version of record	CC BY 4.0	CLEARED_AGGREGATE	Article aggregate tables and lexicon public	INDEPENDENT_ORIGIN	ADMIT_AGGREGATE_INSTRUMENT	Nine trained panelists and 100 consumers across ten PBMA coffees	Acquire article metadata and attributable sample-level aggregate snapshot	Chilled sweetened PBMA only; no unsweetened hot control	2026-08-25
candidate.stokes-2018	C	Sensory Profiling of Two Commercial Ground-Roasted Arabica Filter Coffees Presented with and without Sweetener and Milk	doi.10.4236/fns.2018.912102	https://doi.org/10.4236/fns.2018.912102	Food and Nutrition Sciences 9 version of record	CC BY 4.0	CLEARED_WITH_PROVENANCE_CAUTION	Article aggregates public	INDEPENDENT_ORIGIN	ADMIT_FOLLOWUP_WITH_CAUTION	Dairy milk and sugar factorial sensory contrast	Use only if additional milk contrast is required	Small panels; two coffees; milk and sweetener partly intertwined	2026-08-25
candidate.chung-2022	C	Identifying sensory drivers of liking for plant-based milk coffees	doi.10.1111/1750-3841.16373	https://doi.org/10.1111/1750-3841.16373	Wiley JFS version of record 2022	No reusable license confirmed	PENDING_RIGHTS	No public raw dataset located	INDEPENDENT_ORIGIN	PENDING_RIGHTS	Nine QDA panelists and 80 consumers across 12 milk coffees	Seek author license only in a future authorized request round	Publisher rights unresolved	2026-08-25
candidate.cleve-2025	C	Effects of Roasting Level and Milk Addition on In Vivo Aroma Release and Perception of Coffee	doi.10.1021/acs.jafc.4c12852	https://doi.org/10.1021/acs.jafc.4c12852.s001	ACS Figshare supporting contribution 2025	CC BY-NC 4.0	REJECTED_RIGHTS	Supporting file public	INDEPENDENT_ORIGIN	REJECT_RIGHTS	Actual cow/oat milk temporal sensory outcomes	Metadata-only gap record	Noncommercial restriction	2026-08-25
candidate.juravle-2026	C;F	A multi-country citizen-science study on what makes us enjoy a cup of coffee	doi.10.1038/s41538-026-00832-5	https://doi.org/10.1038/s41538-026-00832-5	npj Science of Food version of record 2026	CC BY 4.0 article	PENDING_UNDERLYING_DATA	Questionnaire and aggregates public; rows unavailable	INDEPENDENT_ORIGIN	PENDING_DATA_EXCLUDE_STRICT_MILK	Multilingual contextual liking including milk cream sugar	Profile only if underlying data becomes public	Uncontrolled cups; no standardized sensory condition	2026-08-25
candidate.condelli-2022	F	Drivers of coffee liking effect of physicochemical characteristics and aromatic profile	doi.10.1111/1750-3841.16323	https://doi.org/10.1111/1750-3841.16323	JFS version of record mirrored in PMC	CC BY 4.0	CLEARED_AGGREGATE	Article and aggregate supplementary matrices public	INDEPENDENT_ORIGIN	ADMIT_AGGREGATE_INSTRUMENT	Seventy-seven consumers; randomized 18-term CATA and liking	Acquire metadata and evidence-specific construct mappings	Black coffee and Italian population; not wording validation	2026-08-25
candidate.heo-2019	F	Cold Brew Coffee Consumer Acceptability and Characterization Using CATA	doi.10.3390/foods8080344	https://doi.org/10.3390/foods8080344	Foods 8(8) 344 version of record	CC BY 4.0	CLEARED_AGGREGATE	Article aggregates public	INDEPENDENT_ORIGIN	ADMIT_AGGREGATE_INSTRUMENT	120 consumers; 13 presentations; CATA and liking	Acquire metadata and evidence-specific construct mappings	Cold brew only; combined tea-floral term does not validate hierarchy	2026-08-25
candidate.coffee-cuality-2026	F	Validation of the Coffee Cuality Method for Expert Assessment of Coffee Sensory Quality	doi.10.3390/foods15040678	https://doi.org/10.3390/foods15040678	Foods 15(4) 678 version of record 2026	CC BY 4.0	CLEARED_INSTRUMENT	Article and scorecard supplement public	INDEPENDENT_ORIGIN	ADMIT_INSTRUMENT_ONLY	Expert JAR CATA open-response architecture	Acquire metadata and high-level structure only; preserve trademark attribution	Expert-only; no ordinary-user wording validation	2026-08-25
candidate.open-food-facts	D;E	Open Food Facts Database	origin.openfoodfacts.database	https://openfoodfacts.github.io/documentation/docs/Product-Opener/api/tutorials/license-be-on-the-legal-side/	Continuous database; exact dump date not selected	ODbL 1.0 database; DbCL contents	PENDING_SEPARATE_SHAREALIKE_PARTITION	Bulk dump/API available; no download performed	INDEPENDENT_ORIGIN	PENDING_CONTENT_PROFILE_ODBL	Potential product tasting text and observed zh-Hans text	Profile fixed dump only after ODbL partition/export design approval	Coffee tasting yield and exact zh-Hans sensory yield unknown	2026-08-25
candidate.roastdb	D	RoastDB coffee database	origin.roastdb.database	https://roastdb.com/terms	Live 2026-08-25; 9976 beans and 582 roasters observed	Posted terms prohibit required copying/redistribution	REJECTED_CURRENT_TERMS	Bulk/API by request	INDEPENDENT_AGGREGATOR_CHAIN_UNRESOLVED	PENDING_WRITTEN_LICENSE	Large actual product tasting-note corpus	Require commercial derivative machine and public-derived-export agreement with chain-of-title warranty	Roaster-authored content upstream rights unresolved	2026-08-25
candidate.loffeelabs	D	LoffeeLabs Bean Base API v2.0	origin.loffeelabs.bean-base	https://www.loffeelabs.com/developers/documentation	API v2.0 2026	Noncommercial/revocable tiers; raw redistribution prohibited	REJECTED_CURRENT_TERMS	API key and negotiated commercial tier	INDEPENDENT_AGGREGATOR_CHAIN_UNRESOLVED	PENDING_BESPOKE_AGREEMENT	Up to 25000 active beans with tasting fields	Require agreement overriding redistribution and covering upstream content	Current terms prohibit required public export	2026-08-25
candidate.roasterdb-hf	D	RoasterDB Specialty Coffee Sample	origin.roasterdb-scrape	https://huggingface.co/datasets/Ichlibitiche/roasterdb-specialty-coffee-sample	100-product sample	CC BY-NC 4.0 sample	REJECTED_RIGHTS	Public Hugging Face sample	SCRAPED_MIRROR	REJECT_RIGHTS	Marketing tasting-note sample	Do not acquire	Noncommercial scraped storefronts and AI-normalized labels	2026-08-25
candidate.getbeans	D	getbeans European catalog	origin.getbeans.catalog	https://www.getbeans.eu/about	Live 2026-08-25	No open-data license	REJECTED_RIGHTS	Public catalog	SCRAPED_AI_NORMALIZED	REJECT_RIGHTS	Claimed 10000 coffees from 400 roasters	Do not acquire	Merchant-owned content and AI normalization	2026-08-25
candidate.cqi-mirrors	A;D	CQI and Coffee Review Kaggle or GitHub mirrors	origin.cqi-coffee-review	https://database.coffeeinstitute.org/terms	Multiple unversioned scraped mirrors	Source terms reserve rights	REJECTED_RIGHTS	Mirrors publicly downloadable elsewhere	MIRROR_NOT_INDEPENDENT	REJECT_RIGHTS	Sensory scores or tasting notes	Do not acquire or count mirrors independently	Public mirror availability does not grant source rights	2026-08-25
candidate.zh-wikipedia	E	Chinese Wikipedia exact coffee revisions	origin.wikimedia.zh-wikipedia	https://zh.wikipedia.org/wiki/咖啡	Exact oldids not yet selected	CC BY-SA 4.0 and GFDL with page attribution	PENDING_RAW_SCRIPT_AUDIT	API/dumps available; no acquisition performed	SHARED_WIKIMEDIA_INSTITUTION_DISTINCT_PROJECT	PENDING_CONTENT_PROFILE	Potential coffee sensory prose	Audit raw revision script and authored content; exclude conversion-generated forms	Rendered zh-Hans conversion is not observed Simplified authorship	2026-08-25
candidate.opus-globalvoices-zhs	E	OPUS GlobalVoices Simplified-Chinese corpus	origin.globalvoices.publisher	https://github.com/Helsinki-NLP/OPUS/blob/main/info/RELEASES.md	OPUS GlobalVoices v2018q4	Global Voices CC BY 3.0; OPUS is repackager	PENDING_CONTENT_PROFILE	Immutable release available; no acquisition performed	INDEPENDENT_PUBLISHER	PENDING_CONTENT_PROFILE	Human-published Simplified Chinese journalism	Profile coffee-sensory yield with article-level attribution before any count	Exact coffee sensory yield unknown and likely sparse	2026-08-25
candidate.leipzig-cmn-web-2019	E	Leipzig Corpora Collection Mandarin Chinese Web 2019	origin.leipzig-cmn-web-2019	https://corpora.uni-leipzig.de?corpusId=cmn-cn_web_2019	2019 release	Conflicting CC BY/CC BY-NC statements and unresolved upstream copyright	REJECTED_RIGHTS	Download corpus advertised	INDEPENDENT_WEB_CORPUS	REJECT_RIGHTS	Large observed Chinese web corpus	Do not acquire without written commercial permission and lineage clarification	Automatically web-sourced text; originals deleted; upstream rights unclear	2026-08-25
candidate.wcr-chinese-lexicon	E	World Coffee Research Sensory Lexicon Chinese translation	origin.wcr.sensory-lexicon	https://worldcoffeeresearch.org/read-more/news/174-world-coffee-research-sensory-lexicon	Chinese PDF dated 2025-09-17; First Edition 2016	All rights reserved; personal informational use	REJECTED_RIGHTS	Personal-use PDF accessible	TRANSLATED_REFERENCE_NOT_OBSERVATIONS	REJECT_RIGHTS	Chinese reference terminology only	Citation-only; never copy vocabulary definitions forms colors or layout	Not observed product language and no reuse clearance	2026-08-25
candidate.samr-coffee-vocabulary	E	Coffee Sensory analysis Vocabulary national standard plan	origin.samr.plan.20255416-t-469	https://std.samr.gov.cn/gb/search/gbDetailed?id=40B6C53FB86D9AB6E06397BE0A0A4630	Plan issued 2025-10-05 under review	Copyright reserved; ISO layer	REJECTED_RIGHTS	Metadata page public	STANDARD_NOT_OBSERVATIONS	REJECT_RIGHTS	Official Chinese terminology metadata	Citation-only metadata	Not product observations and no public expression export	2026-08-25
candidate.amazon-multilingual-reviews	E	Amazon Multilingual Reviews Corpus	origin.amazon.reviews-ml	https://registry.opendata.aws/amazon-reviews-ml/	Reviews 2015-2019; deprecated	Academic research only	REJECTED_RIGHTS	Dataset no longer hosted at registry	INDEPENDENT_ORIGIN	REJECT_RIGHTS	Potential Chinese consumer reviews	Do not acquire	Noncommercial nontransferable license; coffee subset unknown	2026-08-25
candidate.dianping-reviews	E	Peking University Dianping Restaurant Reviews V1	origin.dianping.reviews	https://doi.org/10.18170/DVN/GCIUN4	Version 1.0 2018	No explicit dataset/upstream reviewer license	REJECTED_RIGHTS	One 92.3 MB file advertised	INDEPENDENT_BUT_RIGHTS_UNCLEAR	REJECT_RIGHTS	Observed Chinese restaurant reviews	Do not acquire	Wrong domain and unresolved review rights	2026-08-25
candidate.google-coffee-reviews-zenodo	D;E	Aspect-Based Sentiment Analysis of Coffee Consumer Perceptions on Google Reviews	origin.google-maps-reviews	https://doi.org/10.5281/zenodo.17520431	Zenodo record 2025	Deposit license cannot clear upstream Google reviewer content	REJECTED_RIGHTS	3034 Indonesian reviews advertised	UPSTREAM_CHAIN_UNRESOLVED	REJECT_RIGHTS	Coffee consumer review language	Do not acquire	Wrong language and upstream review rights unresolved	2026-08-25
