genotype	harvest	genetic_class	cluster_lula	cluster_wild	cluster_congolese_subgroup_a	fragrance_aroma	flavor	aftertaste	salt_acid	bitter_sweet	mouthfeel	balance	overall	uniformity	clean_cup	mean_total_score	sd_total_score	spread_total_score	total_rounded	green_vegetative	other_descriptor_class	roasted	spices	nutty_cocoa	sweet	floral	fruity	sour_fermented	planting_year	tree_age	inera_info	clones	weight_in_g	weight_out_g	weight_loss_ratio
G0066	2021	Lula-Wild	0.775823	0.223523	0.000653	7.583333333333333	7.666666666666667	7.416666666666667	7.583333333333333	7.666666666666667	7.583333333333333	7.5	7.5	10	10	80.5	0.25	0.5	80.5	2	2	5	4	4	0	0	3	2	2017	4	Yalungu	1	50	43.3	0.866
G0067	2021	Lula-Wild	0.680537	0.318817	0.000646	7.916666666666667	7.916666666666667	7.583333333333333	7.916666666666667	8.083333333333334	7.833333333333333	7.916666666666667	7.833333333333333	10	10	83	0.25	0.5	83	2	3	1	2	5	2	0	8	2	2017	4	Yalungu	1	50	44.5	0.89
G0069	2022	Lula-Wild	0.644247	0.355101	0.000652	7.583333333333333	7.75	7.583333333333333	7.666666666666667	7.666666666666667	7.666666666666667	7.5	7.666666666666667	10	10	81.08333333333333	0.9464847243000456	1.75	81	2	2	3	4	7	3	0	1	0	2017	5	Yalungu	1	50	42.7	0.8540000000000001
G0069	2021	Lula-Wild	0.644247	0.355101	0.000652	7.416666666666667	7.5	7.333333333333333	7.583333333333333	7.416666666666667	7.666666666666667	7.333333333333333	7.333333333333333	10	10	79.58333333333333	0.5204164998665332	1	79.5	5	4	3	1	3	0	0	1	0	2017	4	Yalungu	1	50	43.3	0.866
G0071	2022	Lula	0.96642	0.032921	0.000659	6.916666666666667	6.75	6.75	7.166666666666667	7.333333333333333	7.25	6.833333333333333	6.75	10	10	75.75	0.9013878188659973	1.75	75.75	9	0	3	3	1	0	0	0	0	2017	5	Yalungu	1	50	43	0.86
G0072	2021	Lula	0.99868	0.000662	0.000657	7.75	7.666666666666667	7.5	8.083333333333334	8.083333333333334	8.083333333333334	7.916666666666667	7.666666666666667	10	10	82.75	2.384848003542364	4.75	82.75	1	3	2	4	5	1	0	4	0	2017	4	Yalungu	1	50	42.8	0.856
G0072	2022	Lula	0.99868	0.000662	0.000657	7.583333333333333	7.5	7.333333333333333	7.333333333333333	7.5	7.416666666666667	7.333333333333333	7.25	10	10	79.25	1.3919410907075054	2.75	79.25	1	3	6	3	6	1	0	0	0	2017	5	Yalungu	1	50	43.800000000000004	0.8760000000000001
G0073	2021	Lula-Congolese Subgroup A	0.487528	0.000666	0.511806	8.166666666666666	8.166666666666666	8.083333333333334	8.083333333333334	8.083333333333334	7.916666666666667	8.083333333333334	8.166666666666666	10	10	84.75	3.5	6.5	84.75	0	0	0	5	3	4	0	7	2	2018	3	Petit-Kwilu cultivar	1	50	43.9	0.878
G0077	2021	Lula	0.99853	0.000739	0.000731	7.75	7.833333333333333	7.833333333333333	7.916666666666667	8	7.916666666666667	7.916666666666667	8	10	10	83.16666666666667	0.14433756729740646	0.25	83.25	0	2	0	5	5	1	0	4	1	2003	18	Yangambi	1	50	43.3	0.866
G0079	2021	Lula-Congolese Subgroup A	0.872423	0.000697	0.12688	8.166666666666666	7.916666666666667	7.75	7.833333333333333	8	8	7.833333333333333	8.083333333333334	10	10	83.58333333333333	1.2583057392117918	2.5	83.5	0	0	0	4	5	3	0	3	1	2003	18	Yangambi	1	50	44.1	0.882
G0081	2021	Lula-Congolese Subgroup A	0.21493	0.000665	0.784405	8.25	7.916666666666667	7.75	8.25	8.166666666666666	7.833333333333333	8	8.166666666666666	10	10	84.33333333333333	1.1547005383792517	2	84.25	1	0	1	3	6	3	0	5	2	2016	5	Indonesia	1	50	42.3	0.846
G0081	2022	Lula-Congolese Subgroup A	0.21493	0.000665	0.784405	7.833333333333333	7.833333333333333	7.833333333333333	8.083333333333334	8	7.666666666666667	7.75	7.916666666666667	10	10	82.91666666666667	1.4648663192705789	2.75	83	2	0	1	6	5	1	0	6	0	2016	6	Indonesia	1	50	42.5	0.85
G0086	2022	Lula-Congolese Subgroup A	0.492142	0.000703	0.507155	7.666666666666667	7.5	7.25	7.666666666666667	7.75	7.666666666666667	7.5	7.5	10	10	80.5	2.165063509461097	3.75	80.5	4	1	4	3	5	1	0	3	1	2018	4	Luki	1	50	42.9	0.858
G0086	2021	Lula-Congolese Subgroup A	0.492142	0.000703	0.507155	7.666666666666667	7.583333333333333	7.416666666666667	8	8.083333333333334	8	7.75	7.666666666666667	10	10	82.16666666666667	1.1814539065631522	2.25	82.25	0	2	3	5	4	0	0	2	2	2018	3	Luki	1	50	43.4	0.868
G0087	2021	Congolese Subgroup A	0.000679	0.000664	0.998657	7.5	7.333333333333333	7	7.416666666666667	7.333333333333333	7.5	7.083333333333333	7	10	10	78.16666666666667	2.0207259421636903	4	78.25	1	8	3	3	2	1	0	2	0	2018	3	Luki	1	50	43.1	0.862
G0094	2021	Lula	0.998583	0.000719	0.000698	7.916666666666667	7.833333333333333	7.666666666666667	7.666666666666667	7.666666666666667	7.833333333333333	7.833333333333333	7.666666666666667	10	10	82.08333333333333	1.1547005383792517	2	82	0	0	3	2	8	4	0	3	1	2016	5	Lula	3	50	43.2	0.8640000000000001
G0095	2022	Lula	0.998682	0.00066	0.000657	7.666666666666667	7.75	7.583333333333333	7.916666666666667	7.583333333333333	7.75	7.75	7.666666666666667	10	10	81.66666666666667	0.14433756729740646	0.25	81.75	4	0	4	3	4	0	0	7	0	2016	6	Beni/Uganda	1	50	44.5	0.89
G0102	2021	Lula-Congolese Subgroup A	0.556111	0.000662	0.443227	7.583333333333333	7.416666666666667	7.25	7.5	7.416666666666667	7.5	7.5	7.333333333333333	10	10	79.5	0.4330127018922193	0.75	79.5	0	2	8	3	3	1	0	0	0	2018	3	Lula	1	50	43.2	0.8640000000000001
G0102	2022	Lula-Congolese Subgroup A	0.556111	0.000662	0.443227	7.5	7.333333333333333	7.083333333333333	7.416666666666667	7.25	7.416666666666667	7.25	7.25	10	10	78.5	1	2	78.5	2	1	2	1	6	3	0	0	1	2018	4	Lula	1	50	43.800000000000004	0.8760000000000001
G0103	2021	Lula	0.950879	0.048469	0.000652	8.166666666666666	8.166666666666666	7.833333333333333	8.083333333333334	8	8	8	8.083333333333334	10	10	84.33333333333333	1.4648663192705789	2.75	84.25	1	0	1	3	4	3	0	8	3	2016	5	Lula	3	50	44	0.88
G0105	2022	Lula	0.998679	0.000663	0.000658	7.5	7.75	7.666666666666667	7.666666666666667	7.5	7.583333333333333	7.75	7.75	10	10	81.16666666666667	1.506928443335427	3	81.25	0	1	3	3	8	2	0	3	0	2007	15	Lula	1	50	44	0.88
G0105	2021	Lula	0.998679	0.000663	0.000658	7.583333333333333	7.666666666666667	7.333333333333333	7.583333333333333	7.5	7.5	7.666666666666667	7.666666666666667	10	10	80.5	1.3919410907075054	2.75	80.5	1	0	3	1	6	2	0	0	0	2007	14	Lula	3	50	44.2	0.884
G0119	2021	Lula	0.909489	0.089847	0.000664	7.833333333333333	8.083333333333334	7.833333333333333	7.75	8.083333333333334	7.916666666666667	8.166666666666666	8.083333333333334	10	10	83.75	0.25	0.5	83.75	2	0	0	1	6	2	0	1	1	2016	5	Lula	3	50	43.6	0.872
G0120	2022	Lula	0.99866	0.00067	0.000669	7.583333333333333	7.75	7.5	7.583333333333333	7.75	7.75	7.666666666666667	7.666666666666667	10	10	81.25	0.4330127018922193	0.75	81.25	0	0	6	1	8	5	0	1	0	2016	6	Lula	3	50	43.400000000000006	0.8680000000000001
G0120	2021	Lula	0.99866	0.00067	0.000669	7.833333333333333	7.916666666666667	7.833333333333333	8.083333333333334	8	8.083333333333334	8.083333333333334	7.833333333333333	10	10	83.6666666666667	0.5204164998665332	1	83.75	0	0	1	5	2	5	0	3	1	2016	5	Lula	3	50	43.6	0.872
G0125	2021	Lula	0.998667	0.000673	0.00066	7.75	7.666666666666667	7.416666666666667	7.833333333333333	7.833333333333333	7.833333333333333	7.75	7.75	10	10	81.83333333333333	0.8036375634160795	1.5	81.75	1	2	4	2	7	1	0	0	1	2016	5	Lula	3	50	43.8	0.8759999999999999
G0131	2021	Lula	0.943705	0.055632	0.000662	7.5	7.375	7.25	7.375	7.5	7.5	7.625	7.375	10	10	79.5	0.7071067811865476	1	79.5	1	1	6	2	5	2	0	0	1	2016	5	Lula	3	50	43.5	0.87
G0134	2021	Lula	0.998691	0.000658	0.000651	7.666666666666667	7.666666666666667	7.5	7.833333333333333	7.583333333333333	7.583333333333333	7.583333333333333	7.583333333333333	10	10	81	1.3919410907075054	2.75	81	0	0	3	6	3	1	0	2	2	2016	5	Lula	3	50	43.5	0.87
G0175	2022	Lula	0.998666	0.000673	0.000661	7.583333333333333	7.75	7.5	7.833333333333333	7.75	7.75	7.75	7.75	10	10	81.66666666666667	0.38188130791298663	0.75	81.75	2	1	5	3	6	2	0	4	1	2016	6	Lula	3	50	42.9	0.858
G0175	2021	Lula	0.998666	0.000673	0.000661	7.833333333333333	7.666666666666667	7.416666666666667	7.916666666666667	7.75	7.666666666666667	7.666666666666667	7.666666666666667	10	10	81.58333333333333	0.2886751345948129	0.5	81.5	0	2	6	1	5	3	0	5	1	2016	5	Lula	3	50	44.2	0.884
G0176	2021	Lula-Wild	0.592153	0.368367	0.03948	7.583333333333333	7.75	7.5	7.666666666666667	7.666666666666667	7.75	7.75	7.583333333333333	10	10	81.25	1.3228756555322954	2.5	81.25	0	2	2	6	4	0	0	2	2	2016	5	Beni/Uganda	1	50	44	0.88
G0186	2021	Lula	0.998674	0.000669	0.000657	7.416666666666667	7.583333333333333	7.083333333333333	8.083333333333334	7.916666666666667	7.75	7.583333333333333	7.583333333333333	10	10	81	1.7320508075688772	3	81	1	3	3	2	4	0	0	3	2	2016	5	Beni/Uganda	1	50	44.7	0.894
G0188	2022	Lula	0.998675	0.000665	0.00066	7.75	7.916666666666667	7.666666666666667	8	7.916666666666667	7.75	7.75	7.833333333333333	10	10	82.58333333333333	0.5204164998665332	1	82.5	2	1	2	4	5	3	0	3	0	2016	6	Beni/Uganda	1	50	42.9	0.858
G0188	2021	Lula	0.998675	0.000665	0.00066	7.916666666666667	7.666666666666667	7.333333333333333	7.666666666666667	7.75	7.583333333333333	7.75	7.666666666666667	10	10	81.33333333333333	0.5204164998665332	1	81.25	1	1	3	3	4	2	2	6	0	2016	5	Beni/Uganda	2	50	43.6	0.872
G0192	2021	Lula-Wild	0.884923	0.114419	0.000658	7.666666666666667	7.75	7.583333333333333	7.833333333333333	7.916666666666667	7.916666666666667	7.833333333333333	8	10	10	82.5	0.6614378277661477	1.25	82.5	2	1	4	3	6	1	0	1	0	2016	5	Beni/Uganda	2	50	43.6	0.872
G0193	2022	Lula	0.998664	0.000678	0.000658	7.25	7.416666666666667	7.083333333333333	7.333333333333333	7.25	7.416666666666667	7.166666666666667	7.083333333333333	10	10	78	1.8874586088176875	3.75	78	3	4	8	0	7	1	0	1	1	2016	6	Lula	3	50	43	0.86
G0193	2021	Lula	0.998664	0.000678	0.000658	7.583333333333333	7.416666666666667	7.333333333333333	7.583333333333333	7.416666666666667	7.583333333333333	7.5	7.416666666666667	10	10	79.83333333333333	0.7637626158259733	1.5	79.75	0	1	4	5	6	4	0	1	0	2016	5	Lula	3	50	43.8	0.8759999999999999
G0195	2022	Lula	0.998683	0.00067	0.000648	7.5	7.75	7.583333333333333	7.833333333333333	7.75	7.666666666666667	7.583333333333333	7.666666666666667	10	10	81.33333333333333	0.8036375634160795	1.5	81.25	1	0	7	1	8	2	0	3	0	2016	6	Beni/Uganda	1	50	43.8	0.8759999999999999
G0196	2022	Lula	0.99868	0.000668	0.000653	7.5	7.833333333333333	7.666666666666667	7.75	7.666666666666667	7.666666666666667	7.666666666666667	7.666666666666667	10	10	81.41666666666667	1.0103629710818451	1.75	81.5	0	2	6	2	8	2	0	2	0	2016	6	Beni/Uganda	1	50	42.7	0.8540000000000001
G0200	2022	Lula	0.962618	0.03673	0.000652	7.333333333333333	7.666666666666667	7.333333333333333	7.833333333333333	7.666666666666667	7.583333333333333	7.416666666666667	7.583333333333333	10	10	80.41666666666667	1.4433756729740645	2.5	80.5	8	0	4	3	2	0	0	3	0	2013	9	Lula	1	50	42	0.84
G0200	2021	Lula	0.962618	0.03673	0.000652	7.666666666666667	7.75	7.416666666666667	7.5	7.5	7.666666666666667	7.583333333333333	7.5	10	10	80.58333333333333	1.1814539065631522	2.25	80.5	1	0	4	2	5	2	0	1	2	2013	8	Lula	1	50	43.6	0.872
G0212	2021	Lula-Congolese Subgroup A	0.457942	0.000708	0.54135	7.583333333333333	7.416666666666667	7.25	7.416666666666667	7.666666666666667	8	7.666666666666667	7.416666666666667	10	10	80.41666666666667	2.897556441785618	5.25	80.5	2	4	3	0	6	2	0	4	1	2018	3	Luki	1	50	44	0.88
G0213	2022	Lula-Congolese Subgroup A	0.482924	0.000711	0.516365	7.416666666666667	7.416666666666667	7	7.25	7.083333333333333	7.25	7.166666666666667	7.166666666666667	10	10	77.75	0.75	1.5	77.75	2	2	5	4	5	2	0	1	0	2018	4	Luki	1	50	43.1	0.862
G0214	2022	Lula-Congolese Subgroup A	0.50669	0.000673	0.492637	7.416666666666667	7.583333333333333	7.25	7.5	7.5	7.583333333333333	7.583333333333333	7.5	10	10	79.91666666666667	2.4022558842332624	4.75	80	5	0	4	3	7	1	0	0	1	2018	4	Luki	1	50	42.3	0.846
G0220	2022	Lula-Congolese Subgroup A	0.607122	0.000677	0.392201	7.583333333333333	7.333333333333333	7.083333333333333	7.583333333333333	7.25	7.583333333333333	7.5	7.5	10	10	79.41666666666667	2.0207259421636903	3.5	79.5	0	1	3	1	3	3	0	5	0	2018	4	Luki	1	50	42.8	0.856
G0220	2021	Lula-Congolese Subgroup A	0.607122	0.000677	0.392201	7.833333333333333	8.083333333333334	7.916666666666667	7.916666666666667	8	8.083333333333334	8	7.916666666666667	10	10	83.75	0.6614378277661477	1.25	83.75	1	2	3	2	3	3	0	6	4	2018	3	Luki	1	50	43.6	0.872
