product_key	publisher_key	external_product_key	product_name	coffee_origin_country_codes	coffee_regions	producer_names	variety_names	process_names	notes
product.firstbloom.1121	publisher.firstbloom.1	1121	Rukira	"[""KE""]"	[]	"[""Various smallholder producers""]"	"[""SL28"",""SL34""]"	"[""Raised Bed"",""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Kenya""],""drying_process_names"":[""Raised Bed""],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""1121"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":2,""selected_release_ids"":[""1142"",""4119""],""source"":""Firstbloom Data""}"
product.firstbloom.1123	publisher.firstbloom.1	1123	Jose Martinez Espresso	"[""CO""]"	[]	"[""Jose Martinez""]"	"[""Caturra"",""Tabi""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Colombia""],""drying_process_names"":[],""farm_names"":[],""firstbloom_product_id"":""1123"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1144""],""source"":""Firstbloom Data""}"
product.firstbloom.1514	publisher.firstbloom.1	1514	Nansebo Genene Filter	"[""ET""]"	"[""Oromia""]"	"[""Various smallholder producers""]"	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""1514"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1557""],""source"":""Firstbloom Data""}"
product.firstbloom.2024	publisher.firstbloom.1	2024	Torres Family	"[""CR""]"	[]	"[""Torres Family""]"	"[""Villalobos""]"	"[""Slow Dried In Guardiola"",""White Honey""]"	"{""cleaning_process_names"":[""White Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[""Slow Dried In Guardiola""],""farm_names"":[],""firstbloom_product_id"":""2024"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""2127""],""source"":""Firstbloom Data""}"
product.firstbloom.2026	publisher.firstbloom.1	2026	Benti Nenka Worasa	"[""ET""]"	"[""Oromia""]"	"[""Various smallholder producers""]"	"[""Dega/Diga"",""Wolisho""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""2026"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""2131""],""source"":""Firstbloom Data""}"
product.firstbloom.53	publisher.firstbloom.2	53	Punch Buggy Espresso	"[""CO"",""CR"",""ET"",""KE""]"	[]	[]	[]	[]	"{""cleaning_process_names"":[],""coffee_origin_country_names"":[""Colombia"",""Costa Rica"",""Ethiopia"",""Kenya""],""drying_process_names"":[],""farm_names"":[],""firstbloom_product_id"":""53"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""282""],""source"":""Firstbloom Data""}"
product.firstbloom.179	publisher.firstbloom.2	179	Sitio Serra Espresso	"[""BR""]"	[]	"[""Marcelo & Edilaine Morais""]"	"[""Yellow Catuai""]"	"[""Pulped Natural""]"	"{""cleaning_process_names"":[""Pulped Natural""],""coffee_origin_country_names"":[""Brazil""],""drying_process_names"":[],""farm_names"":[""Sitio Serra""],""firstbloom_product_id"":""179"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1131""],""source"":""Firstbloom Data""}"
product.firstbloom.440	publisher.firstbloom.2	440	Santa Lucia Costa Rica	"[""CR""]"	[]	"[""Ricardo Perez Barrantes""]"	"[""Villalobos""]"	"[""White Honey""]"	"{""cleaning_process_names"":[""White Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[""Finca Santa Lucia""],""firstbloom_product_id"":""440"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""2244""],""source"":""Firstbloom Data""}"
product.firstbloom.648	publisher.firstbloom.2	648	Carrizal Arriba Costa Rica	"[""CR""]"	[]	"[""Gamboa Family""]"	"[""Catuai""]"	"[""Yellow Honey""]"	"{""cleaning_process_names"":[""Yellow Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[""Carrizal""],""firstbloom_product_id"":""648"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4758""],""source"":""Firstbloom Data""}"
product.firstbloom.687	publisher.firstbloom.2	687	Aleta Wondo	"[""ET""]"	"[""Sidamo""]"	"[""Various smallholder producers""]"	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""687"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""698""],""source"":""Firstbloom Data""}"
product.firstbloom.760	publisher.firstbloom.2	760	Bouncy Castle Espresso	"[""ET""]"	"[""Oromia""]"	[]	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[],""firstbloom_product_id"":""760"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""773""],""source"":""Firstbloom Data""}"
product.firstbloom.816	publisher.firstbloom.2	816	Fabio Ruiz Vargas	"[""CR""]"	[]	"[""Fabio Ruiz Vargas""]"	"[""Typica Mejorada""]"	"[""White Honey""]"	"{""cleaning_process_names"":[""White Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[""Ruva""],""firstbloom_product_id"":""816"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""830""],""source"":""Firstbloom Data""}"
product.firstbloom.838	publisher.firstbloom.2	838	Las Tolas	"[""EC""]"	[]	"[""Arnaud Causse""]"	"[""Caturra""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ecuador""],""drying_process_names"":[],""farm_names"":[""Las Tolas""],""firstbloom_product_id"":""838"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""853""],""source"":""Firstbloom Data""}"
product.firstbloom.898	publisher.firstbloom.2	898	Kore	"[""ET""]"	"[""Yirgacheffe""]"	"[""Various smallholder producers""]"	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""898"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""916""],""source"":""Firstbloom Data""}"
product.firstbloom.1007	publisher.firstbloom.2	1007	Kahindu Estate	"[""KE""]"	[]	"[""Various smallholder producers""]"	"[""SL28"",""SL34""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Kenya""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""1007"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1027""],""source"":""Firstbloom Data""}"
product.firstbloom.1143	publisher.firstbloom.2	1143	Boji	"[""ET""]"	[]	"[""Israel Degfa (Kerchanshe)""]"	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""1143"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1166""],""source"":""Firstbloom Data""}"
product.firstbloom.1632	publisher.firstbloom.2	1632	Gabriel De Carvalho Dias	"[""BR""]"	"[""Vale da Grama""]"	"[""Gabriel Carvalho Dias""]"	"[""Bourbon""]"	"[""Dry/Natural""]"	"{""cleaning_process_names"":[""Dry/Natural""],""coffee_origin_country_names"":[""Brazil""],""drying_process_names"":[],""farm_names"":[""Fazenda Cachoeira da Grama""],""firstbloom_product_id"":""1632"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1694""],""source"":""Firstbloom Data""}"
product.firstbloom.1711	publisher.firstbloom.2	1711	Los Naranjos Colombia Espresso	"[""CO""]"	[]	"[""Various smallholder producers""]"	"[""Caturra""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Colombia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""1711"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1780""],""source"":""Firstbloom Data""}"
product.firstbloom.1811	publisher.firstbloom.2	1811	Serra Do Boné	"[""BR""]"	[]	"[""Carlos Sérgio Sanglard""]"	"[""Red Catuai"",""Yellow Catuai""]"	"[""Pulped Natural""]"	"{""cleaning_process_names"":[""Pulped Natural""],""coffee_origin_country_names"":[""Brazil""],""drying_process_names"":[],""farm_names"":[""Serra Do Boné""],""firstbloom_product_id"":""1811"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1886""],""source"":""Firstbloom Data""}"
product.firstbloom.2130	publisher.firstbloom.2	2130	Carrizal Arriba Costa Rica Espresso	"[""CR""]"	[]	"[""Gamboa Family""]"	"[""Catuai""]"	"[""Yellow Honey""]"	"{""cleaning_process_names"":[""Yellow Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[""Carrizal""],""firstbloom_product_id"":""2130"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4753""],""source"":""Firstbloom Data""}"
product.firstbloom.4300	publisher.firstbloom.2	4300	Fugi Rwanda	"[""RW""]"	[]	"[""Various smallholder producers""]"	"[""Red Bourbon""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Rwanda""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""4300"",""firstbloom_roaster_id"":""2"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4683""],""source"":""Firstbloom Data""}"
product.firstbloom.9	publisher.firstbloom.3	9	Gelana Abaya	"[""NTA""]"	[]	"[""Abaya Coop""]"	"[""Regional Landraces/Heirloom""]"	"[""Dry/Natural""]"	"{""cleaning_process_names"":[""Dry/Natural""],""coffee_origin_country_names"":[""Not Available""],""drying_process_names"":[],""farm_names"":[],""firstbloom_product_id"":""9"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""2""],""source"":""Firstbloom Data""}"
product.firstbloom.45	publisher.firstbloom.3	45	Adado	"[""ET""]"	"[""Yirgacheffe""]"	"[""Adado Coop""]"	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[],""firstbloom_product_id"":""45"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""25""],""source"":""Firstbloom Data""}"
product.firstbloom.121	publisher.firstbloom.3	121	Natural Gesha	"[""CR""]"	[]	"[""Ricardo Hernandez Naranjo""]"	"[""Gesha""]"	"[""Dry/Natural""]"	"{""cleaning_process_names"":[""Dry/Natural""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[],""firstbloom_product_id"":""121"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""92""],""source"":""Firstbloom Data""}"
product.firstbloom.3857	publisher.firstbloom.3	3857	Cajamarca Espresso	"[""PE""]"	[]	"[""Various smallholder producers""]"	"[""Bourbon"",""Catimor"",""Caturra"",""Typica""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Peru""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""3857"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4160""],""source"":""Firstbloom Data""}"
product.firstbloom.3858	publisher.firstbloom.3	3858	Misty Valley	"[""ET""]"	"[""Gedeo Zone""]"	"[""Faysel Abdosh""]"	"[""Regional Landraces/Heirloom""]"	"[""Dry/Natural""]"	"{""cleaning_process_names"":[""Dry/Natural""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""3858"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4161""],""source"":""Firstbloom Data""}"
product.firstbloom.3859	publisher.firstbloom.3	3859	Banko Gotiti	"[""ET""]"	[]	"[""Aman Adinew""]"	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""3859"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4162""],""source"":""Firstbloom Data""}"
product.firstbloom.3861	publisher.firstbloom.3	3861	Kalungu Birambo	"[""CD""]"	[]	"[""Various smallholder producers""]"	"[""Blue Mountain"",""Bourbon"",""Catuai"",""Caturra"",""Kabare 2""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Democratic Republic of the Congo""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""3861"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4164""],""source"":""Firstbloom Data""}"
product.firstbloom.3862	publisher.firstbloom.3	3862	Antonio Rene Aguilar Pacamara	"[""SV""]"	[]	"[""Antonio René Aguilar""]"	"[""Pacamara""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""El Salvador""],""drying_process_names"":[],""farm_names"":[""La Montañita""],""firstbloom_product_id"":""3862"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4165""],""source"":""Firstbloom Data""}"
product.firstbloom.3863	publisher.firstbloom.3	3863	Hakuna Matata	"[""EC""]"	[]	"[""Henry & Verena Gaibor""]"	"[""Typica""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ecuador""],""drying_process_names"":[],""farm_names"":[""Finca Maputo""],""firstbloom_product_id"":""3863"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4166""],""source"":""Firstbloom Data""}"
product.firstbloom.3864	publisher.firstbloom.3	3864	Dionel Chilito Gesha	"[""CO""]"	[]	"[""Dionel Chilito Lopez""]"	"[""Gesha""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Colombia""],""drying_process_names"":[],""farm_names"":[""La Pradera""],""firstbloom_product_id"":""3864"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4167""],""source"":""Firstbloom Data""}"
product.firstbloom.3865	publisher.firstbloom.3	3865	Monte Brisas Black Honey	"[""CR""]"	[]	"[""Luiz Salazar and Mari Cruz""]"	"[""Caturra""]"	"[""Black Honey""]"	"{""cleaning_process_names"":[""Black Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[""Finca Salaca""],""firstbloom_product_id"":""3865"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4168""],""source"":""Firstbloom Data""}"
product.firstbloom.3866	publisher.firstbloom.3	3866	Pt Toarco Jaya	"[""ID""]"	[]	"[""Various smallholder producers""]"	"[""S795""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Indonesia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""3866"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4169""],""source"":""Firstbloom Data""}"
product.firstbloom.3867	publisher.firstbloom.3	3867	Abyssina Sabri Datiga	"[""ID""]"	"[""Sumatra""]"	"[""Sabri Datiga""]"	"[""Abyssinia""]"	"[""Giling Basah""]"	"{""cleaning_process_names"":[""Giling Basah""],""coffee_origin_country_names"":[""Indonesia""],""drying_process_names"":[],""farm_names"":[""Blang Glee""],""firstbloom_product_id"":""3867"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4170""],""source"":""Firstbloom Data""}"
product.firstbloom.3868	publisher.firstbloom.3	3868	Las Lajas Diamond Honey	"[""CR""]"	[]	"[""Dona Francisca and Oscar Chacon""]"	"[""Caturra"",""Villa Sarchi""]"	"[""Yellow Honey""]"	"{""cleaning_process_names"":[""Yellow Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[""Las Lajas""],""firstbloom_product_id"":""3868"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4171""],""source"":""Firstbloom Data""}"
product.firstbloom.3869	publisher.firstbloom.3	3869	Arnulfo Leguizamo Espresso	"[""CO""]"	[]	"[""Arnulfo Leguizamo""]"	"[""Castillo""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Colombia""],""drying_process_names"":[],""farm_names"":[""El Faldon""],""firstbloom_product_id"":""3869"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4172""],""source"":""Firstbloom Data""}"
product.firstbloom.3870	publisher.firstbloom.3	3870	Las Lajas Perla Negra	"[""CR""]"	[]	"[""Dona Francisca and Oscar Chacon""]"	"[""Catuai"",""Caturra""]"	"[""Black Honey""]"	"{""cleaning_process_names"":[""Black Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[""Las Lajas""],""firstbloom_product_id"":""3870"",""firstbloom_roaster_id"":""3"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""4173""],""source"":""Firstbloom Data""}"
product.firstbloom.117	publisher.firstbloom.4	117	Holiday Filter	"[""HN""]"	"[""Santa Barbara""]"	"[""Oscar Nuez""]"	"[""Pacas""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Honduras""],""drying_process_names"":[],""farm_names"":[""El Guaco""],""firstbloom_product_id"":""117"",""firstbloom_roaster_id"":""4"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""3379""],""source"":""Firstbloom Data""}"
