frequency_key	representative_expression_key	representative_basic_normalized_text	normalized_text	expression_frequency	document_frequency	publisher_prevalence_count	publisher_sample_count	country_prevalence_count	country_sample_count	value_semantics
frequency.firstbloom-a6cb002-pilot-v1.16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	expression.observed.en.sha256_16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	a mellow acidity	a mellow acidity	2	2	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	a mild acidity	a mild acidity	3	3	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.c27bb1c0a9fc09cbbaf75df6f7f300a3c7a983a96f847d83f9585e1b90f1df9d	expression.observed.en.sha256_c27bb1c0a9fc09cbbaf75df6f7f300a3c7a983a96f847d83f9585e1b90f1df9d	a muted acidity	a muted acidity	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.d1c6b4fdb58f45f7b3130bdc4010f1754631b30ec63a079a8aad9ae511492db0	expression.observed.en.sha256_d1c6b4fdb58f45f7b3130bdc4010f1754631b30ec63a079a8aad9ae511492db0	a silky body and a mild sweetness	a silky body and a mild sweetness	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.65743dd48f64dd0165187a8fb99de8632f2c96ac344fb3d5949d562350e32ae5	expression.observed.en.sha256_65743dd48f64dd0165187a8fb99de8632f2c96ac344fb3d5949d562350e32ae5	a smooth body and a memorable sweetness	a smooth body and a memorable sweetness	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.9297b5d7a76090a4837322f8f63fb44b55816fd7de99b58b700ac4d0efa21920	expression.observed.en.sha256_9297b5d7a76090a4837322f8f63fb44b55816fd7de99b58b700ac4d0efa21920	a thick body and a mellow sweetness	a thick body and a mellow sweetness	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.eb6b4e803bb068842c09b0faa5634773c842a881b1273fde6413f031ee507ee2	expression.observed.en.sha256_eb6b4e803bb068842c09b0faa5634773c842a881b1273fde6413f031ee507ee2	a thick body and a rounded sweetness	a thick body and a rounded sweetness	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.784f07ce6dc2700984a42ca8fec361fe80eb11f71deabc747e9bb43fae9cb12d	expression.observed.en.sha256_784f07ce6dc2700984a42ca8fec361fe80eb11f71deabc747e9bb43fae9cb12d	a touch smokey	a touch smokey	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.7921505f2965d7e7d8f8bab7f2088437a07d92624f8452f61dfa334408c53b9d	expression.observed.en.sha256_7921505f2965d7e7d8f8bab7f2088437a07d92624f8452f61dfa334408c53b9d	acai berry	acai berry	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.8cfcb84814bb8a7c071ca48089f8f67a076d8f5a40727aa1e28ecb1c2a307f95	expression.observed.en.sha256_224aeda724ced2517c1749c1459849b2da403c68a3844e51c87c8c8f59e93a99	aftertaste – tangerine	aftertaste - tangerine	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.5c6cf3f7564f9338087d58984d51e0d5b8bec4922814b01a2743a943f1341645	expression.observed.en.sha256_5c6cf3f7564f9338087d58984d51e0d5b8bec4922814b01a2743a943f1341645	aftertastes of earth	aftertastes of earth	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.540e0c6bdd02447b08b62b6083fbf7e5cb76df27e66500905b91aed4a70c37a0	expression.observed.en.sha256_540e0c6bdd02447b08b62b6083fbf7e5cb76df27e66500905b91aed4a70c37a0	aftertastes of malt and chocolate	aftertastes of malt and chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.95fb1fa9a88b393c74600f448a8966f514ccf21e497273484b7010dab6f0880e	expression.observed.en.sha256_95fb1fa9a88b393c74600f448a8966f514ccf21e497273484b7010dab6f0880e	agave	agave	5	5	5	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.7a3f0dd81aba1f1068b5a308cdbb2f8a11caa8f154d9b1f0fc7ee296ffe917ac	expression.observed.en.sha256_7a3f0dd81aba1f1068b5a308cdbb2f8a11caa8f154d9b1f0fc7ee296ffe917ac	alfajores	alfajores	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	expression.observed.en.sha256_90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	almond	almond	44	44	35	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.3f35333b6beb7836d8e7292212155d3a10decc946034854dfc994f9ab19630ed	expression.observed.en.sha256_3f35333b6beb7836d8e7292212155d3a10decc946034854dfc994f9ab19630ed	almond & molasses	almond & molasses	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.92cac10bc36336efcdb40552533a92c0969d711b7ab1262675c050c63fe9a1ec	expression.observed.en.sha256_92cac10bc36336efcdb40552533a92c0969d711b7ab1262675c050c63fe9a1ec	almond and baking chocolate	almond and baking chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.aadb443b7f3f92a60323417f7df4f5a909d7073c896270602621776623cc4904	expression.observed.en.sha256_aadb443b7f3f92a60323417f7df4f5a909d7073c896270602621776623cc4904	almond and creamy	almond and creamy	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.ef25cc9bb37323039b72bf5f26562151fe2ba0aa303c1fb6ee393f913bdb453f	expression.observed.en.sha256_ef25cc9bb37323039b72bf5f26562151fe2ba0aa303c1fb6ee393f913bdb453f	almond and fudgey	almond and fudgey	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.574d2fe5061e7f3fb3def2464812ad3abe7b701a0deabba064c15cf376df89c2	expression.observed.en.sha256_574d2fe5061e7f3fb3def2464812ad3abe7b701a0deabba064c15cf376df89c2	almond and spice	almond and spice	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e88468496103b8cf3bf364788d515e9ca770ccba96e8214503f7f2ebe8ff2f2e	expression.observed.en.sha256_e88468496103b8cf3bf364788d515e9ca770ccba96e8214503f7f2ebe8ff2f2e	almond and stone fruit	almond and stone fruit	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a80e50084e72cd4a8a6da6baff5b5a913102fc6d8ff4c8ab85806ba52e23abcf	expression.observed.en.sha256_a80e50084e72cd4a8a6da6baff5b5a913102fc6d8ff4c8ab85806ba52e23abcf	almond and stonefruit	almond and stonefruit	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.77f03b31d40cc3b577b5eeefc0eddd9e615da044294a0bef0f2279146be846c6	expression.observed.en.sha256_77f03b31d40cc3b577b5eeefc0eddd9e615da044294a0bef0f2279146be846c6	almond and vanilla	almond and vanilla	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.2381833471102f4fbb8c5b9c137f1332a6f0db5350e47b4d1a0c52e87686144d	expression.observed.en.sha256_2381833471102f4fbb8c5b9c137f1332a6f0db5350e47b4d1a0c52e87686144d	almond and velvety	almond and velvety	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.238390a1634f0aa715ce5437ff8a08a682b71734c2afdf51f10e2b376670429c	expression.observed.en.sha256_238390a1634f0aa715ce5437ff8a08a682b71734c2afdf51f10e2b376670429c	almond butter	almond butter	6	6	6	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.b537f857cbae8ddc74197d828635bc548fdf0ba533100237b9e84cdbcc2ff5aa	expression.observed.en.sha256_b537f857cbae8ddc74197d828635bc548fdf0ba533100237b9e84cdbcc2ff5aa	almond butter and blackberries	almond butter and blackberries	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.8d42b25060117425eedbbfafb85922ac002c5f569a2455ca6c8a0bb9dad5b335	expression.observed.en.sha256_8d42b25060117425eedbbfafb85922ac002c5f569a2455ca6c8a0bb9dad5b335	almond chocolate fudge	almond chocolate fudge	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.92367eb53a43568d1605994d0ce3a6297fa28305ceb43b3e98a0bb91a65ac8e5	expression.observed.en.sha256_92367eb53a43568d1605994d0ce3a6297fa28305ceb43b3e98a0bb91a65ac8e5	almond joy	almond joy	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.616a1f9a53598244dcf60b01e8006a72772f204de10f235e44dfaaff96375b79	expression.observed.en.sha256_616a1f9a53598244dcf60b01e8006a72772f204de10f235e44dfaaff96375b79	almond liqueur	almond liqueur	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.77ea6b39ea79be35577303262099a5df517ebbfd5b46a485d0b6d85d15e61c59	expression.observed.en.sha256_77ea6b39ea79be35577303262099a5df517ebbfd5b46a485d0b6d85d15e61c59	almonds	almonds	7	7	5	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.13136507fcddb8451fa4a9e676cae750dd7f65f1386eb56cca1aa3862b1ccba0	expression.observed.en.sha256_13136507fcddb8451fa4a9e676cae750dd7f65f1386eb56cca1aa3862b1ccba0	almonds and banana	almonds and banana	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6e5272f7fab89a1f4a6125e127a334ad9052e01f86f0fac4b94fea72a2a67d63	expression.observed.en.sha256_6e5272f7fab89a1f4a6125e127a334ad9052e01f86f0fac4b94fea72a2a67d63	almonds and brown sugar	almonds and brown sugar	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.9517f9b43f97dc91f236ac78a9940ac5b409c8360d7da922fa09e5dcd52ea64c	expression.observed.en.sha256_9517f9b43f97dc91f236ac78a9940ac5b409c8360d7da922fa09e5dcd52ea64c	almonds and tangerine	almonds and tangerine	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.1979e158458fae05583f32f66abcbddf5613db3d8b2d0627fe8d4da231518329	expression.observed.en.sha256_1979e158458fae05583f32f66abcbddf5613db3d8b2d0627fe8d4da231518329	almonds and vanilla	almonds and vanilla	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6268661549f3380f3fa9d3c5fb81b2fb1c75e7e8ac7fa85043986006848d6915	expression.observed.en.sha256_6268661549f3380f3fa9d3c5fb81b2fb1c75e7e8ac7fa85043986006848d6915	alyssum	alyssum	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.1e2d23451374a4d74a44b45d19c647b49cba7e16e7df648c066d3f9c3c2927d2	expression.observed.en.sha256_1e2d23451374a4d74a44b45d19c647b49cba7e16e7df648c066d3f9c3c2927d2	amarena cherry	amarena cherry	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.779bfa925b025e514432fb3d4b8e22fc84fdccc9f83e676c479c1fed4b3d608f	expression.observed.en.sha256_779bfa925b025e514432fb3d4b8e22fc84fdccc9f83e676c479c1fed4b3d608f	amaretto	amaretto	5	5	4	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a56fc8aaf1dbedc22b3ea2e2866cbdde202c77f48b3b6696ac8221b825bfcf9f	expression.observed.en.sha256_a56fc8aaf1dbedc22b3ea2e2866cbdde202c77f48b3b6696ac8221b825bfcf9f	anise	anise	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b	expression.observed.en.sha256_3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b	apple	apple	38	38	29	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.7194d8e1753890765dcee628fa534bc041139d253b010117331f1a7eb79b86e0	expression.observed.en.sha256_7194d8e1753890765dcee628fa534bc041139d253b010117331f1a7eb79b86e0	apple and allspice	apple and allspice	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a7bca4225a537f6bfe0846be27fb1244878780f0f309991abb1045b0c60b7c24	expression.observed.en.sha256_a7bca4225a537f6bfe0846be27fb1244878780f0f309991abb1045b0c60b7c24	apple and blueberry	apple and blueberry	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.c55e89d29ad440f4b10ee36b5a009f69778132daf8e7ec3617e1a4732dc5d941	expression.observed.en.sha256_c55e89d29ad440f4b10ee36b5a009f69778132daf8e7ec3617e1a4732dc5d941	apple and dark chocolate	apple and dark chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a8d54ead199e776e8c069b9bb52756926def0edd47bd435ca7a9864a2915990d	expression.observed.en.sha256_a8d54ead199e776e8c069b9bb52756926def0edd47bd435ca7a9864a2915990d	apple and silky	apple and silky	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e263dad79acfa17ea4433d34775c70ff3179b8a9a11cef0fe5036a02ee4b6e77	expression.observed.en.sha256_e263dad79acfa17ea4433d34775c70ff3179b8a9a11cef0fe5036a02ee4b6e77	apple cider	apple cider	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e6220a5e09169bf0a4a10fa83a0ac24d2752bf55d9c096e0671cbbcbc23612b3	expression.observed.en.sha256_e6220a5e09169bf0a4a10fa83a0ac24d2752bf55d9c096e0671cbbcbc23612b3	apple crumble	apple crumble	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e7583f59d441bf88a8ea63844387552db72861df2c1a8aa6491e441df34d8385	expression.observed.en.sha256_e7583f59d441bf88a8ea63844387552db72861df2c1a8aa6491e441df34d8385	apple jam	apple jam	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.3a619726d53bc8d670e0b897f7400812b9ce8bb6c3231a61d8bf9df3c45fc425	expression.observed.en.sha256_3a619726d53bc8d670e0b897f7400812b9ce8bb6c3231a61d8bf9df3c45fc425	apple juice	apple juice	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.4960199362087f53ae76cbb34b796425d3e5e5d5663d1f81afc8a0089eb52098	expression.observed.en.sha256_4960199362087f53ae76cbb34b796425d3e5e5d5663d1f81afc8a0089eb52098	apple nectar	apple nectar	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.10ef487e48df3a7dabf54101660b74f1f1f3d5b9dc5400decda2d01099c4ccaa	expression.observed.en.sha256_10ef487e48df3a7dabf54101660b74f1f1f3d5b9dc5400decda2d01099c4ccaa	apple pie	apple pie	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.92ebc102b46b0e1436c53c6934c0ac0c6ce8946fc9f80d3de1c352fd35335bc7	expression.observed.en.sha256_92ebc102b46b0e1436c53c6934c0ac0c6ce8946fc9f80d3de1c352fd35335bc7	apple tart	apple tart	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.d58f75145b2626ec6f969c2ce4f164dabe6a6567845dc9e3b31d5b9cee40c136	expression.observed.en.sha256_d58f75145b2626ec6f969c2ce4f164dabe6a6567845dc9e3b31d5b9cee40c136	apples & chocolate	apples & chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.1666245dbf7cca910a2886fd699ffe59d458abe75ffa2ac4df48b5c7fb2573f4	expression.observed.en.sha256_1666245dbf7cca910a2886fd699ffe59d458abe75ffa2ac4df48b5c7fb2573f4	apples & raspberries	apples & raspberries	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0	expression.observed.en.sha256_918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0	apricot	apricot	67	67	54	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.08acd75325fd9b1eef4f2881ab7de1468aed4ae109b06419175935f6d89666cf	expression.observed.en.sha256_08acd75325fd9b1eef4f2881ab7de1468aed4ae109b06419175935f6d89666cf	apricot & rosehip	apricot & rosehip	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.ad7a7fac204352f8d873873964b7567431546ce3b9e95d0ab0da5b3543dcdadd	expression.observed.en.sha256_ad7a7fac204352f8d873873964b7567431546ce3b9e95d0ab0da5b3543dcdadd	apricot and chestnut	apricot and chestnut	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.c3acce5f1dc0b89085572a3513587cb9a194aabdd11a4645110ac5fe89f4f442	expression.observed.en.sha256_c3acce5f1dc0b89085572a3513587cb9a194aabdd11a4645110ac5fe89f4f442	apricot and creamy nougat	apricot and creamy nougat	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.9b7cae678e3798054346e151c909773f007b999e3d264dddb8cdb0720852afc4	expression.observed.en.sha256_9b7cae678e3798054346e151c909773f007b999e3d264dddb8cdb0720852afc4	apricot and floral	apricot and floral	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.b5c63d7e27a4a6237df46e7645f0ac7fe24638195520fc81d48998a6142e351c	expression.observed.en.sha256_b5c63d7e27a4a6237df46e7645f0ac7fe24638195520fc81d48998a6142e351c	apricot and jasmine	apricot and jasmine	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6864cd272012592b2dcb34540955c64848548beba9309c3a06d22540d097c0c6	expression.observed.en.sha256_6864cd272012592b2dcb34540955c64848548beba9309c3a06d22540d097c0c6	apricot jam	apricot jam	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
