expression_key	language_tag_code	expression_text	basic_normalized_text	normalized_text	raw_variant_count	occurrence_count
expression.observed.en.sha256_9297b5d7a76090a4837322f8f63fb44b55816fd7de99b58b700ac4d0efa21920	en	a thick body and a mellow sweetness	a thick body and a mellow sweetness	a thick body and a mellow sweetness	1	1
expression.observed.en.sha256_eb6b4e803bb068842c09b0faa5634773c842a881b1273fde6413f031ee507ee2	en	a thick body and a rounded sweetness	a thick body and a rounded sweetness	a thick body and a rounded sweetness	1	1
expression.observed.en.sha256_784f07ce6dc2700984a42ca8fec361fe80eb11f71deabc747e9bb43fae9cb12d	en	a touch smokey	a touch smokey	a touch smokey	1	1
expression.observed.en.sha256_7921505f2965d7e7d8f8bab7f2088437a07d92624f8452f61dfa334408c53b9d	en	acai berry	acai berry	acai berry	1	1
expression.observed.en.sha256_224aeda724ced2517c1749c1459849b2da403c68a3844e51c87c8c8f59e93a99	en	Aftertaste – Tangerine	aftertaste – tangerine	aftertaste - tangerine	1	1
expression.observed.en.sha256_5c6cf3f7564f9338087d58984d51e0d5b8bec4922814b01a2743a943f1341645	en	aftertastes of earth	aftertastes of earth	aftertastes of earth	1	1
expression.observed.en.sha256_540e0c6bdd02447b08b62b6083fbf7e5cb76df27e66500905b91aed4a70c37a0	en	aftertastes of malt and chocolate	aftertastes of malt and chocolate	aftertastes of malt and chocolate	1	1
expression.observed.en.sha256_95fb1fa9a88b393c74600f448a8966f514ccf21e497273484b7010dab6f0880e	en	AGAVE	agave	agave	2	5
expression.observed.en.sha256_7a3f0dd81aba1f1068b5a308cdbb2f8a11caa8f154d9b1f0fc7ee296ffe917ac	en	alfajores	alfajores	alfajores	1	1
expression.observed.en.sha256_90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	en	Almond	almond	almond	2	44
expression.observed.en.sha256_3f35333b6beb7836d8e7292212155d3a10decc946034854dfc994f9ab19630ed	en	almond & molasses	almond & molasses	almond & molasses	1	1
expression.observed.en.sha256_92cac10bc36336efcdb40552533a92c0969d711b7ab1262675c050c63fe9a1ec	en	Almond and Baking Chocolate	almond and baking chocolate	almond and baking chocolate	1	1
expression.observed.en.sha256_aadb443b7f3f92a60323417f7df4f5a909d7073c896270602621776623cc4904	en	Almond and Creamy	almond and creamy	almond and creamy	1	1
expression.observed.en.sha256_ef25cc9bb37323039b72bf5f26562151fe2ba0aa303c1fb6ee393f913bdb453f	en	Almond and Fudgey	almond and fudgey	almond and fudgey	1	1
expression.observed.en.sha256_574d2fe5061e7f3fb3def2464812ad3abe7b701a0deabba064c15cf376df89c2	en	almond and spice	almond and spice	almond and spice	1	1
expression.observed.en.sha256_e88468496103b8cf3bf364788d515e9ca770ccba96e8214503f7f2ebe8ff2f2e	en	almond and stone fruit	almond and stone fruit	almond and stone fruit	1	1
expression.observed.en.sha256_a80e50084e72cd4a8a6da6baff5b5a913102fc6d8ff4c8ab85806ba52e23abcf	en	Almond and Stonefruit	almond and stonefruit	almond and stonefruit	1	1
expression.observed.en.sha256_77f03b31d40cc3b577b5eeefc0eddd9e615da044294a0bef0f2279146be846c6	en	Almond and Vanilla	almond and vanilla	almond and vanilla	1	1
expression.observed.en.sha256_2381833471102f4fbb8c5b9c137f1332a6f0db5350e47b4d1a0c52e87686144d	en	Almond and Velvety	almond and velvety	almond and velvety	1	1
expression.observed.en.sha256_238390a1634f0aa715ce5437ff8a08a682b71734c2afdf51f10e2b376670429c	en	Almond Butter	almond butter	almond butter	4	6
expression.observed.en.sha256_b537f857cbae8ddc74197d828635bc548fdf0ba533100237b9e84cdbcc2ff5aa	en	almond butter and blackberries	almond butter and blackberries	almond butter and blackberries	1	1
expression.observed.en.sha256_8d42b25060117425eedbbfafb85922ac002c5f569a2455ca6c8a0bb9dad5b335	en	Almond Chocolate Fudge	almond chocolate fudge	almond chocolate fudge	1	1
expression.observed.en.sha256_92367eb53a43568d1605994d0ce3a6297fa28305ceb43b3e98a0bb91a65ac8e5	en	almond joy	almond joy	almond joy	1	1
expression.observed.en.sha256_616a1f9a53598244dcf60b01e8006a72772f204de10f235e44dfaaff96375b79	en	Almond liqueur	almond liqueur	almond liqueur	1	1
expression.observed.en.sha256_77ea6b39ea79be35577303262099a5df517ebbfd5b46a485d0b6d85d15e61c59	en	Almonds	almonds	almonds	2	7
expression.observed.en.sha256_13136507fcddb8451fa4a9e676cae750dd7f65f1386eb56cca1aa3862b1ccba0	en	almonds and banana	almonds and banana	almonds and banana	1	1
expression.observed.en.sha256_6e5272f7fab89a1f4a6125e127a334ad9052e01f86f0fac4b94fea72a2a67d63	en	almonds and brown sugar	almonds and brown sugar	almonds and brown sugar	1	1
expression.observed.en.sha256_9517f9b43f97dc91f236ac78a9940ac5b409c8360d7da922fa09e5dcd52ea64c	en	Almonds and Tangerine	almonds and tangerine	almonds and tangerine	1	1
expression.observed.en.sha256_1979e158458fae05583f32f66abcbddf5613db3d8b2d0627fe8d4da231518329	en	almonds and vanilla	almonds and vanilla	almonds and vanilla	1	1
expression.observed.en.sha256_6268661549f3380f3fa9d3c5fb81b2fb1c75e7e8ac7fa85043986006848d6915	en	Alyssum	alyssum	alyssum	1	1
expression.observed.en.sha256_1e2d23451374a4d74a44b45d19c647b49cba7e16e7df648c066d3f9c3c2927d2	en	Amarena Cherry	amarena cherry	amarena cherry	1	1
expression.observed.en.sha256_779bfa925b025e514432fb3d4b8e22fc84fdccc9f83e676c479c1fed4b3d608f	en	Amaretto	amaretto	amaretto	2	5
expression.observed.en.sha256_a56fc8aaf1dbedc22b3ea2e2866cbdde202c77f48b3b6696ac8221b825bfcf9f	en	anise	anise	anise	1	2
expression.observed.en.sha256_3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b	en	APPLE	apple	apple	3	38
expression.observed.en.sha256_7194d8e1753890765dcee628fa534bc041139d253b010117331f1a7eb79b86e0	en	apple and allspice	apple and allspice	apple and allspice	1	1
expression.observed.en.sha256_a7bca4225a537f6bfe0846be27fb1244878780f0f309991abb1045b0c60b7c24	en	Apple and Blueberry	apple and blueberry	apple and blueberry	1	1
expression.observed.en.sha256_c55e89d29ad440f4b10ee36b5a009f69778132daf8e7ec3617e1a4732dc5d941	en	Apple and Dark Chocolate	apple and dark chocolate	apple and dark chocolate	1	1
expression.observed.en.sha256_a8d54ead199e776e8c069b9bb52756926def0edd47bd435ca7a9864a2915990d	en	Apple and Silky	apple and silky	apple and silky	1	1
expression.observed.en.sha256_e263dad79acfa17ea4433d34775c70ff3179b8a9a11cef0fe5036a02ee4b6e77	en	Apple Cider	apple cider	apple cider	1	1
expression.observed.en.sha256_e6220a5e09169bf0a4a10fa83a0ac24d2752bf55d9c096e0671cbbcbc23612b3	en	Apple crumble	apple crumble	apple crumble	2	2
expression.observed.en.sha256_e7583f59d441bf88a8ea63844387552db72861df2c1a8aa6491e441df34d8385	en	Apple jam	apple jam	apple jam	1	1
expression.observed.en.sha256_3a619726d53bc8d670e0b897f7400812b9ce8bb6c3231a61d8bf9df3c45fc425	en	Apple juice	apple juice	apple juice	2	2
expression.observed.en.sha256_4960199362087f53ae76cbb34b796425d3e5e5d5663d1f81afc8a0089eb52098	en	Apple nectar	apple nectar	apple nectar	1	1
expression.observed.en.sha256_10ef487e48df3a7dabf54101660b74f1f1f3d5b9dc5400decda2d01099c4ccaa	en	apple pie	apple pie	apple pie	1	1
expression.observed.en.sha256_92ebc102b46b0e1436c53c6934c0ac0c6ce8946fc9f80d3de1c352fd35335bc7	en	Apple tart	apple tart	apple tart	1	1
expression.observed.en.sha256_d58f75145b2626ec6f969c2ce4f164dabe6a6567845dc9e3b31d5b9cee40c136	en	apples & chocolate	apples & chocolate	apples & chocolate	1	1
expression.observed.en.sha256_1666245dbf7cca910a2886fd699ffe59d458abe75ffa2ac4df48b5c7fb2573f4	en	apples & raspberries	apples & raspberries	apples & raspberries	1	1
expression.observed.en.sha256_918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0	en	APRICOT	apricot	apricot	3	67
expression.observed.en.sha256_08acd75325fd9b1eef4f2881ab7de1468aed4ae109b06419175935f6d89666cf	en	apricot & rosehip	apricot & rosehip	apricot & rosehip	1	1
expression.observed.en.sha256_ad7a7fac204352f8d873873964b7567431546ce3b9e95d0ab0da5b3543dcdadd	en	Apricot and Chestnut	apricot and chestnut	apricot and chestnut	1	1
expression.observed.en.sha256_c3acce5f1dc0b89085572a3513587cb9a194aabdd11a4645110ac5fe89f4f442	en	Apricot and Creamy Nougat	apricot and creamy nougat	apricot and creamy nougat	1	1
expression.observed.en.sha256_9b7cae678e3798054346e151c909773f007b999e3d264dddb8cdb0720852afc4	en	Apricot and Floral	apricot and floral	apricot and floral	1	1
expression.observed.en.sha256_b5c63d7e27a4a6237df46e7645f0ac7fe24638195520fc81d48998a6142e351c	en	apricot and jasmine	apricot and jasmine	apricot and jasmine	1	1
expression.observed.en.sha256_6864cd272012592b2dcb34540955c64848548beba9309c3a06d22540d097c0c6	en	apricot jam	apricot jam	apricot jam	1	2
expression.observed.en.sha256_a7e5344bbcde501f8869efb3d5c2b80c99e718576bf29cd7d25417ce1d868b6a	en	apricot jam and honey	apricot jam and honey	apricot jam and honey	1	1
expression.observed.en.sha256_6b2c5df901b1e723c352d364b45d69ab0d52698cea11e82c64103007803c4c0a	en	Apricot Passion Fruit	apricot passion fruit	apricot passion fruit	1	1
expression.observed.en.sha256_8f1d7cff804e6a1d5253906110b9fdd6061b5feedcdbddf8bd017e349220b9f3	en	Apricots	apricots	apricots	2	2
expression.observed.en.sha256_d774460329c8875358ded8feaec912b8012d0b8cf7285e6488a4e000dc53ec5b	en	Aroma / Sweet apricot	aroma / sweet apricot	aroma / sweet apricot	1	1
expression.observed.en.sha256_e952d5bbf9ebdad68fbc6e119eb087b976c1c08725f7ce9e168d503519c9a9fe	en	Aroma – Bergamot	aroma – bergamot	aroma - bergamot	1	1
expression.observed.en.sha256_6f5f19215f6f16e826b22ac2f8f7b43a6923a207ec7951660689cecf487e0931	en	aromas of brown sugar and walnut	aromas of brown sugar and walnut	aromas of brown sugar and walnut	1	1
expression.observed.en.sha256_7d6c9affe345c48d6e89be85895049d9c8b567aea97304f3f38e0db4d4038ae5	en	Aromas of cedar	aromas of cedar	aromas of cedar	1	1
expression.observed.en.sha256_135565cf83898502d3875a062e7ed5238c2476fd6e2431aca09f1eb72240cb0c	en	aromas of dried fruit and cherry	aromas of dried fruit and cherry	aromas of dried fruit and cherry	1	1
expression.observed.en.sha256_7cc85a33c304e3a01e68714c2a5f8b6497cda2edac02947095a1a997ab815ae2	en	aromas of fruit and malt	aromas of fruit and malt	aromas of fruit and malt	1	1
expression.observed.en.sha256_ddced757adb4f20a789242c175c29815bd3ceab585e0ae6d16ce74ce0756f2ae	en	aromas of nougat and caramel	aromas of nougat and caramel	aromas of nougat and caramel	1	1
expression.observed.en.sha256_9cc818cfdf891f794319a5fd69ea771fef2943f4922cf63b7c6c4e064f1794bd	en	aromas of orange	aromas of orange	aromas of orange	1	1
expression.observed.en.sha256_415d7c63bd667ef0aacbf9a1f8f3824a4ce7f9753f8182ece66aa46e41cf33e3	en	aromas of walnut	aromas of walnut	aromas of walnut	1	1
expression.observed.en.sha256_4df7786dbfa2eb12284942e27d8565b0faca96a631512ca830a23a3d8507d92d	en	Assam	assam	assam	2	3
expression.observed.en.sha256_fe682522e8b580d47f2ae84474df59be9434d027ce8e47aac948dcea0e706e53	en	Assam Tea	assam tea	assam tea	1	1
expression.observed.en.sha256_1309feff00bc22ea61ec4451338d3bd31d060f471ba8a81a0d8f336d6ca6e669	en	Baked Apple	baked apple	baked apple	2	3
expression.observed.en.sha256_7c2e1707540df8353f3d5b810c3a81368b40bae1e339f4fff68a882aa9258bdf	en	Baked Peaches	baked peaches	baked peaches	1	1
expression.observed.en.sha256_f72e3f897591440fc48a8c33db81d45aee601d59d42cdfee0710e6f15ee688fe	en	Baked pear	baked pear	baked pear	1	1
expression.observed.en.sha256_7ba6c8f6d102fdf0d613e3c33b2dec290622ce5b5a7c9a9a58613b4dae87c4f5	en	Baked stone fruit	baked stone fruit	baked stone fruit	1	1
expression.observed.en.sha256_cb769d59b3c64a44f225c2a624106edb1c0984a82ae51030784d9b921f2f5af6	en	Baker Chocolate	baker chocolate	baker chocolate	1	1
expression.observed.en.sha256_41cb28d60d4449fce2da6429502866eadb1468d6dd8162c5d4fcc6d1e07b55c4	en	Baker's Chocolate	baker's chocolate	baker's chocolate	3	6
expression.observed.en.sha256_c7e54f65514bf8e747a830f0b8059ed4493570a41b4d9bd0fb9c0106784abc0e	en	Baker's Chocolate and Raspberry	baker's chocolate and raspberry	baker's chocolate and raspberry	1	1
expression.observed.en.sha256_f3acfc5ce9afab87dffc3f4923fb14552e8a2ba2f1db7be98ce2edaddca40778	en	Bakers Chocolate	bakers chocolate	bakers chocolate	2	3
expression.observed.en.sha256_f6488976d49ecc5313d7af5baa6454bfde278734c4d5652b47ddd4c16076fa8e	en	Bakers Chocolate and Almond	bakers chocolate and almond	bakers chocolate and almond	1	1
expression.observed.en.sha256_3fd4c600b2f1e1b02f0800feb70ea577ba38cef87adceedac0aade62adc4f44d	en	Baker’s Chocolate	baker’s chocolate	baker's chocolate	1	2
expression.observed.en.sha256_a678e9e1a27f63d512d2e7a5fff2c8ea58db48a33a6387ba287360d9440febe0	en	baking spice	baking spice	baking spice	1	4
expression.observed.en.sha256_c5587efbf2fe831df3b416eda42185c292fd897965c49fe9cf0d994c7568b91f	en	Baking Spice and Lemon	baking spice and lemon	baking spice and lemon	1	1
expression.observed.en.sha256_973dae594bae657a21275ff3c6ceec57c763f1010af21611c2d590de679ef6aa	en	baking spices	baking spices	baking spices	1	1
expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	en	Balanced	balanced	balanced	2	22
expression.observed.en.sha256_63308943f1453ee36f9f86f8a74b7bc0c08bd3100bbf123b3cfad65afbdd91e5	en	Balanced acidity	balanced acidity	balanced acidity	1	1
expression.observed.en.sha256_92b11220fc5a6ca1d3731d4adeb99b446e60372c148da888e35ddf7abdd7883b	en	Balanced and delicate coffee	balanced and delicate coffee	balanced and delicate coffee	1	2
expression.observed.en.sha256_6f6164a5fd8d6e9e495c1211fb8bcb4131e23fcdf0334255cfef8215c1302a76	en	balanced and robust-bodied	balanced and robust-bodied	balanced and robust-bodied	1	1
expression.observed.en.sha256_92df2014b6369208c8243d6e88f5f9e6b1d2e2aca94cbeb5819514e930f7619c	en	Balanced coffee	balanced coffee	balanced coffee	1	1
expression.observed.en.sha256_0c090ec00ed9114fc7dfd7745dd3ca107631b56acd220f2d5d8460cf22af85c3	en	balanced cup	balanced cup	balanced cup	1	1
expression.observed.en.sha256_b493d48364afe44d11c0165cf470a4164d1e2609911ef998be868d46ade3de4e	en	banana	banana	banana	1	1
expression.observed.en.sha256_199d351553711ca209367a41cddd874805a6846061f79280965798673bc178a1	en	Banana bread	banana bread	banana bread	2	2
expression.observed.en.sha256_d7a9ead0b15cd7c8f3ba0d573530ad05b70052080825dda30744c9c7f44e07dc	en	barley	barley	barley	1	1
expression.observed.en.sha256_579651b0d574971040b531b66efbc5e607b677aa0d2633ec9eca376020ad8b3d	en	Basil	basil	basil	1	1
expression.observed.en.sha256_77563de8f869ce8a5f6f4570751fa06c8c8c76745de393b9a910ea0a3dbb3a13	en	Bergamont	bergamont	bergamont	1	1
expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	en	BERGAMOT	bergamot	bergamot	3	26
expression.observed.en.sha256_654ce2dcb2c7fc3285a92fd6e1a89e966a331b81d54d390bbd81f043993dab31	en	bergamot and honeycomb	bergamot and honeycomb	bergamot and honeycomb	1	1
expression.observed.en.sha256_e13fb53a594fa513afc34fa78b2353690e85fe1ad7414857c99ccfb97c818251	en	Berries	berries	berries	2	23
expression.observed.en.sha256_b1c7f862add846d30749804a7b8f4e84078f75c11bb4387760239634f5b3118a	en	berries & plum	berries & plum	berries & plum	1	1
expression.observed.en.sha256_a44c4e01a1e8f84504cb9081dafa21e0c80d1bbdc40238a435147509726b5477	en	berries and dark chocolate	berries and dark chocolate	berries and dark chocolate	1	1
expression.observed.en.sha256_0d9e52be841d38b057a4948170f55b8f4e234cee0d151f85c3b3702b603211a3	en	berries chocolate	berries chocolate	berries chocolate	1	1
expression.observed.en.sha256_73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	en	Berry	berry	berry	2	14
expression.observed.en.sha256_688ee51ad8d54c75505fdda5775e06696f487972dca61a1f9306f7e8883cda8b	en	berry brightness	berry brightness	berry brightness	1	1
expression.observed.en.sha256_20e1a336f4df22256383bc2c017c56442470ff9289290ee81aa6bd1427af6d72	en	Berry Cordial	berry cordial	berry cordial	1	1
expression.observed.en.sha256_2e86ba52ae062c2fa970c83e0b76c0b2c5c612ff79213fdc1c433afa17afd8ff	en	Berry Jam	berry jam	berry jam	2	4
expression.observed.en.sha256_d5218ae690c6a2671c994337286f4739c66a9b2e1f7254113bb4e3dfaeb084a2	en	Berrylike	berrylike	berrylike	1	1
expression.observed.en.sha256_2a21fe6d592a19b7de898b50eb53c429608de1a66f3e9f62da19714a770553d1	en	Big	big	big	1	1
expression.observed.en.sha256_5289cd0ee5b7444618d6a53749f3614e0b14cd52b764b5f1934e99abb6be45c8	en	big turk	big turk	big turk	1	1
expression.observed.en.sha256_25a154f482005a92c17b4124b961f23e5b672ed6110538c3642d3a12f02d02ce	en	bilberry	bilberry	bilberry	1	1
expression.observed.en.sha256_c2a1eb38d4c65c86435af76e71e3e964ea702d63615e58e73f90fdd59ebfb995	en	Bing Cherry	bing cherry	bing cherry	3	7
expression.observed.en.sha256_023cbc697cddfe0675b9f7b644857d708b44ba4a6227dc1792871df847842896	en	Bing Cherry and Nougat	bing cherry and nougat	bing cherry and nougat	1	1
expression.observed.en.sha256_97cb3863cc9ec33e35184532e59f8bb57c0506506757e3395cba1e5ab8b0c72a	en	bitter chocolate	bitter chocolate	bitter chocolate	1	1
expression.observed.en.sha256_41fc522802fb134c6c2ad4a8ec001c348110b2529c744990377f5d83f892f1eb	en	Bitter chocolate finish	bitter chocolate finish	bitter chocolate finish	1	1
expression.observed.en.sha256_6f7da14c5a9b1a46d0bf85fdcb954e46381206e159f0fd964b22fbfab53e3d62	en	bitters	bitters	bitters	1	1
expression.observed.en.sha256_f9e263cde179789459a96a0f045d56bbf99f0076cdb7fb49e7508453654e7252	en	Bittersweet Chocolate	bittersweet chocolate	bittersweet chocolate	3	7
expression.observed.en.sha256_2b9c1208cdca1e4aa33cb4a9a84bbaca4d96f7d2d0b0ed56b15f44ef3f4bea29	en	Black berry	black berry	black berry	1	1
expression.observed.en.sha256_bc7770b32a5f602bd067689b15a5d17c6f3718e67907344268ab19bbd4e862d7	en	black cherries	black cherries	black cherries	1	2
expression.observed.en.sha256_545ce787c410276d227955b06ea5e6c1f3e3d611dc3f50594e556cce34b5ce4e	en	Black Cherry	black cherry	black cherry	3	20
expression.observed.en.sha256_c777aae8070ebf74557ede7d3825a25583e9c6105f5bd9207a3f99ed10574b70	en	Black Chocolate	black chocolate	black chocolate	1	1
expression.observed.en.sha256_7019275bf53483f22cab4e0f568d2c2a8f785fa3b558024cd8ba12f3894bd6b0	en	Black Currant	black currant	blackcurrant	3	21
expression.observed.en.sha256_076c56a64be939f733ce791c94cccea3d16b759502495fc1b293f083c7c28008	en	Black Currant and Caramel	black currant and caramel	black currant and caramel	1	1
expression.observed.en.sha256_0db9d9711c931f477bb6de79255d2a9034e19d0d5af4d5ba79de69eaabf25507	en	black currant and rhubarb	black currant and rhubarb	black currant and rhubarb	1	1
expression.observed.en.sha256_a87e22fabb3198eaacfa2e64078a03da97979f7a30c572bb5cc087de67191960	en	Black currant jam	black currant jam	black currant jam	1	1
expression.observed.en.sha256_2852539d9dc808db175fcb93f6a6c0300d8e138b5c2eff9692af7c34b6ed3d67	en	Black forest cake	black forest cake	black forest cake	1	1
expression.observed.en.sha256_51ac1ee303ee7a0a57b58e287cc183fb02fdb0f40bc121d5bdd1534c12f37867	en	BLACK FOREST CAKE - MARZIPAN - CHERRY	black forest cake - marzipan - cherry	black forest cake - marzipan - cherry	1	1
expression.observed.en.sha256_ced7a81ba9afdf1771453c53f1b9d75879bea4ee8d00f0f72795c522f6c9809c	en	Black grapes	black grapes	black grapes	1	1
expression.observed.en.sha256_4cb189665ff62a96d317a44d708a4f75a8f7fb431fa2931ed24edc43b59df3b4	en	black pepper	black pepper	black pepper	1	1
expression.observed.en.sha256_560adf435246adcd7e3c6d62c4b6cde67a7f2c9681f47bd422f62999d822c558	en	Black Plum	black plum	black plum	1	1
expression.observed.en.sha256_dc56802aeadb33e6ed9425a7d122642ff7a9ee2350d2b6a6886b1222c3a3554f	en	black raspberry	black raspberry	black raspberry	1	1
expression.observed.en.sha256_099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed	en	BLACK TEA	black tea	black tea	4	51
expression.observed.en.sha256_21f9d13de220e713f32114d608ece8da0d64d7132956d58528fe73c09c953fc5	en	Black Tea & Lime	black tea & lime	black tea & lime	1	1
expression.observed.en.sha256_2fc0b80679fd996dcc567e3ec9c9b62b41af0c6dfc5d693e5c465a17f0c1b1c7	en	black tea & peach	black tea & peach	black tea & peach	1	1
expression.observed.en.sha256_d329a9cc78342f2d8a17d7aabcb77e243f0793ed99d31672d0e95cf8c21848d5	en	Black Tea and Buttercup Flower	black tea and buttercup flower	black tea and buttercup flower	1	1
expression.observed.en.sha256_9af7e02346816a1cdf6b147a16dce9c101a0aff8fbe9795065b6f52ced77f4cd	en	Black Tea and Cacao	black tea and cacao	black tea and cacao	1	1
expression.observed.en.sha256_0ac0c760804977b36fa361a054aa32c99205d475d97dfc7adae1956476cf289e	en	Black Tea and Caramel	black tea and caramel	black tea and caramel	1	1
expression.observed.en.sha256_663ed91cc8d73ec6cb84bf5323c594612647c9daefe7481d3fdf2c2a09ea6395	en	Black Tea and Hazelnut	black tea and hazelnut	black tea and hazelnut	1	1
expression.observed.en.sha256_bc07849ae2b596c4c89e5012477e11c43623ffeee787a83e5a93304ff5bf2129	en	black tea and lemon	black tea and lemon	black tea and lemon	1	2
expression.observed.en.sha256_e23007c92990bfda888ddf637306e7f822f0d38f0fbc9fbe56568dc20269f3bc	en	black tea and lemonade	black tea and lemonade	black tea and lemonade	1	1
expression.observed.en.sha256_3cf8a272dc97f2f88b1183a787034333accf511e7c4c0d9869b5805e1191bbc9	en	Black Tea and Orange	black tea and orange	black tea and orange	1	1
expression.observed.en.sha256_a57f2ce386c1425ab2418fa01d2c4cf6c04d3e0686fa529b159008af8223eaec	en	Black tea mouth feel and texture finish	black tea mouth feel and texture finish	black tea mouth feel and texture finish	1	1
expression.observed.en.sha256_4b30a9cb03a36e1d21c5a1c23cb22148b40d7038be3ab2f75354f5b5086cbac3	en	Black Toffee	black toffee	black toffee	1	1
expression.observed.en.sha256_99a1c548d6c94f7f89e5aa4df5ad4680c71bb461f45d327e223d38afcb10d38b	en	black walnut	black walnut	black walnut	1	1
expression.observed.en.sha256_b11bc28501d02d48fbab61ff0cdffa6c5c302ed7fe8840ca518f802276e45aea	en	Blackberries	blackberries	blackberries	1	2
expression.observed.en.sha256_72e330143e754ca064708864567ecd198a77007539f36a1f06dd5323630a2fab	en	blackberries & cherries	blackberries & cherries	blackberries & cherries	1	1
expression.observed.en.sha256_fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c	en	BLACKBERRY	blackberry	blackberry	3	55
expression.observed.en.sha256_57f0433b965fd5a39d44dd87e6e11b073d7dc03d7d5725da2ecc37747d7b9cd8	en	blackberry and dark chocolate	blackberry and dark chocolate	blackberry and dark chocolate	1	1
expression.observed.en.sha256_2edeb8c6ed698e4fcfb6b5f0b50d47c4ffc607d0a42488671c9140c34a1e51b8	en	Blackberry and Floral	blackberry and floral	blackberry and floral	1	1
expression.observed.en.sha256_4ba21043bd6437f24309653438906933a2e4e04165e634ec2440d2ac0d63eb85	en	Blackberry and Honey	blackberry and honey	blackberry and honey	1	1
expression.observed.en.sha256_8630790d368d18486077d3a1a1a6934cb8705a3c739a43c719048581a8acdf73	en	Blackberry and Honey Suckle	blackberry and honey suckle	blackberry and honey suckle	1	1
expression.observed.en.sha256_e92af7c87db6a10a8306edd3737f909b2f10919b40de92e0897db384a1f09953	en	Blackberry and Molasses	blackberry and molasses	blackberry and molasses	1	1
expression.observed.en.sha256_41d4792c469277ee8862ac913ad57c67f655d8e42e97c6dd0b6b2b8459f95b91	en	Blackberry and Ripe Banana	blackberry and ripe banana	blackberry and ripe banana	1	1
