pair_key	subject_expression_key	object_expression_key	subject_basic_normalized_text	object_basic_normalized_text	subject_normalized_text	object_normalized_text	document_cooccurrence_count	sample_count	npmi	subject_given_object_probability	object_given_subject_probability	subject_document_frequency	object_document_frequency	value_semantics
cooccurrence.firstbloom-a6cb002-pilot-v1.2e1cf04e41a7653bac266a4e002fcaccce29afb62cab69b79828b5b65b2453f6	expression.observed.en.sha256_16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	expression.observed.en.sha256_fbe22aba40763f73e9e784756c258a64a097c59ba76c7263ea21390e6e5e4c89	a mellow acidity	spice and cedar aftertastes	a mellow acidity	spice and cedar aftertastes	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.23be4a97e8e48f992cbc1522f0174fa91fdb4d6329aababc86d51619a8eb2d01	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_65743dd48f64dd0165187a8fb99de8632f2c96ac344fb3d5949d562350e32ae5	a mild acidity	a smooth body and a memorable sweetness	a mild acidity	a smooth body and a memorable sweetness	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.7a4482a20da32e912c85da5bfe09b3a5c399a8f6c098ecbdcdfbe3448db6f376	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_9297b5d7a76090a4837322f8f63fb44b55816fd7de99b58b700ac4d0efa21920	a mild acidity	a thick body and a mellow sweetness	a mild acidity	a thick body and a mellow sweetness	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.5abaa9595efe9d58be4f4c7d4b94ca9598bfeaf8054e429cc2eea2d85dabd835	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_eb6b4e803bb068842c09b0faa5634773c842a881b1273fde6413f031ee507ee2	a mild acidity	a thick body and a rounded sweetness	a mild acidity	a thick body and a rounded sweetness	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.812f7f4240ba54c4c15592a05ee360690bc96b7fecd658210dd574df0b57c7aa	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_5c6cf3f7564f9338087d58984d51e0d5b8bec4922814b01a2743a943f1341645	a mild acidity	aftertastes of earth	a mild acidity	aftertastes of earth	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.ee35b2bcbc0241785fcae3e3d5f54f19243becab2dbf826ae7cac5e211784b44	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_7cc85a33c304e3a01e68714c2a5f8b6497cda2edac02947095a1a997ab815ae2	a mild acidity	aromas of fruit and malt	a mild acidity	aromas of fruit and malt	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.a87f6fe293af24ab14bb9e5323f69ff91468c17a22970b119f5e0976db3ec4a0	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_ddced757adb4f20a789242c175c29815bd3ceab585e0ae6d16ce74ce0756f2ae	a mild acidity	aromas of nougat and caramel	a mild acidity	aromas of nougat and caramel	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.77ce6ed170101f29ea487c944e896f6ad10055a43bab3bb37bfe1204a4286bad	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_f68742bada6e0140ef7220e6f08b29392c8f8617a6c2afc4d65de71c68c5fbc5	a mild acidity	brown sugar aftertastes	a mild acidity	brown sugar aftertastes	1	2474	0.7706868272950583	0.5	0.3333333333333333	3	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.150fa85140b43db64a2f2326d2f2f7378803af7fbddf0797123a0f4eeeee1831	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_63c309059687fedc79ca4277cdb5cb47c23c9a1a4143f372ed3802a2a0089f3c	a mild acidity	chocolate and fruit flavors	a mild acidity	chocolate and fruit flavors	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.7eff19931cc7aeab038fd1a71fbd3fd389001d5c2efa4461150eab1ff29fc2f9	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_adc664da65e1e6c207bc72c242ffa166750aa01b7e3228710de3626b1489c097	a mild acidity	flavors of chocolate and pepper	a mild acidity	flavors of chocolate and pepper	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.5442aa8c82fc06e6b988e6867aa971c21b50a40791a32f0ac14eaabfb1ae6a06	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_cad8aacbdaf0a6abd1207f5438e0017b08433cb1753e111cda0cc1167b58122d	a mild acidity	flavors of molasses and nougat	a mild acidity	flavors of molasses and nougat	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.daff98eb849e35119d1f538f73b1b2ffc581431b6119da101487c4fcf704c333	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_638f2c149909bbcde1f7e8bbebf7cd470a6cab97a5aa1fc5195b31b58c943e85	a mild acidity	fruity aromas	a mild acidity	fruity aromas	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.8cb784ea91ac58204c55ed01267cca037bfe775b115afc50118e41962b6a24d8	expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	expression.observed.en.sha256_e7636c3dc86a50de1b5c9fc1a0c492b8a39f2d5c4c4149e134afb6be763ec1ac	a mild acidity	honey aftertastes	a mild acidity	honey aftertastes	1	2474	0.8593972718918244	1.0	0.3333333333333333	3	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.43e98b2a4fb6976cec9bedc316c18c2ccb1534368bea32037a19365c9fb5cc73	expression.observed.en.sha256_c27bb1c0a9fc09cbbaf75df6f7f300a3c7a983a96f847d83f9585e1b90f1df9d	expression.observed.en.sha256_135565cf83898502d3875a062e7ed5238c2476fd6e2431aca09f1eb72240cb0c	a muted acidity	aromas of dried fruit and cherry	a muted acidity	aromas of dried fruit and cherry	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.1df2291420bcb58cf2fc0ea6d32304bfe86bf506f6fbd53840066e3328fc6764	expression.observed.en.sha256_c27bb1c0a9fc09cbbaf75df6f7f300a3c7a983a96f847d83f9585e1b90f1df9d	expression.observed.en.sha256_ca69fd90ba95db0d7a33c89cd313397b2594e051d5e339e73d725a0a3d399307	a muted acidity	cedar and clove aftertastes	a muted acidity	cedar and clove aftertastes	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.1063d157eec48ec28a057c4ba882e07558ab8755128cd5e99380f5828ef7d493	expression.observed.en.sha256_c27bb1c0a9fc09cbbaf75df6f7f300a3c7a983a96f847d83f9585e1b90f1df9d	expression.observed.en.sha256_00111bc4ab7942585f4da1c5cd7b9d6702b0d8ee30167bd7396db77a436d2521	a muted acidity	flavors of dark chocolate	a muted acidity	flavors of dark chocolate	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.3e8248baec334263d592f521feb67f769f6ede325938d0be364a36d5f63a6e5f	expression.observed.en.sha256_d1c6b4fdb58f45f7b3130bdc4010f1754631b30ec63a079a8aad9ae511492db0	expression.observed.en.sha256_540e0c6bdd02447b08b62b6083fbf7e5cb76df27e66500905b91aed4a70c37a0	a silky body and a mild sweetness	aftertastes of malt and chocolate	a silky body and a mild sweetness	aftertastes of malt and chocolate	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.572973ea85500df4b3fd2ba1f21a4421d4aa449c1c2b2c3b39bec8933aad8cfe	expression.observed.en.sha256_d1c6b4fdb58f45f7b3130bdc4010f1754631b30ec63a079a8aad9ae511492db0	expression.observed.en.sha256_4d16796248960a7b8accc54f59e7c3e1b843278677722530ccfd1b704e792130	a silky body and a mild sweetness	flavors of dried fruit and spice	a silky body and a mild sweetness	flavors of dried fruit and spice	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.1a59eda1a9c0235ec2199353fdbf5aedb74da739d4f633e4e2dc4c4d42acaf00	expression.observed.en.sha256_d1c6b4fdb58f45f7b3130bdc4010f1754631b30ec63a079a8aad9ae511492db0	expression.observed.en.sha256_c89cd66d2bbcab09b5bd400d2ca01618668dd985c8d62d869fa5fd8f0f6db88c	a silky body and a mild sweetness	lemon aromas	a silky body and a mild sweetness	lemon aromas	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.c14a176648e67b5979d8d9fb0dd4bb578ad839721f3a68736512e023d6e39da7	expression.observed.en.sha256_65743dd48f64dd0165187a8fb99de8632f2c96ac344fb3d5949d562350e32ae5	expression.observed.en.sha256_f68742bada6e0140ef7220e6f08b29392c8f8617a6c2afc4d65de71c68c5fbc5	a smooth body and a memorable sweetness	brown sugar aftertastes	a smooth body and a memorable sweetness	brown sugar aftertastes	1	2474	0.911289555403234	0.5	1.0	1	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
