observation_key	document_key	ordinal	observation_text	raw_phrase_sha256	unicode_character_count	source_character_start	source_character_end	retained	exclusion_reason	basic_normalized_text	normalized_text	expression_key
observation.firstbloom.release_4139.002	document.firstbloom.release_4139	2	molasses	abe10a7b1ab725a978ccf7e84f2b60cf1d24717c819664a46569099a88e57bc4	8	13	21	true		molasses	molasses	expression.observed.en.sha256_abe10a7b1ab725a978ccf7e84f2b60cf1d24717c819664a46569099a88e57bc4
observation.firstbloom.release_4139.003	document.firstbloom.release_4139	3	dark chocolate	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	14	23	37	true		dark chocolate	dark chocolate	expression.observed.en.sha256_dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be
observation.firstbloom.release_2033.001	document.firstbloom.release_2033	1	Stone fruit	3ab7f3cd7ade7ea73872b7829b7c125597a49d63a01e4c75668da28038ec02b4	11	0	11	true		stone fruit	stone fruit	expression.observed.en.sha256_00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9
observation.firstbloom.release_2033.002	document.firstbloom.release_2033	2	raisin	9aa26756cc9def1c1f971640932ea1ba3bec7e19085b47519d58bda30b21a773	6	13	19	true		raisin	raisin	expression.observed.en.sha256_9aa26756cc9def1c1f971640932ea1ba3bec7e19085b47519d58bda30b21a773
observation.firstbloom.release_2033.003	document.firstbloom.release_2033	3	syrup	b1ac925abd78d567db945a680efbc10682cf0328c04819ebd77c4dde387de443	5	21	26	true		syrup	syrup	expression.observed.en.sha256_b1ac925abd78d567db945a680efbc10682cf0328c04819ebd77c4dde387de443
observation.firstbloom.release_3431.001	document.firstbloom.release_3431	1	Tastes like lemonade	105bf5d9050b3d14a0ec3b7a89fe266098d9096132a32fb1e21a4bc53508e90a	20	0	20	true		tastes like lemonade	tastes like lemonade	expression.observed.en.sha256_05e01c30b2ec20db61d05a77af9a7fef39de7faf8b117c383353a958c45a0347
observation.firstbloom.release_3431.002	document.firstbloom.release_3431	2	cantaloupe	cd7419471a8bffef153ea4d027090e5b112555f357ed06901b78bd14bd594bc9	10	22	32	true		cantaloupe	cantaloupe	expression.observed.en.sha256_cd7419471a8bffef153ea4d027090e5b112555f357ed06901b78bd14bd594bc9
observation.firstbloom.release_3431.003	document.firstbloom.release_3431	3	honeysuckle	3efaf748979e929f47a9bcd1bac5c3abd35bbd923aeac977a50cb7382e2570f0	11	34	45	true		honeysuckle	honeysuckle	expression.observed.en.sha256_3efaf748979e929f47a9bcd1bac5c3abd35bbd923aeac977a50cb7382e2570f0
observation.firstbloom.release_1398.001	document.firstbloom.release_1398	1		07636c010c3099c58f6df5d84439ba807e0ee315e1c132f0319089cc4fd02017	18	0	18	false	rights_complete_field_surface			
observation.firstbloom.release_185.001	document.firstbloom.release_185	1	Nutella	5399b1e000e797769b63992e46204802144ae5af2ec77e2fa9f7bb78790eb9ff	7	0	7	true		nutella	nutella	expression.observed.en.sha256_cb63d0a45a857b48462041441a3d9b65402db10efe6a07db33e10647b9a5ce6b
observation.firstbloom.release_185.002	document.firstbloom.release_185	2	Salted Caramel and Almond Paste	260a8aff9b1d2c3f2a4d619ee9d78d87b54712de37eab37e53446be24056ff6e	31	9	40	true		salted caramel and almond paste	salted caramel and almond paste	expression.observed.en.sha256_e3f040d1ef768d8ef32bc6f4db446d162d4afa533eeea7dfb1e2d1cad1264c0e
observation.firstbloom.release_4063.001	document.firstbloom.release_4063	1	Apricot	55848726df84febf55c8547a5008f40b926bc29eb4ef6171022ea300ac901d70	7	0	7	true		apricot	apricot	expression.observed.en.sha256_918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0
observation.firstbloom.release_4063.002	document.firstbloom.release_4063	2	strawberry	5e737f891db1175442a39fde73e51d781a545506d71c95477a6deb5988bd7f9a	10	9	19	true		strawberry	strawberry	expression.observed.en.sha256_5e737f891db1175442a39fde73e51d781a545506d71c95477a6deb5988bd7f9a
observation.firstbloom.release_4063.003	document.firstbloom.release_4063	3	syrupy	a7ec7f3ae09187df17173620620eb2f2c8a175fe0d6da5221c1109d26f8e29a5	6	21	27	true		syrupy	syrupy	expression.observed.en.sha256_a7ec7f3ae09187df17173620620eb2f2c8a175fe0d6da5221c1109d26f8e29a5
observation.firstbloom.release_612.001	document.firstbloom.release_612	1	Cherry	abf61b12b0266e8e76b502ff0cdbc55a43bedea98531066d6f7852b1c27d262f	6	0	6	true		cherry	cherry	expression.observed.en.sha256_2daf0e6c79009f9234ed9baa5bb930898e2847810617e118518d88e4d3140a2e
observation.firstbloom.release_612.002	document.firstbloom.release_612	2	chestnut	06d92f17a33b28585d90927b2226c4bd8eb0985ffdc41036b2e6cf6106289181	8	8	16	true		chestnut	chestnut	expression.observed.en.sha256_06d92f17a33b28585d90927b2226c4bd8eb0985ffdc41036b2e6cf6106289181
observation.firstbloom.release_612.003	document.firstbloom.release_612	3	peach	85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	5	18	23	true		peach	peach	expression.observed.en.sha256_85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265
observation.firstbloom.release_1579.001	document.firstbloom.release_1579	1	Lemon meringue	a356187941d2d73506564f982b0aec22047abdf82aa91e6c122d8d16b1707d56	14	0	14	true		lemon meringue	lemon meringue	expression.observed.en.sha256_fd68a6e611d607590fa9fb9cbef6df73ba54ab00739d8b18d9e6e6c791f28ba1
observation.firstbloom.release_1579.002	document.firstbloom.release_1579	2	Toffee	26097777696264e70655c4e380b255a7f7358f745f5bcfb618b8e27a0d6eb1c5	6	16	22	true		toffee	toffee	expression.observed.en.sha256_d776f7cf4e43af5c0bc12b5634fa50843c0158263f1552540447d3e28e7528a2
observation.firstbloom.release_1579.003	document.firstbloom.release_1579	3	Almonds	87462c1f6ac6989dcf10505536d7b1ee9b979a32ca5ac60c7c8f2026efc08fc6	7	24	31	true		almonds	almonds	expression.observed.en.sha256_77ea6b39ea79be35577303262099a5df517ebbfd5b46a485d0b6d85d15e61c59
observation.firstbloom.release_1005.001	document.firstbloom.release_1005	1	Milk chocolate	c6a8724097f4a7baa3e4338018aacf7ead4d1398409a0e73350bae64d2417729	14	0	14	true		milk chocolate	milk chocolate	expression.observed.en.sha256_7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509
observation.firstbloom.release_1005.002	document.firstbloom.release_1005	2	caramel	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	7	16	23	true		caramel	caramel	expression.observed.en.sha256_a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a
observation.firstbloom.release_1005.003	document.firstbloom.release_1005	3	bing cherry	c2a1eb38d4c65c86435af76e71e3e964ea702d63615e58e73f90fdd59ebfb995	11	25	36	true		bing cherry	bing cherry	expression.observed.en.sha256_c2a1eb38d4c65c86435af76e71e3e964ea702d63615e58e73f90fdd59ebfb995
observation.firstbloom.release_3918.001	document.firstbloom.release_3918	1	Flan	2bd8d015e62f4ecfe2fba49b298c4c3df08cc64482210e209809fb0e505c390b	4	0	4	true		flan	flan	expression.observed.en.sha256_ae5408c399523ce70613fe7c993d717abd61e54eeef1ef2d60c848c26ee22dcb
observation.firstbloom.release_3918.002	document.firstbloom.release_3918	2	golden raisin	fb1e08db57c3853bc932aaecae6ba0f12b3e9881be52866d717a1cd128955425	13	6	19	true		golden raisin	golden raisin	expression.observed.en.sha256_fb1e08db57c3853bc932aaecae6ba0f12b3e9881be52866d717a1cd128955425
observation.firstbloom.release_3918.003	document.firstbloom.release_3918	3	honey	a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	5	21	26	true		honey	honey	expression.observed.en.sha256_a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6
observation.firstbloom.release_180.001	document.firstbloom.release_180	1	Black Chocolate	3f6d24450282378d76dac13c8b7ca2b093155df663ff3efdfb7d25f5afcaf8ad	15	0	15	true		black chocolate	black chocolate	expression.observed.en.sha256_c777aae8070ebf74557ede7d3825a25583e9c6105f5bd9207a3f99ed10574b70
observation.firstbloom.release_180.002	document.firstbloom.release_180	2	TootsieRoll and Date	09988ec007ebdb11c575961012c3d41e1c36cdba4b6b5d8b38a182a8db7c94f8	20	17	37	true		tootsieroll and date	tootsieroll and date	expression.observed.en.sha256_b4858300d26ef6b9dbbb25c2a107dfb0c50b68303238d4b2046af70f54a7b1e0
observation.firstbloom.release_4508.001	document.firstbloom.release_4508	1		d202441495760ec7a52a5761fcabbd046a9ab9fcfa231d304fb42d962524eb09	9	0	9	false	rights_complete_field_surface			
observation.firstbloom.release_4508.002	document.firstbloom.release_4508	2	Butter	05af0612360ece1d46dc7891bfe40dd051161f5fb12df61c88f038cde44e60f6	6	11	17	true		butter	butter	expression.observed.en.sha256_c9b82b90ae572c840a7698cf0fbbb1d7d554fddcb52266dfc5e84f343e9cddda
observation.firstbloom.release_4508.003	document.firstbloom.release_4508	3	Popcorn	951e689364c979cc3aa17e6b0022ce6e4d0e3200d1c22dd68492c172241e0623	7	19	26	true		popcorn	popcorn	expression.observed.en.sha256_0a4ef253e3fef22cb9d3bc5280386f9f2d1cf351da6582d8254659d1b27ea0b3
observation.firstbloom.release_62.001	document.firstbloom.release_62	1	Sweet tomato	1cc0deb8169917c6e9301bb1fd54786c59e6d0924f0b66a6857cb9f3c2cf490d	12	0	12	true		sweet tomato	sweet tomato	expression.observed.en.sha256_174994a5b0752fa80f25fea32c7002e9276d82596319afc99b9d136e1142b9e4
observation.firstbloom.release_62.002	document.firstbloom.release_62	2	grape skin and blood orange	dd1751ed915f457c493d76bf52c177b2e231355984b1db43deced1d6697fe838	27	14	41	true		grape skin and blood orange	grape skin and blood orange	expression.observed.en.sha256_dd1751ed915f457c493d76bf52c177b2e231355984b1db43deced1d6697fe838
observation.firstbloom.release_4423.001	document.firstbloom.release_4423	1	Peach	2b1f3f0b7afa26e4a824521353a48880a0dbb7c6f7a371056fbde0c6ee03f407	5	0	5	true		peach	peach	expression.observed.en.sha256_85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265
observation.firstbloom.release_4423.002	document.firstbloom.release_4423	2	black tea	099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed	9	7	16	true		black tea	black tea	expression.observed.en.sha256_099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed
observation.firstbloom.release_2912.001	document.firstbloom.release_2912	1		47d8964e3ae9e1b14eaf7a1cdd3fa3eea8ce76fe3cd1b29d3eb551cf2e4dea8b	39	0	39	false	rights_complete_field_surface			
observation.firstbloom.release_2673.001	document.firstbloom.release_2673	1	Floral	b579d00d3939d52a938bd668aac42867b420e42ac987dd438beafb1a4f637d20	6	0	6	true		floral	floral	expression.observed.en.sha256_12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0
observation.firstbloom.release_2673.002	document.firstbloom.release_2673	2	Tangerine	44a41bce228dc28e836dc335963d03ee8e865263a7999c08e92d02d0c307ae66	9	9	18	true		tangerine	tangerine	expression.observed.en.sha256_cb48108ea0d1b87a515dc3d6e3427200d98af7795ccc4ad81d85d17c04d0237b
observation.firstbloom.release_2673.003	document.firstbloom.release_2673	3	Honey	ebcf983695346eea63258d8ab772084bb91b6d51b529ae8b00121f2fa323831c	5	21	26	true		honey	honey	expression.observed.en.sha256_a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6
observation.firstbloom.release_110.001	document.firstbloom.release_110	1	Bing cherry	eb73aa5ebe981ea2bb910addaf66559f9b5f91cf88b62e59ae902e9de31b729f	11	0	11	true		bing cherry	bing cherry	expression.observed.en.sha256_c2a1eb38d4c65c86435af76e71e3e964ea702d63615e58e73f90fdd59ebfb995
observation.firstbloom.release_110.002	document.firstbloom.release_110	2	cane sugar	0b571c894bfaacb2f4d9edb2611bd8894d32465cfb14834bc178b18aa11da8a5	10	13	23	true		cane sugar	cane sugar	expression.observed.en.sha256_0b571c894bfaacb2f4d9edb2611bd8894d32465cfb14834bc178b18aa11da8a5
observation.firstbloom.release_110.003	document.firstbloom.release_110	3	saccharine	37a482d24f470cf2c2d9f2c40b0fc4d326e8f903f8c1dd1d104e201fcc4813d8	10	25	35	true		saccharine	saccharine	expression.observed.en.sha256_37a482d24f470cf2c2d9f2c40b0fc4d326e8f903f8c1dd1d104e201fcc4813d8
observation.firstbloom.release_111.001	document.firstbloom.release_111	1	Dark chocolate	21831c7b2066c2b73756fc0b976ade1a3f0465d63989d4f6d7d8872bca6aebfb	14	0	14	true		dark chocolate	dark chocolate	expression.observed.en.sha256_dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be
observation.firstbloom.release_111.002	document.firstbloom.release_111	2	roasted almond	d9db5e88eca567e09d763ba9c51fa236ae172e66881da4c268280ce42e0d59cb	14	16	30	true		roasted almond	roasted almond	expression.observed.en.sha256_d9db5e88eca567e09d763ba9c51fa236ae172e66881da4c268280ce42e0d59cb
observation.firstbloom.release_111.003	document.firstbloom.release_111	3	caramel	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	7	32	39	true		caramel	caramel	expression.observed.en.sha256_a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a
observation.firstbloom.release_111.004	document.firstbloom.release_111	4	syrupy	a7ec7f3ae09187df17173620620eb2f2c8a175fe0d6da5221c1109d26f8e29a5	6	41	47	true		syrupy	syrupy	expression.observed.en.sha256_a7ec7f3ae09187df17173620620eb2f2c8a175fe0d6da5221c1109d26f8e29a5
observation.firstbloom.release_111.005	document.firstbloom.release_111	5	full body	34eff3154477afb1a3ee6925c09340b2df092050cbe9ed82ffcb3ee9a13a8a8a	9	49	58	true		full body	full body	expression.observed.en.sha256_34eff3154477afb1a3ee6925c09340b2df092050cbe9ed82ffcb3ee9a13a8a8a
observation.firstbloom.release_2744.001	document.firstbloom.release_2744	1	Orange	78e7771b8b46e11ddb34ba48887e1330525215f96d94778980d1186e6f09f6b4	6	0	6	true		orange	orange	expression.observed.en.sha256_1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94
observation.firstbloom.release_2744.002	document.firstbloom.release_2744	2	peach	85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	5	8	13	true		peach	peach	expression.observed.en.sha256_85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265
observation.firstbloom.release_2744.003	document.firstbloom.release_2744	3	honey	a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	5	15	20	true		honey	honey	expression.observed.en.sha256_a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6
observation.firstbloom.release_114.001	document.firstbloom.release_114	1	Floral	b579d00d3939d52a938bd668aac42867b420e42ac987dd438beafb1a4f637d20	6	0	6	true		floral	floral	expression.observed.en.sha256_12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0
observation.firstbloom.release_114.002	document.firstbloom.release_114	2	citrusy	e1a3b8e42e5ab740f52a943dcbe9eb7834c5cd9bca1f2409dd26650dc2f50478	7	8	15	true		citrusy	citrusy	expression.observed.en.sha256_e1a3b8e42e5ab740f52a943dcbe9eb7834c5cd9bca1f2409dd26650dc2f50478
observation.firstbloom.release_114.003	document.firstbloom.release_114	3	clean	3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e	5	17	22	true		clean	clean	expression.observed.en.sha256_3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e
observation.firstbloom.release_114.004	document.firstbloom.release_114	4	complex	ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76	7	24	31	true		complex	complex	expression.observed.en.sha256_ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76
observation.firstbloom.release_114.005	document.firstbloom.release_114	5	balanced	c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	8	33	41	true		balanced	balanced	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5
observation.firstbloom.release_321.001	document.firstbloom.release_321	1	Chocolate brownie	fcdcd7e5d06fc31536b3003e4ad76e0ee5230e361f7d758886a82fbd756b0853	17	0	17	true		chocolate brownie	chocolate brownie	expression.observed.en.sha256_55faac529b308dcc76f0a929e47f573af29e185d71d1ab6ef909b86dc80073d5
observation.firstbloom.release_321.002	document.firstbloom.release_321	2	blackberry	fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c	10	19	29	true		blackberry	blackberry	expression.observed.en.sha256_fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c
observation.firstbloom.release_321.003	document.firstbloom.release_321	3	honey	a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	5	31	36	true		honey	honey	expression.observed.en.sha256_a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6
observation.firstbloom.release_321.004	document.firstbloom.release_321	4	red grape	dd2f52a82f601d000cfa9a926e9289aab5524cb3edb4ecea5ca1ebf7ce0ed99b	9	38	47	true		red grape	red grape	expression.observed.en.sha256_dd2f52a82f601d000cfa9a926e9289aab5524cb3edb4ecea5ca1ebf7ce0ed99b
observation.firstbloom.release_308.001	document.firstbloom.release_308	1	Nutella	5399b1e000e797769b63992e46204802144ae5af2ec77e2fa9f7bb78790eb9ff	7	0	7	true		nutella	nutella	expression.observed.en.sha256_cb63d0a45a857b48462041441a3d9b65402db10efe6a07db33e10647b9a5ce6b
observation.firstbloom.release_308.002	document.firstbloom.release_308	2	date square	77c403da333c36a9318f4a03b5ad332af23af0cf23b55185e064c478e61e7a74	11	9	20	true		date square	date square	expression.observed.en.sha256_77c403da333c36a9318f4a03b5ad332af23af0cf23b55185e064c478e61e7a74
observation.firstbloom.release_308.003	document.firstbloom.release_308	3	almond butter	238390a1634f0aa715ce5437ff8a08a682b71734c2afdf51f10e2b376670429c	13	22	35	true		almond butter	almond butter	expression.observed.en.sha256_238390a1634f0aa715ce5437ff8a08a682b71734c2afdf51f10e2b376670429c
observation.firstbloom.release_308.004	document.firstbloom.release_308	4	rich	7baa68f2418ba82d2545a780c00d7a8778249bbcdaf7369114534874ea6d3bd6	4	37	41	true		rich	rich	expression.observed.en.sha256_7baa68f2418ba82d2545a780c00d7a8778249bbcdaf7369114534874ea6d3bd6
observation.firstbloom.release_308.005	document.firstbloom.release_308	5		b002a634647c3350c37b15a376bae6867d9034e9aa36a06002e3e335229c91db	7	43	50	false	dual_review_disagreement			
observation.firstbloom.release_206.001	document.firstbloom.release_206	1	Jasmine	7876ab82ad2df908f840d321b01fe60a7891c73e45f1857e7557e6f8295482e5	7	0	7	true		jasmine	jasmine	expression.observed.en.sha256_6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f
observation.firstbloom.release_206.002	document.firstbloom.release_206	2	Honey and Peach	c365160af86eac581e6656a7bb048c01036204b62856d79b2a3c4ef90a285582	15	9	24	true		honey and peach	honey and peach	expression.observed.en.sha256_6d8872aa36744ee2fb6e1678566fdab5194bd3914981dd98db183b3e195b4e39
observation.firstbloom.release_4414.001	document.firstbloom.release_4414	1	Orange	78e7771b8b46e11ddb34ba48887e1330525215f96d94778980d1186e6f09f6b4	6	0	6	true		orange	orange	expression.observed.en.sha256_1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94
observation.firstbloom.release_4414.002	document.firstbloom.release_4414	2	Maple Syrup	cb4ae20444fafb1c592579f633a062961e831526bb982daf7f36a6f600310474	11	8	19	true		maple syrup	maple syrup	expression.observed.en.sha256_549819b27ee092f84cbc4dab9aec5e10a2b64d44069133b1ae5d238df179d967
observation.firstbloom.release_4414.003	document.firstbloom.release_4414	3	Mint	ced97cc4a377b5b4386d9c67bc4f4e14febb561903a27409ce7a2886368b75bb	4	21	25	true		mint	mint	expression.observed.en.sha256_dc6f17bbec824fff8f86587966b2047db6ab736785840151f13d1dab124e2a54
observation.firstbloom.release_127.001	document.firstbloom.release_127	1	Tangerine	44a41bce228dc28e836dc335963d03ee8e865263a7999c08e92d02d0c307ae66	9	0	9	true		tangerine	tangerine	expression.observed.en.sha256_cb48108ea0d1b87a515dc3d6e3427200d98af7795ccc4ad81d85d17c04d0237b
observation.firstbloom.release_127.002	document.firstbloom.release_127	2	black currant and rhubarb	0db9d9711c931f477bb6de79255d2a9034e19d0d5af4d5ba79de69eaabf25507	25	11	36	true		black currant and rhubarb	black currant and rhubarb	expression.observed.en.sha256_0db9d9711c931f477bb6de79255d2a9034e19d0d5af4d5ba79de69eaabf25507
observation.firstbloom.release_499.001	document.firstbloom.release_499	1	Milk chocolate	c6a8724097f4a7baa3e4338018aacf7ead4d1398409a0e73350bae64d2417729	14	0	14	true		milk chocolate	milk chocolate	expression.observed.en.sha256_7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509
observation.firstbloom.release_499.002	document.firstbloom.release_499	2	plum	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	4	16	20	true		plum	plum	expression.observed.en.sha256_0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99
