source_row_key	aggregation_scope	consumer_group	milk_addition	outcome	raw_value	parsed_mean	parsed_sd	normalized_value	normalization_rule	source_unit	participant_count	sample_evaluation_count	missingness_semantics
gorman.015	all_consumers	all	oat	mouthfeel_liking	5.5 ± 1.1	5.5	1.1	5.5	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.016	all_consumers	all	oat	overall_liking	5.2 ± 0.7	5.2	0.7	5.2	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.017	habitual_addition_group	dairy	milk	appearance_liking	7.4 ± 0.9	7.4	0.9	7.4	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.018	habitual_addition_group	dairy	milk	flavour_liking	6.5 ± 0.9	6.5	0.9	6.5	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.019	habitual_addition_group	dairy	milk	mouthfeel_liking	6.7 ± 0.9	6.7	0.9	6.7	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.020	habitual_addition_group	dairy	milk	overall_liking	6.5 ± 1.1	6.5	1.1	6.5	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.021	habitual_addition_group	plant	milk	appearance_liking	6.9 ± 1.1	6.9	1.1	6.9	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.022	habitual_addition_group	plant	milk	flavour_liking	5.4 ± 1.1	5.4	1.1	5.4	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.023	habitual_addition_group	plant	milk	mouthfeel_liking	5.7 ± 1.1	5.7	1.1	5.7	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.024	habitual_addition_group	plant	milk	overall_liking	5.4 ± 1.1	5.4	1.1	5.4	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.025	habitual_addition_group	dairy	soy	appearance_liking	6.6 ± 0.8	6.6	0.8	6.6	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.026	habitual_addition_group	dairy	soy	flavour_liking	5.5 ± 1.0	5.5	1.0	5.5	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.027	habitual_addition_group	dairy	soy	mouthfeel_liking	5.9 ± 0.8	5.9	0.8	5.9	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.028	habitual_addition_group	dairy	soy	overall_liking	5.5 ± 1.1	5.5	1.1	5.5	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.029	habitual_addition_group	plant	soy	appearance_liking	6.2 ± 1.2	6.2	1.2	6.2	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.030	habitual_addition_group	plant	soy	flavour_liking	5.5 ± 1.1	5.5	1.1	5.5	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.031	habitual_addition_group	plant	soy	mouthfeel_liking	5.3 ± 1.0	5.3	1.0	5.3	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.032	habitual_addition_group	plant	soy	overall_liking	5.2 ± 0.8	5.2	0.8	5.2	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.033	habitual_addition_group	dairy	almond	appearance_liking	6.3 ± 1.1	6.3	1.1	6.3	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.034	habitual_addition_group	dairy	almond	flavour_liking	5.8 ± 1.1	5.8	1.1	5.8	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.035	habitual_addition_group	dairy	almond	mouthfeel_liking	6.1 ± 0.8	6.1	0.8	6.1	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.036	habitual_addition_group	dairy	almond	overall_liking	5.9 ± 1.0	5.9	1.0	5.9	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.037	habitual_addition_group	plant	almond	appearance_liking	6.1 ± 0.6	6.1	0.6	6.1	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.038	habitual_addition_group	plant	almond	flavour_liking	5.6 ± 0.8	5.6	0.8	5.6	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.039	habitual_addition_group	plant	almond	mouthfeel_liking	5.6 ± 1.0	5.6	1.0	5.6	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.040	habitual_addition_group	plant	almond	overall_liking	5.5 ± 0.8	5.5	0.8	5.5	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.041	habitual_addition_group	dairy	oat	appearance_liking	5.9 ± 1.0	5.9	1.0	5.9	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.042	habitual_addition_group	dairy	oat	flavour_liking	4.9 ± 1.0	4.9	1.0	4.9	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.043	habitual_addition_group	dairy	oat	mouthfeel_liking	5.5 ± 0.8	5.5	0.8	5.5	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.044	habitual_addition_group	dairy	oat	overall_liking	4.9 ± 1.2	4.9	1.2	4.9	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.045	habitual_addition_group	plant	oat	appearance_liking	6.4 ± 0.6	6.4	0.6	6.4	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.046	habitual_addition_group	plant	oat	flavour_liking	5.3 ± 0.9	5.3	0.9	5.3	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.047	habitual_addition_group	plant	oat	mouthfeel_liking	5.5 ± 0.8	5.5	0.8	5.5	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
gorman.048	habitual_addition_group	plant	oat	overall_liking	5.4 ± 0.9	5.4	0.9	5.4	direct transcription from article Table 4	source 1-9 hedonic mean	58	58	NOT_APPLICABLE
