source_row_key	coffee_base	milk_alternative	preparation	roast_source_label	serving_mode	sensory_attribute	raw_value	parsed_mean	parsed_sd	normalized_value	normalization_rule	source_unit	panel_count	replication_count	missingness_semantics
nguyen.sensory.019	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	3.96±0.57	3.96	0.57	3.96	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.020	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	3.89±0.00	3.89	0.00	3.89	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.021	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.36±0.27	6.36	0.27	6.36	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.022	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.14±0.12	6.14	0.12	6.14	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.023	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.25±0.12	6.25	0.12	6.25	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.024	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.39±0.08	6.39	0.08	6.39	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.025	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.33±0.00	6.33	0.00	6.33	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.026	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.17±0.16	6.17	0.16	6.17	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.027	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.22±0.00	6.22	0.00	6.22	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.028	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.11±0.00	6.11	0.00	6.11	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.029	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.14±0.43	6.14	0.43	6.14	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.030	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	brown	6.03±0.04	6.03	0.04	6.03	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.031	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	4.29±0.05	4.29	0.05	4.29	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.032	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	4.12±0.06	4.12	0.06	4.12	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.033	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	3.69±0.12	3.69	0.12	3.69	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.034	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	3.86±0.12	3.86	0.12	3.86	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.035	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	3.97±0.12	3.97	0.12	3.97	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.036	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	3.79±0.14	3.79	0.14	3.79	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.037	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	3.81±0.20	3.81	0.20	3.81	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.038	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	3.96±0.02	3.96	0.02	3.96	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.039	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	3.57±0.13	3.57	0.13	3.57	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.040	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	sweet_aromatic	3.61±0.08	3.61	0.08	3.61	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.041	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	2.22±0.08	2.22	0.08	2.22	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.042	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	2.14±0.20	2.14	0.20	2.14	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.043	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	4.28±0.39	4.28	0.39	4.28	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.044	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	4.22±0.00	4.22	0.00	4.22	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.045	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	4.47±0.12	4.47	0.12	4.47	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.046	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	4.03±0.12	4.03	0.12	4.03	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.047	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	4.02±0.34	4.02	0.34	4.02	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.048	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	4.79±0.25	4.79	0.25	4.79	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.049	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	4.52±0.02	4.52	0.02	4.52	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.050	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	nutty	4.25±0.27	4.25	0.27	4.25	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.051	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	3.58±0.12	3.58	0.12	3.58	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.052	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	3.39±0.79	3.39	0.79	3.39	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.053	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	2.50±0.16	2.50	0.16	2.50	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.054	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	2.72±0.31	2.72	0.31	2.72	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.055	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	2.67±0.63	2.67	0.63	2.67	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.056	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	2.36±0.27	2.36	0.27	2.36	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.057	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	2.75±0.67	2.75	0.67	2.75	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.058	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	2.28±0.24	2.28	0.24	2.28	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.059	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	2.94±0.86	2.94	0.86	2.94	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.060	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	burnt	2.69±0.04	2.69	0.04	2.69	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.061	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	1.78±0.08	1.78	0.08	1.78	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.062	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	1.93±0.09	1.93	0.09	1.93	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.063	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	2.10±0.09	2.10	0.09	2.10	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.064	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	2.39±0.16	2.39	0.16	2.39	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.065	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	2.21±0.13	2.21	0.13	2.21	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.066	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	2.11±0.31	2.11	0.31	2.11	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.067	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	2.09±0.52	2.09	0.52	2.09	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.068	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	2.00±0.16	2.00	0.16	2.00	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.069	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	1.84±0.14	1.84	0.14	1.84	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.070	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	woody	1.72±0.24	1.72	0.24	1.72	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.071	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	3.25±0.27	3.25	0.27	3.25	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.072	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	3.50±0.24	3.50	0.24	3.50	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.073	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	2.90±0.06	2.90	0.06	2.90	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.074	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	2.89±0.00	2.89	0.00	2.89	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.075	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	2.94±0.39	2.94	0.39	2.94	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.076	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	2.76±0.05	2.76	0.05	2.76	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.077	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	3.09±0.34	3.09	0.34	3.09	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.078	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	2.62±0.12	2.62	0.12	2.62	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.079	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	3.03±0.67	3.03	0.67	3.03	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.080	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	bitter_aromatic	2.61±0.16	2.61	0.16	2.61	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.081	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	0.22±0.31	0.22	0.31	0.22	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.082	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	0.56±0.16	0.56	0.16	0.56	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.083	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	1.52±0.13	1.52	0.13	1.52	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.084	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	1.50±0.00	1.50	0.00	1.50	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.085	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	1.44±0.08	1.44	0.08	1.44	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.086	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	1.36±0.04	1.36	0.04	1.36	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.087	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	1.31±0.20	1.31	0.20	1.31	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.088	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	1.54±0.06	1.54	0.06	1.54	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.089	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	1.64±0.12	1.64	0.12	1.64	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.090	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	cooked	1.67±0.16	1.67	0.16	1.67	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.091	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	0.50±0.24	0.50	0.24	0.50	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.092	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	0.36±0.04	0.36	0.04	0.36	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.093	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	3.58±0.27	3.58	0.27	3.58	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.094	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	4.47±0.04	4.47	0.04	4.47	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.095	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	3.81±0.04	3.81	0.04	3.81	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.096	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	3.75±0.12	3.75	0.12	3.75	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.097	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	3.56±0.00	3.56	0.00	3.56	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.098	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	4.06±0.24	4.06	0.24	4.06	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.099	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	3.00±0.55	3.00	0.55	3.00	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.100	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	beany	2.42±0.27	2.42	0.27	2.42	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.101	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	2.58±0.12	2.58	0.12	2.58	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.102	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	2.53±0.12	2.53	0.12	2.53	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.103	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	0.54±0.09	0.54	0.09	0.54	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.104	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	0.88±0.30	0.88	0.30	0.88	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.105	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	0.47±0.67	0.47	0.67	0.47	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.106	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	0.75±0.20	0.75	0.20	0.75	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.107	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	0.89±0.31	0.89	0.31	0.89	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.108	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	0.67±0.63	0.67	0.63	0.67	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.109	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	0.89±0.94	0.89	0.94	0.89	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.110	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	dark_brown	1.06±0.31	1.06	0.31	1.06	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.111	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	wax	0	0.00	0.00	0.00	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.112	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	wax	0	0.00	0.00	0.00	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.113	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	wax	1.19±0.35	1.19	0.35	1.19	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.114	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	wax	1.34±0.06	1.34	0.06	1.34	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.115	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	wax	0.92±0.24	0.92	0.24	0.92	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
