rule_id	normalized_span	concepts	status	human_approval	relation	scope	activation	all_development_input_support	basis	lexical_reference_url
R6-cf614a9ad211	stone fruits	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Stone fruit is a fruit family, not a particular peach or plum	https://dictionary.cambridge.org/us/dictionary/english/stone-fruit
R6-00d2064db061	stone fruit	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Stone fruit is a fruit family, not a particular peach or plum	https://dictionary.cambridge.org/us/dictionary/english/stone-fruit
R6-ffbf4559cb62	roasted nuts	broad.nutty	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit nut reference; roast/raw qualifier retained without inferring a nut species or a separate roast observation	https://www.collinsdictionary.com/us/dictionary/english/nutty
R6-95c62f472926	raw nuts	broad.nutty	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit nut reference; roast/raw qualifier retained without inferring a nut species or a separate roast observation	https://www.collinsdictionary.com/us/dictionary/english/nutty
R6-7dfd8928a4a3	nut	broad.nutty	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit nut reference; roast/raw qualifier retained without inferring a nut species or a separate roast observation	https://www.collinsdictionary.com/us/dictionary/english/nutty
R6-9093f2bb8d45	nuts	broad.nutty	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit nut reference; roast/raw qualifier retained without inferring a nut species or a separate roast observation	https://www.collinsdictionary.com/us/dictionary/english/nutty
R6-3bbd81ca7735	nutty	broad.nutty	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	NOT_APPLIED_NO_NEW_INPUT_SUPPORT	Explicit nut reference; roast/raw qualifier retained without inferring a nut species or a separate roast observation	https://www.collinsdictionary.com/us/dictionary/english/nutty
R6-7073ba391f67	milk chocolate	broad.chocolate	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Milk chocolate supports chocolate family only; never dark chocolate, cocoa, or dairy as extra positives	https://dictionary.cambridge.org/dictionary/english/milk-chocolate
R6-510e9cd005e3	red apple	sensory.apple	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	SCOPED_MODIFIER_CORE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Apple is the explicit complete noun head; colour/baked modifier preserved, not generalized as a calibrated apple subtype	
R6-338c539ace81	yellow apple	sensory.apple	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	SCOPED_MODIFIER_CORE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Apple is the explicit complete noun head; colour/baked modifier preserved, not generalized as a calibrated apple subtype	
R6-2efe147f807a	green apple	sensory.apple	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	SCOPED_MODIFIER_CORE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Apple is the explicit complete noun head; colour/baked modifier preserved, not generalized as a calibrated apple subtype	
R6-1309feff00bc	baked apple	sensory.apple	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	SCOPED_MODIFIER_CORE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Apple is the explicit complete noun head; colour/baked modifier preserved, not generalized as a calibrated apple subtype	
R6-7019275bf534	black currant	sensory.blackcurrant	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	ORTHOGRAPHIC_OR_NUMBER_VARIANT	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	NOT_APPLIED_NO_NEW_INPUT_SUPPORT	Existing named concept; explicit word spacing or plural inflection only	
R6-dba75bc4aff6	prunes	sensory.prune	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	ORTHOGRAPHIC_OR_NUMBER_VARIANT	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	NOT_APPLIED_NO_NEW_INPUT_SUPPORT	Existing named concept; explicit word spacing or plural inflection only	
R6-7a2be4e60db3	hazelnuts	sensory.hazelnut	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	ORTHOGRAPHIC_OR_NUMBER_VARIANT	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	NOT_APPLIED_NO_NEW_INPUT_SUPPORT	Existing named concept; explicit word spacing or plural inflection only	
R6-2cc79945b26a	walnuts	sensory.walnut	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	ORTHOGRAPHIC_OR_NUMBER_VARIANT	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	NOT_APPLIED_NO_NEW_INPUT_SUPPORT	Existing named concept; explicit word spacing or plural inflection only	
R6-1ff093884647	strawberries	sensory.strawberry	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	ORTHOGRAPHIC_OR_NUMBER_VARIANT	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	NOT_APPLIED_NO_NEW_INPUT_SUPPORT	Existing named concept; explicit word spacing or plural inflection only	
R6-e8c8131b12c8	alcoholic notes	sensory.alcoholic	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	EXPLICIT_AROMA_REFERENCE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Source aroma/flavour language refers to alcoholic character, not chemical alcohol measurement or fermentation proof	
R6-c7c7eb1087c4	alcohol	sensory.alcoholic	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	EXPLICIT_AROMA_REFERENCE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Source aroma/flavour language refers to alcoholic character, not chemical alcohol measurement or fermentation proof	
R6-3c322fdd1cdc	floral notes	attribute.floral	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Flower-like aroma family only; no jasmine or other flower species	https://dictionary.cambridge.org/us/dictionary/english/floral
R6-4f393e6b8caa	woody notes	sensory.woody	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	EXPLICIT_AROMA_REFERENCE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit woody reference; no tree species inferred	
R6-99f7855eb789	wood	sensory.woody	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	EXPLICIT_AROMA_REFERENCE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit woody reference; no tree species inferred	
R6-6d39de47cd71	tobacco notes	sensory.tobacco	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	EXPLICIT_AROMA_REFERENCE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit tobacco reference with discourse qualifier retained	
R6-045d12120d45	light citrus	broad.citrus	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Citrus family or its intensity-qualified adjective; no particular citrus fruit	https://dictionary.cambridge.org/dictionary/english/citrus-fruit
R6-e1a3b8e42e5a	citrusy	broad.citrus	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Citrus family or its intensity-qualified adjective; no particular citrus fruit	https://dictionary.cambridge.org/dictionary/english/citrus-fruit
R6-f6cc5b085b61	grass	attribute.green_vegetative	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Source green/herb character is retained at registered vegetative category; no hay, tea or specific herb inferred	https://www.collinsdictionary.com/us/dictionary/english/herbaceous
R6-309fd2d25416	grassy	attribute.green_vegetative	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Source green/herb character is retained at registered vegetative category; no hay, tea or specific herb inferred	https://www.collinsdictionary.com/us/dictionary/english/herbaceous
R6-70de2441f437	herbaceous	attribute.green_vegetative	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Source green/herb character is retained at registered vegetative category; no hay, tea or specific herb inferred	https://www.collinsdictionary.com/us/dictionary/english/herbaceous
R6-3bc4a8a885c9	herbs	attribute.green_vegetative	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Source green/herb character is retained at registered vegetative category; no hay, tea or specific herb inferred	https://www.collinsdictionary.com/us/dictionary/english/herbaceous
R6-a9f74d1ec36e	tea	attribute.green_vegetative	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	REGISTERED_PARENT_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Unspecified tea maps only to shared registered parent of black and green tea; neither tea type inferred	
R6-78aada05c1f6	dark raisins	sensory.raisin	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	SCOPED_MODIFIER_CORE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	NOT_APPLIED_NO_NEW_INPUT_SUPPORT	Explicit raisin core; dark retained as a modifier, not a new target	
R6-e0770356415c	roasted peanuts	sensory.peanut	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	SCOPED_MODIFIER_CORE	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit peanut core; roast qualifier retained, no additional independent roast observation	
