source	coffee_identity	c0_preparation	c1_roast	black_milk	sensory_method	participant_type	language	observed_record_count	cell_status	interpretation_limit
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710401	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710402	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710403	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710404	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q1054566	stovetop_boiled	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q1147545	immersion	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q1152551	diluted_espresso	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q1155703	filter_percolation	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q159774	espresso_milk	not_applicable_lexical_source	milk	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q180289	espresso_pressure	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q381188	hybrid	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q43022	stovetop_boiled	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q5142444	cold_extraction	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q62449	espresso_milk	not_applicable_lexical_source	milk	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q841774	espresso_milk	not_applicable_lexical_source	milk	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q849290	diluted_espresso	not_applicable_lexical_source	black	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q858049	unresolved_instant_product	not_applicable_lexical_source	not_reported	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
wikidata.coffee-preparation-entities.20260825	Q968554	unresolved_iced_preparation	not_applicable_lexical_source	not_reported	lexical_reference	not_applicable	multilingual	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
