expression_occurrence_key	dataset_snapshot_key	source_document_key	language	raw_source_phrase	normalized_expression	expression_role	candidate_canonical_mappings	model_or_lexical_candidates	review_state	automatic_promotion_allowed	regional_or_register_note
wikidata.Q1147545.alias.en.0012	wikidata.coffee-preparation-entities.20260825	Q1147545	en	сafetière à piston	сafetière à piston	preparation_expression	"[""immersion""]"	"[{""source_entity"":""Q1147545"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1152551.label.en.0013	wikidata.coffee-preparation-entities.20260825	Q1152551	en	caffè americano	caffè americano	preparation_expression	"[""diluted_espresso""]"	"[{""source_entity"":""Q1152551"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1152551.label.zh.0014	wikidata.coffee-preparation-entities.20260825	Q1152551	zh	美式咖啡	美式咖啡	preparation_expression	"[""diluted_espresso""]"	"[{""source_entity"":""Q1152551"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1152551.label.zh-hans.0015	wikidata.coffee-preparation-entities.20260825	Q1152551	zh-hans	美式咖啡	美式咖啡	preparation_expression	"[""diluted_espresso""]"	"[{""source_entity"":""Q1152551"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1152551.label.zh-cn.0016	wikidata.coffee-preparation-entities.20260825	Q1152551	zh-cn	美式咖啡	美式咖啡	preparation_expression	"[""diluted_espresso""]"	"[{""source_entity"":""Q1152551"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1152551.alias.en.0017	wikidata.coffee-preparation-entities.20260825	Q1152551	en	Caffe Americano	caffe americano	preparation_expression	"[""diluted_espresso""]"	"[{""source_entity"":""Q1152551"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1152551.alias.en.0018	wikidata.coffee-preparation-entities.20260825	Q1152551	en	cafe americano	cafe americano	preparation_expression	"[""diluted_espresso""]"	"[{""source_entity"":""Q1152551"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1152551.alias.en.0019	wikidata.coffee-preparation-entities.20260825	Q1152551	en	americano	americano	preparation_expression	"[""diluted_espresso""]"	"[{""source_entity"":""Q1152551"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.label.en.0020	wikidata.coffee-preparation-entities.20260825	Q1155703	en	drip coffee	drip coffee	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.label.zh.0021	wikidata.coffee-preparation-entities.20260825	Q1155703	zh	滴漏式咖啡	滴漏式咖啡	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.label.zh-hans.0022	wikidata.coffee-preparation-entities.20260825	Q1155703	zh-hans	滴漏式咖啡	滴漏式咖啡	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.label.zh-cn.0023	wikidata.coffee-preparation-entities.20260825	Q1155703	zh-cn	滴漏式咖啡	滴漏式咖啡	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.alias.en.0024	wikidata.coffee-preparation-entities.20260825	Q1155703	en	brewed coffee	brewed coffee	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.alias.en.0025	wikidata.coffee-preparation-entities.20260825	Q1155703	en	drip brewed coffee	drip brewed coffee	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.alias.en.0026	wikidata.coffee-preparation-entities.20260825	Q1155703	en	filtered coffee	filtered coffee	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.alias.en.0027	wikidata.coffee-preparation-entities.20260825	Q1155703	en	pour-over coffee	pour-over coffee	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1155703.alias.en.0028	wikidata.coffee-preparation-entities.20260825	Q1155703	en	immersion brewed coffee	immersion brewed coffee	preparation_expression	"[""filter_percolation""]"	"[{""source_entity"":""Q1155703"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.label.en.0029	wikidata.coffee-preparation-entities.20260825	Q159774	en	cappuccino	cappuccino	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.label.zh.0030	wikidata.coffee-preparation-entities.20260825	Q159774	zh	卡布奇诺	卡布奇诺	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.label.zh-hans.0031	wikidata.coffee-preparation-entities.20260825	Q159774	zh-hans	卡布奇诺	卡布奇诺	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.label.zh-cn.0032	wikidata.coffee-preparation-entities.20260825	Q159774	zh-cn	卡布奇诺	卡布奇诺	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.alias.en.0033	wikidata.coffee-preparation-entities.20260825	Q159774	en	Kapuziner	kapuziner	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.alias.zh.0034	wikidata.coffee-preparation-entities.20260825	Q159774	zh	卡布奇諾	卡布奇諾	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.alias.zh.0035	wikidata.coffee-preparation-entities.20260825	Q159774	zh	卡布奇诺咖啡	卡布奇诺咖啡	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.alias.zh.0036	wikidata.coffee-preparation-entities.20260825	Q159774	zh	意大利泡沫咖啡	意大利泡沫咖啡	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q159774.alias.zh.0037	wikidata.coffee-preparation-entities.20260825	Q159774	zh	泡沫咖啡	泡沫咖啡	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q159774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.label.en.0038	wikidata.coffee-preparation-entities.20260825	Q180289	en	espresso	espresso	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.label.zh.0039	wikidata.coffee-preparation-entities.20260825	Q180289	zh	濃縮咖啡	濃縮咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.label.zh-hans.0040	wikidata.coffee-preparation-entities.20260825	Q180289	zh-hans	浓缩咖啡	浓缩咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.label.zh-cn.0041	wikidata.coffee-preparation-entities.20260825	Q180289	zh-cn	浓缩咖啡	浓缩咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.alias.zh.0042	wikidata.coffee-preparation-entities.20260825	Q180289	zh	義式咖啡	義式咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.alias.zh.0043	wikidata.coffee-preparation-entities.20260825	Q180289	zh	浓缩咖啡	浓缩咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.alias.zh.0044	wikidata.coffee-preparation-entities.20260825	Q180289	zh	特濃咖啡	特濃咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.alias.zh.0045	wikidata.coffee-preparation-entities.20260825	Q180289	zh	意式浓缩咖啡	意式浓缩咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.alias.zh.0046	wikidata.coffee-preparation-entities.20260825	Q180289	zh	意式浓咖啡	意式浓咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.alias.zh.0047	wikidata.coffee-preparation-entities.20260825	Q180289	zh	意式浓缩	意式浓缩	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q180289.alias.zh.0048	wikidata.coffee-preparation-entities.20260825	Q180289	zh	義式濃縮咖啡	義式濃縮咖啡	preparation_expression	"[""espresso_pressure""]"	"[{""source_entity"":""Q180289"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q381188.label.en.0049	wikidata.coffee-preparation-entities.20260825	Q381188	en	AeroPress	aeropress	preparation_expression	"[""hybrid""]"	"[{""source_entity"":""Q381188"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q381188.label.zh.0050	wikidata.coffee-preparation-entities.20260825	Q381188	zh	愛樂壓	愛樂壓	preparation_expression	"[""hybrid""]"	"[{""source_entity"":""Q381188"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q381188.label.zh-hans.0051	wikidata.coffee-preparation-entities.20260825	Q381188	zh-hans	爱乐压	爱乐压	preparation_expression	"[""hybrid""]"	"[{""source_entity"":""Q381188"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q381188.label.zh-cn.0052	wikidata.coffee-preparation-entities.20260825	Q381188	zh-cn	爱乐压	爱乐压	preparation_expression	"[""hybrid""]"	"[{""source_entity"":""Q381188"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q43022.label.en.0053	wikidata.coffee-preparation-entities.20260825	Q43022	en	Turkish coffee	turkish coffee	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q43022"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q43022.label.zh.0054	wikidata.coffee-preparation-entities.20260825	Q43022	zh	土耳其咖啡	土耳其咖啡	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q43022"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q43022.label.zh-hans.0055	wikidata.coffee-preparation-entities.20260825	Q43022	zh-hans	土耳其咖啡	土耳其咖啡	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q43022"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q43022.label.zh-cn.0056	wikidata.coffee-preparation-entities.20260825	Q43022	zh-cn	土耳其咖啡	土耳其咖啡	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q43022"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q43022.alias.zh.0057	wikidata.coffee-preparation-entities.20260825	Q43022	zh	土耳其式咖啡	土耳其式咖啡	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q43022"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.label.en.0058	wikidata.coffee-preparation-entities.20260825	Q5142444	en	cold brew coffee	cold brew coffee	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.label.zh.0059	wikidata.coffee-preparation-entities.20260825	Q5142444	zh	冷泡咖啡	冷泡咖啡	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.label.zh-hans.0060	wikidata.coffee-preparation-entities.20260825	Q5142444	zh-hans	冷泡咖啡	冷泡咖啡	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.label.zh-cn.0061	wikidata.coffee-preparation-entities.20260825	Q5142444	zh-cn	冷泡咖啡	冷泡咖啡	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.alias.en.0062	wikidata.coffee-preparation-entities.20260825	Q5142444	en	cold press coffee	cold press coffee	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.alias.en.0063	wikidata.coffee-preparation-entities.20260825	Q5142444	en	Kyoto style cold brew	kyoto style cold brew	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.alias.en.0064	wikidata.coffee-preparation-entities.20260825	Q5142444	en	Dutch coffee	dutch coffee	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.alias.en.0065	wikidata.coffee-preparation-entities.20260825	Q5142444	en	cold drip	cold drip	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q5142444.alias.zh.0066	wikidata.coffee-preparation-entities.20260825	Q5142444	zh	冰滴咖啡	冰滴咖啡	preparation_expression	"[""cold_extraction""]"	"[{""source_entity"":""Q5142444"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q62449.label.en.0067	wikidata.coffee-preparation-entities.20260825	Q62449	en	flat white	flat white	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q62449"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q62449.label.zh.0068	wikidata.coffee-preparation-entities.20260825	Q62449	zh	馥芮白	馥芮白	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q62449"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q62449.label.zh-hans.0069	wikidata.coffee-preparation-entities.20260825	Q62449	zh-hans	flat white	flat white	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q62449"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q62449.label.zh-cn.0070	wikidata.coffee-preparation-entities.20260825	Q62449	zh-cn	flat white	flat white	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q62449"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q62449.alias.en.0071	wikidata.coffee-preparation-entities.20260825	Q62449	en	Flat white	flat white	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q62449"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.label.en.0072	wikidata.coffee-preparation-entities.20260825	Q841774	en	latte	latte	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.label.zh.0073	wikidata.coffee-preparation-entities.20260825	Q841774	zh	拿铁咖啡	拿铁咖啡	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.label.zh-hans.0074	wikidata.coffee-preparation-entities.20260825	Q841774	zh-hans	拿铁咖啡	拿铁咖啡	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.label.zh-cn.0075	wikidata.coffee-preparation-entities.20260825	Q841774	zh-cn	拿铁咖啡	拿铁咖啡	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.en.0076	wikidata.coffee-preparation-entities.20260825	Q841774	en	caffè latte	caffè latte	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.en.0077	wikidata.coffee-preparation-entities.20260825	Q841774	en	caffellate	caffellate	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.en.0078	wikidata.coffee-preparation-entities.20260825	Q841774	en	caffè e latte	caffè e latte	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.en.0079	wikidata.coffee-preparation-entities.20260825	Q841774	en	caffe latte	caffe latte	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.en.0080	wikidata.coffee-preparation-entities.20260825	Q841774	en	caffe e latte	caffe e latte	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.en.0081	wikidata.coffee-preparation-entities.20260825	Q841774	en	cafe latte	cafe latte	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.en.0082	wikidata.coffee-preparation-entities.20260825	Q841774	en	Lattes	lattes	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.zh.0083	wikidata.coffee-preparation-entities.20260825	Q841774	zh	拿鐵	拿鐵	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q841774.alias.zh.0084	wikidata.coffee-preparation-entities.20260825	Q841774	zh	鮮奶咖啡	鮮奶咖啡	preparation_expression	"[""espresso_milk""]"	"[{""source_entity"":""Q841774"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
