semantic_relation_candidate_id	semantic_relation_id	relation_type	candidate_reason	review_required
semantic-candidate:01755ab2309f90fbe3147b2e	semantic-relation:791fd9836ec7682c90159cad	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:017803c2c74332702b1f1d04	semantic-relation:4752cc413431f1cc3085c066	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:017bec7873545da1f3295795	semantic-relation:dde7147e1534ed42c821aced	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:017f50683b3ee9895f8a16b1	semantic-relation:59ad2f37210111f214aa39b1	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:019245d5acbf1e1262b5f7c6	semantic-relation:d1c19470011fcbd2eacfd869	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:01a2f1d663a0e4c4a767cb1c	semantic-relation:446cbed9625c86c699578cd1	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:01a2fdc4072f71a6d62aa082	semantic-relation:9f1941edd65bcdad2b26b67b	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:01b32eee2ebaf54e1710cde3	semantic-relation:68c614d21964d795a9232670	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:01d0a7756abeecd7606ff1d2	semantic-relation:f795b918959f14c85e057dc7	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:01d3cf5c245d2a6805b4a824	semantic-relation:c824913bfb0088fed1308c62	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:01eb7e85ae53ec35bc2b993c	semantic-relation:91d28bc960fd108ff60413d7	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:01ec73b9df7666595bba8df9	semantic-relation:fffdea19f9e66f58def9763d	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:01fb53464a8866b553e16e97	semantic-relation:f3d00494375e2c1a9ed8fb3d	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:01fbe708dd8481be50eacdbb	semantic-relation:37b35d861c3d46c0c24c7538	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:02013d12ddce1f941fa86b46	semantic-relation:f57426509333826afd12017f	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0207b2e856b28f77ce5451a7	semantic-relation:cf68ee37e718a2cd6451e3fe	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0218aaa2812a32512bb58f0b	semantic-relation:9897978bd0b246207cd8724f	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:022f7b5950ff1559d616e820	semantic-relation:aea3cd8cf2e39ab281dce908	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0265308162c2c3a7e70e942b	semantic-relation:3524a056886aaa992c4f5128	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:028738709449e05df28524d4	semantic-relation:b81a4d09b0d5b866e3e8df71	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0287ecd955adeb70f2734389	semantic-relation:7ab425cec23456fb0b5a54b1	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:02987245a1647e2a0e5f6a90	semantic-relation:c97c3cd7effddd2338119291	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:029c2a313fe86a122d050ecb	semantic-relation:da8c54c373b85733a2111d9f	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:029ccd0ab3e519c7607c5bd6	semantic-relation:376a93b4689fd47fdfd50be0	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:02a996f93a64dabe1c22d3ed	semantic-relation:c1f537884bb80be1803e0d8e	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:02af2292559b864f461982b5	semantic-relation:dadbd2990051e9cf62438eec	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:02b0e3d71d984aa4d820f0d3	semantic-relation:9c58650caf71b16610a771ce	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:02c1065c7255abe3c752e318	semantic-relation:a58d80552104e7636f406c83	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:02d8479d371b0f2143ebb5fb	semantic-relation:2466cf8552c8f8d09411aaeb	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:02e328bcc7b1465a3e29d74b	semantic-relation:1bec4b3e5930e8912fd48f99	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:02ebf10b2a33561d1218c754	semantic-relation:593ebb4798358d0acb591607	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0309c2e59e22e1746af2a309	semantic-relation:4f700adfa3da069429b5d449	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:030e54b514788ab2a626a2bb	semantic-relation:43d5d0171c121f6a70bc4c30	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0317b71ee3986f868755df5d	semantic-relation:e94896501c0e85742f276e6a	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:03201ad010ca87843781f8aa	semantic-relation:dc62b9aca928e281ede8b1b1	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:03202877b84f27422d57da4b	semantic-relation:2870587210ff4d8cc2df7796	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:03249d017d5359fabcbcecb7	semantic-relation:8313c7940268c051df07f7ec	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:033e736b58021f0cd2e5a6f9	semantic-relation:e9231a343a03cd82d7c0aadc	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:03596445575c525897941340	semantic-relation:03f0b1a860bfdd5562b23376	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:035c6c72558c3a5ccd61ff0c	semantic-relation:888246af983fec1b272acaa0	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:037646b00a13166008cc20e3	semantic-relation:efa73289b96e10a3bfdcabe5	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:037928c2116a5428168b751f	semantic-relation:3d8ef778900d4c229325d188	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0384dc76498123c79372538b	semantic-relation:00d386fb01909c065a898166	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:03a1573ffdcdd324ffab763a	semantic-relation:a48471fe67e9589248692be6	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:03a6087a7c17474de439731a	semantic-relation:274fa37b7329f215d6f44acb	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:03b1bdb1e8d3cbb1256dc9df	semantic-relation:a033e655e312c0cbebae4883	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:03b52a7bfac6217072c8bc7a	semantic-relation:5df86546e780340057e75615	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:03caa78af320e944953d3e0d	semantic-relation:909811edc7915092028b441c	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:03cfe82f62c970e9ec45ca4d	semantic-relation:b911bcb905fd4d48afa89922	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:03e0f7deeff5186f179168fa	semantic-relation:261170999ca8533e5e36696d	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:03ea310a528de4f15d706811	semantic-relation:72efe0e80b3984d5d2822304	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:03f9995c03590e1c8c62f890	semantic-relation:00925b3d73ae2bc974500143	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0409809bd1149890a552c507	semantic-relation:873224528cd47b88c04e0b93	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:040b740dfaa52869623aae63	semantic-relation:7de4526a3ec2e9e5b03c2656	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:042f852c1048af9763012738	semantic-relation:cfdda76b51f53e04c877706d	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:043cd85cfad2c516d5e788de	semantic-relation:a25d1fefc53da5a8eb4f0222	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0448c30b8d864bfa85ecba89	semantic-relation:030532bad88e579bf9f33591	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0460f198023b63dea5a81336	semantic-relation:e25a27435c19135d1a18a143	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:047deb27ee3492c00c6aa90a	semantic-relation:c177c72ab1493d46263d47ca	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:048b61f0672e69aff0e34be2	semantic-relation:8756652cc882d498db8310a5	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:049d756b451d273b2d5817e2	semantic-relation:c61623e54e477a3ebb9b93ac	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:04a2a5c0b62971029ce4a806	semantic-relation:c0c3ed800173cf26d5d71837	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:04a2ba44c28ad22e31fe0ae8	semantic-relation:8492b5299a4dd02a1fbbf4a9	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:04c41944c8356c45748bed7c	semantic-relation:9161859433c8aa52a24dbc82	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:04dbba9ae5c0415329af0ad9	semantic-relation:4e43480e693f5bddacd329c8	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:04f7f9a27369416dd96803ef	semantic-relation:8e5d516ec02a5e0ca3bda03d	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0501b306ca77b09a0638ff10	semantic-relation:0305dd5027941c882b55b394	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:05157a4ed52990a52ab49cea	semantic-relation:0f6ef77e211bb58ea82a6372	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0526a7cb435e5f9b648ead0f	semantic-relation:5a252b6b223883795d53e081	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:052b9a8a082b790c56ca1380	semantic-relation:e0336bbebfca01b7985c071c	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:05542d3dbc4f84f3f46027f5	semantic-relation:53f0fa3695f03dc908134a56	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0556b65fdbe612accaf00eae	semantic-relation:bb8ea41c19edf37e0293ebd9	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0559d869c51d55592923ed73	semantic-relation:1d69d457316deda43f09b722	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0570e77505dbaadd4cb89aa0	semantic-relation:86ca4715795aa2dad616dc02	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:05959eac7433cb15f7478f71	semantic-relation:dbf53a141db6a5b1b5984b4d	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0598ca1ed83f45732c51edd4	semantic-relation:3c31b5603f92a402d6a1ccdb	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:05adbb753ae942ab74e9365f	semantic-relation:171aefd3addd45a4be4e73a1	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:05aee8ea40f265022c707139	semantic-relation:b448e374f2389d930fc18d4f	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:05becad4eeef4f5594b15a86	semantic-relation:e3e47ccbd156938cb04fdfc0	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:05e58b04eadfccdea988345d	semantic-relation:7bb074c773ee478b047916ed	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:05f43b1ddcc272654d37f102	semantic-relation:2e21421e183c873a2583c350	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:05fc8f12c9079003e84ecf34	semantic-relation:dae90555e59efed8c28b7680	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:05fea9b33ce2f2a1443bc128	semantic-relation:53b2c4aef1f03307ae1899bf	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0607b1a3d6710e26e431e725	semantic-relation:8c559aa96b481a8a02de0146	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:061e0677889cc8198215b41b	semantic-relation:d22b2779040c1ef6c8a6a02f	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0641630ddf6f265dc0c398ee	semantic-relation:58b109c2f0886e9e7514f7d0	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:064d3f3105cd2809363560ad	semantic-relation:d1e7a0046cd28f8221c5af7b	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:065c67aa940c4a52c54b0a92	semantic-relation:77f158d5f531e8bf0dce23cc	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:065fed211d7c314ddaf3555a	semantic-relation:7a1b487b17f9e4e8bca75579	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:06611788053e3203f88e18b1	semantic-relation:302b6710f2323f0021ca65c7	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:066b3e60e2c4aa100cf14883	semantic-relation:1acf5449268b3ea20eec11d4	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:066b985d4a748dbde0259e4a	semantic-relation:0066cc7d7014a0e5583c7003	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:067a8d15661306d8db121b0d	semantic-relation:df4ca3fbf581c53a74d3f735	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:067ca314d5dbb7b26609193f	semantic-relation:6ff9ea986ce76a8eac8ddda7	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:068a81964c00f947f9160e2c	semantic-relation:90758233a5aad9a801435bb6	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:068c7130a103bd3e8a3b9d7a	semantic-relation:41956a10163df862e830a170	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:06a4e2ada489e16e4edca0e0	semantic-relation:16a0caa1ea62b0e23aaeb4fc	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:06b3eca62682f5acc95035bb	semantic-relation:bf14a1af8201e97964f41e59	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:06bbd9f73b1a1eaba6c6da43	semantic-relation:11ac72be7ffd0a71ffeac676	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:06bd1b6ad9849fa387dc2687	semantic-relation:3e57830b632de04c39b57671	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:06d4b5ed742e32ebbd48704b	semantic-relation:a0f7f834ab17b88e829b95bd	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:06dec2f92be4fa9d1bb3dd8c	semantic-relation:f5db16d7cc5eaff5b9e928c2	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:06ef1354357975d169bb17c3	semantic-relation:b02dde9f34e881bc4c7b47eb	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:070f90caaa3e54c5b1bf262e	semantic-relation:35192d044e735c4c0d6fb787	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:07263549acbe3d28adbed0a8	semantic-relation:6cb58a68ef240db9ff5d9c11	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0746524fb2165797d83e84da	semantic-relation:7d90244879dc300883814563	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0748ce92aecded67d44b33be	semantic-relation:814294edb8239d7636a78603	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:074abe592546f5a3d2b8bef2	semantic-relation:1d6879e01688af685ccb820c	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:074e32e0ab37228b384abe63	semantic-relation:1316f8ef3dbf0c86d34cfb21	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:07561f578b4721dce4a5819b	semantic-relation:b3e34799bac5659ca5bf0ecd	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0772ccdad2b1946296577c76	semantic-relation:f415559d08f1a62415ba6fb2	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:07816fc1e8dceb0187300252	semantic-relation:61ed76c3e550c30d9c984828	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:078823173ea691048d9624da	semantic-relation:f6606857966380520fd359db	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:078f774057614fee8901269e	semantic-relation:8e2c34f6fc5c201e0eace025	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:07b079fb14e679113131060c	semantic-relation:f6a5b34a829514421a9ce9e6	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:07b40eeda7c7d6bd9825f70c	semantic-relation:c1fdf20e262d3aee49c3c566	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:07b7f030ab5aa5b08cdf6131	semantic-relation:47f625d681ad1bf3da7e1918	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
