review_item_id	semantic_relation_id	allowed_decisions	project_owner_decision	decision_reason	reviewer_id	reviewed_at
semantic-owner-review:f107e20bb61b229e87fbc8ae	semantic-relation:3f5e463c7b9c858a0c6fbf4a	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:b918ecb3151493212e147989	semantic-relation:40b0ec782dd6ee2339c222a4	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:9e4f95e9ecde20591e0e2498	semantic-relation:417a8113d41cabbfec563316	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:79ad6bd65f6e3c4a6f6cb28d	semantic-relation:4ba89b344616f75c2f785a75	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:f86985ea81652214c4f61114	semantic-relation:4f1d72b2cd2a9e5cadefb406	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:4877c1a46719bd05d9e7c75e	semantic-relation:541a0bd7dfe6b8e5f99116ca	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:50d9334d08998cc3cde49c09	semantic-relation:545bc42578849abb4751c1d2	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:cc89e46d7291f2bbc2cc7ce3	semantic-relation:56e3fb3adb599cb39c66cc5e	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:583e44b45828edec27302ba1	semantic-relation:580cd8fe378ce42d2cfda742	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:6e9d8a169ce6528c2484a99f	semantic-relation:5b2858ebeaeb5adc8e1786b6	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:12f019af95e57769cbcb77f3	semantic-relation:5c3a0acff117b08ab34687c8	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:f8f8170b42abfe6a9d8068d1	semantic-relation:5cfefe405c3307ecef9b8ff1	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:30a05c6855e15213d4422806	semantic-relation:61d68a77937aff8473a5ff5c	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:fba40d9ed899e187a356128a	semantic-relation:6218902dffa31d72d2637fc5	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:d3ef618c09db401626d5cfd5	semantic-relation:64123968232b7897e6f454f4	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:0cb6c3b32b97e596fcc99d36	semantic-relation:64840a103e71c7d7b5bf495d	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:5fb9ada11c0b4cd04e58fdf0	semantic-relation:67e6e97192f97a5557cde1f9	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:b5a85ef46d3c4dbf16c3cf3d	semantic-relation:6ac65d84269e3f1b26b1feb7	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:84543cbaa4c59e68222819e9	semantic-relation:6d3bee96be33b5821906801e	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:7abad36238225eb4b3f33da7	semantic-relation:6d745bc30dd4b5926cd3549b	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:160ff2d16260a237529b9d76	semantic-relation:74f424def28a803bc4c6fc67	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:36075e44f422a51118c1f6bf	semantic-relation:75fd39f8ac33f318a412bf8f	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:c9e81ac01d46aa84e8fdebd8	semantic-relation:777db202926cddd1c0015bdb	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:232054f2ac9d07ed6643e911	semantic-relation:7b8816aefbc2b04253f055fc	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:c9b732b9593028153940925d	semantic-relation:7d3724e961fa6a62eb25e4ba	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:783dd85dedd80f60029af34c	semantic-relation:7f605956233974c5312b6102	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:9a1dbdf1d76236786bcf3500	semantic-relation:814bb3557e5662b4a4fcbde1	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:0bb0062d30f98ac63ff7a0c8	semantic-relation:82607e005af917672130a22e	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:f1a3d59063d7c19cfc77c5d6	semantic-relation:8474539b6fdaf621ed41daf9	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:1b541352c2e0c5f78224e897	semantic-relation:84ac6df90804b9b25bb4a2fa	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:b791ab209a6641f6089b6c97	semantic-relation:8521d8c01f92c6d9e4e58dba	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:d72e3b7987a3f43e248b90c1	semantic-relation:8580217e11904f3474a6d14b	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:d2d57acd44f1f3ec50187429	semantic-relation:8b06c7616b05da26f676d4b0	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:fd4bf3189f0a4a9e31da8403	semantic-relation:8d7e906a7100aec3dc9033a0	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:18f756cb1bf9a8b07dae93cc	semantic-relation:8d7f0660a3da87cd5a2e8fee	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:4dfad6e92bb16dbaf4097507	semantic-relation:8eca87b941b5941d8ff6c4ad	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:2c78f2400ba8be7f7a70e6fd	semantic-relation:90be6687579bee73895ee331	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:9a4e7a396b8094f54e97d1dd	semantic-relation:912c329d8be05e7da8113d84	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:44e6131a933f00f618d0a3a1	semantic-relation:94729dc803498bf127a2ba81	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:22d7f22bf3180a5359b60af6	semantic-relation:9a4c5b0e2dbc5d5a8da1b192	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:5881f74f2d271cb885d6ae02	semantic-relation:a22935a449ee0e0f4424ec95	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:5b81d9fb4f20cdf6af7b9089	semantic-relation:a2376906eb5527e81ceba45d	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:d8a545afe32d678b8623779a	semantic-relation:a267144d70d3d555516230c0	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:7bc9ad2a823e17d87d40cc8d	semantic-relation:a2a82b149aa83596ec78bbde	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:0fba7db5bffbabda48c097ce	semantic-relation:a2bc4f84dda3f127c83b6a84	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:20b71aa77cf2f0516a656ed1	semantic-relation:a48661fe7acff22d21ea330a	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:2f0d1a748440852f4ec0323c	semantic-relation:a53f70318f79034791fb5660	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:a27328c346aef9797d390f6a	semantic-relation:ad2210f0fec8cb0c984e450d	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:879d13f4db2e1a79ab1b2451	semantic-relation:add8a26864d6ce53ce879473	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:60223df883ef9382ea19875c	semantic-relation:b1e3ff74b56b63a9f0ef02be	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:e90bc5ed0fc68af72b8d63d9	semantic-relation:b56ff41e8bdc8d69d22afbe3	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:6da07aa5dd3f0a8829f77ff5	semantic-relation:b641cb4ae43563357a4265c8	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:b225c83d960b0274ba52f7ab	semantic-relation:ba1501d27ff20a809bbb44b8	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:f77b66a434c73d14fc31711a	semantic-relation:bb0aa4267c0b91f95922f449	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:49b3aa1b25f337a8846e8d23	semantic-relation:bb8dd767239d44310db4d5ab	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:2a07b598c53267e8b272e039	semantic-relation:bf13851e96f7cdaef82ba326	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:348d4a73605b72d4626b2e94	semantic-relation:c574f3c2479b02320098327c	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:3b898b24b9a102de2d292e26	semantic-relation:c68a23be44e1cd451a0b36ab	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:aa8ae6682f302e83c9e375c5	semantic-relation:c810190d5d2b7234e600c6c1	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:f9161995a94c8d3b847047f9	semantic-relation:d264843fa3ee5af6569f4431	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:5bf79c7a03ec3f2a554ac83d	semantic-relation:d427e1afcc9d90723ebe39ab	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:1f79fc550a4557e35d42842c	semantic-relation:d4428336d22bda5161b95092	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:96dd95fc7ce7cd66191daea2	semantic-relation:dc3c42b2f2a7a76e4ce2bf9c	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:295588d445ef47f8e98803df	semantic-relation:e12ab0962ce07b386a4c797a	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:c52098b0300d75cfd59b1e13	semantic-relation:e4e799d8600a036d77bf93cc	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:583d3608311cb047417715ca	semantic-relation:e4ec97ef68d96905cf203ede	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:47c9e4fb7f42b6b2ca94fdd6	semantic-relation:e6d9354198d94f940aa21f54	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:1e45626c0ff57c8b15bb7395	semantic-relation:ec2983386da6869f444331a2	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:2c341064332487488c845187	semantic-relation:ee021e1a4c95b10a98a93992	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:d439a67a16b83ecdbe31cc98	semantic-relation:ef56898eb9e4c1deca16d7f7	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:fc6cd3e9dda87cf73a76497b	semantic-relation:efb4a8f48039fcb1d2fc9411	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:7704d7ed41e71a4bb0e3b043	semantic-relation:efd713ef1df5fa451e270723	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
