concept_cluster_id	cleaned_form_count	cleaned_form_ids	source_native_form_count	source_native_form_ids	source_languages	semantic_classes	base_form_sha256s	modifier_form_sha256s	component_concept_ids	existing_canonical_neighbour_cluster_ids	canonical_concept_ids	mapping_state	mapping_authorities	assertion_support	effective_record_support	coffee_sample_support	source_family_support	source_family_ids	publisher_support	year_support	year_ids	gold_support	silver_support	bronze_support	rights_distribution	review_priority	human_reviewed	sensory_expert_adjudicated	reversible_to_source_assertions
concept-cluster:0134c4847bb76a47ae585f47	3	cleaned-form:a56fc8aaf1dbedc22b3ea2e2|cleaned-form:aab8b8d556820d47e2e4ea2f|cleaned-form:e29db8942cee36865ef247d0	6	source-form:33ae8cf6171cd5017f3df6a4|source-form:a23c7c91a916cec1e4b92c72|source-form:a56fc8aaf1dbedc22b3ea2e2|source-form:aab8b8d556820d47e2e4ea2f|source-form:c254c021c05876cea52aca71|source-form:e0548d3b6e9943e212bd9edf	UNREPORTED	STRICT_FLAVOR	a56fc8aaf1dbedc22b3ea2e2866cbdde202c77f48b3b6696ac8221b825bfcf9f|aab8b8d556820d47e2e4ea2faa3aab2a730ad8386ba9f30b457969314b2ec591|e29db8942cee36865ef247d0c65760d433f4495520f55c91e37a5ad45df1f81a		sensory.anise		sensory.anise	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	MACHINE_GOVERNED_HIGH_CONFIDENCE	35	34	34	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	2	9	year.2017|year.2018|year.2019|year.2020|year.2021|year.2023|year.2024|year.2025|year.2026	8	27	0	AFFIRMATIVE:8|UNKNOWN:27	235	false	false	true
concept-cluster:014770f196ccedbdd9d32dcd	1	cleaned-form:fc40fe406379c02d00d18433	1	source-form:fc40fe406379c02d00d18433	UNREPORTED	STRICT_FLAVOR	fc40fe406379c02d00d1843359adee29cdc246402b12a316d437b312be197b9f					CROSS_LANGUAGE_REVIEW_REQUIRED		1	1	1	1	family.mdpi_certified_q_grader_storage_panel	1	1	year.2026	1	0	0	AFFIRMATIVE:1	181	false	false	true
concept-cluster:016877c1639049fad5c08e28	1	cleaned-form:2906010acb3279f7a91a4d48	3	source-form:15e322ee08c257ecb636082f|source-form:2906010acb3279f7a91a4d48|source-form:b9f7cca3c8d86207f92019f2	UNREPORTED	STRICT_FLAVOR	2906010acb3279f7a91a4d48573952d449908d163bbcb2f56d7e5441e3ed4ef8					GENUINE_ONTOLOGY_CANDIDATE		16	15	15	1	family.ace_cup_of_excellence	1	7	year.2019|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	0	16	0	UNKNOWN:16	116	false	false	true
concept-cluster:018c3c4469bbcf9017a96420	1	cleaned-form:50f647b620f9909618938211	1	source-form:50f647b620f9909618938211	UNREPORTED	STRICT_FLAVOR	50f647b620f99096189382117abb34db0a047b6cd55032c1620e1ae622b9ebd3					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2022	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:01b571c20bbf424474843a61	1	cleaned-form:d9d3d9657be077f92cb52a5c	1	source-form:d9d3d9657be077f92cb52a5c	UNREPORTED	STRICT_FLAVOR	d9d3d9657be077f92cb52a5cfa479d4505ed286a132fc80b9926f021acaa7dd7					GENUINE_ONTOLOGY_CANDIDATE		9	9	9	1	family.zenodo_golovinsky_q_grader_dataset	1	1	year.2026	9	0	0	AFFIRMATIVE:9	109	false	false	true
concept-cluster:01b6b6c52ea65ae0218cedf9	1	cleaned-form:a01c00297beaf92b541697a2	1	source-form:54071b9a030800a1639cc43b	UNREPORTED	STRICT_FLAVOR	a01c00297beaf92b541697a21c6359f0b84297b22e53e8c32b04bbf679eea532					CROSS_LANGUAGE_REVIEW_REQUIRED		1	1	1	1	family.mdpi_certified_q_grader_storage_panel	1	1	year.2026	1	0	0	AFFIRMATIVE:1	181	false	false	true
concept-cluster:0213468d08a08e397397e4b6	1	cleaned-form:f7513479b1a88a67c8a284ed	1	source-form:acb3ce9416d9a169eaa83ad4	UNREPORTED	STRICT_FLAVOR	f7513479b1a88a67c8a284ed3c04f896c69fd7709d6f40097ee69dd718ed8a56					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2018	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:02159c044d74a6de5fc98ccc	1	cleaned-form:6bc5cc5cb7a9e155898d952d	1	source-form:2d40135411c0f5d85b0deb51	UNREPORTED	STRICT_FLAVOR	6bc5cc5cb7a9e155898d952d3f9a92ed026a45657da262fed553fe9e2b3aa686					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2023	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:021a37d5fcdab9f7756708ae	47	cleaned-form:03cdf3e00e74fb35b47208a6|cleaned-form:0a3fbd76022074f7e31cddf7|cleaned-form:100982cff6514d03909ef494|cleaned-form:1573bfc3f0675ce8694129af|cleaned-form:159fdb5076ba80d71c4c2bd2|cleaned-form:1d06d9b017cff0639368373e|cleaned-form:240d6258cfe821a64cd6db7f|cleaned-form:27cb814ed764551ea3f6710c|cleaned-form:29b1f6d4a36d4dfd09d2b7e7|cleaned-form:300f137a878f79dcba4f0f4d|cleaned-form:3220242003f99c0b6b747dc3|cleaned-form:39a023ea2e4268dc84e6ca5b|cleaned-form:455e4a701979bb1766312c8e|cleaned-form:4810eb165b0df3591cb8702c|cleaned-form:4aee4ac16907823e1e62e961|cleaned-form:4e32948c362f084514ebafbc|cleaned-form:5163d29a557fa85f0141008b|cleaned-form:5b27328d0f6f4c856d0d8b78|cleaned-form:66ce741bb755ad09848f97a5|cleaned-form:69771ca8e9d74a72c1142b45|cleaned-form:6c19aeea07c115d23b432295|cleaned-form:7038dd779f81162e444a3060|cleaned-form:7334ad4dd5b0b1d5d3592a0d|cleaned-form:76fd2a4d87b7b3c5f8500227|cleaned-form:7bcf701c8c364843f24bf92f|cleaned-form:82c4d762476933daff18f071|cleaned-form:8ff603a85f53c2264b46ed7c|cleaned-form:91d22c736ffd5e7ee3981c35|cleaned-form:9b2c9da1bb9780cbf86bd99a|cleaned-form:9db71be5a1cfba525bc42a52|cleaned-form:a132a893d0e32037a75ca71d|cleaned-form:a1f282a2d6078df3a4137304|cleaned-form:a40010d6046616915d64e2b0|cleaned-form:a5a02b2f8fc4ab13e65a5256|cleaned-form:b0ca1a75f33bb524cdad4a7a|cleaned-form:b16a27f96df36ed1d1d0cc74|cleaned-form:bf646d956e5eb469fc6e76f2|cleaned-form:c722532ddf27384102e6d25e|cleaned-form:d3ed7c2a530dc428003fe083|cleaned-form:d6fc137778de8390f67343b3|cleaned-form:d9a151164d79fc89e4ccb6bf|cleaned-form:dc3fcae12d04b8000b9198c9|cleaned-form:e2bf8a5a966d2d76b9a0d331|cleaned-form:e8c8f05fb417eca18defa716|cleaned-form:ea0c7b2bb38e67031759760a|cleaned-form:efa3f0119c7ca3c8c2480fc1|cleaned-form:f132c4e885736c8b05d05a0f	62	source-form:01ae1d946875f04495c05b16|source-form:035abd7623357effde1dbe75|source-form:068f4039709f0ca5c8ffe1c3|source-form:0d81b527b6ad9ba80c7f961f|source-form:100982cff6514d03909ef494|source-form:123406815079c9414c6069ba|source-form:1573bfc3f0675ce8694129af|source-form:17de97f03b1f5dc5d41e3ba2|source-form:1d06d9b017cff0639368373e|source-form:22c4c839d5d7746f20a37f88|source-form:240d6258cfe821a64cd6db7f|source-form:24bac984133a30451d7599ff|source-form:27cb814ed764551ea3f6710c|source-form:29b1f6d4a36d4dfd09d2b7e7|source-form:3220242003f99c0b6b747dc3|source-form:3972a98d2a7192b02fb57909|source-form:39a023ea2e4268dc84e6ca5b|source-form:3cbaebfc181f374e6d71a2ee|source-form:4810eb165b0df3591cb8702c|source-form:4884ee887b3501f9dbf64b24|source-form:4aee4ac16907823e1e62e961|source-form:4e32948c362f084514ebafbc|source-form:52f7445a25365532e06688c1|source-form:5572d8331d6fd80232780d70|source-form:566252a884948f8c4c3f4b20|source-form:5b27328d0f6f4c856d0d8b78|source-form:63a87bff0b0c50b820e7f7d3|source-form:64a5695373bbce86a3c1de7d|source-form:69771ca8e9d74a72c1142b45|source-form:71771b649f63089b4dd591cb|source-form:7557f1cacaf2acfc837adee4|source-form:76fd2a4d87b7b3c5f8500227|source-form:77cdd2206289c0439491b44d|source-form:7bcf701c8c364843f24bf92f|source-form:7eac8d73783e38f6f4002ff4|source-form:814be38a730c0e04f3cb2d58|source-form:82c4d762476933daff18f071|source-form:91d22c736ffd5e7ee3981c35|source-form:968fe5f7c57be727a231fcc2|source-form:9db71be5a1cfba525bc42a52|source-form:a132a893d0e32037a75ca71d|source-form:a1f282a2d6078df3a4137304|source-form:a40010d6046616915d64e2b0|source-form:a44311626627ec066437ee52|source-form:a5fd91c4519dd1024909a8e7|source-form:b16a27f96df36ed1d1d0cc74|source-form:c722532ddf27384102e6d25e|source-form:cd1b6f2b1609ce839be3dfc3|source-form:d3ed7c2a530dc428003fe083|source-form:d9a151164d79fc89e4ccb6bf|source-form:dacc330ebe3f6e2856cf97bb|source-form:dc3fcae12d04b8000b9198c9|source-form:dca40757d00d1d85634daa89|source-form:df17647cd650348b76be8566|source-form:e2bf8a5a966d2d76b9a0d331|source-form:ea0c7b2bb38e67031759760a|source-form:f0436c42b80ee296c73ee512|source-form:f132c4e885736c8b05d05a0f|source-form:f7a4427631531964a585db45|source-form:fb460eca0a0f900f30e99b61|source-form:fe35a8ada65cdc56af54b6f9|source-form:fe3d1b98289d4464348e660e	UNREPORTED	STRICT_FLAVOR	03cdf3e00e74fb35b47208a6ea70a93f71aee892e0dceb0b273fa5c07b47f91c|0a3fbd76022074f7e31cddf75c46884774e0c0260ed0ccc5e060bf6b5b8a7504|100982cff6514d03909ef4949f17074856bf0094d693505b87badda85e0573ba|1573bfc3f0675ce8694129af8962f13167231ecaf8e0bebbfeba5779e8f03047|159fdb5076ba80d71c4c2bd240b6a37eb05e82f272163fede67153ac493435f8|1d06d9b017cff0639368373e9264a413ebc31bebdf5facbd052ce348483943a2|240d6258cfe821a64cd6db7f40f0d785348156dfe13a8b0391ac1571b0b68ca4|27cb814ed764551ea3f6710cdc37307a6541098a808413fa0b52a7c9b86c67d5|29b1f6d4a36d4dfd09d2b7e705813ea6645239b6d52334c8d3d725c2114c3e15|300f137a878f79dcba4f0f4d8808fbd97220608ee355f9dbbe3a792299a274c8|3220242003f99c0b6b747dc3ec49570ac25038d82f22719dec75addc8b5322df|39a023ea2e4268dc84e6ca5b029e911447fe8ed6cdceadbef620613dff779814|455e4a701979bb1766312c8ee7ef2d5e391bf6ecf9b3805359fb7d15a453027b|4810eb165b0df3591cb8702cc026ff9f3bec16e487abd200519e52690b93c954|4aee4ac16907823e1e62e961ee685d447306392217e10fdd9bc4ca2a61b06f9b|4e32948c362f084514ebafbc15807d573abbc4ab7e6c94d2c088e1a3fbce49d0|5163d29a557fa85f0141008b5a9a6ec320583184d7d43056b8b63540a600f3d9|5b27328d0f6f4c856d0d8b7844dbfcb4ea5fa8d7e8c7dd6c24cba3632f0913e2|66ce741bb755ad09848f97a5f492c6a4a054bea66682e169f16f74a1e399b709|69771ca8e9d74a72c1142b45e2a09d7034ab56392b50c703d9884ec4a6bcd919|6c19aeea07c115d23b432295c0893cedd73bbb3c2345c96d00b028c3ec87a3b9|7038dd779f81162e444a3060ced76841cff79ced8565dc76c2188b4f03358599|72988d5d117b09d89825a6ffd807c7a40054ee6622b91c5e69f238fb7830a20b|7334ad4dd5b0b1d5d3592a0d9c5a3798410485c5c23a17aa79afc4fd4bb0b8a4|76fd2a4d87b7b3c5f85002272f6180f0bf4a5bf90ba3a96e614c548b64612982|7bcf701c8c364843f24bf92f60eb64e7b5020998ebbe1b6470ada2b1ab2f5db1|82c4d762476933daff18f0714365b85e7345fbbbc61869c3c44d9e28239f44f4|8ff603a85f53c2264b46ed7cad9a354790a658f8164f42df552695b5fc8a3273|91d22c736ffd5e7ee3981c351bfe735647ec4e8eb52547f57e9df39385117b47|9db71be5a1cfba525bc42a52fd1a58feef1f504ea265c1cde57a15b5307c0925|a132a893d0e32037a75ca71d90f94fa3cb9f1a3315291f9e23c109c37968609a|a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a|a5a02b2f8fc4ab13e65a52569d6d9856af83b5fd4254b03740508f49039959af|b0ca1a75f33bb524cdad4a7a00efd6951c55e3bfaf563f9171effe8acc1ae849|b16a27f96df36ed1d1d0cc74bdc723ad5d03a465d6bea95bbce336a41417b7fb|bf646d956e5eb469fc6e76f2893d06f30d2dc85a87b612eff8d72cc71376c1b9|c722532ddf27384102e6d25e2e11ec5f4e94f3247e06ca57ce127c753d249cc0|d3ed7c2a530dc428003fe083abd46b20d8fdc735708af17e02847c648ddebc16|d6fc137778de8390f67343b37fbd8db2e5529ecee382e6d4a75862a5077ef277|d9a151164d79fc89e4ccb6bfa313e47c9ef2673ec89024f604fba895819cdbad|dc3fcae12d04b8000b9198c9c48f9a853c0d9310724430d3536116f685431b73|e2bf8a5a966d2d76b9a0d331eaa9ce32bfe80e9e7ca031f06fcdc4f8725dcf6a|ea0c7b2bb38e67031759760a7f30c1cda05116e0af1b3394de48fbf0332ed0f1|efa3f0119c7ca3c8c2480fc1c54089496b2b5ab2a0bd6bbfbf4b716959ecc8fd|f132c4e885736c8b05d05a0f99dd7b0e6b1192fe0f1c8134962075a0f27dfea2	acbfc58c9b12b002281c0987b9f60a658f66044c2aa142a09d592e4777e3eadc|b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d|e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8	sensory.caramel|sensory.strawberry|sensory.sweet	concept-cluster:20d4d1da3e42c102a75ade9a|concept-cluster:4d86cc7dfe4f49df730ec5ac|concept-cluster:4f63a6b3ea90b11b1e9e102e|concept-cluster:550c354ca9f3411d5b5fe931|concept-cluster:d21f8042db787a7e15b5dc7a	sensory.caramel	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	MACHINE_GOVERNED_HIGH_CONFIDENCE	898	675	675	4	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	4	19	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	197	694	7	AFFIRMATIVE:192|PENDING:5|UNKNOWN:701	1298	false	false	true
concept-cluster:021db4fc859c090e7463da95	1	cleaned-form:c80b53ade8d420676bd1d98a	1	source-form:c80b53ade8d420676bd1d98a	UNREPORTED	STRICT_FLAVOR	c80b53ade8d420676bd1d98a695c44490d67ef4c0640650cea4e9bc86ec8a9d7					GENUINE_ONTOLOGY_CANDIDATE		2	2	2	1	family.ace_cup_of_excellence	1	2	year.2013|year.2019	0	2	0	UNKNOWN:2	102	false	false	true
concept-cluster:022a83723adecc0c35e4b121	1	cleaned-form:ddb27c91f04868d8a28f69c6	1	source-form:7dc93262d474778507c99030	UNREPORTED	STRICT_FLAVOR	ddb27c91f04868d8a28f69c6c752e040e44a939cf37235f99e614137b1d782c1					GENUINE_ONTOLOGY_CANDIDATE		2	2	2	1	family.ace_cup_of_excellence	1	2	year.2024|year.2025	0	2	0	UNKNOWN:2	102	false	false	true
concept-cluster:023a282c51ff7d1c78c9999d	1	cleaned-form:5532c021b46ad5839d9bfb0a	1	source-form:5532c021b46ad5839d9bfb0a	UNREPORTED	STRICT_FLAVOR	5532c021b46ad5839d9bfb0aa96e172bd83ee18ebeb638c643b3199199c8a7c1					CROSS_LANGUAGE_REVIEW_REQUIRED		1	1	1	1	family.mdpi_certified_q_grader_storage_panel	1	1	year.2026	1	0	0	AFFIRMATIVE:1	181	false	false	true
concept-cluster:026c3a641434add4ea400701	1	cleaned-form:217e91717ca28f2be289a11d	1	source-form:217e91717ca28f2be289a11d	UNREPORTED	STRICT_FLAVOR	217e91717ca28f2be289a11d504cae434881cd9ca5d83551321348c757916b58					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2024	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:0270e7ef3e9dc675f5ed33a4	1	cleaned-form:9fdbec4131621b295914db73	1	source-form:9fdbec4131621b295914db73	UNREPORTED	STRICT_FLAVOR	9fdbec4131621b295914db73a996cfa2353f6b1dbc524fd589630d8dae6a02b6					CROSS_LANGUAGE_REVIEW_REQUIRED		5	5	5	2	family.ace_cup_of_excellence|family.mdpi_certified_q_grader_storage_panel	2	2	year.2024|year.2026	4	1	0	AFFIRMATIVE:4|UNKNOWN:1	285	false	false	true
concept-cluster:02820e560994e4aeece2c557	1	cleaned-form:520cdb563bf80b193aab6aad	4	source-form:547539bbadd49f5062213478|source-form:5e1fe8ba6035494362184852|source-form:6ec1a9960c3d8bfd4a45a501|source-form:7203c2b3dad364dcf45ab87a	UNREPORTED	STRICT_FLAVOR	520cdb563bf80b193aab6aad62781a9647c75dbf76748117299c7dac0ae63a87					GENUINE_ONTOLOGY_CANDIDATE		11	11	11	1	family.ace_cup_of_excellence	1	6	year.2015|year.2020|year.2022|year.2023|year.2024|year.2025	0	11	0	UNKNOWN:11	111	false	false	true
concept-cluster:02a04b7d2f3733d260558ca0	1	cleaned-form:a96f6e806268e24a08fc9293	1	source-form:a96f6e806268e24a08fc9293	UNREPORTED	STRICT_FLAVOR	a96f6e806268e24a08fc929332d310639cfadf871d888bc6e7ea48d9e8106f1d					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2010	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:02de9362ed58ca37c21a7534	1	cleaned-form:fa5ad19e1c63d4d8e77533c8	1	source-form:fa5ad19e1c63d4d8e77533c8	UNREPORTED	STRICT_FLAVOR	fa5ad19e1c63d4d8e77533c8c8072c4abe9634e8fe72a484bfe34c1e80715d53		sensory.wine_like_character	concept-cluster:04e505df680aff2f3f2c5448|concept-cluster:13a72645c651d30fbe41933e|concept-cluster:334574dfc7877906fbeba750|concept-cluster:e8768112448d3c6480f44d11		GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2015	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:02fe494ba34b9fcc4a5d9587	1	cleaned-form:fdcbec42437dfee2a191cd8d	2	source-form:8dfd24fad957ec70d958cd72|source-form:fdcbec42437dfee2a191cd8d	UNREPORTED	STRICT_FLAVOR	fdcbec42437dfee2a191cd8d6f0d019aaaec56740f74ddd715266dcacb4603b1					GENUINE_ONTOLOGY_CANDIDATE		3	3	3	1	family.ace_cup_of_excellence	1	2	year.2024|year.2026	0	3	0	UNKNOWN:3	103	false	false	true
concept-cluster:030c1a180f62693acca2a828	1	cleaned-form:9be302ff7ed8dcad748291f6	2	source-form:15263c30b956539523319aac|source-form:9be302ff7ed8dcad748291f6	UNREPORTED	STRICT_FLAVOR	9be302ff7ed8dcad748291f623d3bc597fa155f2817db628c5eee592396458c2					CROSS_LANGUAGE_REVIEW_REQUIRED		42	42	42	2	family.ace_cup_of_excellence|family.mdpi_certified_q_grader_storage_panel	2	4	year.2021|year.2023|year.2024|year.2026	35	7	0	AFFIRMATIVE:35|UNKNOWN:7	322	false	false	true
concept-cluster:033e98fd0980c541a30a21ef	1	cleaned-form:e0c5f441ba92453be73a0691	1	source-form:af26f509b336474a03fb145e	UNREPORTED	NON_DESCRIPTOR	e0c5f441ba92453be73a069122d06c66e66f14d29b41b37f697842c09a594e4c					NON_DESCRIPTOR		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2012	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:034aa27b2239dfdcef5527ff	1	cleaned-form:79580f5faae704ef9d156e68	1	source-form:fc4af06615703103d590714d	UNREPORTED	STRICT_FLAVOR	79580f5faae704ef9d156e689b761ff3e1bb27d0a18fa2b2572377ef5e373145					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2024	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:0355155858b733cc64c1486a	1	cleaned-form:85dda78f15586010f812e5ec	1	source-form:85dda78f15586010f812e5ec	UNREPORTED	STRICT_FLAVOR	85dda78f15586010f812e5ece8092f451112326021c83750f7652254f26fa09b					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2018	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:03556b735a6f6f40adbbedf7	1	cleaned-form:b1fd0e776919a69ebc5c6d80	1	source-form:46d785dc5143276ca2d79483	UNREPORTED	STRICT_FLAVOR	b1fd0e776919a69ebc5c6d804a9966c01b33447b002dd54eed939837e0f2f38a					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2020	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:038382a9e98aba0612e0ce03	1	cleaned-form:9a635694ad5396964b8920c8	1	source-form:59a825a0d7343357f9dffa33	UNREPORTED	STRICT_FLAVOR	9a635694ad5396964b8920c8c015153570ee8221dd486023d08f1a9f80b1411d					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2023	0	1	0	UNKNOWN:1	101	false	false	true
