cleaned_pair_id	left_cleaned_descriptor_identity	right_cleaned_descriptor_identity	record_unique_pair_event_count	effective_record_support	year_support	source_family_support	zenodo_sample_consensus_pair_event_count	maximum_single_record_contribution	pair_counted_as_source_assertion
cleaned-pair:1599f4c34b3e6be3cb1a23aa	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:5c0349293139d6e1d62c6ca5	1	1	1	1	0	1	false
cleaned-pair:cde4989f265fd1cb5b874dda	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:5cb2c9655c6f3e382349f45f	1	1	1	1	0	1	false
cleaned-pair:fa111c8d0f81181114b6d7ea	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:68eb4dd9bf894f6eb07654d3	1	1	1	1	0	1	false
cleaned-pair:2c78b100e8b7822ddbdf9f7f	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:6ea3fdca791a2a182f6d2707	1	1	1	1	0	1	false
cleaned-pair:59fa382dfd68652112039147	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:7073ba391f6781ee969ea9b3	1	1	1	1	0	1	false
cleaned-pair:3772987ffbe8ca02e4790c44	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:736bc2d4e0945110e88f7808	1	1	1	1	0	1	false
cleaned-pair:227906d2c92b2c58f2ecceba	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:73cce42f1f0e9099688b8eb6	1	1	1	1	0	1	false
cleaned-pair:3cf3eb7f61a2ff821802216a	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:7499aced43869b27f505701e	1	1	1	1	0	1	false
cleaned-pair:5933dd8dbfa9d96ae3460c03	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:771ed10532a39ae11019a3d3	1	1	1	1	0	1	false
cleaned-pair:3a8161400c530f59f34f992a	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:7728456b0c982f81721078ed	1	1	1	1	0	1	false
cleaned-pair:0f5f1af9b522f692ff95d08f	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:7d9f72f6de608982c43aabd0	1	1	1	1	0	1	false
cleaned-pair:3b9e2ec7df58406025b80592	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:7f18041501a6073856a11aec	1	1	1	1	0	1	false
cleaned-pair:701408cb69e73bcc39fffd66	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:8543f6eb46b0b4d929b2fd45	1	1	1	1	0	1	false
cleaned-pair:bc132b3e83ee16c896b8153c	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:87a06a58858b46db45c306bc	1	1	1	1	0	1	false
cleaned-pair:f2eeeed40670818704f35c49	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:8b03ebe21928593a6066e77c	1	1	1	1	0	1	false
cleaned-pair:57268251856fb69eb606a9f0	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:941c8fa676ca32c2bba64691	1	1	1	1	0	1	false
cleaned-pair:af0fe2c3abfe5dbc688b24d8	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:96eed1e253c8601cf063aa55	1	1	1	1	0	1	false
cleaned-pair:1887126161ece21374602e9e	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:985604c2b60243122c24d4e1	1	1	1	1	0	1	false
cleaned-pair:c2b990a4c2a418b600ac758d	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:a73860a05ec07cb9ce86d802	1	1	1	1	0	1	false
cleaned-pair:3a567a60279f94910ed2a94d	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:a7a39b72f29718e653e73503	1	1	1	1	0	1	false
cleaned-pair:4eac0e367a21536c04fa5286	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:a87b3e348ccb598ecb71bb83	1	1	1	1	0	1	false
cleaned-pair:cbcb115dff9c79cc3cb88715	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:a97b0931730e83fbf9284ff0	1	1	1	1	0	1	false
cleaned-pair:51f442b023a304b55e1ec823	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:acdab1a7b00688a593af8f8d	1	1	1	1	0	1	false
cleaned-pair:f4d19d2d4cbb4b9d3692adde	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:b0df7aca2b1494807e448a18	1	1	1	1	0	1	false
cleaned-pair:c76f5bd219c6cc31a8f40798	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:bd071899591c00d2276d2254	1	1	1	1	0	1	false
cleaned-pair:7371a4e30728d0f9cb708972	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:be2a2df6231d405ea92f2990	1	1	1	1	0	1	false
cleaned-pair:c7adedcdc9ce54f3d64f3c40	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:c877647d1eef4e2a53959784	1	1	1	1	0	1	false
cleaned-pair:a4911dc1d61024f11488041f	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:d3ea6d187882d61af1dfa90f	1	1	1	1	0	1	false
cleaned-pair:7da8332a81d7843b17b7915a	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:d805524d68f33c3943830859	1	1	1	1	0	1	false
cleaned-pair:384defade2d20c7240fcc894	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:d8a077c5ff31fa636a78a271	1	1	1	1	0	1	false
cleaned-pair:43d80a0986a1667c75943e28	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:e4afc00c203159704e8a809b	1	1	1	1	0	1	false
cleaned-pair:04385e0d7887575dabad0d73	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:e77502a23fa64948122aca36	1	1	1	1	0	1	false
cleaned-pair:afcc31f21903a7b359a21daf	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:f9e263cde179789459a96a0f	1	1	1	1	0	1	false
cleaned-pair:3c9eb3866dbbd579f6ca1d32	cleaned-form:007b30c58c7ec5cddea593e6	sensory.banana	1	1	1	1	0	1	false
cleaned-pair:53e5c2f735401c537d88224e	cleaned-form:007b30c58c7ec5cddea593e6	sensory.caramel	1	1	1	1	0	1	false
cleaned-pair:d79662e49ffaf8e42dfc1b03	cleaned-form:007b30c58c7ec5cddea593e6	sensory.cinnamon	1	1	1	1	0	1	false
cleaned-pair:626357ccb0072b3938a5a421	cleaned-form:007b30c58c7ec5cddea593e6	sensory.cocoa	1	1	1	1	0	1	false
cleaned-pair:0efda89cfa7301cd3f40f6f8	cleaned-form:007b30c58c7ec5cddea593e6	sensory.coconut	1	1	1	1	0	1	false
cleaned-pair:5e8104133ab271d9a8c5b534	cleaned-form:007b30c58c7ec5cddea593e6	sensory.ginger	1	1	1	1	0	1	false
cleaned-pair:61dd9a1064bd5e97c17a88a3	cleaned-form:007b30c58c7ec5cddea593e6	sensory.grape	1	1	1	1	0	1	false
cleaned-pair:dd2e0707f4eb240f393901ef	cleaned-form:007b30c58c7ec5cddea593e6	sensory.honey	1	1	1	1	0	1	false
cleaned-pair:f5aa51e22f7594ca5a318d30	cleaned-form:007b30c58c7ec5cddea593e6	sensory.jasmine	1	1	1	1	0	1	false
cleaned-pair:1b3d2cfa76eb431058d71e2c	cleaned-form:007b30c58c7ec5cddea593e6	sensory.lemon	1	1	1	1	0	1	false
cleaned-pair:4c8dfe8887188fd7a2845510	cleaned-form:007b30c58c7ec5cddea593e6	sensory.orange	1	1	1	1	0	1	false
cleaned-pair:35939cc0010747852b06b329	cleaned-form:007b30c58c7ec5cddea593e6	sensory.peach	1	1	1	1	0	1	false
cleaned-pair:128093d08f3931f2f242e1f6	cleaned-form:007b30c58c7ec5cddea593e6	sensory.pineapple	1	1	1	1	0	1	false
cleaned-pair:cb6b81ea18ad743e45984e04	cleaned-form:007b30c58c7ec5cddea593e6	sensory.raisin	1	1	1	1	0	1	false
cleaned-pair:35914907631adf95aebc4d47	cleaned-form:007b30c58c7ec5cddea593e6	sensory.strawberry	1	1	1	1	0	1	false
cleaned-pair:aba8fc76d9e340f0eb2fec53	cleaned-form:007b30c58c7ec5cddea593e6	sensory.vanilla	1	1	1	1	0	1	false
cleaned-pair:d506d4b9b0c82a9f42d5ecf4	cleaned-form:007b30c58c7ec5cddea593e6	sensory.wine_like_character	1	1	1	1	0	1	false
cleaned-pair:443597d50a87fdf63353be8b	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:00d2064db061fbc29e714b94	1	1	1	1	0	1	false
cleaned-pair:63258aaf342f8464ee993d26	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:043d97d69419bd79f3b5c1d8	1	1	1	1	0	1	false
cleaned-pair:6c99f8388ad32a0f607926ac	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:07001e8089072aa27db4ede1	1	1	1	1	0	1	false
cleaned-pair:0d9edf324a640d58deae2985	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:0a2562424d97b71d9d8acc0e	1	1	1	1	0	1	false
cleaned-pair:f31bd20447bd14ea25db67ea	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:12fad53d7ead16e0de5e2f4e	1	1	1	1	0	1	false
cleaned-pair:1b3620a604c45b88cd2a2ae9	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:17840323ea59b5e1c1383d90	1	1	1	1	0	1	false
cleaned-pair:f90a129ea1e7f6ef0ef5db26	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:1bd3f74eb7f20d686c9c25a9	1	1	1	1	0	1	false
cleaned-pair:fe3261698d788faeab0893ef	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:2a4796d53a1ec4dd67daa38b	1	1	1	1	0	1	false
cleaned-pair:0b9b78b99317f17f82061b3d	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:3609eddbc36b1a391389f1d1	1	1	1	1	0	1	false
cleaned-pair:8ea2bcdf218e99109537896e	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:361ebef5e2a63fb75f0ef8fe	1	1	1	1	0	1	false
cleaned-pair:a11e4fd067c72a0ee1179c84	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:4c591c30afa436056d0d5936	1	1	1	1	0	1	false
cleaned-pair:8c625dfb0b1fa8ba87eb58a5	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:545ce787c410276d227955b0	1	1	1	1	0	1	false
cleaned-pair:af1b930ad22836527f3eb8fe	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:5751e048eb6fee3eb9bb4ea7	1	1	1	1	0	1	false
cleaned-pair:02465534fa0dd98e57bb7b3d	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:5f9c9ab19152301cb5c1691d	1	1	1	1	0	1	false
cleaned-pair:1bc017e02c1ab05d9c7421d6	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:73cce42f1f0e9099688b8eb6	1	1	1	1	0	1	false
cleaned-pair:ea4a3f6ac3c652b7afc1dadc	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:7499aced43869b27f505701e	1	1	1	1	0	1	false
cleaned-pair:bd18b79f39a6491ad93fb036	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:918f112d100d00dec359dcf5	1	1	1	1	0	1	false
cleaned-pair:98863ec87cd052bab1f91bca	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:b6e4221dfda0c45f51475403	1	1	1	1	0	1	false
cleaned-pair:1195bff2d1a9147fdbea2c1c	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:b755cb248c3c4a7d94f835b4	1	1	1	1	0	1	false
cleaned-pair:65458671edff35f348540e16	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:c371578fdc5ddc302a761f00	1	1	1	1	0	1	false
cleaned-pair:7f699a06b05b0907257c4b2b	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:cb48108ea0d1b87a515dc3d6	1	1	1	1	0	1	false
cleaned-pair:4a639d39a2fd6bfdf324f42a	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:ccfbf54a16301979086b9893	1	1	1	1	0	1	false
cleaned-pair:77655cc9e896580e9812e11c	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:d037e316bcc269c4768e68d7	1	1	1	1	0	1	false
cleaned-pair:8c3f526b262b272a0f6fd013	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:d3dc88ae24a3be59843285c3	1	1	1	1	0	1	false
cleaned-pair:b595fe59b2cd50333d9487ed	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:ef77440b6f8382d4ce8d8cf6	1	1	1	1	0	1	false
cleaned-pair:1e79fda05cf123aece6b4eb1	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:f18e48678b723e80d272f37b	1	1	1	1	0	1	false
cleaned-pair:14bec8dce07b3117e247abda	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:f1bc1abd2c1542f016311238	1	1	1	1	0	1	false
cleaned-pair:4542d2f015bda6fe86f6a619	cleaned-form:00971891d0a3c857d5d9da31	cleaned-form:f6d05e00cb2dc061ef83b3b0	1	1	1	1	0	1	false
cleaned-pair:0ab2b9efb60e6b2f405f603a	cleaned-form:00971891d0a3c857d5d9da31	sensory.bergamot	1	1	1	1	0	1	false
cleaned-pair:b5f0d619f2d60d1bd6d2e89d	cleaned-form:00971891d0a3c857d5d9da31	sensory.black_tea	1	1	1	1	0	1	false
cleaned-pair:09a2b14070c074cfe5ef1c6f	cleaned-form:00971891d0a3c857d5d9da31	sensory.brown_sugar	1	1	1	1	0	1	false
cleaned-pair:050eee56f3c3c70c04252d7d	cleaned-form:00971891d0a3c857d5d9da31	sensory.caramel	1	1	1	1	0	1	false
cleaned-pair:f7e7d26333887b4719765238	cleaned-form:00971891d0a3c857d5d9da31	sensory.clove	1	1	1	1	0	1	false
cleaned-pair:8aac485fa0e941129806681c	cleaned-form:00971891d0a3c857d5d9da31	sensory.dark_chocolate	1	1	1	1	0	1	false
cleaned-pair:28d5bdfa28bb1a68efbc91a7	cleaned-form:00971891d0a3c857d5d9da31	sensory.grape	1	1	1	1	0	1	false
cleaned-pair:407568671b091cda16ae2561	cleaned-form:00971891d0a3c857d5d9da31	sensory.grapefruit	1	1	1	1	0	1	false
cleaned-pair:b3a87d1b8fd115fdb9afa1ca	cleaned-form:00971891d0a3c857d5d9da31	sensory.jasmine	1	1	1	1	0	1	false
cleaned-pair:d7db01ad339e3a2f8ed661d2	cleaned-form:00971891d0a3c857d5d9da31	sensory.lemon	1	1	1	1	0	1	false
cleaned-pair:5ca1f7f840b647e813b03e7d	cleaned-form:00971891d0a3c857d5d9da31	sensory.lime	1	1	1	1	0	1	false
cleaned-pair:d2e5c41c6711baf9a59a1fff	cleaned-form:00971891d0a3c857d5d9da31	sensory.molasses	1	1	1	1	0	1	false
cleaned-pair:027a996e5558619ecc76a09f	cleaned-form:00971891d0a3c857d5d9da31	sensory.plum	1	1	1	1	0	1	false
cleaned-pair:3751d7144909e1913a25d967	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:0a74f3353673c6f25d8e5154	1	1	1	1	0	1	false
cleaned-pair:c40761bff510456fda9821d5	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:0e27150cb1fc10c8366e5924	1	1	1	1	0	1	false
cleaned-pair:e529d3feeeaacfdbfa29f1f6	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:12fad53d7ead16e0de5e2f4e	1	1	1	1	0	1	false
cleaned-pair:a600c9371ae063cf1c472a58	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:26756c40c1d22ee1e3b100a0	1	1	1	1	0	1	false
cleaned-pair:d8254d40cc0b9f51925de768	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:4c591c30afa436056d0d5936	1	1	1	1	0	1	false
cleaned-pair:c436fe630e0fe394bebf5238	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:510e9cd005e362235259c1db	1	1	1	1	0	1	false
cleaned-pair:3e8f61294ea3febe44530416	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:7073ba391f6781ee969ea9b3	1	1	1	1	0	1	false
cleaned-pair:8216e7db9cd8881a3e9233f4	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:73cce42f1f0e9099688b8eb6	1	1	1	1	0	1	false
cleaned-pair:423098587e99a1f007876f73	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:94e44d9d24608ae2161d0c56	1	1	1	1	0	1	false
cleaned-pair:ff607826c9cc132328f68511	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:9738eaf312d761a8ae49f777	1	1	1	1	0	1	false
cleaned-pair:951fd8b372d2c80fdcda3825	cleaned-form:00bf2a71bb491c2c412609a4	cleaned-form:a73860a05ec07cb9ce86d802	1	1	1	1	0	1	false
