review_item_id	review_rank	semantic_relation_id	relation_type	relation_authority	support_occurrence_count	source_locator_or_restricted_pointer	priority_reason	suggested_action	project_owner_decision	decision_reason	reviewer_id	reviewed_at
semantic-owner-review:1f20917b8d2bb5b6e5dfc304	26	semantic-relation:39669f74eaaf1b2634010174	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-13	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:14317af227679050cf93933d	27	semantic-relation:39a2bf390809d7acc1c724cf	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-9	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:43d34d2fde7e18979e8ba407	28	semantic-relation:3c2c39437b9cbab2c3e329a2	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-8	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:f107e20bb61b229e87fbc8ae	29	semantic-relation:3f5e463c7b9c858a0c6fbf4a	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-1	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:b918ecb3151493212e147989	30	semantic-relation:40b0ec782dd6ee2339c222a4	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-14	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:9e4f95e9ecde20591e0e2498	31	semantic-relation:417a8113d41cabbfec563316	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-21	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:79ad6bd65f6e3c4a6f6cb28d	32	semantic-relation:4ba89b344616f75c2f785a75	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-9	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:f86985ea81652214c4f61114	33	semantic-relation:4f1d72b2cd2a9e5cadefb406	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-18	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:4877c1a46719bd05d9e7c75e	34	semantic-relation:541a0bd7dfe6b8e5f99116ca	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-30	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:50d9334d08998cc3cde49c09	35	semantic-relation:545bc42578849abb4751c1d2	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-4	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:cc89e46d7291f2bbc2cc7ce3	36	semantic-relation:56e3fb3adb599cb39c66cc5e	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-25	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:583e44b45828edec27302ba1	37	semantic-relation:580cd8fe378ce42d2cfda742	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-5	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:6e9d8a169ce6528c2484a99f	38	semantic-relation:5b2858ebeaeb5adc8e1786b6	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-2	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:12f019af95e57769cbcb77f3	39	semantic-relation:5c3a0acff117b08ab34687c8	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-14	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:f8f8170b42abfe6a9d8068d1	40	semantic-relation:5cfefe405c3307ecef9b8ff1	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-18	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:30a05c6855e15213d4422806	41	semantic-relation:61d68a77937aff8473a5ff5c	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-23	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:fba40d9ed899e187a356128a	42	semantic-relation:6218902dffa31d72d2637fc5	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC6776322#table-2-column-1	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:d3ef618c09db401626d5cfd5	43	semantic-relation:64123968232b7897e6f454f4	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-15	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:0cb6c3b32b97e596fcc99d36	44	semantic-relation:64840a103e71c7d7b5bf495d	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-16	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:5fb9ada11c0b4cd04e58fdf0	45	semantic-relation:67e6e97192f97a5557cde1f9	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-11	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:b5a85ef46d3c4dbf16c3cf3d	46	semantic-relation:6ac65d84269e3f1b26b1feb7	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-19	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:84543cbaa4c59e68222819e9	47	semantic-relation:6d3bee96be33b5821906801e	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-18	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:7abad36238225eb4b3f33da7	48	semantic-relation:6d745bc30dd4b5926cd3549b	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-20	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:160ff2d16260a237529b9d76	49	semantic-relation:74f424def28a803bc4c6fc67	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-19	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:36075e44f422a51118c1f6bf	50	semantic-relation:75fd39f8ac33f318a412bf8f	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-10	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:c9e81ac01d46aa84e8fdebd8	51	semantic-relation:777db202926cddd1c0015bdb	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-12	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:232054f2ac9d07ed6643e911	52	semantic-relation:7b8816aefbc2b04253f055fc	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-14	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:c9b732b9593028153940925d	53	semantic-relation:7d3724e961fa6a62eb25e4ba	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-13	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:783dd85dedd80f60029af34c	54	semantic-relation:7f605956233974c5312b6102	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-7	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:9a1dbdf1d76236786bcf3500	55	semantic-relation:814bb3557e5662b4a4fcbde1	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-3	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:0bb0062d30f98ac63ff7a0c8	56	semantic-relation:82607e005af917672130a22e	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-15	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:f1a3d59063d7c19cfc77c5d6	57	semantic-relation:8474539b6fdaf621ed41daf9	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-23	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:1b541352c2e0c5f78224e897	58	semantic-relation:84ac6df90804b9b25bb4a2fa	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-27	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:b791ab209a6641f6089b6c97	59	semantic-relation:8521d8c01f92c6d9e4e58dba	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-22	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:d72e3b7987a3f43e248b90c1	60	semantic-relation:8580217e11904f3474a6d14b	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-4	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:d2d57acd44f1f3ec50187429	61	semantic-relation:8b06c7616b05da26f676d4b0	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-14	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:fd4bf3189f0a4a9e31da8403	62	semantic-relation:8d7e906a7100aec3dc9033a0	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-2	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:18f756cb1bf9a8b07dae93cc	63	semantic-relation:8d7f0660a3da87cd5a2e8fee	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-23	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:4dfad6e92bb16dbaf4097507	64	semantic-relation:8eca87b941b5941d8ff6c4ad	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-24	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:2c78f2400ba8be7f7a70e6fd	65	semantic-relation:90be6687579bee73895ee331	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-11	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:9a4e7a396b8094f54e97d1dd	66	semantic-relation:912c329d8be05e7da8113d84	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-19	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:44e6131a933f00f618d0a3a1	67	semantic-relation:94729dc803498bf127a2ba81	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-25	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:22d7f22bf3180a5359b60af6	68	semantic-relation:9a4c5b0e2dbc5d5a8da1b192	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-10	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:5881f74f2d271cb885d6ae02	69	semantic-relation:a22935a449ee0e0f4424ec95	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-3	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:5b81d9fb4f20cdf6af7b9089	70	semantic-relation:a2376906eb5527e81ceba45d	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-7	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:d8a545afe32d678b8623779a	71	semantic-relation:a267144d70d3d555516230c0	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-23	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:7bc9ad2a823e17d87d40cc8d	72	semantic-relation:a2a82b149aa83596ec78bbde	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-21	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:0fba7db5bffbabda48c097ce	73	semantic-relation:a2bc4f84dda3f127c83b6a84	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-17	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:20b71aa77cf2f0516a656ed1	74	semantic-relation:a48661fe7acff22d21ea330a	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-18	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:2f0d1a748440852f4ec0323c	75	semantic-relation:a53f70318f79034791fb5660	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC6776322#table-2-column-4	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:a27328c346aef9797d390f6a	76	semantic-relation:ad2210f0fec8cb0c984e450d	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-12	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:879d13f4db2e1a79ab1b2451	77	semantic-relation:add8a26864d6ce53ce879473	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-6	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:60223df883ef9382ea19875c	78	semantic-relation:b1e3ff74b56b63a9f0ef02be	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-26	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:e90bc5ed0fc68af72b8d63d9	79	semantic-relation:b56ff41e8bdc8d69d22afbe3	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-6	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:6da07aa5dd3f0a8829f77ff5	80	semantic-relation:b641cb4ae43563357a4265c8	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC6776322#table-2-column-3	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:b225c83d960b0274ba52f7ab	81	semantic-relation:ba1501d27ff20a809bbb44b8	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-10	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:f77b66a434c73d14fc31711a	82	semantic-relation:bb0aa4267c0b91f95922f449	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-5	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:49b3aa1b25f337a8846e8d23	83	semantic-relation:bb8dd767239d44310db4d5ab	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-15	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:2a07b598c53267e8b272e039	84	semantic-relation:bf13851e96f7cdaef82ba326	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC6776322#table-2-column-7	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
