dataset_id	dataset_name	source_round_or_batch	source_branch	source_commit_sha	repository_path_or_restricted_locator	file_sha256	file_size	row_count	descriptor_candidate_row_count	effective_record_count	data_role	evidence_tiers_present	rights_state	review_state	contains_raw_source_text	public_commit_allowed	overlap_expected_with	current_disposition
round3m-c0-c1-receipt	Current C0 and C1 evidence receipt	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json	aae32da71da7dcba575a82d3ceff1bde9a1105a67da19ef812afc2cb07f07242	1629	NA_NOT_TABULAR	0	26515	AGGREGATE_RECEIPT_ONLY	REFERENCE_ONLY	MIXED	SOURCE_AUDITED	false	true	round3l-restricted-receipt	CONTEXT_RECEIPT_ONLY
round3-external-descriptor-receipt	Descriptor-First Census external lower-bound receipt	ROUND3_EXTERNAL_DESCRIPTOR_RECEIPT	NA_EXTERNAL_REPORT_NOT_GIT_VERSIONED	NA_EXTERNAL_REPORT_NOT_GIT_VERSIONED	external-attachment://Descriptor-First-Census-of-Open-Professional-Coffee-Sensory-Evidence.pdf	d319236311f2abc5e15baaf70923b32e0a2bdbb5dc010723feea3e4aec8069e0	122241	NA_AGGREGATE_RECEIPT_ONLY_REPORT_PRESENT_MACHINE_BUNDLE_MISSING	303	15	AGGREGATE_RECEIPT_ONLY	P2|P3|PROVENANCE_UNRESOLVED	NOT_REPORTED_IN_HEADLINE_RECEIPT	DIRECTLY_INSPECTED_EXTERNAL_AUDIT_RECEIPT	false	true	round3m-live-assertions|round3l-restricted-receipt	COUNTS_ONLY_REPORT_INSPECTED_NO_ROW_LEVEL_IMPORT
round3-descriptor-census-machine-bundle	Nine-file descriptor census machine-readable bundle	ROUND3_EXTERNAL_DESCRIPTOR_RECEIPT	NA_NOT_FOUND	NA_NOT_FOUND	missing-input://nine-file-machine-readable-descriptor-census-bundle	NA_NINE_REQUIRED_FILES_NOT_FOUND	NA_NINE_REQUIRED_FILES_NOT_FOUND	NA_NINE_REQUIRED_FILES_NOT_FOUND	NA_NOT_RECONSTRUCTED_FROM_REPORT	NA_NOT_RECONSTRUCTED_FROM_REPORT	AGGREGATE_RECEIPT_ONLY	NA_MISSING_INPUT	NA_MISSING_INPUT	BLOCKED_MISSING_MACHINE_ARTIFACTS	false	true	round3-external-descriptor-receipt	MISSING_LINEAGE_LIMITATION
current-targeted-acquisition-hash-ledger	Batch 1 bounded official-field hash ledger	professional-descriptor-scaleup-batch2-20260829	research/coffee-sensory-data-ml-readiness	NA_EXTERNAL_CAPTURE_NOT_FROM_GIT	https://farmdirectory.cupofexcellence.org/listing/2009-brazil-pulped-naturals-84-96/	0716d43dedbfcb99393e7f81e8d89f919ab8358e717fcb0a0f633ab091447839	4498	18	18	1	ROW_LEVEL_PRIMARY	PROVENANCE_UNRESOLVED_PROFESSIONAL	UNKNOWN	HUMAN_REVIEW_REQUIRED	false	true	round3m-live-assertions	RESEARCH_STAGED_HASH_ONLY
round4a-dataset-compatibility-matrix-tsv	Round 4A DATASET_COMPATIBILITY_MATRIX.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DATASET_COMPATIBILITY_MATRIX.tsv	62d56d6c075b6607c59a7625219e1ff000ee4d688358b2c42d1c3f492d9b59e7	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	REDUNDANT_STATIC_MATRIX_NOT_CURRENT_MERGED_DATA
round4a-descriptor-corpus-health-tsv	Round 4A DESCRIPTOR_CORPUS_HEALTH.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DESCRIPTOR_CORPUS_HEALTH.tsv	8f75ba9605baf1bd1b5245f2aa34a33de395426cf88ef042d5408152b059d430	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	140	8	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-descriptor-graph-components-tsv	Round 4A DESCRIPTOR_GRAPH_COMPONENTS.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DESCRIPTOR_GRAPH_COMPONENTS.tsv	81b8f46870462b2b2ec405f3ebf1e664185d9eecbf9ab0461cadb71e078abb3b	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	HASH_COMPONENTS_NOT_NORMALIZED_DESCRIPTOR_IDENTITIES
round4a-descriptor-pair-edge-tsv	Round 4A DESCRIPTOR_PAIR_EDGE.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DESCRIPTOR_PAIR_EDGE.tsv	3377ec03c7b4c14495a2f8aaa0f8acc84ca12e8679396e28a22e2a5ff8c67a97	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-descriptor-pair-support-distribution-tsv	Round 4A DESCRIPTOR_PAIR_SUPPORT_DISTRIBUTION.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DESCRIPTOR_PAIR_SUPPORT_DISTRIBUTION.tsv	a1d0be619093ae61c6b4e6a0738008d2cc14207a3ed6ca0efdeaa2204fdc37a4	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-label-support-distribution-tsv	Round 4A LABEL_SUPPORT_DISTRIBUTION.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/LABEL_SUPPORT_DISTRIBUTION.tsv	ec7c4d7055f2d7e0bd715edddadf7947203eb5d60bb5d681abb391c47c90608c	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	REDUNDANT_ZERO_LABEL_RECEIPT_REGENERATED_AS_SUPPORT_BANDS
round4a-longitudinal-archive-completeness-tsv	Round 4A LONGITUDINAL_ARCHIVE_COMPLETENESS.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/LONGITUDINAL_ARCHIVE_COMPLETENESS.tsv	e5777fa7bb3e2b3d1f035f17a1cc44da2c369b149b86e3b7246cf9d44638b27e	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	ROW_LEVEL_DERIVED	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-longitudinal-archive-expectation-tsv	Round 4A LONGITUDINAL_ARCHIVE_EXPECTATION.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/LONGITUDINAL_ARCHIVE_EXPECTATION.tsv	e5777fa7bb3e2b3d1f035f17a1cc44da2c369b149b86e3b7246cf9d44638b27e	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	ROW_LEVEL_DERIVED	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-professional-reference-manifest-json	Round 4A PROFESSIONAL_REFERENCE_MANIFEST.json	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/PROFESSIONAL_REFERENCE_MANIFEST.json	181714e67513345dd363962fe7d72e14387bb89fe531ae3786edcdb1205a9d26	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	140	8	AGGREGATE_RECEIPT_ONLY	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-round4a-manifest-json	Round 4A ROUND4A_MANIFEST.json	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/ROUND4A_MANIFEST.json	46266b03303a2232ce71d38b1a52272c2caab221362b80422e6d1753c1716052	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	AGGREGATE_RECEIPT_ONLY	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-sha256sums	Round 4A SHA256SUMS	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/SHA256SUMS	NA_SELF_CHECKSUM_FILE_NOT_LISTED_IN_ITSELF	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	AGGREGATE_RECEIPT_ONLY	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-source-family-concentration-tsv	Round 4A SOURCE_FAMILY_CONCENTRATION.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/SOURCE_FAMILY_CONCENTRATION.tsv	0d55045ea95581db30a142b14f4d452e63f3955b19ace37c49a6021360a27039	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-split-feasibility-tsv	Round 4A SPLIT_FEASIBILITY.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/SPLIT_FEASIBILITY.tsv	361878faf78ece8a77d16eca3836c83535a2cf6ad4eeee82b4e6fb3198a528bc	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
round4a-task-data-health-tsv	Round 4A TASK_DATA_HEALTH.tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/TASK_DATA_HEALTH.tsv	7347fb33473f4b3a93b8458b758cab30317cdd0112dfd7bb020dce363e5127dc	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	DUPLICATE_DERIVATION	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	REDUNDANT_TASK_REPORT_REPLACED_BY_CURRENT_GATE_STATUS
round4a-training-feasibility-decision-json	Round 4A TRAINING_FEASIBILITY_DECISION.json	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/TRAINING_FEASIBILITY_DECISION.json	bbba01ebef5ebf6788162865e7ac3a1a9915ab90a18dcd0d8593d74c1ad22587	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	NA_BRANCH_ONLY_ARTIFACT_NOT_IMPORTED	0	NA_DERIVED_OR_AGGREGATE	AGGREGATE_RECEIPT_ONLY	P2|UNRESOLVED|REFERENCE_ONLY	REFERENCE_ONLY	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY
professional-descriptor-scaleup-batch2-public-safe	Batch 2 public-safe professional descriptor assertion sidecar	professional-descriptor-scaleup-batch2-20260829	research/coffee-sensory-data-ml-readiness	NA_GENERATED_IN_CURRENT_RESEARCH_BRANCH	db/data/professional-descriptor-staging/PUBLIC_SAFE_ASSERTION_SIDECAR.tsv	20905a6747de98a0a9211d35857fb74242a573ea182f056e1c60d4967f27f1d5	24158491	20087	19846	SEE_CURRENT_MERGE_RECEIPT	ROW_LEVEL_PRIMARY_PUBLIC_SAFE	P1|P2|P4|UNRESOLVED	AFFIRMATIVE|PENDING|UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	false	true	current-targeted-acquisition-hash-ledger	MERGE_WITH_PUBLICATION_LAYER_DEINFLATION;MODEL_INELIGIBLE
professional-descriptor-scaleup-batch2-route-receipt	Batch 2 source-route probe and yield receipt	professional-descriptor-scaleup-batch2-20260829	research/coffee-sensory-data-ml-readiness	NA_GENERATED_IN_CURRENT_RESEARCH_BRANCH	db/data/professional-descriptor-staging/SOURCE_ROUTE_PROBE_AND_YIELD.tsv	5c484c4a1a6dc8d9c3958bb2c6b68cc2bf96caeb64e38ee159d6f873270481e0	7315	16	NA_ROUTE_AGGREGATE	NA_ROUTE_AGGREGATE	AGGREGATE_RECEIPT_ONLY	P1|P2|P4|UNRESOLVED	AFFIRMATIVE|PENDING|UNKNOWN	SOURCE_AUDITED_ROUTE_CLASSIFICATION	false	true	professional-descriptor-scaleup-batch2-public-safe	ACQUISITION_LINEAGE_ONLY
