descriptor_assertion_id	source_dataset_id	source_family_id	source_route_id	effective_record_id	coffee_identity_id	edition_year	preparation_service_id	publication_layer	source_field_label	source_locator	source_field_text_sha256	atomic_source_text_sha256	source_native_form_sha256	source_language	original_descriptor_class	segmentation_decision	segmentation_confidence	segmentation_basis	cleaned_atom_count	cleaned_lexical_form_sha256s	semantic_classes	mapping_states	canonical_concept_ids	decision_methods	mapping_confidences	semantic_cleaning_disposition	review_requirement	evidence_tier	rights_state	counts_as_assertion	counts_as_record_unique_descriptor	human_reviewed	expert_adjudicated	model_eligible	panelist_identity_sha256	panelist_sample_observation_sha256	roast_evidence_sha256_or_state	restricted_text_available_for_cleaning	cleaner_version
assertion-b2:000f080b4c62c3acebf908c8	professional-descriptor-scaleup-batch2-public-safe	family.zenodo_golovinsky_q_grader_dataset	route.zenodo.20840464.panelist-descriptions	effective-b2:cc8c82e9549c51a6abcc1175	coffee-b2:8ade29e6bec5701efe22ce80	2026	CUPPING	JUDGE_LEVEL_OBSERVATION	Bouquet description	sheet:All Panelists#row=322;column=7	b84ac2c1cdf42763b318c0ffbf9aa64614a72027406e98fa11a392b79112781a	550b8ce3d164393f314eb1ba5a8cc74face29b90f9c94242c7182c448aa6a4c1	550b8ce3d164393f314eb1ba5a8cc74face29b90f9c94242c7182c448aa6a4c1	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	550b8ce3d164393f314eb1ba5a8cc74face29b90f9c94242c7182c448aa6a4c1	STRICT_FLAVOR	AUTO_MORPHOLOGICAL	sensory.blueberry	AUTOMATED_SAFE_RULE	0.980000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	P1	AFFIRMATIVE	true	true	false	false	false	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	7f31b0f41e07b27aecb9d849a414386098efff82eb06ff6e4f53f97b8ba09abf	hash:sha256:b9b9cee26642b955bccca076de3a96bc55330133f8f3a3605762827990bde3d8	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:0018963e588e7d39fad8dc2f	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:1b501055795c6d3b41642444	coffee-b2:19b21727d5a376d90d2d13ba	2014	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	bcb7cf46070181fe691c9705b839eca59a5ec0941b6b3ce7766eb759fc73e644	9fc0acf02304c58ef11763d6ed9229a99bc2da63b083950b7744f67161602469	9fc0acf02304c58ef11763d6ed9229a99bc2da63b083950b7744f67161602469	en	BROAD_SENSORY	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	9fc0acf02304c58ef11763d6ed9229a99bc2da63b083950b7744f67161602469	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.creamy_mouthfeel	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:00197273eff4eee36155d1ca	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:fa9d658c6dbf0bd5014b72ef	coffee-b2:0ff215e909d3adb17378a0b7	2012	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	8cbadabdc7f8858521748aacc91471082a3bcbe56d052059196812a973e98d8c	5e979f72abbd4f1b92171e8d9c0520f9921cf493ff70da32aee5b798048928b4	5e979f72abbd4f1b92171e8d9c0520f9921cf493ff70da32aee5b798048928b4	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	5e979f72abbd4f1b92171e8d9c0520f9921cf493ff70da32aee5b798048928b4	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:001f76de5d9e6877c486c938	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:76d7087300f40efc4a508018	coffee-b2:819baaa2636ac44473b572e1	2014	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	f0f3c5a40b26372be7b92e7d3549c04a57186a2677cb5630ea068c5bec0b3a7a	5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944	5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944	en	BROAD_SENSORY	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944	BROAD_SENSORY	ONTOLOGY_CANDIDATE		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:0020496e0f6c436af25487b8	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:51059698779631ab3a3c76f2	coffee-b2:45b5f757e73917e4709c8589	2016	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	947784fa571f378c24f15ae59b1750ab3067ca48fbe934fd9d96f339bce33d0a	447f7f5c325ea17e635bef91bac42e27c55490450f38f1815d8d6c0bb36687ac	447f7f5c325ea17e635bef91bac42e27c55490450f38f1815d8d6c0bb36687ac	en	BROAD_SENSORY	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	447f7f5c325ea17e635bef91bac42e27c55490450f38f1815d8d6c0bb36687ac	INTENSITY_OR_QUALITY_MODIFIER	NON_DESCRIPTOR		AUTOMATED_SAFE_RULE	1.000000	NON_DESCRIPTOR	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:0022263ca2ad6ad29704fa9f	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:76c99541ef4ec62c9037f5bf	coffee-b2:661b6c347cdc8996718c051d	2023	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	e036f1d2507c040b47d88e13980da67e3cba35ab87893d6208ef2c868a4decc0	85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.peach	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:002af2f4f058240ba6d8b67a	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:5fb7f51c01aad3b9bd693ff9	coffee-b2:8d9e6f805d54c752e044d6e5	2020	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	ecdb5c542312698cda0be388118300a2a543d4ee54d4378673f1eba1b9d86545	42267a5a6e72c11e0a3496c649cbc210394ad8b6034032a117b4cd60f9ad38e0	42267a5a6e72c11e0a3496c649cbc210394ad8b6034032a117b4cd60f9ad38e0	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	4238b2540b3b9e8680909896fda4ca50c2e6945bf31e4377d492db5b1c82823d	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:002c2bc5ce89f7b659a1bd56	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:18f3f637a92a8ba39ee2c8d3	coffee-b2:49fba172a783af0c25dcb529	2021	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Acidity	html:item-attr=Acidity;index=3	b5f48314fa2f6790d531c7336a5598fb6b4963efb853ad1a1424ebf03a417934	c9665c96a8678e037a9ca363b9b6fbf0b7942ae352f1f6c807f45f9094c9ec9a	c9665c96a8678e037a9ca363b9b6fbf0b7942ae352f1f6c807f45f9094c9ec9a	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	efbaa8cbfffc1af3afcf8082a3732e4d5111104ae3f6ef8b2545975e50497505	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.lime	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	false	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:0031269daca4864d546aa9cb	professional-descriptor-scaleup-batch2-public-safe	family.zenodo_golovinsky_q_grader_dataset	route.zenodo.20840464.panelist-descriptions	effective-b2:d686b6b920a0d1f3928945eb	coffee-b2:d5e38dfcc883ab35b7c21222	2026	CUPPING	JUDGE_LEVEL_OBSERVATION	Aroma description	sheet:All Panelists#row=43;column=5	756e33fcb913da790ea3627a8041845c64213ecaa6c0d24560579ae9604ca701	846d124b6785689c70bc65cf99e0ea2e896349ffeb38cf1b1224b88b3982fe94	846d124b6785689c70bc65cf99e0ea2e896349ffeb38cf1b1224b88b3982fe94	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	846d124b6785689c70bc65cf99e0ea2e896349ffeb38cf1b1224b88b3982fe94	STRICT_FLAVOR	AMBIGUOUS_MAPPING		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	P1	AFFIRMATIVE	true	true	false	false	false	3b4bc5f50374933598f3cf2606c5fe8712158cb0e4b7e531b029d5208ba5d107	26897975ada412fbb240b5d2b8cb5f97d29355e37f36f794f2d687404b368181	hash:sha256:666b80451cf213c1824ae8df97f9c0f3854ba6aa5d049893c874a8531b90e386	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:003179d40c9186858c5123b2	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:bbc4496bdcc67b300c1de7c6	coffee-b2:edd95a2ac15cf8945c98141f	2012	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	1bfdbba84fae83d69267a74b566988be787aad486dc545e09de2674bcebc39bc	cd9558acfc386bd3e1fb14da5d4ed7e9338f80fa29fc2447c36c94667c406295	cd9558acfc386bd3e1fb14da5d4ed7e9338f80fa29fc2447c36c94667c406295	en	BROAD_SENSORY	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	a97b0931730e83fbf9284ff00a4c5f7a4eef2189dddb89319a6dfa5871e28923	BROAD_SENSORY	ONTOLOGY_CANDIDATE		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:0031b3a4de8b733a0655f241	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:9636cfd252b362873062b31a	coffee-b2:1f66025b16b8b647e588ce32	2017	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	49d3166576ef34707f245f7fa1a369fd83ee0e4c1e99d4c6045e63a1a316f9d2	1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.orange	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:003992b0bb07ac4a9ddca14f	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:6714662b831e02ad6c53f27b	coffee-b2:867e0adb696de33b49b32570	2012	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	f2d22e7d1c6c8743bd08faa59723ff2a6b0df765af3402e3adf5e9cfd49de88e	ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76	ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76	en	BROAD_SENSORY	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76	QUALITY_EVALUATION	NON_DESCRIPTOR		AUTOMATED_SAFE_RULE	1.000000	NON_DESCRIPTOR	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:003b31b60bd5b05576f3c869	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:51ebb907ad840b2127daf4d0	coffee-b2:f2ec4f850739c87389d9cb8d	2024	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	e07231f9325d506f474c782bc6bdce3891d293dd620d687774b2268f734f6319	a61c254e6f4e5fe86e90ac52bee7cd8c8367b2f9b50310410f8024d29e9aacab	a61c254e6f4e5fe86e90ac52bee7cd8c8367b2f9b50310410f8024d29e9aacab	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	STRICT_FLAVOR	AMBIGUOUS_MAPPING		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
