semantic_form_node_id	cleaned_form_id	cleaned_lexical_form_sha256	source_languages	semantic_classes	source_native_form_ids	source_families	records	assertion_support	source_language_count	source_native_form_count	source_family_count	effective_record_support
semantic-form:00569d18f44e954c22f6690f	cleaned-form:00569d18f44e954c22f6690f	00569d18f44e954c22f6690fe15e70aa3261ea4504a56dba403adb29c40960bc	UNREPORTED	STRICT_FLAVOR	source-form:83b20b8360a60a2d99fcec00	family.coffeereview_kaggle_parsed	effective-b2:62a6b0fbe996780029daa10e	1	1	1	1	1
semantic-form:006dd30d1cd381aca58b79ca	cleaned-form:006dd30d1cd381aca58b79ca	006dd30d1cd381aca58b79ca4359eb5065338cefa8274b1b4e7843bc81d33715	UNREPORTED	STRICT_FLAVOR	source-form:006dd30d1cd381aca58b79ca	family.ace_cup_of_excellence	effective-b2:832a1760ea9f5b51e9877c3b	1	1	1	1	1
semantic-form:00775e9e7d07cf2e954197c3	cleaned-form:00775e9e7d07cf2e954197c3	00775e9e7d07cf2e954197c356a52349161f7db0413164d62290f737dd2a97e7	UNREPORTED	STRICT_FLAVOR	source-form:00775e9e7d07cf2e954197c3	family.coffeereview_kaggle_parsed	effective-b2:0ab8ea5267ea6a15be8487ad	1	1	1	1	1
semantic-form:007b30c58c7ec5cddea593e6	cleaned-form:007b30c58c7ec5cddea593e6	007b30c58c7ec5cddea593e684a36d17fa27f24cc69d6301d013e67126cf2071	UNREPORTED	STRICT_FLAVOR	source-form:2ec4df0af7c67b681d82f4be	family.ace_cup_of_excellence	effective-b2:df833792a743528a15d141f8	1	1	1	1	1
semantic-form:008a29f53753cdf1eb2e6674	cleaned-form:008a29f53753cdf1eb2e6674	008a29f53753cdf1eb2e6674fd64a4ceac30ec58cdc910bd2636bf0a82feaf56	UNREPORTED	STRICT_FLAVOR	source-form:008a29f53753cdf1eb2e6674	family.coffeereview_kaggle_parsed	effective-b2:d6fc78c01baaf291a38d5f17	2	1	1	1	1
semantic-form:008f0747f4e27c8462baa991	cleaned-form:008f0747f4e27c8462baa991	008f0747f4e27c8462baa991a538025bcc2dd143e78422f1afbdfcd9e757a20f	UNREPORTED	STRICT_FLAVOR	source-form:008f0747f4e27c8462baa991|source-form:c0ebb7d6b69390c501d3938c	family.coffeereview_kaggle_parsed	effective-b2:01f71a602564b49812fe3728|effective-b2:23abb1775bc70cb785ffda58|effective-b2:3245f9608ae7709f5cb9db8d|effective-b2:4110f3bd322019591a6bdb8e|effective-b2:4e200dd859c34ea902ae6007|effective-b2:8d890976eb412f12fd088de4|effective-b2:aad203a0e8c56ebe713fd31a	7	1	2	1	7
semantic-form:0091c0a41807ffd45ab8d69a	cleaned-form:0091c0a41807ffd45ab8d69a	0091c0a41807ffd45ab8d69a38a1f17aec076073dc5d16472cca6ca261d3492c	UNREPORTED	STRICT_FLAVOR	source-form:f09f99a4ae889a55a87704e2	family.coffeereview_kaggle_parsed	effective-b2:cd5a36a3e8c29b09e6bfbed9	1	1	1	1	1
semantic-form:00941ffd79e4b5c811e2ba8e	cleaned-form:00941ffd79e4b5c811e2ba8e	00941ffd79e4b5c811e2ba8ee8bfba708934c3c47685fb653e3e59bc8b3210af	UNREPORTED	STRICT_FLAVOR	source-form:00941ffd79e4b5c811e2ba8e	family.coffeereview_kaggle_parsed	effective-b2:56ac66d6cae0f3bfeb120e55	1	1	1	1	1
semantic-form:00971891d0a3c857d5d9da31	cleaned-form:00971891d0a3c857d5d9da31	00971891d0a3c857d5d9da31d87975a5fd0f21e6bb4fa4b5a6373a4d9a09587e	UNREPORTED	STRICT_FLAVOR	source-form:44f1041aa10bd0fd169afac5	family.ace_cup_of_excellence	effective-b2:3e6bf21e5df18937d1e0fadd	1	1	1	1	1
semantic-form:009978b8c24f47f63fbbf3cd	cleaned-form:009978b8c24f47f63fbbf3cd	009978b8c24f47f63fbbf3cd8fb774ba7e20c5586c5998c74cfd3c448173dada	UNREPORTED	STRICT_FLAVOR	source-form:9efb597c915414fd84e20eed	family.ace_cup_of_excellence	effective-b2:ab928f03b4cff9228c6a2f84|effective-b2:e5fe5f98e1403743f163465a	2	1	1	1	2
semantic-form:00a0389dc0268fdaeb1f3132	cleaned-form:00a0389dc0268fdaeb1f3132	00a0389dc0268fdaeb1f31323a27810fdf16168255c780e44cd38496217b35e9	UNREPORTED	STRICT_FLAVOR	source-form:00a0389dc0268fdaeb1f3132	family.coffeereview_kaggle_parsed	effective-b2:3cce319c2d5de63a5355bde8	1	1	1	1	1
semantic-form:00aaf3c70128ebe25e54f282	cleaned-form:00aaf3c70128ebe25e54f282	00aaf3c70128ebe25e54f2824b514c07d864002bb3de995a30200d76a35b67fa	UNREPORTED	STRICT_FLAVOR	source-form:74195248a511062f8f8b0562	family.coffeereview_kaggle_parsed	effective-b2:356b62b7468f822869b00b03	1	1	1	1	1
semantic-form:00ac1f3c27fc20abe6bd1258	cleaned-form:00ac1f3c27fc20abe6bd1258	00ac1f3c27fc20abe6bd1258c409fc91cbef70900d46ba88b0f17452f2a3805e	UNREPORTED	STRICT_FLAVOR	source-form:00ac1f3c27fc20abe6bd1258	family.coffeereview_kaggle_parsed	effective-b2:4a3f304d9a01f531eda557d7	1	1	1	1	1
semantic-form:00af40f99c5bbcbdb6dda43d	cleaned-form:00af40f99c5bbcbdb6dda43d	00af40f99c5bbcbdb6dda43d1ae554241cb0b8f1a9c12bfb60155495b1914643	UNREPORTED	STRICT_FLAVOR	source-form:6bda4b8b669807307d578c8b	family.coffeereview_kaggle_parsed	effective-b2:64de69cb844e74f9779c27b3	1	1	1	1	1
semantic-form:00bf2a71bb491c2c412609a4	cleaned-form:00bf2a71bb491c2c412609a4	00bf2a71bb491c2c412609a4154cbe8c0a8e73d6e0bb758c9ceb91f8c4deecd2	UNREPORTED	STRICT_FLAVOR	source-form:d81e463df7133fdcaa2d2924	family.ace_cup_of_excellence	effective-b2:6cc0a9475d233b198f2ea32f	1	1	1	1	1
semantic-form:00d11132a27be6114cece180	cleaned-form:00d11132a27be6114cece180	00d11132a27be6114cece1807dcd7259382ba1b7c9414e127de1e61b38a92d94	UNREPORTED	STRICT_FLAVOR	source-form:00d11132a27be6114cece180|source-form:6450858b48e26e533d1cd78f	family.ace_cup_of_excellence|family.project_origin	effective-b2:29dde42abf8902db30f74bb7|effective-b2:33570197e99307255efbf106|effective-b2:d08818c6852939ecb4b98cee|effective-b2:f19d4c3b5415dd2934fce13b	5	1	2	2	4
