cleaned_descriptor_identity	canonical_concept_id	semantic_class	mapping_state	cleaned_assertion_support	effective_record_support	source_family_support	year_support	gold_support	silver_support	bronze_support	rights_affirmative_support	rights_pending_support	rights_unknown_support
cleaned-form:ccfbf54a16301979086b9893		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	60	58	1	12	0	60	0	0	0	60
sensory.pear	sensory.pear	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	60	58	2	13	12	48	0	12	0	48
sensory.rose	sensory.rose	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	59	57	2	15	1	58	0	1	0	58
cleaned-form:10e9f5602d2492b386b4dc75		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	58	58	1	17	2	56	0	0	2	56
cleaned-form:50717f32c5e6289ec1015ff4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	58	49	2	7	47	11	0	47	0	11
cleaned-form:9f7411175a19631ed6da6945		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	58	52	3	16	5	52	1	5	0	53
cleaned-form:315600a556a5376ebaeccc4a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	55	54	1	16	2	53	0	0	2	53
sensory.lemongrass	sensory.lemongrass	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	55	53	3	9	2	50	3	2	0	53
sensory.wine_like_character	sensory.wine_like_character	STRICT_FLAVOR	AUTO_APPROVED_ALIAS	55	52	3	13	4	48	3	2	2	51
cleaned-form:b755cb248c3c4a7d94f835b4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	54	41	2	7	45	9	0	45	0	9
cleaned-form:7d9f72f6de608982c43aabd0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	52	52	2	11	7	45	0	6	1	45
sensory.green_tea	sensory.green_tea	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	52	47	2	11	16	36	0	16	0	36
cleaned-form:32c4feed996880bc92a062dc		STRICT_FLAVOR	AMBIGUOUS_MAPPING	51	44	2	10	37	14	0	37	0	14
sensory.tobacco	sensory.tobacco	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	51	37	2	7	39	12	0	39	0	12
cleaned-form:d3dc88ae24a3be59843285c3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	50	49	2	12	27	23	0	27	0	23
cleaned-form:e9664961c84a9974da388031		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	49	28	2	10	35	14	0	35	0	14
sensory.prune	sensory.prune	STRICT_FLAVOR	AUTO_MORPHOLOGICAL	49	48	2	13	10	39	0	10	0	39
cleaned-form:a7ec7f3ae09187df17173620		BROAD_SENSORY	ONTOLOGY_CANDIDATE	48	48	2	16	7	41	0	3	4	41
cleaned-form:dd2f52a82f601d000cfa9a92		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	47	46	1	13	1	46	0	0	1	46
cleaned-form:1bd3f74eb7f20d686c9c25a9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	46	43	1	13	0	46	0	0	0	46
cleaned-form:f6c544f14cf432eb80745e96		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	46	45	2	14	1	45	0	1	0	45
cleaned-form:42af43e3616eba4a133a7555		BROAD_SENSORY	ONTOLOGY_CANDIDATE	45	42	1	13	2	43	0	0	2	43
cleaned-form:1e67037bc5e90f888a47cbef		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	43	40	2	8	0	38	5	0	0	43
cleaned-form:a9f74d1ec36ebdeb2da3f6e5		STRICT_FLAVOR	AMBIGUOUS_MAPPING	43	34	2	7	36	7	0	36	0	7
cleaned-form:0e27150cb1fc10c8366e5924		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	42	42	1	13	1	41	0	0	1	41
cleaned-form:1a5afeda973d776e31d1d726		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	42	41	2	13	1	41	0	1	0	41
cleaned-form:98a4f7655958a385a0667bad		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	42	42	2	11	3	39	0	3	0	39
cleaned-form:94e44d9d24608ae2161d0c56		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	40	40	2	10	1	39	0	1	0	39
cleaned-form:c0e5eb15b27d73702d8c713b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	39	39	1	17	0	39	0	0	0	39
cleaned-form:4d1608c849f1a4968565d501		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	37	36	2	11	1	36	0	1	0	36
cleaned-form:bd071899591c00d2276d2254		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	37	37	1	10	5	32	0	0	5	32
sensory.chamomile	sensory.chamomile	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	37	37	3	10	1	34	2	1	0	36
cleaned-form:1ad25926af75be80d80a6551		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	36	35	2	11	2	32	2	0	2	34
cleaned-form:8c39c63488260c318aea4cb0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	36	35	2	10	0	35	1	0	0	36
cleaned-form:c9452dcec3d330f089036f5b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	34	32	2	14	2	32	0	2	0	32
cleaned-form:dca63bd6e65a45927827e3a9		BROAD_SENSORY	ONTOLOGY_CANDIDATE	34	34	3	13	4	29	1	4	0	30
cleaned-form:92585bfe24e3f8d73f47b2ed		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	33	33	1	10	0	33	0	0	0	33
cleaned-form:b6e4221dfda0c45f51475403		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	33	32	1	6	0	33	0	0	0	33
cleaned-form:e8373ce99f87b6e75fffa1fb		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	32	26	1	1	32	0	0	32	0	0
cleaned-form:f18e48678b723e80d272f37b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	32	30	2	11	2	30	0	2	0	30
sensory.cedar	sensory.cedar	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	32	32	2	16	0	32	0	0	0	32
cleaned-form:7dfd8928a4a3162bbd66beb1		STRICT_FLAVOR	AMBIGUOUS_MAPPING	31	24	2	8	23	8	0	23	0	8
cleaned-form:69c0a0a11cfe9fd86d675f3b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	30	30	1	7	0	30	0	0	0	30
cleaned-form:ef3f9a0e89c97a26e9469ae5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	30	26	1	1	30	0	0	30	0	0
sensory.banana	sensory.banana	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	30	30	2	13	1	29	0	1	0	29
cleaned-form:206b5ec743f4c4871bc45ea8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	29	26	2	11	0	28	1	0	0	29
cleaned-form:58e989955f4b358feb6e4580		STRICT_FLAVOR	AMBIGUOUS_MAPPING	29	29	2	11	0	29	0	0	0	29
cleaned-form:e3ae0782ba0071285ea94cdd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	29	28	2	13	8	21	0	8	0	21
sensory.butter	sensory.butter	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	29	29	1	12	0	29	0	0	0	29
sensory.clove	sensory.clove	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	29	29	2	13	1	28	0	1	0	28
sensory.walnut	sensory.walnut	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	29	28	2	11	12	17	0	12	0	17
cleaned-form:d776f7cf4e43af5c0bc12b56		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	28	28	3	12	2	25	1	2	0	26
cleaned-form:07001e8089072aa27db4ede1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	27	27	1	8	0	27	0	0	0	27
cleaned-form:549819b27ee092f84cbc4dab		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	27	26	2	9	1	26	0	1	0	26
cleaned-form:fbdb2f7f6e6223ff9071a3de		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	27	27	1	5	0	27	0	0	0	27
sensory.orange_blossom	sensory.orange_blossom	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	27	27	1	10	0	27	0	0	0	27
cleaned-form:31a2d5282683edb3a22c565f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	26	25	2	12	4	22	0	2	2	22
cleaned-form:913a4cb91be20332f3559f80		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	26	26	1	10	0	26	0	0	0	26
cleaned-form:fef8cec0ffdcbf78b64df6bd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	25	23	1	8	0	25	0	0	0	25
sensory.mint	sensory.mint	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	25	25	1	7	0	25	0	0	0	25
cleaned-form:109c7f28ed7f6f3cdabc79a3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	24	24	3	12	1	22	1	1	0	23
cleaned-form:32c2c9ff3c90610664fdb4fd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	24	22	1	1	24	0	0	24	0	0
cleaned-form:57f64f1b45572420f70df635		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	24	23	2	11	6	18	0	6	0	18
cleaned-form:2efa64f91736e51bfbcae85b		STRICT_FLAVOR	AMBIGUOUS_MAPPING	23	23	2	13	0	23	0	0	0	23
cleaned-form:a0e732628346bf0f5713f4e2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	23	22	1	1	23	0	0	23	0	0
cleaned-form:b2e55e456cf481005d30ad1d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	23	23	1	10	0	23	0	0	0	23
cleaned-form:f9e263cde179789459a96a0f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	23	23	1	11	0	23	0	0	0	23
cleaned-form:0b571c894bfaacb2f4d9edb2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	21	21	2	7	10	11	0	10	0	11
cleaned-form:42be22c266603b34e0931de4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	21	21	2	8	0	20	1	0	0	21
cleaned-form:4e10a4fb82b2a3dd638f3c70		BROAD_SENSORY	ONTOLOGY_CANDIDATE	21	21	2	10	0	21	0	0	0	21
cleaned-form:09f04951af4cd503877815fd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	20	15	1	1	20	0	0	20	0	0
cleaned-form:16483ee69d87406099474176		STRICT_FLAVOR	AMBIGUOUS_MAPPING	20	20	3	9	4	12	4	4	0	16
cleaned-form:f3a22c1ce8e0a5a963937038		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	20	20	2	9	2	18	0	2	0	18
cleaned-form:f3acfc5ce9afab87dffc3f49		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	20	19	1	9	0	20	0	0	0	20
cleaned-form:f898cb1f16b1e45f23aebdd5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	20	20	1	9	0	20	0	0	0	20
cleaned-form:3609eddbc36b1a391389f1d1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	19	19	1	4	0	19	0	0	0	19
cleaned-form:80e5b5a554cccea7aad01d91		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	19	19	1	9	0	19	0	0	0	19
cleaned-form:ae02ea8b62fbf7ab4173f1b7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	19	19	3	9	2	14	3	2	0	17
cleaned-form:c7c7eb1087c4e24d4c121b65		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	19	14	2	2	18	1	0	18	0	1
cleaned-form:e676c67ba14337a056b0f125		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	19	19	1	7	2	17	0	0	2	17
cleaned-form:c16a53f912ffe00d337fc477		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	18	18	2	8	0	17	1	0	0	18
sensory.ginger	sensory.ginger	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	18	18	1	7	0	18	0	0	0	18
sensory.malt	sensory.malt	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	18	17	3	10	3	15	0	3	0	15
cleaned-form:1220e192481b60ee7b4a3005		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	17	17	1	6	3	14	0	0	3	14
cleaned-form:846d124b6785689c70bc65cf		STRICT_FLAVOR	AMBIGUOUS_MAPPING	17	16	1	1	17	0	0	17	0	0
cleaned-form:8825e76530f87ff5c737b325		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	17	15	2	4	14	3	0	14	0	3
cleaned-form:f1bc1abd2c1542f016311238		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	17	17	2	6	2	13	2	0	2	15
cleaned-form:f2b764032ffd79a52a80d455		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	17	14	3	5	11	5	1	11	0	6
cleaned-form:f61ff4a4c92d6a663f4b5c66		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	17	16	2	7	0	16	1	0	0	17
sensory.pomegranate	sensory.pomegranate	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	17	17	2	9	1	16	0	1	0	16
cleaned-form:13cc358c604102b8449c4760		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	16	15	2	6	0	14	2	0	0	16
cleaned-form:230d8358dc8e8890b4c58dee		BROAD_SENSORY	ONTOLOGY_CANDIDATE	16	16	2	8	0	16	0	0	0	16
cleaned-form:3df17b92d63c1eb0fd5cddac		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	16	16	2	8	1	15	0	1	0	15
cleaned-form:51b30c3940f1ac5c337c31fd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	16	16	1	10	0	16	0	0	0	16
cleaned-form:7baa68f2418ba82d2545a780		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	16	16	3	7	1	9	6	1	0	15
cleaned-form:8ae6b3fb7e1fc16bee1e8a22		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	16	16	2	8	1	15	0	1	0	15
cleaned-form:98d1b510cac3e4d33bebbdc9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	16	16	1	5	0	16	0	0	0	16
cleaned-form:99a5ec8dee37605d9718ee4d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	16	16	1	5	0	16	0	0	0	16
cleaned-form:09521b1c55b7146b1dd2ce12		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	15	15	2	6	3	12	0	3	0	12
cleaned-form:45dc965e2f643925eb6024e9		DEFECT_OR_NEGATIVE_SENSORY	ONTOLOGY_CANDIDATE	15	13	2	4	11	4	0	11	0	4
cleaned-form:57210c537068ce04fec4c146		BROAD_SENSORY	ONTOLOGY_CANDIDATE	15	15	3	9	1	14	0	1	0	14
cleaned-form:5ea318ad13211cc7ee2c76b3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	15	15	1	9	0	15	0	0	0	15
cleaned-form:8e1dee69c7fd4f27ae10cf45		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	15	15	2	8	1	14	0	1	0	14
cleaned-form:338c539ace81e3b375a2994e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	14	13	2	3	12	2	0	12	0	2
cleaned-form:37ecf521c8f469c92ce485da		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	14	14	2	9	3	11	0	1	2	11
cleaned-form:3ae755cc6122a54cc873e3ba		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	14	13	2	8	5	9	0	5	0	9
cleaned-form:5b213c2648697f5a982e5723		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	14	12	2	4	9	5	0	9	0	5
cleaned-form:5b82f78c5f45d20cc32bd7ec		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	14	11	1	1	14	0	0	14	0	0
cleaned-form:5df8e1e6dc9de3d09f60cc6d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	14	14	1	7	0	14	0	0	0	14
cleaned-form:8f1d7cff804e6a1d52539061		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	14	12	2	2	13	1	0	13	0	1
cleaned-form:25b2adcfec3e5d5332604e8b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	13	12	1	6	0	13	0	0	0	13
cleaned-form:771ed10532a39ae11019a3d3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	13	10	1	3	0	13	0	0	0	13
cleaned-form:81ab4c676117ab764e885111		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	13	13	1	5	0	13	0	0	0	13
cleaned-form:9b93e56bac7dafe920105787		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	13	13	1	9	2	11	0	0	2	11
sensory.astringent	sensory.astringent	BROAD_SENSORY	AUTO_EXACT_CANONICAL	13	12	1	1	13	0	0	13	0	0
sensory.cardamom	sensory.cardamom	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	13	13	2	3	7	6	0	7	0	6
cleaned-form:0a3fbd76022074f7e31cddf7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	12	12	1	6	0	12	0	0	0	12
cleaned-form:31ddfa51506579361f142b5c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	12	12	1	5	0	12	0	0	0	12
cleaned-form:68eb4dd9bf894f6eb07654d3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	12	12	2	9	0	11	1	0	0	12
cleaned-form:a1e634d900bf403fe72ab7bd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	12	12	2	7	4	8	0	4	0	8
cleaned-form:b1123b42a6d1bb3e5e45c403		STRICT_FLAVOR	AMBIGUOUS_MAPPING	12	12	3	8	1	11	0	1	0	11
cleaned-form:d4d6cb99915dfaa46ca7528e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	12	11	1	5	0	12	0	0	0	12
cleaned-form:f25abed045720ecedb4e55b5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	12	11	2	3	10	2	0	10	0	2
cleaned-form:f7b6ddda10b9046dad4be346		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	12	12	1	6	0	12	0	0	0	12
