review_item_id	review_rank	concept_cluster_id	mapping_state	assertion_support	effective_record_support	source_family_ids	year_ids	suggested_action	restricted_pointer	project_owner_decision	decision_reason	reviewer_id	reviewed_at
cross-form-review:c7cad4e66642f4ce2aefc88c	11	concept-cluster:ef6299fa2df616e4759d76d2	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	751	520	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:c7cad4e66642f4ce2aefc88c				
cross-form-review:f582d7464140b9eb6a25db34	12	concept-cluster:a21a7a6912d00ef787a29bbb	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	635	528	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:f582d7464140b9eb6a25db34				
cross-form-review:a3f9b870fa6897e192e37ea0	13	concept-cluster:8eea051c30900ab429f97e1f	AMBIGUOUS_CONCEPT_BOUNDARY	423	344	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.sheba_coffee_yemen_auction|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2014|year.2015|year.2016|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	DEFER_TO_SENSORY_EXPERT	restricted://batch6_semantic_review/cross-form-review:a3f9b870fa6897e192e37ea0				
cross-form-review:1f6aaf680461f071abfc1d1f	14	concept-cluster:aa970c4b0083ea9b5e9eef7e	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	402	364	family.ace_cup_of_excellence|family.mdpi_certified_q_grader_storage_panel|family.project_origin|family.sheba_coffee_yemen_auction|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:1f6aaf680461f071abfc1d1f				
cross-form-review:acff5a57b5a992f4b1873eb8	15	concept-cluster:9e5d5d7a8c97ee4071468b15	AMBIGUOUS_CONCEPT_BOUNDARY	320	283	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.frontiers_cenicafe_lengupa_trained_cuppers|family.frontiers_inera_robusta_q_grader_panel|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2014|year.2015|year.2017|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	DEFER_TO_SENSORY_EXPERT	restricted://batch6_semantic_review/cross-form-review:acff5a57b5a992f4b1873eb8				
cross-form-review:a630b476442a7e3e3f418fb9	16	concept-cluster:89815ab731cb2c2b38bd3f75	QUALITY_OR_STRUCTURE_ATTRIBUTE	566	522	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:a630b476442a7e3e3f418fb9				
cross-form-review:712718559e015abba9f8c72c	17	concept-cluster:c77d3443b248de8dd00b0810	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	342	311	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers|family.project_origin|family.sheba_coffee_yemen_auction|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2011|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:712718559e015abba9f8c72c				
cross-form-review:6657bd7cdacf0eda5f6b5f08	18	concept-cluster:d2f7359bb44630f029238163	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	419	360	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:6657bd7cdacf0eda5f6b5f08				
cross-form-review:db49e23483f2301050cefc59	19	concept-cluster:d842a09b57440a1ee337a61d	QUALITY_OR_STRUCTURE_ATTRIBUTE	513	442	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:db49e23483f2301050cefc59				
cross-form-review:677b0f902b622d8d7b6d8f0d	20	concept-cluster:15436c2c16f538a6b9243567	GENUINE_ONTOLOGY_CANDIDATE	510	444	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:677b0f902b622d8d7b6d8f0d				
cross-form-review:50201f06b4bb0107094dc31f	21	concept-cluster:5faaae2d03369d3ceaca9e6d	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	507	427	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2010|year.2011|year.2012|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:50201f06b4bb0107094dc31f				
cross-form-review:7b81f1c5e6d6a4879c086b0b	22	concept-cluster:af5cfea7fb578d5ae07545f5	EXISTING_CANONICAL_ALIAS	305	276	family.ace_cup_of_excellence|family.frontiers_inera_robusta_q_grader_panel|family.mdpi_certified_q_grader_storage_panel|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2011|year.2012|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:7b81f1c5e6d6a4879c086b0b				
cross-form-review:f1dbd75d75a691dbd97bfbba	23	concept-cluster:85a01358939418c9214457ae	QUALITY_OR_STRUCTURE_ATTRIBUTE	496	402	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:f1dbd75d75a691dbd97bfbba				
cross-form-review:24b8d4de660fd87a79fff116	24	concept-cluster:fbbe2be593892327b90a4799	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	493	366	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:24b8d4de660fd87a79fff116				
cross-form-review:7e981024508c5751abb70287	25	concept-cluster:9e3735e073075f3f9406dc80	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	462	402	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2011|year.2012|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:7e981024508c5751abb70287				
cross-form-review:f628f046f7d7c0c3a80d9b96	26	concept-cluster:8e4591cb1c2e54de44cdcca9	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	543	477	family.ace_cup_of_excellence|family.project_origin	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:f628f046f7d7c0c3a80d9b96				
cross-form-review:a4404e5fec5b25697c7f2318	27	concept-cluster:3918c21a81dab5cdf6b4f38a	GENUINE_ONTOLOGY_CANDIDATE	209	200	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.frontiers_cenicafe_lengupa_trained_cuppers|family.frontiers_inera_robusta_q_grader_panel|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2012|year.2013|year.2015|year.2017|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:a4404e5fec5b25697c7f2318				
cross-form-review:052261115197f8936f99b50d	28	concept-cluster:dbe90458cf7cb58a37c297bb	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	296	251	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:052261115197f8936f99b50d				
cross-form-review:354c127f3e4692aff0411dc7	29	concept-cluster:609a72759be0f0246e47f8d8	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	288	261	family.ace_cup_of_excellence|family.project_origin|family.sheba_coffee_yemen_auction|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:354c127f3e4692aff0411dc7				
cross-form-review:a0b663f98ef2744f767d4315	30	concept-cluster:e082d767214258ee18afdb4b	GENUINE_ONTOLOGY_CANDIDATE	375	322	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2012|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:a0b663f98ef2744f767d4315				
cross-form-review:1151e2192a95c6cd8b85af35	31	concept-cluster:f4667d8c54a242c4ffef007d	MODIFIER_OF_EXISTING_CONCEPT	265	252	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:1151e2192a95c6cd8b85af35				
cross-form-review:5155b4b79be581e3672ec9c9	32	concept-cluster:f4c9332bdc5af1332b4beebe	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	363	340	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:5155b4b79be581e3672ec9c9				
cross-form-review:aede1f8d779129a95e4e72a2	33	concept-cluster:8464da777f6c3ac9263b67e7	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	257	232	family.ace_cup_of_excellence|family.project_origin|family.sheba_coffee_yemen_auction|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2011|year.2012|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:aede1f8d779129a95e4e72a2				
cross-form-review:8cee71bbb337fae073f8b271	34	concept-cluster:428200dc97310a3af7140d6a	AMBIGUOUS_CONCEPT_BOUNDARY	41	39	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.frontiers_cenicafe_lengupa_trained_cuppers|family.mdpi_certified_q_grader_storage_panel|family.zenodo_golovinsky_q_grader_dataset	year.2011|year.2013|year.2016|year.2017|year.2018|year.2019|year.2023|year.2024|year.2025|year.2026	DEFER_TO_SENSORY_EXPERT	restricted://batch6_semantic_review/cross-form-review:8cee71bbb337fae073f8b271				
cross-form-review:6bb6f16cbff669beb9d00700	35	concept-cluster:aaf6a79ac74cde3a3f0238eb	EXISTING_CANONICAL_EXACT	290	255	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:6bb6f16cbff669beb9d00700				
cross-form-review:38727504d9a067040e919253	36	concept-cluster:e9ab5b692e49469eecd68d34	GENUINE_ONTOLOGY_CANDIDATE	278	261	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:38727504d9a067040e919253				
cross-form-review:58b9e4f4e022c0ced91fb0b8	37	concept-cluster:09664d9ae7559a91712fa781	EXISTING_CANONICAL_EXACT	171	156	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2017|year.2018|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:58b9e4f4e022c0ced91fb0b8				
cross-form-review:908dc1ef0709be1f8bb376cc	38	concept-cluster:4fbf77cfbdb4cc056ca482b9	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	269	253	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:908dc1ef0709be1f8bb376cc				
cross-form-review:e597048ca2d6103893120e20	39	concept-cluster:387227b0ee0ed3845bb6bd33	CROSS_LANGUAGE_REVIEW_REQUIRED	65	64	family.ace_cup_of_excellence|family.mdpi_certified_q_grader_storage_panel|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2010|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2020|year.2021|year.2023|year.2024|year.2025|year.2026	DEFER_TO_SENSORY_EXPERT	restricted://batch6_semantic_review/cross-form-review:e597048ca2d6103893120e20				
cross-form-review:6bcf45a78ee776951375e62b	40	concept-cluster:1a0c7bef627d34861acd0f7d	EXISTING_CANONICAL_ALIAS	233	217	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:6bcf45a78ee776951375e62b				
cross-form-review:eb206e4c95befe102ff30c0c	41	concept-cluster:9d8fd85884da81aa18ff6900	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	231	214	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2011|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:eb206e4c95befe102ff30c0c				
cross-form-review:a1209f6ff81425ed8383f3b0	42	concept-cluster:81e6113e43689f17fc21caa6	GENUINE_ONTOLOGY_CANDIDATE	229	163	family.ace_cup_of_excellence|family.frontiers_inera_robusta_q_grader_panel|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2012|year.2014|year.2015|year.2017|year.2019|year.2020|year.2021|year.2022|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:a1209f6ff81425ed8383f3b0				
cross-form-review:73abc9086c42488d6f040232	43	concept-cluster:357590a2af0dbde1d4dc5ab9	AMBIGUOUS_CONCEPT_BOUNDARY	48	47	family.ace_cup_of_excellence|family.mdpi_certified_q_grader_storage_panel|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2011|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	DEFER_TO_SENSORY_EXPERT	restricted://batch6_semantic_review/cross-form-review:73abc9086c42488d6f040232				
cross-form-review:07ef5ab26bf29bc83bae80f4	44	concept-cluster:7c5499edbea9a980d5290740	MODIFIER_OF_EXISTING_CONCEPT	218	175	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:07ef5ab26bf29bc83bae80f4				
cross-form-review:cfc90feef7f0e85ee6427f99	45	concept-cluster:bdd31ed0b0741c99250d54da	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	218	202	family.ace_cup_of_excellence|family.frontiers_inera_robusta_q_grader_panel|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2011|year.2016|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:cfc90feef7f0e85ee6427f99				
cross-form-review:f3b511ef2e76917ba7286ce5	46	concept-cluster:a57db2fdabc6646c1166cde8	GENUINE_ONTOLOGY_CANDIDATE	217	202	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:f3b511ef2e76917ba7286ce5				
cross-form-review:921c26738ed284d5e2eb3dc5	47	concept-cluster:56ae35d0e1173ad65db8856f	GENUINE_ONTOLOGY_CANDIDATE	316	275	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	year.2012|year.2014|year.2015|year.2017|year.2018|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:921c26738ed284d5e2eb3dc5				
cross-form-review:3b77b7f47c61344ae459b2a5	48	concept-cluster:2a29c88a3ea1b1bd8cbd948c	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	215	204	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2011|year.2012|year.2013|year.2014|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:3b77b7f47c61344ae459b2a5				
cross-form-review:d9176c28435e272aca0f69f2	49	concept-cluster:c167028914190fcf5060f318	GENUINE_ONTOLOGY_CANDIDATE	411	392	family.ace_cup_of_excellence	year.2011|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:d9176c28435e272aca0f69f2				
cross-form-review:dde1841858e43df142c2aa4e	50	concept-cluster:310ae85de8afdd412208a43e	GENUINE_ONTOLOGY_CANDIDATE	206	185	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2011|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:dde1841858e43df142c2aa4e				
