review_cluster_id	cleaned_lexical_form_or_restricted_pointer	source_language	semantic_class	mapping_state	canonical_concept_id	assertion_support	effective_record_support	source_family_count	year_count	gold_support	silver_support	selection_reasons	codex_decision_type	review_state	human_reviewed	expert_adjudicated
cleaning-cluster:f52071345d2a7d363caa6787	hash:sha256:099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.black_tea	198	175	3	14	53	141	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:f3e019cd6c2250ad1a2ae328	hash:sha256:73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	en	STRICT_FLAVOR	AMBIGUOUS_MAPPING		196	158	4	14	75	120	AMBIGUOUS_GOLD|CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:5f697f76fa0c51e9738d41e4	hash:sha256:2daf0e6c79009f9234ed9baa5bb930898e2847810617e118518d88e4d3140a2e	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.cherry	195	186	3	18	24	164	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:e4ddf7fa74caf8fa0409285f	hash:sha256:7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		195	188	1	18	4	191	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:320cd3195fb728b18bd77264	hash:sha256:dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.dark_chocolate	191	159	4	18	73	115	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:4e00320466483ef440aef83d	hash:sha256:6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.jasmine	183	174	3	19	21	158	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:7b12e76617fa80889052fe3b	hash:sha256:0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.plum	183	157	3	17	2	177	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:82b30ff086c90cdd7cb324de	hash:sha256:c0f1779c16d26bac92c4e32fe385d4214da39e7bd6f87aa7a4ce2bef8fb669ed	en	BROAD_SENSORY	ONTOLOGY_CANDIDATE		174	160	2	18	71	103	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:4f7d1328e561795a8c5a6861	hash:sha256:510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		169	150	3	17	25	143	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:9cd57e21af7fbd03615ee25c	hash:sha256:5296c024e03e439ba3d72c8e432d4f890b3cd0d2c36d67d428aa1e401e675b69	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.vanilla	159	150	2	19	11	148	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:1eec19e8ec79e4b9ca939ad2	hash:sha256:6815f3c300383519de8e437497e2c3e97852fe8d717a5419d5aafb00cb43c494	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.mango	155	150	4	17	4	146	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:75230928bd9bf8d52a9637ec	hash:sha256:e30970665ed2e34594c2645ba9d3c307b36fc95efb92136b18ebdeee48b9072b	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.grapefruit	146	131	3	18	20	123	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:f8c13331a36445c8cf45ddaa	hash:sha256:4c591c30afa436056d0d59362b5c864479846245074291849b51a982300dd1d5	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		143	135	1	8	0	143	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:9d40db912331f7f0d04c796e	hash:sha256:1b35cfba043c1d10319eaf830c8b0e3ad846e6c2249b2c12a250eea00f281919	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		141	75	2	10	129	12	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:234705f46bde62843c36f25b	hash:sha256:2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		140	128	3	18	15	120	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:659f16e34e8dbc75c618bbe2	hash:sha256:5e737f891db1175442a39fde73e51d781a545506d71c95477a6deb5988bd7f9a	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.strawberry	135	120	3	16	18	109	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:e6e84c91931e9c675e047943	hash:sha256:7f18041501a6073856a11aeccde8725cb9fe20ddefe45b5772ae880290fb0f2c	en	BROAD_SENSORY	ONTOLOGY_CANDIDATE		133	132	3	18	3	126	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:1c125104349f275b2971f63d	hash:sha256:0f78fcc486f5315418fbf095e71c0675ee07d318e5ac4d150050cd8e57966496	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.grape	129	116	2	18	0	122	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:ac2943ae46ce835ef36c8b24	hash:sha256:7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		127	119	3	18	32	93	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:20c2bf048919e26ca03ba691	hash:sha256:043d97d69419bd79f3b5c1d8acd900cdc8364cdfe2b1f6657c4e9de2580f594b	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		126	125	1	16	3	123	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:d060336f4bdb3711564a47d6	hash:sha256:c877647d1eef4e2a539597841d24963407bb2d32fde8cb5cff82f19d9e973d8f	en	STRICT_FLAVOR	AMBIGUOUS_MAPPING		124	95	3	14	69	55	AMBIGUOUS_GOLD|CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:f5b90d6a86136d2541bea6e6	hash:sha256:00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		121	105	3	16	3	117	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:aa63b3c9516ecd4f81b70056	hash:sha256:b0fef621727ff82a7d334d9f1f047dc662ed0e27e05aa8fd1aefd19b0fff312c	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.pineapple	117	108	4	16	8	107	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:b502690cf1665bfc53c96013	hash:sha256:9093f2bb8d45a4d70a44fdf56e0b62f7d6c9d7cb0748093b0cf3ff9d35b3ebbe	en	STRICT_FLAVOR	AMBIGUOUS_MAPPING		115	64	2	5	110	5	AMBIGUOUS_GOLD|CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:b325e9b99a92c780862c14c8	hash:sha256:c371578fdc5ddc302a761f00d4542eaeaebf1364357c53f993b34744a76e1d81	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		112	109	1	8	0	112	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:8356c35291247bdb64cd5e76	hash:sha256:a97b0931730e83fbf9284ff00a4c5f7a4eef2189dddb89319a6dfa5871e28923	en	BROAD_SENSORY	ONTOLOGY_CANDIDATE		110	103	3	17	40	69	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:5cc5364644f5637840068cfd	hash:sha256:740d9472155d310672c71c284d4b91e751b93f8f0a5a3ed9ee01b30f204bf0a8	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.cocoa	108	90	2	15	68	40	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:3f4fa74468f336df5c4cf1d3	hash:sha256:e97407735e49029c96e5708c724fc9ce57b6335dba804a893320fcb7c0a07953	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.raspberry	107	101	3	16	8	91	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:05f0033fa5680d7d5a6b8c80	hash:sha256:939cdab24ab8e2507ed87ced1fc8c119a04255d1767de1ab72c005300747df3b	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		102	101	1	17	2	100	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:529b10008c9e46b3e9b189f2	hash:sha256:ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.blueberry	102	94	3	15	1	96	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:3705adce209d7a36d7a71b1a	hash:sha256:0a74f3353673c6f25d8e51548677f3db9791381ffc33efa40175333268ab63ee	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		99	89	2	12	1	98	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:b5c75f9797a97cae5dd124a5	hash:sha256:70329b1c2fb2a364d806e0cca8471f8cff15c5a6eaf3a7416f94abc9ac6c96ac	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		99	88	3	15	9	89	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:3b74e574f74fd203ee278ce9	hash:sha256:06df90ccef78b5002bf5d2b2c5a9ab54c58ba70be98b839161928e8d76a0d478	en	BROAD_SENSORY	ONTOLOGY_CANDIDATE		97	93	1	17	6	91	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:6acc5e4e693952159449db60	hash:sha256:e13fb53a594fa513afc34fa78b2353690e85fe1ad7414857c99ccfb97c818251	en	STRICT_FLAVOR	AMBIGUOUS_MAPPING		96	77	3	15	51	42	AMBIGUOUS_GOLD|CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:ded8fa9eeaaf243afa8298bb	hash:sha256:abe10a7b1ab725a978ccf7e84f2b60cf1d24717c819664a46569099a88e57bc4	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.molasses	93	89	3	16	7	85	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:993552764036d0ddae379b17	hash:sha256:a73860a05ec07cb9ce86d8022312d6e32e5048f44e33e3386cf1ce8a6dc4fe27	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		91	86	2	16	5	86	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:185645ef7e40b8fb13af3941	hash:sha256:728a07126ea01d49ac050b9acca152451ae22ca6c3a67c800759ce50ffb7d68d	en	BROAD_SENSORY	ONTOLOGY_CANDIDATE		88	87	3	15	17	68	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:5f0cf9169188f1d224220967	hash:sha256:6011d7a8f33ed8ec9a98ae8103b24310067dd7eb1a6dff6baa3c478612d313a1	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.cinnamon	86	85	2	17	6	80	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:03694092a37db5fefe185786	hash:sha256:7019275bf53483f22cab4e0f568d2c2a8f785fa3b558024cd8ba12f3894bd6b0	en	STRICT_FLAVOR	AUTO_APPROVED_ALIAS	sensory.blackcurrant	85	83	3	12	8	73	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:d81084dba35b1770b92cd219	hash:sha256:cb48108ea0d1b87a515dc3d6e3427200d98af7795ccc4ad81d85d17c04d0237b	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		84	81	2	15	8	76	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:d1a039b4e80e2fff2bdd7919	hash:sha256:d037e316bcc269c4768e68d70f1553c225c33c052810d83e84096f0168e8c31b	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		83	77	3	12	5	75	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:0ee75896d9b6f5681008e18b	hash:sha256:545ce787c410276d227955b06ea5e6c1f3e3d611dc3f50594e556cce34b5ce4e	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		79	72	2	16	0	78	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:7bcad8d149bcb6478edf3198	hash:sha256:0a2562424d97b71d9d8acc0e12e9f73c6849191ef7792b096c16e59c7171c68a	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		78	64	1	7	0	78	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:bb3fa497c3be036124739dcc	hash:sha256:ba7ad46689f94dc14c1a456ce5a72bd83dffaed8e6e5f83823d32b6ffcc33354	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		78	69	1	10	2	76	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:3151c6443e3a02baf5b00626	hash:sha256:3bbd81ca7735640cb5a7f837d52559d6ca22ec9b5892ef4c33da75ada9dad63c	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		74	68	3	12	42	32	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:4e9d01e3ea9391b8d11116e1	hash:sha256:fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.blackberry	74	68	3	14	2	66	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:41883f6fff5ea30e9dbc0583	hash:sha256:90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.almond	70	70	2	17	4	66	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:42859781ca0ac047824084bd	hash:sha256:156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.bergamot	70	61	3	12	21	48	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:c47511f8db5a20607ba0a136	hash:sha256:48fb71763d97b54b752aa17694977d1f87c7707415f25ab63ac2ea2495347ae6	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		68	57	2	8	58	10	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:fe70d3986fa5e4b31516e574	hash:sha256:9209526aaa61b0709dbb838e14686a26c4a03b53e8eedf34c7e5f6f606110d8c	en	STRICT_FLAVOR	AMBIGUOUS_MAPPING		68	60	3	14	7	61	AMBIGUOUS_GOLD|CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
